.HEADER
..NAMES
Time,V U1.V22
.DATA
0.0e+000,0.2466
4.59e-011,0.2466
9.18e-011,0.2466
1.378e-010,0.2466
1.837e-010,0.2466
2.296e-010,0.2466
2.755e-010,0.2466
3.215e-010,0.2466
3.674e-010,0.2466
4.133e-010,0.2667
4.592e-010,0.4100
5.052e-010,0.5712
5.511e-010,0.7581
5.970e-010,0.9467
6.430e-010,1.1090
6.889e-010,1.2157
7.348e-010,1.2635
7.807e-010,1.2873
8.266e-010,1.2972
8.726e-010,1.2997
9.185e-010,1.2975
9.644e-010,1.2913
1.0104e-009,1.2814
1.0563e-009,1.2732
1.1022e-009,1.2670
1.1481e-009,1.2689
1.1940e-009,1.2777
1.2400e-009,1.2754
1.2859e-009,1.2513
1.3318e-009,1.2179
1.3778e-009,1.1873
1.4237e-009,1.1740
1.4696e-009,1.1845
1.5155e-009,1.2126
1.5614e-009,1.2421
1.6074e-009,1.2546
1.6533e-009,1.2451
1.6992e-009,1.2262
1.7452e-009,1.2102
1.7911e-009,1.2093
1.8370e-009,1.2250
1.8829e-009,1.2490
1.9288e-009,1.2723
1.9748e-009,1.2793
2.0207e-009,1.2658
2.0666e-009,1.2420
2.1125e-009,1.2183
2.1585e-009,1.2057
2.2044e-009,1.2074
2.2503e-009,1.2195
2.2963e-009,1.1959
2.3422e-009,1.0679
2.3881e-009,0.9289
2.4340e-009,0.7615
2.4800e-009,0.5908
2.5259e-009,0.4268
2.5718e-009,0.3015
2.6177e-009,0.2346
2.6636e-009,0.1925
2.7096e-009,0.1720
2.7555e-009,0.1637
2.8014e-009,0.1710
2.8473e-009,0.1901
2.8933e-009,0.2084
2.9392e-009,0.2214
2.9851e-009,0.2235
3.0311e-009,0.2149
3.0770e-009,0.2007
3.1229e-009,0.2015
3.1688e-009,0.2249
3.2148e-009,0.2582
3.2607e-009,0.2891
3.3066e-009,0.3044
3.3525e-009,0.3001
3.3984e-009,0.2772
3.4444e-009,0.2490
3.4903e-009,0.2323
3.5362e-009,0.2328
3.5821e-009,0.2449
3.6281e-009,0.2584
3.6740e-009,0.2622
3.7199e-009,0.2532
3.7658e-009,0.2340
3.8118e-009,0.2132
3.8577e-009,0.2052
3.9036e-009,0.2139
3.9496e-009,0.2326
3.9955e-009,0.2519
4.0414e-009,0.2634
4.0873e-009,0.2652
4.1333e-009,0.2592
4.1792e-009,0.2515
4.2251e-009,0.2469
4.2710e-009,0.2449
4.3169e-009,0.2429
4.3629e-009,0.2395
4.4088e-009,0.2360
4.4547e-009,0.2347
4.5007e-009,0.2373
4.5466e-009,0.2436
4.5925e-009,0.2510
4.6384e-009,0.2559
4.6843e-009,0.2549
4.7303e-009,0.2481
4.7762e-009,0.2390
4.8221e-009,0.2324
4.8680e-009,0.2323
4.9140e-009,0.2392
4.9599e-009,0.2494
5.0058e-009,0.2570
5.0518e-009,0.2577
5.0977e-009,0.2519
5.1436e-009,0.2438
5.1895e-009,0.2380
5.2354e-009,0.2374
5.2814e-009,0.2411
5.3273e-009,0.2462
5.3732e-009,0.2496
5.4192e-009,0.2497
5.4651e-009,0.2473
5.5110e-009,0.2445
5.5569e-009,0.2429
5.6029e-009,0.2433
5.6488e-009,0.2450
5.6947e-009,0.2466
5.7406e-009,0.2469
5.7865e-009,0.2459
5.8325e-009,0.2445
5.8784e-009,0.2442
5.9243e-009,0.2456
5.9703e-009,0.2476
6.0162e-009,0.2513
6.0621e-009,0.3331
6.1080e-009,0.4940
6.1539e-009,0.6571
6.1999e-009,0.8485
6.2458e-009,1.0339
6.2917e-009,1.1679
6.3376e-009,1.2506
6.3836e-009,1.2791
6.4295e-009,1.2968
6.4754e-009,1.2977
6.5214e-009,1.2952
6.5673e-009,1.2917
6.6132e-009,1.2821
6.6591e-009,1.2769
6.7050e-009,1.2700
6.7510e-009,1.2690
6.7969e-009,1.2739
6.8428e-009,1.2789
6.8888e-009,1.2634
6.9347e-009,1.2323
6.9806e-009,1.1999
7.0265e-009,1.1772
7.0725e-009,1.1767
7.1184e-009,1.1973
7.1643e-009,1.2277
7.2102e-009,1.2503
7.2561e-009,1.2506
7.3021e-009,1.2355
7.3480e-009,1.2170
7.3939e-009,1.2076
7.4399e-009,1.2153
7.4858e-009,1.2354
7.5317e-009,1.2603
7.5776e-009,1.2770
7.6235e-009,1.2736
7.6695e-009,1.2544
7.7154e-009,1.2299
7.7613e-009,1.2105
7.8072e-009,1.2047
7.8532e-009,1.2115
7.8991e-009,1.2148
7.9450e-009,1.1321
7.9910e-009,0.9941
8.0369e-009,0.8420
8.0828e-009,0.6763
8.1287e-009,0.5017
8.1747e-009,0.3541
8.2206e-009,0.2606
8.2665e-009,0.2100
8.3124e-009,0.1782
8.3583e-009,0.1653
8.4043e-009,0.1660
8.4502e-009,0.1798
8.4961e-009,0.2002
8.5420e-009,0.2153
8.5880e-009,0.2236
8.6339e-009,0.2197
8.6798e-009,0.2069
8.7257e-009,0.1980
8.7717e-009,0.2113
8.8176e-009,0.2413
8.8635e-009,0.2747
8.9095e-009,0.2986
8.9554e-009,0.3042
9.0013e-009,0.2897
9.0472e-009,0.2623
9.0932e-009,0.2382
9.1391e-009,0.2305
9.1850e-009,0.2375
9.2309e-009,0.2516
9.2769e-009,0.2612
9.3228e-009,0.2585
9.3687e-009,0.2441
9.4146e-009,0.2225
9.4605e-009,0.2068
9.5065e-009,0.2076
9.5524e-009,0.2224
9.5983e-009,0.2426
9.6442e-009,0.2585
9.6902e-009,0.2651
9.7361e-009,0.2626
9.7820e-009,0.2669
9.8280e-009,0.3798
9.8739e-009,0.5365
9.9198e-009,0.7182
9.9657e-009,0.9081
1.00117e-008,1.0788
1.00576e-008,1.1904
1.01035e-008,1.2492
1.01494e-008,1.2786
1.01954e-008,1.2982
1.02413e-008,1.3068
1.02872e-008,1.3066
1.03331e-008,1.2980
1.03790e-008,1.2794
1.04250e-008,1.2632
1.04709e-008,1.2518
1.05168e-008,1.2558
1.05627e-008,1.2730
1.06087e-008,1.2845
1.06546e-008,1.2691
1.07005e-008,1.2337
1.07464e-008,1.1931
1.07924e-008,1.1669
1.08383e-008,1.1692
1.08842e-008,1.1974
1.09302e-008,1.2341
1.09761e-008,1.2566
1.10220e-008,1.2526
1.10679e-008,1.2326
1.11139e-008,1.2110
1.11598e-008,1.2035
1.12057e-008,1.2160
1.12516e-008,1.2408
1.12975e-008,1.2679
1.13435e-008,1.2803
1.13894e-008,1.2699
1.14353e-008,1.2457
1.14812e-008,1.2195
1.15272e-008,1.2042
1.15731e-008,1.2049
1.16190e-008,1.2176
1.16649e-008,1.2067
1.17109e-008,1.0870
1.17568e-008,0.9448
1.18027e-008,0.7779
1.18487e-008,0.6092
1.18946e-008,0.4441
1.19405e-008,0.3164
1.19864e-008,0.2449
1.20324e-008,0.2004
1.20783e-008,0.1742
1.21242e-008,0.1611
1.21701e-008,0.1643
1.22161e-008,0.1824
1.22620e-008,0.2038
1.23079e-008,0.2205
1.23538e-008,0.2262
1.23997e-008,0.2189
1.24457e-008,0.2028
1.24916e-008,0.1984
1.25375e-008,0.2178
1.25834e-008,0.2507
1.26294e-008,0.2841
1.26753e-008,0.3035
1.27212e-008,0.3025
1.27672e-008,0.2810
1.28131e-008,0.2515
1.28590e-008,0.2317
1.29049e-008,0.2303
1.29509e-008,0.2422
1.29968e-008,0.2570
1.30427e-008,0.2626
1.30886e-008,0.2544
1.31346e-008,0.2355
1.31805e-008,0.2135
1.32264e-008,0.2035
1.32723e-008,0.2112
1.33182e-008,0.2301
1.33642e-008,0.2504
1.34101e-008,0.2628
1.34560e-008,0.2648
1.35019e-008,0.2585
1.35479e-008,0.2856
1.35938e-008,0.4340
1.36397e-008,0.5898
1.36856e-008,0.7849
1.37316e-008,0.9738
1.37775e-008,1.1213
1.38234e-008,1.2188
1.38694e-008,1.2583
1.39153e-008,1.2868
1.39612e-008,1.3004
1.40071e-008,1.3080
1.40531e-008,1.3057
1.40990e-008,1.2915
1.41449e-008,1.2736
1.41908e-008,1.2571
1.42367e-008,1.2508
1.42827e-008,1.2600
1.43286e-008,1.2794
1.43745e-008,1.2824
1.44204e-008,1.2582
1.44664e-008,1.2192
1.45123e-008,1.1806
1.45582e-008,1.1635
1.46041e-008,1.1761
1.46501e-008,1.2103
1.46960e-008,1.2449
1.47419e-008,1.2581
1.47879e-008,1.2467
1.48338e-008,1.2238
1.48797e-008,1.2052
1.49256e-008,1.2050
1.49715e-008,1.2233
1.50175e-008,1.2508
1.50634e-008,1.2749
1.51093e-008,1.2791
1.51552e-008,1.2621
1.52012e-008,1.2356
1.52471e-008,1.2117
1.52930e-008,1.2022
1.53389e-008,1.2082
1.53849e-008,1.2220
1.54308e-008,1.1732
1.54767e-008,1.0361
1.55226e-008,0.8908
1.55686e-008,0.7204
1.56145e-008,0.5484
1.56604e-008,0.3937
1.57063e-008,0.2846
1.57523e-008,0.2280
1.57982e-008,0.1885
1.58441e-008,0.1682
1.58901e-008,0.1600
1.59360e-008,0.1687
1.59819e-008,0.1903
1.60278e-008,0.2101
1.60738e-008,0.2243
1.61197e-008,0.2248
1.61656e-008,0.2135
1.62115e-008,0.1984
1.62575e-008,0.2023
1.63034e-008,0.2283
1.63493e-008,0.2629
1.63952e-008,0.2930
1.64412e-008,0.3055
1.64871e-008,0.2968
1.65330e-008,0.2705
1.65789e-008,0.2423
1.66249e-008,0.2290
1.66708e-008,0.2332
1.67167e-008,0.2476
1.67626e-008,0.2604
1.68085e-008,0.2611
1.68545e-008,0.2486
1.69004e-008,0.2271
1.69463e-008,0.2078
1.69922e-008,0.2041
1.70382e-008,0.2169
1.70841e-008,0.2375
1.71300e-008,0.2558
1.71759e-008,0.2644
1.72219e-008,0.2631
1.72678e-008,0.2552
1.73137e-008,0.2479
1.73596e-008,0.2448
1.74056e-008,0.2442
1.74515e-008,0.2428
1.74974e-008,0.2391
1.75433e-008,0.2351
1.75893e-008,0.2336
1.76352e-008,0.2366
1.76811e-008,0.2435
1.77271e-008,0.2514
1.77730e-008,0.2559
1.78189e-008,0.2538
1.78648e-008,0.2459
1.79108e-008,0.2364
1.79567e-008,0.2306
1.80026e-008,0.2321
1.80485e-008,0.2404
1.80945e-008,0.2509
1.81404e-008,0.2575
1.81863e-008,0.2564
1.82322e-008,0.2494
1.82782e-008,0.2411
1.83241e-008,0.2363
1.83700e-008,0.2370
1.84159e-008,0.2417
1.84619e-008,0.2470
1.85078e-008,0.2497
1.85537e-008,0.2487
1.85996e-008,0.2456
1.86455e-008,0.2427
1.86915e-008,0.2418
1.87374e-008,0.2430
1.87833e-008,0.2451
1.88292e-008,0.2467
1.88752e-008,0.2464
1.89211e-008,0.2448
1.89670e-008,0.2433
1.90129e-008,0.2434
1.90589e-008,0.2452
1.91048e-008,0.2475
1.91507e-008,0.2484
1.91966e-008,0.2471
1.92426e-008,0.2441
1.92885e-008,0.2415
1.93344e-008,0.2410
1.93803e-008,0.2430
1.94263e-008,0.2463
1.94722e-008,0.2488
1.95181e-008,0.2492
1.95640e-008,0.2473
1.96100e-008,0.2444
1.96559e-008,0.2422
1.97018e-008,0.2419
1.97478e-008,0.2434
1.97937e-008,0.2458
1.98396e-008,0.2476
1.98855e-008,0.2479
1.99315e-008,0.2467
1.99774e-008,0.2449
2.00233e-008,0.2437
2.00692e-008,0.2438
2.01152e-008,0.2449
2.01611e-008,0.2461
2.02070e-008,0.2465
2.02529e-008,0.2460
2.02989e-008,0.2450
2.03448e-008,0.2445
2.03907e-008,0.2448
2.04366e-008,0.2457
2.04826e-008,0.2465
2.05285e-008,0.2466
2.05744e-008,0.2459
2.06203e-008,0.2449
2.06662e-008,0.2443
2.07122e-008,0.2445
2.07581e-008,0.2453
2.08040e-008,0.2463
2.08499e-008,0.2469
2.08959e-008,0.2467
2.09418e-008,0.2458
2.09877e-008,0.2448
2.10336e-008,0.2596
2.10796e-008,0.3906
2.11255e-008,0.5539
2.11714e-008,0.7379
2.12173e-008,0.9267
2.12633e-008,1.0950
2.13092e-008,1.2048
2.13551e-008,1.2585
2.14010e-008,1.2828
2.14470e-008,1.2955
2.14929e-008,1.2988
2.15388e-008,1.2973
2.15847e-008,1.2921
2.16307e-008,1.2813
2.16766e-008,1.2731
2.17225e-008,1.2659
2.17685e-008,1.2673
2.18144e-008,1.2760
2.18603e-008,1.2763
2.19062e-008,1.2541
2.19522e-008,1.2207
2.19981e-008,1.1888
2.20440e-008,1.1730
2.20899e-008,1.1813
2.21359e-008,1.2085
2.21818e-008,1.2390
2.22277e-008,1.2540
2.22736e-008,1.2460
2.23196e-008,1.2272
2.23655e-008,1.2100
2.24114e-008,1.2072
2.24573e-008,1.2218
2.25033e-008,1.2457
2.25492e-008,1.2699
2.25951e-008,1.2790
2.26410e-008,1.2671
2.26869e-008,1.2436
2.27329e-008,1.2193
2.27788e-008,1.2053
2.28247e-008,1.2059
2.28706e-008,1.2174
2.29166e-008,1.2029
2.29625e-008,1.0812
2.30084e-008,0.9417
2.30543e-008,0.7760
2.31003e-008,0.6069
2.31462e-008,0.4404
2.31921e-008,0.3108
2.32380e-008,0.2391
2.32840e-008,0.1954
2.33299e-008,0.1726
2.33758e-008,0.1630
2.34217e-008,0.1689
2.34677e-008,0.1871
2.35136e-008,0.2063
2.35595e-008,0.2200
2.36055e-008,0.2234
2.36514e-008,0.2157
2.36973e-008,0.2011
