.HEADER
..NAMES
Time,V U2.L7
.DATA
0.0e+000,1.2268
4.59e-011,1.2268
9.18e-011,1.2268
1.378e-010,1.2268
1.837e-010,1.2268
2.296e-010,1.2268
2.755e-010,1.2268
3.215e-010,1.2268
3.674e-010,1.2268
4.133e-010,1.2268
4.592e-010,1.2268
5.052e-010,1.2268
5.511e-010,1.2268
5.970e-010,1.2268
6.430e-010,1.2268
6.889e-010,1.2268
7.348e-010,1.2267
7.807e-010,1.2179
8.266e-010,1.1647
8.726e-010,1.0685
9.185e-010,0.9534
9.644e-010,0.8057
1.0104e-009,0.6540
1.0563e-009,0.5268
1.1022e-009,0.4326
1.1481e-009,0.3718
1.1940e-009,0.3388
1.2400e-009,0.3259
1.2859e-009,0.3194
1.3318e-009,0.3074
1.3778e-009,0.2867
1.4237e-009,0.2637
1.4696e-009,0.2450
1.5155e-009,0.2339
1.5614e-009,0.2343
1.6074e-009,0.2437
1.6533e-009,0.2563
1.6992e-009,0.2691
1.7452e-009,0.2771
1.7911e-009,0.2742
1.8370e-009,0.2613
1.8829e-009,0.2461
1.9288e-009,0.2339
1.9748e-009,0.2289
2.0207e-009,0.2307
2.0666e-009,0.2370
2.1125e-009,0.2453
2.1585e-009,0.2504
2.2044e-009,0.2520
2.2503e-009,0.2514
2.2963e-009,0.2498
2.3422e-009,0.2491
2.3881e-009,0.2506
2.4340e-009,0.2541
2.4800e-009,0.2586
2.5259e-009,0.2623
2.5718e-009,0.2631
2.6177e-009,0.2609
2.6636e-009,0.2667
2.7096e-009,0.3247
2.7555e-009,0.4301
2.8014e-009,0.5641
2.8473e-009,0.7396
2.8933e-009,0.9061
2.9392e-009,1.0272
2.9851e-009,1.1033
3.0311e-009,1.1356
3.0770e-009,1.1410
3.1229e-009,1.1402
3.1688e-009,1.1474
3.2148e-009,1.1684
3.2607e-009,1.1987
3.3066e-009,1.2269
3.3525e-009,1.2465
3.3984e-009,1.2547
3.4444e-009,1.2475
3.4903e-009,1.2310
3.5362e-009,1.2132
3.5821e-009,1.1981
3.6281e-009,1.1926
3.6740e-009,1.2023
3.7199e-009,1.2226
3.7658e-009,1.2432
3.8118e-009,1.2571
3.8577e-009,1.2581
3.9036e-009,1.2480
3.9496e-009,1.2331
3.9955e-009,1.2205
4.0414e-009,1.2171
4.0873e-009,1.2213
4.1333e-009,1.2279
4.1792e-009,1.2325
4.2251e-009,1.2317
4.2710e-009,1.2261
4.3169e-009,1.2192
4.3629e-009,1.2140
4.4088e-009,1.2121
4.4547e-009,1.2142
4.5007e-009,1.2184
4.5466e-009,1.2056
4.5925e-009,1.1397
4.6384e-009,1.0406
4.6843e-009,0.9137
4.7303e-009,0.7554
4.7762e-009,0.6034
4.8221e-009,0.4808
4.8680e-009,0.3966
4.9140e-009,0.3488
4.9599e-009,0.3299
5.0058e-009,0.3271
5.0518e-009,0.3226
5.0977e-009,0.3062
5.1436e-009,0.2793
5.1895e-009,0.2520
5.2354e-009,0.2319
5.2814e-009,0.2240
5.3273e-009,0.2307
5.3732e-009,0.2456
5.4192e-009,0.2620
5.4651e-009,0.2755
5.5110e-009,0.2801
5.5569e-009,0.2716
5.6029e-009,0.2550
5.6488e-009,0.2383
5.6947e-009,0.2270
5.7406e-009,0.2247
5.7865e-009,0.2294
5.8325e-009,0.2389
5.8784e-009,0.2484
5.9243e-009,0.2530
5.9703e-009,0.2531
6.0162e-009,0.2502
6.0621e-009,0.2467
6.1080e-009,0.2455
6.1539e-009,0.2481
6.1999e-009,0.2537
6.2458e-009,0.2599
6.2917e-009,0.2639
6.3376e-009,0.2636
6.3836e-009,0.2595
6.4295e-009,0.2540
6.4754e-009,0.2494
6.5214e-009,0.2468
6.5673e-009,0.2465
6.6132e-009,0.2487
6.6591e-009,0.2525
6.7050e-009,0.2562
6.7510e-009,0.2577
6.7969e-009,0.2563
6.8428e-009,0.2531
6.8888e-009,0.2496
6.9347e-009,0.2475
6.9806e-009,0.2476
7.0265e-009,0.2497
7.0725e-009,0.2527
7.1184e-009,0.2554
7.1643e-009,0.2565
7.2102e-009,0.2557
7.2561e-009,0.2534
7.3021e-009,0.2507
7.3480e-009,0.2486
7.3939e-009,0.2481
7.4399e-009,0.2491
7.4858e-009,0.2510
7.5317e-009,0.2526
7.5776e-009,0.2534
7.6235e-009,0.2531
7.6695e-009,0.2523
7.7154e-009,0.2511
7.7613e-009,0.2499
7.8072e-009,0.2493
7.8532e-009,0.2496
7.8991e-009,0.2506
7.9450e-009,0.2518
7.9910e-009,0.2525
8.0369e-009,0.2525
8.0828e-009,0.2518
8.1287e-009,0.2508
8.1747e-009,0.2499
8.2206e-009,0.2495
8.2665e-009,0.2498
8.3124e-009,0.2504
8.3583e-009,0.2511
8.4043e-009,0.2516
8.4502e-009,0.2517
8.4961e-009,0.2512
8.5420e-009,0.2506
8.5880e-009,0.2500
8.6339e-009,0.2498
8.6798e-009,0.2499
8.7257e-009,0.2504
8.7717e-009,0.2508
8.8176e-009,0.2510
8.8635e-009,0.2510
8.9095e-009,0.2509
8.9554e-009,0.2505
9.0013e-009,0.2501
9.0472e-009,0.2498
9.0932e-009,0.2498
9.1391e-009,0.2500
9.1850e-009,0.2504
9.2309e-009,0.2507
9.2769e-009,0.2507
9.3228e-009,0.2506
9.3687e-009,0.2503
9.4146e-009,0.2500
9.4605e-009,0.2499
9.5065e-009,0.2498
9.5524e-009,0.2500
9.5983e-009,0.2502
9.6442e-009,0.2504
9.6902e-009,0.2504
9.7361e-009,0.2503
9.7820e-009,0.2501
9.8280e-009,0.2499
9.8739e-009,0.2498
9.9198e-009,0.2498
9.9657e-009,0.2499
1.00117e-008,0.2500
1.00576e-008,0.2501
1.01035e-008,0.2502
1.01494e-008,0.2542
1.01954e-008,0.2972
1.02413e-008,0.3980
1.02872e-008,0.5225
1.03331e-008,0.6876
1.03790e-008,0.8603
1.04250e-008,0.9906
1.04709e-008,1.0770
1.05168e-008,1.1213
1.05627e-008,1.1351
1.06087e-008,1.1383
1.06546e-008,1.1449
1.07005e-008,1.1623
1.07464e-008,1.1895
1.07924e-008,1.2168
1.08383e-008,1.2368
1.08842e-008,1.2474
1.09302e-008,1.2447
1.09761e-008,1.2313
1.10220e-008,1.2155
1.10679e-008,1.2013
1.11139e-008,1.1933
1.11598e-008,1.1983
1.12057e-008,1.2155
1.12516e-008,1.2352
1.12975e-008,1.2505
1.13435e-008,1.2551
1.13894e-008,1.2479
1.14353e-008,1.2349
1.14812e-008,1.2221
1.15272e-008,1.2168
1.15731e-008,1.2196
1.16190e-008,1.2251
1.16649e-008,1.2293
1.17109e-008,1.2292
1.17568e-008,1.2246
1.18027e-008,1.2183
1.18487e-008,1.2134
1.18946e-008,1.2113
1.19405e-008,1.2126
1.19864e-008,1.2167
1.20324e-008,1.2129
1.20783e-008,1.1642
1.21242e-008,1.0714
1.21701e-008,0.9559
1.22161e-008,0.8047
1.22620e-008,0.6475
1.23079e-008,0.5150
1.23538e-008,0.4186
1.23997e-008,0.3598
1.24457e-008,0.3324
1.24916e-008,0.3258
1.25375e-008,0.3231
1.25834e-008,0.3107
1.26294e-008,0.2862
1.26753e-008,0.2583
1.27212e-008,0.2359
1.27672e-008,0.2240
1.28131e-008,0.2266
1.28590e-008,0.2396
1.29049e-008,0.2555
1.29509e-008,0.2700
1.29968e-008,0.2780
1.30427e-008,0.2738
1.30886e-008,0.2590
1.31346e-008,0.2421
1.31805e-008,0.2288
1.32264e-008,0.2236
1.32723e-008,0.2263
1.33182e-008,0.2343
1.33642e-008,0.2444
1.34101e-008,0.2506
1.34560e-008,0.2520
1.35019e-008,0.2500
1.35479e-008,0.2465
1.35938e-008,0.2445
1.36397e-008,0.2460
1.36856e-008,0.2508
1.37316e-008,0.2569
1.37775e-008,0.2618
1.38234e-008,0.2629
1.38694e-008,0.2597
1.39153e-008,0.2545
1.39612e-008,0.2495
1.40071e-008,0.2464
1.40531e-008,0.2455
1.40990e-008,0.2468
1.41449e-008,0.2501
1.41908e-008,0.2540
1.42367e-008,0.2563
1.42827e-008,0.2558
1.43286e-008,0.2531
1.43745e-008,0.2496
1.44204e-008,0.2470
1.44664e-008,0.2464
1.45123e-008,0.2479
1.45582e-008,0.2508
1.46041e-008,0.2536
1.46501e-008,0.2553
1.46960e-008,0.2551
1.47419e-008,0.2532
1.47879e-008,0.2505
1.48338e-008,0.2482
1.48797e-008,0.2472
1.49256e-008,0.2478
1.49715e-008,0.2495
1.50175e-008,0.2513
1.50634e-008,0.2523
1.51093e-008,0.2523
1.51552e-008,0.2516
1.52012e-008,0.2505
1.52471e-008,0.2494
1.52930e-008,0.2486
1.53389e-008,0.2486
1.53849e-008,0.2494
1.54308e-008,0.2506
1.54767e-008,0.2515
1.55226e-008,0.2517
1.55686e-008,0.2512
1.56145e-008,0.2503
1.56604e-008,0.2493
1.57063e-008,0.2488
1.57523e-008,0.2494
1.57982e-008,0.2675
1.58441e-008,0.3455
1.58901e-008,0.4599
1.59360e-008,0.6044
1.59819e-008,0.7812
1.60278e-008,0.9337
1.60738e-008,1.0398
1.61197e-008,1.1037
1.61656e-008,1.1301
1.62115e-008,1.1368
1.62575e-008,1.1409
1.63034e-008,1.1530
1.63493e-008,1.1763
1.63952e-008,1.2047
1.64412e-008,1.2284
1.64871e-008,1.2433
1.65330e-008,1.2471
1.65789e-008,1.2377
1.66249e-008,1.2226
1.66708e-008,1.2077
1.67167e-008,1.1962
1.67626e-008,1.1945
1.68085e-008,1.2066
1.68545e-008,1.2261
1.69004e-008,1.2438
1.69463e-008,1.2540
1.69922e-008,1.2519
1.70382e-008,1.2411
1.70841e-008,1.2277
1.71300e-008,1.2183
1.71759e-008,1.2179
1.72219e-008,1.2226
1.72678e-008,1.2275
1.73137e-008,1.2296
1.73596e-008,1.2268
1.74056e-008,1.2209
1.74515e-008,1.2152
1.74974e-008,1.2117
1.75433e-008,1.2114
1.75893e-008,1.2146
1.76352e-008,1.2196
1.76811e-008,1.2244
1.77271e-008,1.2278
1.77730e-008,1.2292
1.78189e-008,1.2285
1.78648e-008,1.2256
1.79108e-008,1.2213
1.79567e-008,1.2176
1.80026e-008,1.2168
1.80485e-008,1.2192
1.80945e-008,1.2238
1.81404e-008,1.2283
1.81863e-008,1.2300
1.82322e-008,1.2281
1.82782e-008,1.2239
1.83241e-008,1.2197
1.83700e-008,1.2177
1.84159e-008,1.2187
1.84619e-008,1.2217
1.85078e-008,1.2250
1.85537e-008,1.2271
1.85996e-008,1.2275
1.86455e-008,1.2266
1.86915e-008,1.2250
1.87374e-008,1.2234
1.87833e-008,1.2224
1.88292e-008,1.2222
1.88752e-008,1.2226
1.89211e-008,1.2236
1.89670e-008,1.2248
1.90129e-008,1.2259
1.90589e-008,1.2264
1.91048e-008,1.2258
1.91507e-008,1.2244
1.91966e-008,1.2229
1.92426e-008,1.2222
1.92885e-008,1.2227
1.93344e-008,1.2242
1.93803e-008,1.2257
1.94263e-008,1.2265
1.94722e-008,1.2262
1.95181e-008,1.2252
1.95640e-008,1.2240
1.96100e-008,1.2234
1.96559e-008,1.2236
1.97018e-008,1.2242
1.97478e-008,1.2250
1.97937e-008,1.2254
1.98396e-008,1.2256
1.98855e-008,1.2254
1.99315e-008,1.2251
1.99774e-008,1.2248
2.00233e-008,1.2245
2.00692e-008,1.2244
2.01152e-008,1.2244
2.01611e-008,1.2246
2.02070e-008,1.2251
2.02529e-008,1.2255
2.02989e-008,1.2258
2.03448e-008,1.2257
2.03907e-008,1.2252
2.04366e-008,1.2247
2.04826e-008,1.2244
2.05285e-008,1.2245
2.05744e-008,1.2250
2.06203e-008,1.2255
2.06662e-008,1.2258
