.HEADER
..NAMES
Time,V U2.R7
.DATA
0.0e+000,1.2269
4.59e-011,1.2269
9.18e-011,1.2269
1.378e-010,1.2269
1.837e-010,1.2269
2.296e-010,1.2269
2.755e-010,1.2269
3.215e-010,1.2269
3.674e-010,1.2269
4.133e-010,1.2269
4.592e-010,1.2269
5.052e-010,1.2269
5.511e-010,1.2269
5.970e-010,1.2269
6.430e-010,1.2269
6.889e-010,1.2256
7.348e-010,1.2122
7.807e-010,1.1609
8.266e-010,1.0683
8.726e-010,0.9567
9.185e-010,0.8241
9.644e-010,0.6728
1.0104e-009,0.5349
1.0563e-009,0.4367
1.1022e-009,0.3777
1.1481e-009,0.3522
1.1940e-009,0.3530
1.2400e-009,0.3641
1.2859e-009,0.3689
1.3318e-009,0.3598
1.3778e-009,0.3386
1.4237e-009,0.3098
1.4696e-009,0.2803
1.5155e-009,0.2578
1.5614e-009,0.2461
1.6074e-009,0.2431
1.6533e-009,0.2442
1.6992e-009,0.2455
1.7452e-009,0.2439
1.7911e-009,0.2387
1.8370e-009,0.2314
1.8829e-009,0.2255
1.9288e-009,0.2237
1.9748e-009,0.2262
2.0207e-009,0.2313
2.0666e-009,0.2365
2.1125e-009,0.2396
2.1585e-009,0.2399
2.2044e-009,0.2386
2.2503e-009,0.2377
2.2963e-009,0.2388
2.3422e-009,0.2422
2.3881e-009,0.2474
2.4340e-009,0.2526
2.4800e-009,0.2557
2.5259e-009,0.2552
2.5718e-009,0.2515
2.6177e-009,0.2461
2.6636e-009,0.2412
2.7096e-009,0.2388
2.7555e-009,0.2398
2.8014e-009,0.2435
2.8473e-009,0.2483
2.8933e-009,0.2523
2.9392e-009,0.2542
2.9851e-009,0.2536
3.0311e-009,0.2511
3.0770e-009,0.2480
3.1229e-009,0.2457
3.1688e-009,0.2451
3.2148e-009,0.2462
3.2607e-009,0.2482
3.3066e-009,0.2502
3.3525e-009,0.2511
3.3984e-009,0.2505
3.4444e-009,0.2490
3.4903e-009,0.2473
3.5362e-009,0.2462
3.5821e-009,0.2462
3.6281e-009,0.2471
3.6740e-009,0.2484
3.7199e-009,0.2493
3.7658e-009,0.2495
3.8118e-009,0.2490
3.8577e-009,0.2480
3.9036e-009,0.2471
3.9496e-009,0.2466
3.9955e-009,0.2468
4.0414e-009,0.2475
4.0873e-009,0.2484
4.1333e-009,0.2491
4.1792e-009,0.2492
4.2251e-009,0.2486
4.2710e-009,0.2477
4.3169e-009,0.2469
4.3629e-009,0.2465
