.HEADER
..NAMES
Time,V U3.N7
.DATA
0.0e+000,0.2470
4.59e-011,0.2470
9.18e-011,0.2470
1.378e-010,0.2470
1.837e-010,0.2470
2.296e-010,0.2470
2.755e-010,0.2470
3.215e-010,0.2470
3.674e-010,0.2470
4.133e-010,0.2470
4.592e-010,0.2470
5.052e-010,0.2470
5.511e-010,0.2470
5.970e-010,0.2470
6.430e-010,0.2470
6.889e-010,0.2470
7.348e-010,0.2470
7.807e-010,0.2470
8.266e-010,0.2474
8.726e-010,0.2536
9.185e-010,0.2820
9.644e-010,0.3429
1.0104e-009,0.4263
1.0563e-009,0.5355
1.1022e-009,0.6783
1.1481e-009,0.8300
1.1940e-009,0.9631
1.2400e-009,1.0740
1.2859e-009,1.1533
1.3318e-009,1.1910
1.3778e-009,1.1982
1.4237e-009,1.1900
1.4696e-009,1.1738
1.5155e-009,1.1609
1.5614e-009,1.1588
1.6074e-009,1.1660
1.6533e-009,1.1795
1.6992e-009,1.1954
1.7452e-009,1.2081
1.7911e-009,1.2151
1.8370e-009,1.2182
1.8829e-009,1.2194
1.9288e-009,1.2210
1.9748e-009,1.2249
2.0207e-009,1.2307
2.0666e-009,1.2371
2.1125e-009,1.2430
2.1585e-009,1.2464
2.2044e-009,1.2461
2.2503e-009,1.2428
2.2963e-009,1.2374
2.3422e-009,1.2318
2.3881e-009,1.2279
2.4340e-009,1.2259
2.4800e-009,1.2251
2.5259e-009,1.2244
2.5718e-009,1.2229
2.6177e-009,1.2200
2.6636e-009,1.2166
2.7096e-009,1.2129
2.7555e-009,1.2029
2.8014e-009,1.1717
2.8473e-009,1.1156
2.8933e-009,1.0424
2.9392e-009,0.9420
2.9851e-009,0.8078
3.0311e-009,0.6635
3.0770e-009,0.5331
3.1229e-009,0.4209
3.1688e-009,0.3352
3.2148e-009,0.2858
3.2607e-009,0.2678
3.3066e-009,0.2709
3.3525e-009,0.2858
3.3984e-009,0.3004
3.4444e-009,0.3063
3.4903e-009,0.3029
3.5362e-009,0.2924
3.5821e-009,0.2786
3.6281e-009,0.2661
3.6740e-009,0.2574
3.7199e-009,0.2525
3.7658e-009,0.2503
3.8118e-009,0.2491
3.8577e-009,0.2467
3.9036e-009,0.2421
3.9496e-009,0.2354
3.9955e-009,0.2282
4.0414e-009,0.2230
4.0873e-009,0.2214
4.1333e-009,0.2234
4.1792e-009,0.2278
4.2251e-009,0.2328
4.2710e-009,0.2371
4.3169e-009,0.2402
4.3629e-009,0.2422
4.4088e-009,0.2434
4.4547e-009,0.2447
4.5007e-009,0.2468
4.5466e-009,0.2497
4.5925e-009,0.2538
4.6384e-009,0.2668
4.6843e-009,0.3059
4.7303e-009,0.3732
4.7762e-009,0.4607
4.8221e-009,0.5787
4.8680e-009,0.7264
4.9140e-009,0.8730
4.9599e-009,1.0004
5.0058e-009,1.1056
5.0518e-009,1.1741
5.0977e-009,1.2016
5.1436e-009,1.2030
5.1895e-009,1.1902
5.2354e-009,1.1720
5.2814e-009,1.1604
5.3273e-009,1.1604
5.3732e-009,1.1695
5.4192e-009,1.1850
5.4651e-009,1.2018
5.5110e-009,1.2139
5.5569e-009,1.2202
5.6029e-009,1.2222
5.6488e-009,1.2223
5.6947e-009,1.2234
5.7406e-009,1.2270
5.7865e-009,1.2326
5.8325e-009,1.2391
5.8784e-009,1.2449
5.9243e-009,1.2478
5.9703e-009,1.2470
6.0162e-009,1.2430
6.0621e-009,1.2371
6.1080e-009,1.2314
6.1539e-009,1.2276
6.1999e-009,1.2258
6.2458e-009,1.2252
6.2917e-009,1.2247
6.3376e-009,1.2232
6.3836e-009,1.2203
6.4295e-009,1.2171
6.4754e-009,1.2147
6.5214e-009,1.2141
6.5673e-009,1.2156
6.6132e-009,1.2189
6.6591e-009,1.2230
6.7050e-009,1.2266
6.7510e-009,1.2285
6.7969e-009,1.2284
6.8428e-009,1.2262
6.8888e-009,1.2230
6.9347e-009,1.2200
6.9806e-009,1.2181
7.0265e-009,1.2179
7.0725e-009,1.2190
7.1184e-009,1.2209
7.1643e-009,1.2227
7.2102e-009,1.2237
7.2561e-009,1.2237
7.3021e-009,1.2228
7.3480e-009,1.2215
7.3939e-009,1.2205
7.4399e-009,1.2201
7.4858e-009,1.2207
7.5317e-009,1.2219
7.5776e-009,1.2232
7.6235e-009,1.2241
7.6695e-009,1.2243
7.7154e-009,1.2237
7.7613e-009,1.2229
7.8072e-009,1.2221
7.8532e-009,1.2217
7.8991e-009,1.2218
7.9450e-009,1.2223
7.9910e-009,1.2229
8.0369e-009,1.2234
8.0828e-009,1.2235
8.1287e-009,1.2233
8.1747e-009,1.2229
8.2206e-009,1.2224
8.2665e-009,1.2222
8.3124e-009,1.2222
8.3583e-009,1.2226
8.4043e-009,1.2231
8.4502e-009,1.2236
8.4961e-009,1.2238
8.5420e-009,1.2237
8.5880e-009,1.2234
8.6339e-009,1.2230
8.6798e-009,1.2227
8.7257e-009,1.2226
8.7717e-009,1.2227
8.8176e-009,1.2230
8.8635e-009,1.2234
8.9095e-009,1.2236
8.9554e-009,1.2237
9.0013e-009,1.2236
9.0472e-009,1.2233
9.0932e-009,1.2231
9.1391e-009,1.2230
9.1850e-009,1.2230
9.2309e-009,1.2232
9.2769e-009,1.2234
9.3228e-009,1.2236
9.3687e-009,1.2237
9.4146e-009,1.2237
9.4605e-009,1.2235
9.5065e-009,1.2234
9.5524e-009,1.2233
9.5983e-009,1.2233
9.6442e-009,1.2233
9.6902e-009,1.2235
9.7361e-009,1.2236
9.7820e-009,1.2237
9.8280e-009,1.2237
9.8739e-009,1.2237
9.9198e-009,1.2236
9.9657e-009,1.2235
1.00117e-008,1.2235
1.00576e-008,1.2235
1.01035e-008,1.2236
1.01494e-008,1.2237
1.01954e-008,1.2237
1.02413e-008,1.2238
1.02872e-008,1.2238
1.03331e-008,1.2237
1.03790e-008,1.2236
1.04250e-008,1.2236
1.04709e-008,1.2236
1.05168e-008,1.2237
1.05627e-008,1.2237
1.06087e-008,1.2238
1.06546e-008,1.2238
1.07005e-008,1.2238
1.07464e-008,1.2238
1.07924e-008,1.2238
1.08383e-008,1.2237
1.08842e-008,1.2237
1.09302e-008,1.2238
1.09761e-008,1.2238
1.10220e-008,1.2238
1.10679e-008,1.2239
1.11139e-008,1.2239
1.11598e-008,1.2239
1.12057e-008,1.2239
1.12516e-008,1.2239
1.12975e-008,1.2238
1.13435e-008,1.2239
1.13894e-008,1.2239
1.14353e-008,1.2239
1.14812e-008,1.2239
1.15272e-008,1.2240
1.15731e-008,1.2240
1.16190e-008,1.2240
1.16649e-008,1.2239
1.17109e-008,1.2239
1.17568e-008,1.2239
1.18027e-008,1.2239
1.18487e-008,1.2240
1.18946e-008,1.2240
1.19405e-008,1.2240
1.19864e-008,1.2240
1.20324e-008,1.2240
1.20783e-008,1.2233
1.21242e-008,1.2160
1.21701e-008,1.1868
1.22161e-008,1.1301
1.22620e-008,1.0555
1.23079e-008,0.9566
1.23538e-008,0.8242
1.23997e-008,0.6797
1.24457e-008,0.5495
1.24916e-008,0.4383
1.25375e-008,0.3517
1.25834e-008,0.2990
1.26294e-008,0.2771
1.26753e-008,0.2762
1.27212e-008,0.2877
1.27672e-008,0.3009
1.28131e-008,0.3068
1.28590e-008,0.3044
1.29049e-008,0.2957
1.29509e-008,0.2837
1.29968e-008,0.2724
1.30427e-008,0.2639
1.30886e-008,0.2582
1.31346e-008,0.2546
1.31805e-008,0.2518
1.32264e-008,0.2484
1.32723e-008,0.2436
1.33182e-008,0.2373
1.33642e-008,0.2308
1.34101e-008,0.2260
1.34560e-008,0.2244
1.35019e-008,0.2260
1.35479e-008,0.2298
1.35938e-008,0.2342
1.36397e-008,0.2381
1.36856e-008,0.2411
1.37316e-008,0.2433
1.37775e-008,0.2451
1.38234e-008,0.2468
1.38694e-008,0.2490
1.39153e-008,0.2518
1.39612e-008,0.2544
1.40071e-008,0.2560
1.40531e-008,0.2560
1.40990e-008,0.2543
1.41449e-008,0.2513
1.41908e-008,0.2480
1.42367e-008,0.2454
1.42827e-008,0.2443
1.43286e-008,0.2449
1.43745e-008,0.2467
1.44204e-008,0.2491
1.44664e-008,0.2512
1.45123e-008,0.2524
1.45582e-008,0.2526
1.46041e-008,0.2518
1.46501e-008,0.2506
1.46960e-008,0.2496
1.47419e-008,0.2490
1.47879e-008,0.2492
1.48338e-008,0.2500
1.48797e-008,0.2509
1.49256e-008,0.2515
1.49715e-008,0.2515
1.50175e-008,0.2509
1.50634e-008,0.2499
1.51093e-008,0.2490
1.51552e-008,0.2485
1.52012e-008,0.2484
1.52471e-008,0.2487
1.52930e-008,0.2492
1.53389e-008,0.2497
1.53849e-008,0.2499
1.54308e-008,0.2499
1.54767e-008,0.2495
1.55226e-008,0.2491
1.55686e-008,0.2488
1.56145e-008,0.2487
1.56604e-008,0.2489
1.57063e-008,0.2492
1.57523e-008,0.2495
1.57982e-008,0.2497
1.58441e-008,0.2509
1.58901e-008,0.2628
1.59360e-008,0.3033
1.59819e-008,0.3737
1.60278e-008,0.4650
1.60738e-008,0.5874
1.61197e-008,0.7381
1.61656e-008,0.8847
1.62115e-008,1.0097
1.62575e-008,1.1105
1.63034e-008,1.1741
1.63493e-008,1.1979
1.63952e-008,1.1979
1.64412e-008,1.1856
1.64871e-008,1.1692
1.65330e-008,1.1602
1.65789e-008,1.1623
1.66249e-008,1.1723
1.66708e-008,1.1874
1.67167e-008,1.2027
1.67626e-008,1.2131
1.68085e-008,1.2181
1.68545e-008,1.2201
1.69004e-008,1.2211
1.69463e-008,1.2235
1.69922e-008,1.2284
1.70382e-008,1.2346
1.70841e-008,1.2411
1.71300e-008,1.2462
1.71759e-008,1.2482
1.72219e-008,1.2465
1.72678e-008,1.2421
1.73137e-008,1.2364
1.73596e-008,1.2313
1.74056e-008,1.2282
1.74515e-008,1.2268
1.74974e-008,1.2262
1.75433e-008,1.2253
1.75893e-008,1.2233
1.76352e-008,1.2200
1.76811e-008,1.2167
1.77271e-008,1.2145
1.77730e-008,1.2144
1.78189e-008,1.2164
1.78648e-008,1.2201
1.79108e-008,1.2243
1.79567e-008,1.2276
1.80026e-008,1.2291
1.80485e-008,1.2285
1.80945e-008,1.2260
1.81404e-008,1.2228
1.81863e-008,1.2200
1.82322e-008,1.2186
1.82782e-008,1.2187
1.83241e-008,1.2200
1.83700e-008,1.2218
1.84159e-008,1.2234
1.84619e-008,1.2241
1.85078e-008,1.2238
1.85537e-008,1.2229
1.85996e-008,1.2217
1.86455e-008,1.2208
1.86915e-008,1.2207
1.87374e-008,1.2214
1.87833e-008,1.2227
1.88292e-008,1.2239
1.88752e-008,1.2246
1.89211e-008,1.2246
1.89670e-008,1.2240
1.90129e-008,1.2231
1.90589e-008,1.2224
1.91048e-008,1.2222
1.91507e-008,1.2224
1.91966e-008,1.2230
1.92426e-008,1.2235
1.92885e-008,1.2239
1.93344e-008,1.2240
1.93803e-008,1.2237
1.94263e-008,1.2232
1.94722e-008,1.2228
1.95181e-008,1.2226
1.95640e-008,1.2225
1.96100e-008,1.2190
1.96559e-008,1.1986
1.97018e-008,1.1498
1.97478e-008,1.0802
1.97937e-008,0.9903
1.98396e-008,0.8671
1.98855e-008,0.7224
1.99315e-008,0.5863
1.99774e-008,0.4693
2.00233e-008,0.3743
2.00692e-008,0.3113
2.01152e-008,0.2814
2.01611e-008,0.2750
2.02070e-008,0.2836
2.02529e-008,0.2972
2.02989e-008,0.3055
2.03448e-008,0.3052
2.03907e-008,0.2980
2.04366e-008,0.2867
2.04826e-008,0.2750
2.05285e-008,0.2659
2.05744e-008,0.2597
2.06203e-008,0.2555
2.06662e-008,0.2526
2.07122e-008,0.2493
2.07581e-008,0.2448
2.08040e-008,0.2389
2.08499e-008,0.2322
2.08959e-008,0.2267
2.09418e-008,0.2243
2.09877e-008,0.2251
2.10336e-008,0.2285
2.10796e-008,0.2328
2.11255e-008,0.2369
2.11714e-008,0.2400
2.12173e-008,0.2424
2.12633e-008,0.2442
2.13092e-008,0.2459
2.13551e-008,0.2480
2.14010e-008,0.2508
2.14470e-008,0.2539
2.14929e-008,0.2608
2.15388e-008,0.2860
2.15847e-008,0.3417
2.16307e-008,0.4201
2.16766e-008,0.5229
2.17225e-008,0.6602
2.17685e-008,0.8115
2.18144e-008,0.9480
2.18603e-008,1.0640
2.19062e-008,1.1504
2.19522e-008,1.1946
2.19981e-008,1.2052
2.20440e-008,1.1978
2.20899e-008,1.1807
2.21359e-008,1.1652
2.21818e-008,1.1606
2.22277e-008,1.1663
2.22736e-008,1.1794
2.23196e-008,1.1963
2.23655e-008,1.2107
2.24114e-008,1.2192
2.24573e-008,1.2227
2.25033e-008,1.2232
2.25492e-008,1.2236
2.25951e-008,1.2262
2.26410e-008,1.2313
2.26869e-008,1.2376
2.27329e-008,1.2440
2.27788e-008,1.2482
2.28247e-008,1.2489
2.28706e-008,1.2460
2.29166e-008,1.2407
2.29625e-008,1.2347
2.30084e-008,1.2300
2.30543e-008,1.2275
2.31003e-008,1.2265
2.31462e-008,1.2262
2.31921e-008,1.2252
2.32380e-008,1.2228
2.32840e-008,1.2195
2.33299e-008,1.2165
2.33758e-008,1.2150
2.34217e-008,1.2156
2.34677e-008,1.2183
2.35136e-008,1.2223
2.35595e-008,1.2262
2.36055e-008,1.2290
2.36514e-008,1.2297
2.36973e-008,1.2283
2.37432e-008,1.2254
2.37892e-008,1.2221
2.38351e-008,1.2197
2.38810e-008,1.2187
2.39269e-008,1.2194
2.39729e-008,1.2210
2.40188e-008,1.2229
2.40647e-008,1.2243
2.41106e-008,1.2247
2.41566e-008,1.2241
2.42025e-008,1.2229
2.42484e-008,1.2217
2.42943e-008,1.2210
2.43403e-008,1.2212
2.43862e-008,1.2222
2.44321e-008,1.2235
2.44780e-008,1.2247
2.45239e-008,1.2252
2.45699e-008,1.2249
2.46158e-008,1.2241
2.46617e-008,1.2232
2.47076e-008,1.2226
2.47536e-008,1.2225
2.47995e-008,1.2229
2.48454e-008,1.2235
2.48913e-008,1.2240
2.49373e-008,1.2243
2.49832e-008,1.2243
2.50291e-008,1.2239
2.50750e-008,1.2234
2.51210e-008,1.2230
2.51669e-008,1.2229
2.52128e-008,1.2219
2.52587e-008,1.2118
2.53047e-008,1.1770
2.53506e-008,1.1160
2.53965e-008,1.0374
2.54424e-008,0.9311
2.54884e-008,0.7930
2.55343e-008,0.6497
2.55802e-008,0.5234
2.56262e-008,0.4168
2.56721e-008,0.3373
2.57180e-008,0.2924
2.57639e-008,0.2760
2.58099e-008,0.2785
2.58558e-008,0.2912
2.59017e-008,0.3029
2.59476e-008,0.3067
2.59936e-008,0.3025
2.60395e-008,0.2927
2.60854e-008,0.2806
2.61313e-008,0.2701
2.61773e-008,0.2626
2.62232e-008,0.2576
2.62691e-008,0.2542
2.63150e-008,0.2513
2.63610e-008,0.2475
2.64069e-008,0.2422
2.64528e-008,0.2357
2.64987e-008,0.2293
2.65446e-008,0.2252
2.65906e-008,0.2245
2.66365e-008,0.2268
2.66824e-008,0.2309
2.67283e-008,0.2353
2.67743e-008,0.2388
2.68202e-008,0.2415
2.68661e-008,0.2436
2.69120e-008,0.2453
2.69580e-008,0.2471
2.70039e-008,0.2496
2.70498e-008,0.2525
2.70957e-008,0.2550
2.71417e-008,0.2563
2.71876e-008,0.2559
2.72335e-008,0.2537
2.72794e-008,0.2505
2.73254e-008,0.2473
2.73713e-008,0.2450
2.74172e-008,0.2443
2.74631e-008,0.2453
2.75091e-008,0.2473
2.75550e-008,0.2497
2.76009e-008,0.2517
2.76469e-008,0.2526
2.76928e-008,0.2525
2.77387e-008,0.2516
