.HEADER
..NAMES
Time,V U3.T3
.DATA
0.0e+000,1.2257
4.59e-011,1.2257
9.18e-011,1.2257
1.378e-010,1.2257
1.837e-010,1.2257
2.296e-010,1.2257
2.755e-010,1.2257
3.215e-010,1.2257
3.674e-010,1.2257
4.133e-010,1.2257
4.592e-010,1.2257
5.052e-010,1.2257
5.511e-010,1.2257
5.970e-010,1.2257
6.430e-010,1.2257
6.889e-010,1.2257
7.348e-010,1.2257
7.807e-010,1.2257
8.266e-010,1.2247
8.726e-010,1.2141
9.185e-010,1.1749
9.644e-010,1.1078
1.0104e-009,1.0254
1.0563e-009,0.9135
1.1022e-009,0.7699
1.1481e-009,0.6266
1.1940e-009,0.5025
1.2400e-009,0.3957
1.2859e-009,0.3195
1.3318e-009,0.2826
1.3778e-009,0.2745
1.4237e-009,0.2853
1.4696e-009,0.3064
1.5155e-009,0.3241
1.5614e-009,0.3296
1.6074e-009,0.3229
1.6533e-009,0.3062
1.6992e-009,0.2844
1.7452e-009,0.2639
1.7911e-009,0.2484
1.8370e-009,0.2386
1.8829e-009,0.2337
1.9288e-009,0.2314
1.9748e-009,0.2295
2.0207e-009,0.2267
2.0666e-009,0.2233
2.1125e-009,0.2207
2.1585e-009,0.2200
2.2044e-009,0.2219
2.2503e-009,0.2267
2.2963e-009,0.2330
2.3422e-009,0.2394
2.3881e-009,0.2451
2.4340e-009,0.2497
2.4800e-009,0.2527
2.5259e-009,0.2542
2.5718e-009,0.2550
2.6177e-009,0.2556
2.6636e-009,0.2560
2.7096e-009,0.2570
2.7555e-009,0.2688
2.8014e-009,0.3137
2.8473e-009,0.3898
2.8933e-009,0.4857
2.9392e-009,0.6164
2.9851e-009,0.7735
3.0311e-009,0.9195
3.0770e-009,1.0437
3.1229e-009,1.1458
3.1688e-009,1.2042
3.2148e-009,1.2185
3.2607e-009,1.2085
3.3066e-009,1.1835
3.3525e-009,1.1545
3.3984e-009,1.1388
3.4444e-009,1.1411
3.4903e-009,1.1577
3.5362e-009,1.1847
3.5821e-009,1.2133
3.6281e-009,1.2346
3.6740e-009,1.2460
3.7199e-009,1.2493
3.7658e-009,1.2479
3.8118e-009,1.2463
3.8577e-009,1.2471
3.9036e-009,1.2503
3.9496e-009,1.2540
3.9955e-009,1.2559
4.0414e-009,1.2548
4.0873e-009,1.2505
4.1333e-009,1.2436
4.1792e-009,1.2360
4.2251e-009,1.2296
4.2710e-009,1.2247
4.3169e-009,1.2215
4.3629e-009,1.2202
4.4088e-009,1.2201
4.4547e-009,1.2202
4.5007e-009,1.2201
4.5466e-009,1.2201
4.5925e-009,1.2205
4.6384e-009,1.2216
4.6843e-009,1.2240
4.7303e-009,1.2273
4.7762e-009,1.2305
4.8221e-009,1.2322
