.HEADER
..NAMES
Time,V U2.T7
.DATA
0.0e+000,0.2473
4.59e-011,0.2473
9.18e-011,0.2473
1.378e-010,0.2473
1.837e-010,0.2473
2.296e-010,0.2473
2.755e-010,0.2473
3.215e-010,0.2473
3.674e-010,0.2473
4.133e-010,0.2473
4.592e-010,0.2473
5.052e-010,0.2473
5.511e-010,0.2473
5.970e-010,0.2473
6.430e-010,0.2473
6.889e-010,0.2476
7.348e-010,0.2537
7.807e-010,0.2892
8.266e-010,0.3748
8.726e-010,0.4943
9.185e-010,0.6407
9.644e-010,0.8084
1.0104e-009,0.9583
1.0563e-009,1.0578
1.1022e-009,1.1100
1.1481e-009,1.1243
1.1940e-009,1.1115
1.2400e-009,1.0944
1.2859e-009,1.0929
1.3318e-009,1.1108
1.3778e-009,1.1407
1.4237e-009,1.1738
1.4696e-009,1.2024
1.5155e-009,1.2210
1.5614e-009,1.2279
1.6074e-009,1.2265
1.6533e-009,1.2220
1.6992e-009,1.2194
1.7452e-009,1.2224
1.7911e-009,1.2311
1.8370e-009,1.2421
1.8829e-009,1.2509
1.9288e-009,1.2537
1.9748e-009,1.2490
2.0207e-009,1.2397
2.0666e-009,1.2308
2.1125e-009,1.2261
2.1585e-009,1.2270
2.2044e-009,1.2315
2.2503e-009,1.2355
2.2963e-009,1.2358
2.3422e-009,1.2314
2.3881e-009,1.2239
2.4340e-009,1.2166
2.4800e-009,1.2129
2.5259e-009,1.2144
2.5718e-009,1.2189
2.6177e-009,1.2153
2.6636e-009,1.1767
2.7096e-009,1.0922
2.7555e-009,0.9791
2.8014e-009,0.8397
2.8473e-009,0.6808
2.8933e-009,0.5367
2.9392e-009,0.4356
2.9851e-009,0.3769
3.0311e-009,0.3530
3.0770e-009,0.3556
3.1229e-009,0.3671
3.1688e-009,0.3691
3.2148e-009,0.3556
3.2607e-009,0.3311
3.3066e-009,0.3019
3.3525e-009,0.2746
3.3984e-009,0.2559
3.4444e-009,0.2487
3.4903e-009,0.2500
3.5362e-009,0.2541
3.5821e-009,0.2551
3.6281e-009,0.2502
3.6740e-009,0.2406
3.7199e-009,0.2299
3.7658e-009,0.2219
3.8118e-009,0.2194
3.8577e-009,0.2228
3.9036e-009,0.2298
3.9496e-009,0.2368
3.9955e-009,0.2410
4.0414e-009,0.2412
4.0873e-009,0.2386
4.1333e-009,0.2359
4.1792e-009,0.2357
4.2251e-009,0.2390
4.2710e-009,0.2451
4.3169e-009,0.2516
4.3629e-009,0.2559
4.4088e-009,0.2562
4.4547e-009,0.2528
4.5007e-009,0.2473
4.5466e-009,0.2421
4.5925e-009,0.2390
4.6384e-009,0.2392
4.6843e-009,0.2422
4.7303e-009,0.2467
4.7762e-009,0.2509
4.8221e-009,0.2533
4.8680e-009,0.2532
4.9140e-009,0.2509
4.9599e-009,0.2477
5.0058e-009,0.2453
5.0518e-009,0.2446
5.0977e-009,0.2458
5.1436e-009,0.2480
5.1895e-009,0.2502
5.2354e-009,0.2512
5.2814e-009,0.2508
5.3273e-009,0.2492
5.3732e-009,0.2473
5.4192e-009,0.2459
5.4651e-009,0.2456
5.5110e-009,0.2464
5.5569e-009,0.2478
5.6029e-009,0.2490
5.6488e-009,0.2495
5.6947e-009,0.2492
5.7406e-009,0.2483
5.7865e-009,0.2472
5.8325e-009,0.2465
5.8784e-009,0.2464
5.9243e-009,0.2470
5.9703e-009,0.2478
6.0162e-009,0.2486
6.0621e-009,0.2490
6.1080e-009,0.2488
6.1539e-009,0.2481
6.1999e-009,0.2473
6.2458e-009,0.2466
6.2917e-009,0.2465
6.3376e-009,0.2486
6.3836e-009,0.2664
6.4295e-009,0.3283
6.4754e-009,0.4342
6.5214e-009,0.5665
6.5673e-009,0.7264
6.6132e-009,0.8904
6.6591e-009,1.0156
6.7050e-009,1.0893
6.7510e-009,1.1216
6.7969e-009,1.1203
6.8428e-009,1.1024
6.8888e-009,1.0919
6.9347e-009,1.1007
6.9806e-009,1.1256
7.0265e-009,1.1578
7.0725e-009,1.1893
7.1184e-009,1.2133
7.1643e-009,1.2259
7.2102e-009,1.2281
7.2561e-009,1.2247
7.3021e-009,1.2207
7.3480e-009,1.2207
