.HEADER
..NAMES
Time,V U2.P3
.DATA
0.0e+000,1.2266
4.59e-011,1.2266
9.18e-011,1.2266
1.378e-010,1.2266
1.837e-010,1.2266
2.296e-010,1.2266
2.755e-010,1.2266
3.215e-010,1.2266
3.674e-010,1.2266
4.133e-010,1.2266
4.592e-010,1.2266
5.052e-010,1.2266
5.511e-010,1.2266
5.970e-010,1.2266
6.430e-010,1.2266
6.889e-010,1.2266
7.348e-010,1.2265
7.807e-010,1.2179
8.266e-010,1.1610
8.726e-010,1.0592
9.185e-010,0.9507
9.644e-010,0.8004
1.0104e-009,0.6364
1.0563e-009,0.4907
1.1022e-009,0.3859
1.1481e-009,0.3263
1.1940e-009,0.3022
1.2400e-009,0.2976
1.2859e-009,0.3035
1.3318e-009,0.3062
1.3778e-009,0.2937
1.4237e-009,0.2703
1.4696e-009,0.2436
1.5155e-009,0.2241
1.5614e-009,0.2160
1.6074e-009,0.2190
1.6533e-009,0.2352
1.6992e-009,0.2563
1.7452e-009,0.2723
1.7911e-009,0.2771
1.8370e-009,0.2707
1.8829e-009,0.2590
1.9288e-009,0.2420
1.9748e-009,0.2290
2.0207e-009,0.2248
2.0666e-009,0.2305
2.1125e-009,0.2424
2.1585e-009,0.2538
2.2044e-009,0.2617
2.2503e-009,0.2634
2.2963e-009,0.2589
2.3422e-009,0.2520
2.3881e-009,0.2484
2.4340e-009,0.2489
2.4800e-009,0.2540
2.5259e-009,0.2609
2.5718e-009,0.2662
2.6177e-009,0.2682
2.6636e-009,0.2651
2.7096e-009,0.2577
2.7555e-009,0.2498
2.8014e-009,0.2441
2.8473e-009,0.2426
2.8933e-009,0.2448
2.9392e-009,0.2502
2.9851e-009,0.2567
3.0311e-009,0.2617
3.0770e-009,0.2630
3.1229e-009,0.2602
3.1688e-009,0.2548
3.2148e-009,0.2488
3.2607e-009,0.2447
3.3066e-009,0.2443
3.3525e-009,0.2477
3.3984e-009,0.2530
3.4444e-009,0.2578
3.4903e-009,0.2602
3.5362e-009,0.2593
3.5821e-009,0.2558
3.6281e-009,0.2510
3.6740e-009,0.2471
3.7199e-009,0.2458
3.7658e-009,0.2471
3.8118e-009,0.2503
3.8577e-009,0.2538
3.9036e-009,0.2561
3.9496e-009,0.2565
3.9955e-009,0.2551
4.0414e-009,0.2525
4.0873e-009,0.2500
4.1333e-009,0.2484
4.1792e-009,0.2483
4.2251e-009,0.2497
4.2710e-009,0.2518
4.3169e-009,0.2538
4.3629e-009,0.2548
4.4088e-009,0.2543
4.4547e-009,0.2527
4.5007e-009,0.2510
4.5466e-009,0.2653
4.5925e-009,0.3460
4.6384e-009,0.4636
4.6843e-009,0.6002
4.7303e-009,0.7852
4.7762e-009,0.9537
4.8221e-009,1.0801
4.8680e-009,1.1576
4.9140e-009,1.1826
4.9599e-009,1.1750
5.0058e-009,1.1611
5.0518e-009,1.1514
5.0977e-009,1.1620
5.1436e-009,1.1926
5.1895e-009,1.2270
5.2354e-009,1.2556
5.2814e-009,1.2681
5.3273e-009,1.2653
5.3732e-009,1.2504
5.4192e-009,1.2256
5.4651e-009,1.2036
5.5110e-009,1.1925
5.5569e-009,1.1962
5.6029e-009,1.2110
5.6488e-009,1.2305
5.6947e-009,1.2507
5.7406e-009,1.2587
5.7865e-009,1.2536
5.8325e-009,1.2381
5.8784e-009,1.2203
5.9243e-009,1.2085
5.9703e-009,1.2059
6.0162e-009,1.2124
6.0621e-009,1.2242
6.1080e-009,1.2327
6.1539e-009,1.2331
6.1999e-009,1.2271
6.2458e-009,1.2167
6.2917e-009,1.2080
6.3376e-009,1.2052
6.3836e-009,1.2084
6.4295e-009,1.2176
6.4754e-009,1.2283
6.5214e-009,1.2359
6.5673e-009,1.2385
6.6132e-009,1.2354
6.6591e-009,1.2287
6.7050e-009,1.2203
6.7510e-009,1.2135
6.7969e-009,1.2110
6.8428e-009,1.2137
6.8888e-009,1.2203
6.9347e-009,1.2284
6.9806e-009,1.2347
7.0265e-009,1.2365
7.0725e-009,1.2327
7.1184e-009,1.2252
7.1643e-009,1.2177
7.2102e-009,1.2135
7.2561e-009,1.2143
7.3021e-009,1.2195
7.3480e-009,1.2263
7.3939e-009,1.2320
7.4399e-009,1.2339
7.4858e-009,1.2317
7.5317e-009,1.2270
7.5776e-009,1.2220
7.6235e-009,1.2188
7.6695e-009,1.2184
7.7154e-009,1.2206
7.7613e-009,1.2242
7.8072e-009,1.2276
7.8532e-009,1.2296
7.8991e-009,1.2296
7.9450e-009,1.2278
7.9910e-009,1.2250
8.0369e-009,1.2222
8.0828e-009,1.2207
8.1287e-009,1.2211
8.1747e-009,1.2232
8.2206e-009,1.2262
8.2665e-009,1.2287
8.3124e-009,1.2296
8.3583e-009,1.2285
8.4043e-009,1.2259
8.4502e-009,1.2231
8.4961e-009,1.2215
8.5420e-009,1.2216
8.5880e-009,1.2234
8.6339e-009,1.2259
8.6798e-009,1.2280
8.7257e-009,1.2287
8.7717e-009,1.2279
8.8176e-009,1.2261
8.8635e-009,1.2243
8.9095e-009,1.2231
8.9554e-009,1.2230
9.0013e-009,1.2238
9.0472e-009,1.2252
9.0932e-009,1.2266
9.1391e-009,1.2275
9.1850e-009,1.2276
9.2309e-009,1.2269
9.2769e-009,1.2257
9.3228e-009,1.2244
9.3687e-009,1.2237
9.4146e-009,1.2238
9.4605e-009,1.2246
9.5065e-009,1.2259
9.5524e-009,1.2270
9.5983e-009,1.2275
9.6442e-009,1.2271
9.6902e-009,1.2261
9.7361e-009,1.2250
9.7820e-009,1.2242
9.8280e-009,1.2242
9.8739e-009,1.2248
9.9198e-009,1.2258
9.9657e-009,1.2266
1.00117e-008,1.2270
1.00576e-008,1.2268
1.01035e-008,1.2261
1.01494e-008,1.2197
1.01954e-008,1.1714
1.02413e-008,1.0723
1.02872e-008,0.9669
1.03331e-008,0.8233
1.03790e-008,0.6590
1.04250e-008,0.5097
1.04709e-008,0.3982
1.05168e-008,0.3322
1.05627e-008,0.3034
1.06087e-008,0.2962
1.06546e-008,0.3008
1.07005e-008,0.3051
1.07464e-008,0.2951
1.07924e-008,0.2733
1.08383e-008,0.2470
1.08842e-008,0.2262
1.09302e-008,0.2164
1.09761e-008,0.2173
1.10220e-008,0.2313
1.10679e-008,0.2521
1.11139e-008,0.2692
1.11598e-008,0.2760
1.12057e-008,0.2712
1.12516e-008,0.2607
1.12975e-008,0.2443
1.13435e-008,0.2301
1.13894e-008,0.2244
1.14353e-008,0.2284
1.14812e-008,0.2397
1.15272e-008,0.2513
1.15731e-008,0.2599
1.16190e-008,0.2628
1.16649e-008,0.2593
1.17109e-008,0.2525
1.17568e-008,0.2484
1.18027e-008,0.2482
1.18487e-008,0.2525
1.18946e-008,0.2592
1.19405e-008,0.2647
1.19864e-008,0.2673
1.20324e-008,0.2650
1.20783e-008,0.2583
1.21242e-008,0.2505
1.21701e-008,0.2443
1.22161e-008,0.2422
1.22620e-008,0.2437
1.23079e-008,0.2486
1.23538e-008,0.2551
1.23997e-008,0.2603
1.24457e-008,0.2623
1.24916e-008,0.2602
1.25375e-008,0.2552
1.25834e-008,0.2492
1.26294e-008,0.2447
1.26753e-008,0.2437
1.27212e-008,0.2465
1.27672e-008,0.2515
1.28131e-008,0.2565
1.28590e-008,0.2594
1.29049e-008,0.2590
1.29509e-008,0.2559
1.29968e-008,0.2513
1.30427e-008,0.2472
1.30886e-008,0.2454
1.31346e-008,0.2463
1.31805e-008,0.2492
1.32264e-008,0.2527
1.32723e-008,0.2552
1.33182e-008,0.2560
1.33642e-008,0.2548
1.34101e-008,0.2524
1.34560e-008,0.2499
1.35019e-008,0.2482
1.35479e-008,0.2478
1.35938e-008,0.2489
1.36397e-008,0.2509
1.36856e-008,0.2530
1.37316e-008,0.2542
1.37775e-008,0.2540
1.38234e-008,0.2525
1.38694e-008,0.2505
1.39153e-008,0.2487
1.39612e-008,0.2480
1.40071e-008,0.2486
1.40531e-008,0.2502
1.40990e-008,0.2520
1.41449e-008,0.2532
1.41908e-008,0.2533
1.42367e-008,0.2523
1.42827e-008,0.2507
1.43286e-008,0.2493
1.43745e-008,0.2485
1.44204e-008,0.2488
1.44664e-008,0.2498
1.45123e-008,0.2510
1.45582e-008,0.2520
1.46041e-008,0.2523
1.46501e-008,0.2520
1.46960e-008,0.2510
1.47419e-008,0.2500
1.47879e-008,0.2492
1.48338e-008,0.2489
1.48797e-008,0.2493
1.49256e-008,0.2501
1.49715e-008,0.2510
1.50175e-008,0.2516
1.50634e-008,0.2517
1.51093e-008,0.2512
1.51552e-008,0.2503
1.52012e-008,0.2495
1.52471e-008,0.2491
1.52930e-008,0.2492
1.53389e-008,0.2498
1.53849e-008,0.2505
1.54308e-008,0.2510
1.54767e-008,0.2512
1.55226e-008,0.2509
1.55686e-008,0.2503
1.56145e-008,0.2497
1.56604e-008,0.2494
1.57063e-008,0.2493
1.57523e-008,0.2501
1.57982e-008,0.2679
1.58441e-008,0.3518
1.58901e-008,0.4686
1.59360e-008,0.6053
1.59819e-008,0.7892
1.60278e-008,0.9553
1.60738e-008,1.0802
1.61197e-008,1.1572
1.61656e-008,1.1822
1.62115e-008,1.1756
1.62575e-008,1.1621
1.63034e-008,1.1523
1.63493e-008,1.1625
1.63952e-008,1.1922
1.64412e-008,1.2254
1.64871e-008,1.2533
1.65330e-008,1.2658
1.65789e-008,1.2636
1.66249e-008,1.2495
1.66708e-008,1.2254
1.67167e-008,1.2038
1.67626e-008,1.1926
1.68085e-008,1.1958
1.68545e-008,1.2097
1.69004e-008,1.2288
1.69463e-008,1.2489
1.69922e-008,1.2570
1.70382e-008,1.2526
1.70841e-008,1.2378
1.71300e-008,1.2204
1.71759e-008,1.2086
1.72219e-008,1.2055
1.72678e-008,1.2114
1.73137e-008,1.2227
1.73596e-008,1.2308
1.74056e-008,1.2315
1.74515e-008,1.2259
1.74974e-008,1.2161
1.75433e-008,1.2079
1.75893e-008,1.2053
1.76352e-008,1.2067
1.76811e-008,1.1885
1.77271e-008,1.1134
1.77730e-008,1.0178
1.78189e-008,0.8905
