.HEADER
..NAMES
Time,V U3.N2
.DATA
0.0e+000,1.2274
4.59e-011,1.2274
9.18e-011,1.2274
1.378e-010,1.2274
1.837e-010,1.2274
2.296e-010,1.2274
2.755e-010,1.2274
3.215e-010,1.2274
3.674e-010,1.2274
4.133e-010,1.2274
4.592e-010,1.2274
5.052e-010,1.2274
5.511e-010,1.2274
5.970e-010,1.2274
6.430e-010,1.2274
6.889e-010,1.2274
7.348e-010,1.2274
7.807e-010,1.2274
8.266e-010,1.2273
8.726e-010,1.2210
9.185e-010,1.1827
9.644e-010,1.1144
1.0104e-009,1.0325
1.0563e-009,0.9117
1.1022e-009,0.7631
1.1481e-009,0.6166
1.1940e-009,0.4872
1.2400e-009,0.3775
1.2859e-009,0.3026
1.3318e-009,0.2672
1.3778e-009,0.2619
1.4237e-009,0.2735
1.4696e-009,0.2882
1.5155e-009,0.2957
1.5614e-009,0.2956
1.6074e-009,0.2858
1.6533e-009,0.2703
1.6992e-009,0.2564
1.7452e-009,0.2465
1.7911e-009,0.2438
1.8370e-009,0.2460
1.8829e-009,0.2488
1.9288e-009,0.2498
1.9748e-009,0.2477
2.0207e-009,0.2410
2.0666e-009,0.2327
2.1125e-009,0.2262
2.1585e-009,0.2238
2.2044e-009,0.2253
2.2503e-009,0.2305
2.2963e-009,0.2372
2.3422e-009,0.2434
2.3881e-009,0.2489
2.4340e-009,0.2526
2.4800e-009,0.2542
2.5259e-009,0.2553
2.5718e-009,0.2573
2.6177e-009,0.2601
2.6636e-009,0.2623
2.7096e-009,0.2636
2.7555e-009,0.2701
2.8014e-009,0.3121
2.8473e-009,0.3857
2.8933e-009,0.4790
2.9392e-009,0.6201
2.9851e-009,0.7834
3.0311e-009,0.9331
3.0770e-009,1.0636
3.1229e-009,1.1651
3.1688e-009,1.2196
3.2148e-009,1.2323
3.2607e-009,1.2189
3.3066e-009,1.1930
3.3525e-009,1.1726
3.3984e-009,1.1686
3.4444e-009,1.1783
3.4903e-009,1.1999
3.5362e-009,1.2230
3.5821e-009,1.2374
3.6281e-009,1.2425
3.6740e-009,1.2381
3.7199e-009,1.2298
3.7658e-009,1.2247
3.8118e-009,1.2241
3.8577e-009,1.2288
3.9036e-009,1.2389
3.9496e-009,1.2492
3.9955e-009,1.2554
4.0414e-009,1.2557
4.0873e-009,1.2506
4.1333e-009,1.2411
4.1792e-009,1.2318
4.2251e-009,1.2254
4.2710e-009,1.2219
4.3169e-009,1.2213
4.3629e-009,1.2225
4.4088e-009,1.2225
4.4547e-009,1.2203
4.5007e-009,1.2169
4.5466e-009,1.2143
4.5925e-009,1.2134
4.6384e-009,1.2156
4.6843e-009,1.2209
4.7303e-009,1.2272
4.7762e-009,1.2323
4.8221e-009,1.2341
4.8680e-009,1.2320
4.9140e-009,1.2274
4.9599e-009,1.2222
5.0058e-009,1.2183
5.0518e-009,1.2172
5.0977e-009,1.2188
5.1436e-009,1.2224
5.1895e-009,1.2263
5.2354e-009,1.2289
5.2814e-009,1.2294
5.3273e-009,1.2278
5.3732e-009,1.2248
5.4192e-009,1.2218
5.4651e-009,1.2203
5.5110e-009,1.2209
5.5569e-009,1.2233
5.6029e-009,1.2265
5.6488e-009,1.2290
5.6947e-009,1.2298
5.7406e-009,1.2288
5.7865e-009,1.2267
5.8325e-009,1.2245
5.8784e-009,1.2231
5.9243e-009,1.2231
5.9703e-009,1.2242
6.0162e-009,1.2258
6.0621e-009,1.2271
6.1080e-009,1.2277
6.1539e-009,1.2273
6.1999e-009,1.2263
6.2458e-009,1.2251
6.2917e-009,1.2243
6.3376e-009,1.2243
6.3836e-009,1.2251
6.4295e-009,1.2262
6.4754e-009,1.2259
6.5214e-009,1.2070
6.5673e-009,1.1489
6.6132e-009,1.0750
6.6591e-009,0.9741
6.7050e-009,0.8350
6.7510e-009,0.6839
6.7969e-009,0.5469
6.8428e-009,0.4271
6.8888e-009,0.3344
6.9347e-009,0.2804
6.9806e-009,0.2618
7.0265e-009,0.2658
7.0725e-009,0.2798
7.1184e-009,0.2907
7.1643e-009,0.2943
7.2102e-009,0.2899
7.2561e-009,0.2768
7.3021e-009,0.2624
7.3480e-009,0.2504
