.HEADER
..NAMES
Time,V U3.P8
.DATA
0.0e+000,1.2264
4.59e-011,1.2264
9.18e-011,1.2264
1.378e-010,1.2264
1.837e-010,1.2264
2.296e-010,1.2264
2.755e-010,1.2264
3.215e-010,1.2264
3.674e-010,1.2264
4.133e-010,1.2264
4.592e-010,1.2264
5.052e-010,1.2264
5.511e-010,1.2264
5.970e-010,1.2264
6.430e-010,1.2264
6.889e-010,1.2264
7.348e-010,1.2264
7.807e-010,1.2263
8.266e-010,1.2256
8.726e-010,1.2183
9.185e-010,1.1891
9.644e-010,1.1323
1.0104e-009,1.0573
1.0563e-009,0.9581
1.1022e-009,0.8260
1.1481e-009,0.6819
1.1940e-009,0.5514
1.2400e-009,0.4401
1.2859e-009,0.3545
1.3318e-009,0.3029
1.3778e-009,0.2810
1.4237e-009,0.2800
1.4696e-009,0.2919
1.5155e-009,0.3049
1.5614e-009,0.3105
1.6074e-009,0.3081
1.6533e-009,0.2992
1.6992e-009,0.2867
1.7452e-009,0.2753
1.7911e-009,0.2669
1.8370e-009,0.2610
1.8829e-009,0.2569
1.9288e-009,0.2536
1.9748e-009,0.2499
2.0207e-009,0.2451
2.0666e-009,0.2390
2.1125e-009,0.2329
2.1585e-009,0.2286
2.2044e-009,0.2274
2.2503e-009,0.2292
2.2963e-009,0.2331
2.3422e-009,0.2374
2.3881e-009,0.2410
2.4340e-009,0.2437
2.4800e-009,0.2458
2.5259e-009,0.2476
2.5718e-009,0.2496
2.6177e-009,0.2521
2.6636e-009,0.2549
2.7096e-009,0.2574
2.7555e-009,0.2588
2.8014e-009,0.2585
2.8473e-009,0.2565
2.8933e-009,0.2533
2.9392e-009,0.2501
2.9851e-009,0.2477
3.0311e-009,0.2468
3.0770e-009,0.2477
3.1229e-009,0.2497
3.1688e-009,0.2521
3.2148e-009,0.2541
3.2607e-009,0.2551
3.3066e-009,0.2550
3.3525e-009,0.2542
3.3984e-009,0.2530
3.4444e-009,0.2520
3.4903e-009,0.2517
3.5362e-009,0.2520
3.5821e-009,0.2527
3.6281e-009,0.2535
3.6740e-009,0.2540
3.7199e-009,0.2538
3.7658e-009,0.2532
3.8118e-009,0.2522
3.8577e-009,0.2514
3.9036e-009,0.2510
3.9496e-009,0.2510
3.9955e-009,0.2514
4.0414e-009,0.2519
4.0873e-009,0.2522
4.1333e-009,0.2524
4.1792e-009,0.2522
4.2251e-009,0.2518
4.2710e-009,0.2514
4.3169e-009,0.2512
4.3629e-009,0.2512
4.4088e-009,0.2514
4.4547e-009,0.2518
4.5007e-009,0.2520
4.5466e-009,0.2520
4.5925e-009,0.2518
4.6384e-009,0.2515
4.6843e-009,0.2511
4.7303e-009,0.2509
4.7762e-009,0.2508
4.8221e-009,0.2509
4.8680e-009,0.2511
4.9140e-009,0.2513
4.9599e-009,0.2515
5.0058e-009,0.2515
5.0518e-009,0.2513
5.0977e-009,0.2511
5.1436e-009,0.2509
5.1895e-009,0.2507
5.2354e-009,0.2507
5.2814e-009,0.2509
5.3273e-009,0.2510
5.3732e-009,0.2511
5.4192e-009,0.2511
5.4651e-009,0.2511
5.5110e-009,0.2509
5.5569e-009,0.2508
5.6029e-009,0.2507
5.6488e-009,0.2506
5.6947e-009,0.2506
5.7406e-009,0.2507
5.7865e-009,0.2508
5.8325e-009,0.2508
5.8784e-009,0.2508
5.9243e-009,0.2507
5.9703e-009,0.2506
6.0162e-009,0.2506
6.0621e-009,0.2505
6.1080e-009,0.2505
6.1539e-009,0.2505
6.1999e-009,0.2506
6.2458e-009,0.2506
6.2917e-009,0.2506
6.3376e-009,0.2506
6.3836e-009,0.2505
6.4295e-009,0.2505
6.4754e-009,0.2527
6.5214e-009,0.2683
6.5673e-009,0.3144
6.6132e-009,0.3885
6.6591e-009,0.4842
6.7050e-009,0.6122
6.7510e-009,0.7637
6.7969e-009,0.9065
6.8428e-009,1.0281
6.8888e-009,1.1238
6.9347e-009,1.1798
6.9806e-009,1.1987
7.0265e-009,1.1967
7.0725e-009,1.1829
7.1184e-009,1.1671
7.1643e-009,1.1605
7.2102e-009,1.1640
7.2561e-009,1.1747
7.3021e-009,1.1904
7.3480e-009,1.2055
7.3939e-009,1.2151
7.4399e-009,1.2199
7.4858e-009,1.2220
7.5317e-009,1.2236
7.5776e-009,1.2267
7.6235e-009,1.2319
7.6695e-009,1.2380
7.7154e-009,1.2438
7.7613e-009,1.2477
7.8072e-009,1.2485
7.8532e-009,1.2462
7.8991e-009,1.2417
7.9450e-009,1.2362
7.9910e-009,1.2317
8.0369e-009,1.2291
8.0828e-009,1.2279
8.1287e-009,1.2272
8.1747e-009,1.2260
8.2206e-009,1.2234
8.2665e-009,1.2200
8.3124e-009,1.2166
8.3583e-009,1.2112
8.4043e-009,1.1915
8.4502e-009,1.1458
8.4961e-009,1.0797
8.5420e-009,0.9930
8.5880e-009,0.8725
8.6339e-009,0.7286
8.6798e-009,0.5902
8.7257e-009,0.4691
8.7717e-009,0.3708
8.8176e-009,0.3065
8.8635e-009,0.2766
8.9095e-009,0.2716
8.9554e-009,0.2831
9.0013e-009,0.2993
9.0472e-009,0.3089
9.0932e-009,0.3091
9.1391e-009,0.3011
9.1850e-009,0.2877
9.2309e-009,0.2740
9.2769e-009,0.2638
9.3228e-009,0.2575
9.3687e-009,0.2540
9.4146e-009,0.2521
9.4605e-009,0.2499
9.5065e-009,0.2460
9.5524e-009,0.2401
9.5983e-009,0.2331
9.6442e-009,0.2273
9.6902e-009,0.2246
9.7361e-009,0.2254
9.7820e-009,0.2292
9.8280e-009,0.2341
9.8739e-009,0.2386
9.9198e-009,0.2419
9.9657e-009,0.2440
1.00117e-008,0.2454
1.00576e-008,0.2467
1.01035e-008,0.2488
1.01494e-008,0.2516
1.01954e-008,0.2549
1.02413e-008,0.2619
1.02872e-008,0.2868
1.03331e-008,0.3420
1.03790e-008,0.4200
1.04250e-008,0.5224
1.04709e-008,0.6590
1.05168e-008,0.8098
1.05627e-008,0.9468
1.06087e-008,1.0638
1.06546e-008,1.1505
1.07005e-008,1.1946
1.07464e-008,1.2056
1.07924e-008,1.1980
