.HEADER
..NAMES
Time,V U2.R2
.DATA
0.0e+000,0.2465
4.59e-011,0.2465
9.18e-011,0.2465
1.378e-010,0.2465
1.837e-010,0.2465
2.296e-010,0.2465
2.755e-010,0.2465
3.215e-010,0.2465
3.674e-010,0.2465
4.133e-010,0.2465
4.592e-010,0.2465
5.052e-010,0.2465
5.511e-010,0.2465
5.970e-010,0.2465
6.430e-010,0.2465
6.889e-010,0.2465
7.348e-010,0.2465
7.807e-010,0.2528
8.266e-010,0.3119
8.726e-010,0.4252
9.185e-010,0.5361
9.644e-010,0.7011
1.0104e-009,0.8727
1.0563e-009,0.9895
1.1022e-009,1.0678
1.1481e-009,1.0952
1.1940e-009,1.0769
1.2400e-009,1.0468
1.2859e-009,1.0268
1.3318e-009,1.0293
1.3778e-009,1.0656
1.4237e-009,1.1208
1.4696e-009,1.1723
1.5155e-009,1.2143
1.5614e-009,1.2394
1.6074e-009,1.2394
1.6533e-009,1.2268
1.6992e-009,1.2176
1.7452e-009,1.2084
1.7911e-009,1.2110
1.8370e-009,1.2242
1.8829e-009,1.2382
1.9288e-009,1.2564
1.9748e-009,1.2655
2.0207e-009,1.2628
2.0666e-009,1.2541
2.1125e-009,1.2392
2.1585e-009,1.2236
2.2044e-009,1.2151
2.2503e-009,1.2163
2.2963e-009,1.2256
2.3422e-009,1.2345
2.3881e-009,1.2388
2.4340e-009,1.2371
2.4800e-009,1.2271
2.5259e-009,1.2144
2.5718e-009,1.2060
2.6177e-009,1.2064
2.6636e-009,1.2144
2.7096e-009,1.2260
2.7555e-009,1.2373
2.8014e-009,1.2416
2.8473e-009,1.2376
2.8933e-009,1.2282
2.9392e-009,1.2161
2.9851e-009,1.2073
3.0311e-009,1.2047
3.0770e-009,1.2070
3.1229e-009,1.2143
3.1688e-009,1.2232
3.2148e-009,1.2295
3.2607e-009,1.2324
3.3066e-009,1.2307
3.3525e-009,1.2256
3.3984e-009,1.2191
3.4444e-009,1.2136
3.4903e-009,1.2115
3.5362e-009,1.2136
3.5821e-009,1.2188
3.6281e-009,1.2250
3.6740e-009,1.2296
3.7199e-009,1.2309
3.7658e-009,1.2278
3.8118e-009,1.2223
3.8577e-009,1.2172
3.9036e-009,1.2144
3.9496e-009,1.2153
3.9955e-009,1.2193
4.0414e-009,1.2242
4.0873e-009,1.2279
4.1333e-009,1.2285
4.1792e-009,1.2263
4.2251e-009,1.2227
4.2710e-009,1.2193
4.3169e-009,1.2178
4.3629e-009,1.2186
4.4088e-009,1.2210
4.4547e-009,1.2239
4.5007e-009,1.2253
4.5466e-009,1.2055
4.5925e-009,1.1242
4.6384e-009,1.0244
4.6843e-009,0.9131
4.7303e-009,0.7538
4.7762e-009,0.6070
4.8221e-009,0.4945
4.8680e-009,0.4244
4.9140e-009,0.3967
4.9599e-009,0.4005
5.0058e-009,0.4161
5.0518e-009,0.4277
5.0977e-009,0.4219
5.1436e-009,0.3908
5.1895e-009,0.3479
5.2354e-009,0.3051
5.2814e-009,0.2675
5.3273e-009,0.2447
5.3732e-009,0.2426
5.4192e-009,0.2478
5.4651e-009,0.2532
5.5110e-009,0.2580
5.5569e-009,0.2522
5.6029e-009,0.2423
5.6488e-009,0.2282
5.6947e-009,0.2132
5.7406e-009,0.2076
5.7865e-009,0.2095
5.8325e-009,0.2170
5.8784e-009,0.2288
5.9243e-009,0.2401
5.9703e-009,0.2462
6.0162e-009,0.2447
6.0621e-009,0.2389
6.1080e-009,0.2349
6.1539e-009,0.2329
6.1999e-009,0.2353
6.2458e-009,0.2430
6.2917e-009,0.2521
6.3376e-009,0.2581
6.3836e-009,0.2584
6.4295e-009,0.2781
6.4754e-009,0.3666
6.5214e-009,0.4723
6.5673e-009,0.6059
6.6132e-009,0.7937
6.6591e-009,0.9440
6.7050e-009,1.0494
6.7510e-009,1.1077
6.7969e-009,1.1075
6.8428e-009,1.0741
6.8888e-009,1.0398
6.9347e-009,1.0226
6.9806e-009,1.0390
7.0265e-009,1.0888
7.0725e-009,1.1471
7.1184e-009,1.1990
7.1643e-009,1.2382
7.2102e-009,1.2532
7.2561e-009,1.2435
7.3021e-009,1.2294
7.3480e-009,1.2157
7.3939e-009,1.2063
7.4399e-009,1.2139
7.4858e-009,1.2272
7.5317e-009,1.2467
7.5776e-009,1.2661
7.6235e-009,1.2712
7.6695e-009,1.2665
7.7154e-009,1.2530
7.7613e-009,1.2333
7.8072e-009,1.2171
7.8532e-009,1.2112
7.8991e-009,1.2176
7.9450e-009,1.2300
7.9910e-009,1.2396
8.0369e-009,1.2436
8.0828e-009,1.2379
8.1287e-009,1.2243
8.1747e-009,1.2108
8.2206e-009,1.2045
8.2665e-009,1.2082
8.3124e-009,1.2187
8.3583e-009,1.2322
8.4043e-009,1.2423
8.4502e-009,1.2434
8.4961e-009,1.2370
8.5420e-009,1.2253
8.5880e-009,1.2130
8.6339e-009,1.2061
8.6798e-009,1.2048
8.7257e-009,1.2092
8.7717e-009,1.2183
8.8176e-009,1.2271
8.8635e-009,1.2332
8.9095e-009,1.2349
8.9554e-009,1.2317
9.0013e-009,1.2252
9.0472e-009,1.2176
9.0932e-009,1.2122
9.1391e-009,1.2112
9.1850e-009,1.2150
9.2309e-009,1.2218
9.2769e-009,1.2287
9.3228e-009,1.2330
9.3687e-009,1.2326
9.4146e-009,1.2276
9.4605e-009,1.2210
9.5065e-009,1.2158
9.5524e-009,1.2140
9.5983e-009,1.2167
9.6442e-009,1.2219
9.6902e-009,1.2272
9.7361e-009,1.2302
9.7820e-009,1.2295
9.8280e-009,1.2263
9.8739e-009,1.2222
9.9198e-009,1.2190
9.9657e-009,1.2182
1.00117e-008,1.2197
1.00576e-008,1.2226
1.01035e-008,1.2256
1.01494e-008,1.2216
1.01954e-008,1.1716
1.02413e-008,1.0714
1.02872e-008,0.9733
1.03331e-008,0.8334
1.03790e-008,0.6725
1.04250e-008,0.5434
1.04709e-008,0.4518
1.05168e-008,0.4053
1.05627e-008,0.3966
1.06087e-008,0.4100
1.06546e-008,0.4250
1.07005e-008,0.4294
1.07464e-008,0.4093
1.07924e-008,0.3692
1.08383e-008,0.3253
1.08842e-008,0.2843
1.09302e-008,0.2532
1.09761e-008,0.2421
1.10220e-008,0.2465
1.10679e-008,0.2515
1.11139e-008,0.2579
1.11598e-008,0.2572
1.12057e-008,0.2479
1.12516e-008,0.2361
1.12975e-008,0.2198
1.13435e-008,0.2094
1.13894e-008,0.2083
1.14353e-008,0.2134
1.14812e-008,0.2238
1.15272e-008,0.2361
1.15731e-008,0.2452
1.16190e-008,0.2471
1.16649e-008,0.2423
1.17109e-008,0.2369
1.17568e-008,0.2339
1.18027e-008,0.2338
1.18487e-008,0.2394
1.18946e-008,0.2486
1.19405e-008,0.2568
1.19864e-008,0.2595
1.20324e-008,0.2560
1.20783e-008,0.2484
1.21242e-008,0.2391
1.21701e-008,0.2330
1.22161e-008,0.2329
1.22620e-008,0.2380
1.23079e-008,0.2471
1.23538e-008,0.2559
1.23997e-008,0.2611
1.24457e-008,0.2625
1.24916e-008,0.2589
1.25375e-008,0.2523
1.25834e-008,0.2461
1.26294e-008,0.2420
1.26753e-008,0.2415
1.27212e-008,0.2442
1.27672e-008,0.2490
1.28131e-008,0.2539
1.28590e-008,0.2569
1.29049e-008,0.2569
1.29509e-008,0.2539
1.29968e-008,0.2495
1.30427e-008,0.2453
1.30886e-008,0.2428
1.31346e-008,0.2435
1.31805e-008,0.2468
1.32264e-008,0.2507
1.32723e-008,0.2538
1.33182e-008,0.2547
1.33642e-008,0.2531
1.34101e-008,0.2499
1.34560e-008,0.2466
1.35019e-008,0.2447
1.35479e-008,0.2449
1.35938e-008,0.2468
1.36397e-008,0.2494
1.36856e-008,0.2515
1.37316e-008,0.2522
1.37775e-008,0.2512
1.38234e-008,0.2492
1.38694e-008,0.2473
1.39153e-008,0.2577
1.39612e-008,0.3329
1.40071e-008,0.4479
1.40531e-008,0.5664
1.40990e-008,0.7434
1.41449e-008,0.9048
1.41908e-008,1.0126
1.42367e-008,1.0806
1.42827e-008,1.0950
1.43286e-008,1.0701
1.43745e-008,1.0404
1.44204e-008,1.0244
1.44664e-008,1.0349
1.45123e-008,1.0788
1.45582e-008,1.1357
1.46041e-008,1.1858
1.46501e-008,1.2245
1.46960e-008,1.2433
1.47419e-008,1.2375
1.47879e-008,1.2242
1.48338e-008,1.2152
1.48797e-008,1.2078
1.49256e-008,1.2150
1.49715e-008,1.2294
1.50175e-008,1.2448
1.50634e-008,1.2622
1.51093e-008,1.2675
1.51552e-008,1.2622
1.52012e-008,1.2516
1.52471e-008,1.2356
1.52930e-008,1.2214
1.53389e-008,1.2156
1.53849e-008,1.2196
1.54308e-008,1.2300
1.54767e-008,1.2379
1.55226e-008,1.2408
1.55686e-008,1.2367
1.56145e-008,1.2249
1.56604e-008,1.2123
1.57063e-008,1.2057
1.57523e-008,1.2076
1.57982e-008,1.1955
1.58441e-008,1.1247
1.58901e-008,1.0338
1.59360e-008,0.9201
1.59819e-008,0.7513
1.60278e-008,0.5939
1.60738e-008,0.4711
1.61197e-008,0.3969
1.61656e-008,0.3725
1.62115e-008,0.3850
1.62575e-008,0.4125
1.63034e-008,0.4336
1.63493e-008,0.4318
1.63952e-008,0.3999
1.64412e-008,0.3522
1.64871e-008,0.3023
1.65330e-008,0.2580
1.65789e-008,0.2310
1.66249e-008,0.2289
1.66708e-008,0.2379
1.67167e-008,0.2503
1.67626e-008,0.2621
1.68085e-008,0.2609
1.68545e-008,0.2514
1.69004e-008,0.2327
1.69463e-008,0.2113
1.69922e-008,0.2003
1.70382e-008,0.1998
1.70841e-008,0.2096
1.71300e-008,0.2268
1.71759e-008,0.2441
1.72219e-008,0.2538
1.72678e-008,0.2519
1.73137e-008,0.2426
1.73596e-008,0.2338
1.74056e-008,0.2281
1.74515e-008,0.2297
1.74974e-008,0.2393
1.75433e-008,0.2516
1.75893e-008,0.2606
1.76352e-008,0.2616
1.76811e-008,0.2559
1.77271e-008,0.2455
1.77730e-008,0.2349
1.78189e-008,0.2299
1.78648e-008,0.2313
1.79108e-008,0.2387
1.79567e-008,0.2493
1.80026e-008,0.2581
1.80485e-008,0.2636
1.80945e-008,0.2639
1.81404e-008,0.2586
1.81863e-008,0.2508
1.82322e-008,0.2433
1.82782e-008,0.2387
1.83241e-008,0.2386
1.83700e-008,0.2426
1.84159e-008,0.2495
1.84619e-008,0.2561
1.85078e-008,0.2596
1.85537e-008,0.2586
1.85996e-008,0.2537
1.86455e-008,0.2472
1.86915e-008,0.2417
1.87374e-008,0.2397
1.87833e-008,0.2421
1.88292e-008,0.2472
1.88752e-008,0.2525
1.89211e-008,0.2558
1.89670e-008,0.2557
1.90129e-008,0.2527
1.90589e-008,0.2482
1.91048e-008,0.2445
1.91507e-008,0.2430
1.91966e-008,0.2440
1.92426e-008,0.2468
1.92885e-008,0.2500
1.93344e-008,0.2521
1.93803e-008,0.2525
1.94263e-008,0.2511
1.94722e-008,0.2487
1.95181e-008,0.2464
1.95640e-008,0.2448
1.96100e-008,0.2446
1.96559e-008,0.2458
1.97018e-008,0.2479
1.97478e-008,0.2501
1.97937e-008,0.2514
1.98396e-008,0.2514
1.98855e-008,0.2500
1.99315e-008,0.2478
1.99774e-008,0.2457
2.00233e-008,0.2446
2.00692e-008,0.2451
2.01152e-008,0.2467
2.01611e-008,0.2489
2.02070e-008,0.2505
2.02529e-008,0.2509
2.02989e-008,0.2500
2.03448e-008,0.2482
2.03907e-008,0.2464
2.04366e-008,0.2454
2.04826e-008,0.2456
2.05285e-008,0.2467
2.05744e-008,0.2481
2.06203e-008,0.2493
2.06662e-008,0.2497
2.07122e-008,0.2493
2.07581e-008,0.2484
2.08040e-008,0.2473
2.08499e-008,0.2465
2.08959e-008,0.2463
2.09418e-008,0.2466
2.09877e-008,0.2474
2.10336e-008,0.2482
2.10796e-008,0.2488
2.11255e-008,0.2489
2.11714e-008,0.2486
2.12173e-008,0.2479
2.12633e-008,0.2471
2.13092e-008,0.2466
2.13551e-008,0.2465
2.14010e-008,0.2514
2.14470e-008,0.3031
2.14929e-008,0.4150
2.15388e-008,0.5244
2.15847e-008,0.6826
2.16307e-008,0.8579
2.16766e-008,0.9789
2.17225e-008,1.0613
2.17685e-008,1.0947
2.18144e-008,1.0804
2.18603e-008,1.0509
2.19062e-008,1.0299
2.19522e-008,1.0293
2.19981e-008,1.0621
2.20440e-008,1.1160
2.20899e-008,1.1677
2.21359e-008,1.2107
2.21818e-008,1.2381
2.22277e-008,1.2409
2.22736e-008,1.2289
2.23196e-008,1.2198
2.23655e-008,1.2105
2.24114e-008,1.2114
2.24573e-008,1.2240
2.25033e-008,1.2373
2.25492e-008,1.2552
2.25951e-008,1.2656
2.26410e-008,1.2637
2.26869e-008,1.2559
2.27329e-008,1.2418
2.27788e-008,1.2261
2.28247e-008,1.2168
2.28706e-008,1.2169
2.29166e-008,1.2254
2.29625e-008,1.2344
2.30084e-008,1.2389
2.30543e-008,1.2380
2.31003e-008,1.2289
2.31462e-008,1.2163
2.31921e-008,1.2075
2.32380e-008,1.2071
2.32840e-008,1.2144
2.33299e-008,1.2256
2.33758e-008,1.2370
2.34217e-008,1.2420
2.34677e-008,1.2387
2.35136e-008,1.2300
2.35595e-008,1.2181
2.36055e-008,1.2088
2.36514e-008,1.2057
2.36973e-008,1.2074
2.37432e-008,1.2142
2.37892e-008,1.2231
2.38351e-008,1.2296
2.38810e-008,1.2328
2.39269e-008,1.2316
2.39729e-008,1.2268
2.40188e-008,1.2205
