.HEADER
..NAMES
Time,V U2.T8
.DATA
0.0e+000,1.2265
4.59e-011,1.2265
9.18e-011,1.2265
1.378e-010,1.2265
1.837e-010,1.2265
2.296e-010,1.2265
2.755e-010,1.2265
3.215e-010,1.2265
3.674e-010,1.2265
4.133e-010,1.2265
4.592e-010,1.2265
5.052e-010,1.2265
5.511e-010,1.2265
5.970e-010,1.2265
6.430e-010,1.2265
6.889e-010,1.2265
7.348e-010,1.2240
7.807e-010,1.2011
8.266e-010,1.1316
8.726e-010,1.0290
9.185e-010,0.9079
9.644e-010,0.7576
1.0104e-009,0.5983
1.0563e-009,0.4649
1.1022e-009,0.3743
1.1481e-009,0.3249
1.1940e-009,0.3140
1.2400e-009,0.3273
1.2859e-009,0.3463
1.3318e-009,0.3568
1.3778e-009,0.3496
1.4237e-009,0.3267
1.4696e-009,0.2966
1.5155e-009,0.2678
1.5614e-009,0.2461
1.6074e-009,0.2370
1.6533e-009,0.2396
1.6992e-009,0.2484
1.7452e-009,0.2563
1.7911e-009,0.2587
1.8370e-009,0.2553
1.8829e-009,0.2469
1.9288e-009,0.2361
1.9748e-009,0.2279
2.0207e-009,0.2262
2.0666e-009,0.2301
2.1125e-009,0.2375
2.1585e-009,0.2456
2.2044e-009,0.2509
2.2503e-009,0.2512
2.2963e-009,0.2477
2.3422e-009,0.2435
2.3881e-009,0.2412
2.4340e-009,0.2426
2.4800e-009,0.2477
2.5259e-009,0.2545
2.5718e-009,0.2603
2.6177e-009,0.2652
2.6636e-009,0.2887
2.7096e-009,0.3618
2.7555e-009,0.4720
2.8014e-009,0.6104
2.8473e-009,0.7824
2.8933e-009,0.9500
2.9392e-009,1.0774
2.9851e-009,1.1564
3.0311e-009,1.1870
3.0770e-009,1.1730
3.1229e-009,1.1393
3.1688e-009,1.1104
3.2148e-009,1.1013
3.2607e-009,1.1192
3.3066e-009,1.1565
3.3525e-009,1.1977
3.3984e-009,1.2315
3.4444e-009,1.2508
3.4903e-009,1.2525
3.5362e-009,1.2418
3.5821e-009,1.2269
3.6281e-009,1.2158
3.6740e-009,1.2130
3.7199e-009,1.2187
3.7658e-009,1.2309
3.8118e-009,1.2450
3.8577e-009,1.2538
3.9036e-009,1.2535
3.9496e-009,1.2456
3.9955e-009,1.2334
4.0414e-009,1.2220
4.0873e-009,1.2168
4.1333e-009,1.2197
4.1792e-009,1.2274
4.2251e-009,1.2350
4.2710e-009,1.2381
4.3169e-009,1.2346
4.3629e-009,1.2260
4.4088e-009,1.2163
4.4547e-009,1.2101
4.5007e-009,1.2101
4.5466e-009,1.2163
4.5925e-009,1.2259
4.6384e-009,1.2349
4.6843e-009,1.2398
4.7303e-009,1.2392
4.7762e-009,1.2336
4.8221e-009,1.2253
4.8680e-009,1.2179
4.9140e-009,1.2138
4.9599e-009,1.2141
5.0058e-009,1.2183
5.0518e-009,1.2246
5.0977e-009,1.2306
5.1436e-009,1.2340
5.1895e-009,1.2338
5.2354e-009,1.2304
5.2814e-009,1.2252
5.3273e-009,1.2204
5.3732e-009,1.2182
5.4192e-009,1.2193
5.4651e-009,1.2231
5.5110e-009,1.2277
5.5569e-009,1.2311
5.6029e-009,1.2318
5.6488e-009,1.2297
5.6947e-009,1.2261
5.7406e-009,1.2228
5.7865e-009,1.2212
5.8325e-009,1.2218
5.8784e-009,1.2242
5.9243e-009,1.2270
5.9703e-009,1.2290
6.0162e-009,1.2294
6.0621e-009,1.2284
6.1080e-009,1.2264
6.1539e-009,1.2244
6.1999e-009,1.2232
6.2458e-009,1.2231
6.2917e-009,1.2242
6.3376e-009,1.2255
6.3836e-009,1.2179
6.4295e-009,1.1731
6.4754e-009,1.0818
6.5214e-009,0.9691
6.5673e-009,0.8313
6.6132e-009,0.6706
6.6591e-009,0.5209
6.7050e-009,0.4101
6.7510e-009,0.3429
6.7969e-009,0.3160
6.8428e-009,0.3215
6.8888e-009,0.3397
6.9347e-009,0.3548
6.9806e-009,0.3549
7.0265e-009,0.3372
7.0725e-009,0.3086
7.1184e-009,0.2786
7.1643e-009,0.2538
7.2102e-009,0.2396
7.2561e-009,0.2381
7.3021e-009,0.2451
7.3480e-009,0.2539
7.3939e-009,0.2584
7.4399e-009,0.2569
7.4858e-009,0.2501
7.5317e-009,0.2398
7.5776e-009,0.2300
7.6235e-009,0.2256
7.6695e-009,0.2277
7.7154e-009,0.2342
7.7613e-009,0.2425
