.HEADER
..NAMES
Time,V U2.R3
.DATA
0.0e+000,0.2476
4.59e-011,0.2476
9.18e-011,0.2476
1.378e-010,0.2476
1.837e-010,0.2476
2.296e-010,0.2476
2.755e-010,0.2476
3.215e-010,0.2476
3.674e-010,0.2476
4.133e-010,0.2476
4.592e-010,0.2476
5.052e-010,0.2476
5.511e-010,0.2476
5.970e-010,0.2476
6.430e-010,0.2476
6.889e-010,0.2477
7.348e-010,0.2500
7.807e-010,0.2693
8.266e-010,0.3335
8.726e-010,0.4413
9.185e-010,0.5723
9.644e-010,0.7317
1.0104e-009,0.8932
1.0563e-009,1.0127
1.1022e-009,1.0809
1.1481e-009,1.1032
1.1940e-009,1.0916
1.2400e-009,1.0673
1.2859e-009,1.0533
1.3318e-009,1.0642
1.3778e-009,1.1010
1.4237e-009,1.1485
1.4696e-009,1.1932
1.5155e-009,1.2274
1.5614e-009,1.2436
1.6074e-009,1.2437
1.6533e-009,1.2364
1.6992e-009,1.2286
1.7452e-009,1.2244
1.7911e-009,1.2274
1.8370e-009,1.2373
1.8829e-009,1.2499
1.9288e-009,1.2605
1.9748e-009,1.2652
2.0207e-009,1.2619
2.0666e-009,1.2516
2.1125e-009,1.2381
2.1585e-009,1.2269
2.2044e-009,1.2223
2.2503e-009,1.2248
2.2963e-009,1.2313
2.3422e-009,1.2368
2.3881e-009,1.2372
2.4340e-009,1.2317
2.4800e-009,1.2227
2.5259e-009,1.2147
2.5718e-009,1.2118
2.6177e-009,1.2115
2.6636e-009,1.1936
2.7096e-009,1.1321
2.7555e-009,1.0341
2.8014e-009,0.9104
2.8473e-009,0.7554
2.8933e-009,0.5976
2.9392e-009,0.4750
2.9851e-009,0.4012
3.0311e-009,0.3712
3.0770e-009,0.3730
3.1229e-009,0.3911
3.1688e-009,0.4056
3.2148e-009,0.4003
3.2607e-009,0.3723
3.3066e-009,0.3321
3.3525e-009,0.2896
3.3984e-009,0.2532
3.4444e-009,0.2320
3.4903e-009,0.2272
3.5362e-009,0.2330
3.5821e-009,0.2426
3.6281e-009,0.2497
3.6740e-009,0.2488
3.7199e-009,0.2388
3.7658e-009,0.2238
3.8118e-009,0.2099
3.8577e-009,0.2027
3.9036e-009,0.2045
3.9496e-009,0.2146
3.9955e-009,0.2287
4.0414e-009,0.2406
4.0873e-009,0.2460
4.1333e-009,0.2443
4.1792e-009,0.2387
4.2251e-009,0.2337
4.2710e-009,0.2330
4.3169e-009,0.2375
4.3629e-009,0.2454
4.4088e-009,0.2531
4.4547e-009,0.2572
4.5007e-009,0.2608
4.5466e-009,0.2866
4.5925e-009,0.3618
4.6384e-009,0.4754
4.6843e-009,0.6177
4.7303e-009,0.7891
4.7762e-009,0.9468
4.8221e-009,1.0547
4.8680e-009,1.1093
4.9140e-009,1.1165
4.9599e-009,1.0926
5.0058e-009,1.0630
5.0518e-009,1.0509
5.0977e-009,1.0687
5.1436e-009,1.1115
5.1895e-009,1.1624
5.2354e-009,1.2090
5.2814e-009,1.2416
5.3273e-009,1.2535
5.3732e-009,1.2491
5.4192e-009,1.2378
5.4651e-009,1.2265
5.5110e-009,1.2210
5.5569e-009,1.2253
5.6029e-009,1.2378
5.6488e-009,1.2533
5.6947e-009,1.2656
5.7406e-009,1.2695
5.7865e-009,1.2634
5.8325e-009,1.2494
5.8784e-009,1.2332
5.9243e-009,1.2218
5.9703e-009,1.2192
6.0162e-009,1.2246
6.0621e-009,1.2333
6.1080e-009,1.2392
6.1539e-009,1.2384
6.1999e-009,1.2310
6.2458e-009,1.2207
6.2917e-009,1.2127
6.3376e-009,1.2106
6.3836e-009,1.2074
6.4295e-009,1.1771
6.4754e-009,1.1018
6.5214e-009,0.9964
6.5673e-009,0.8621
6.6132e-009,0.7009
6.6591e-009,0.5511
6.7050e-009,0.4438
6.7510e-009,0.3850
6.7969e-009,0.3668
6.8428e-009,0.3766
6.8888e-009,0.3968
6.9347e-009,0.4072
6.9806e-009,0.3946
7.0265e-009,0.3614
7.0725e-009,0.3192
7.1184e-009,0.2766
7.1643e-009,0.2436
7.2102e-009,0.2275
7.2561e-009,0.2271
7.3021e-009,0.2354
7.3480e-009,0.2457
7.3939e-009,0.2513
7.4399e-009,0.2475
7.4858e-009,0.2351
7.5317e-009,0.2192
7.5776e-009,0.2065
7.6235e-009,0.2018
7.6695e-009,0.2065
7.7154e-009,0.2188
7.7613e-009,0.2333
7.8072e-009,0.2438
7.8532e-009,0.2468
7.8991e-009,0.2434
7.9450e-009,0.2372
7.9910e-009,0.2331
8.0369e-009,0.2339
8.0828e-009,0.2397
8.1287e-009,0.2480
8.1747e-009,0.2549
