.HEADER
..NAMES
Time,V U2.M2
.DATA
0.0e+000,0.2478
4.59e-011,0.2478
9.18e-011,0.2478
1.378e-010,0.2478
1.837e-010,0.2478
2.296e-010,0.2478
2.755e-010,0.2478
3.215e-010,0.2478
3.674e-010,0.2478
4.133e-010,0.2478
4.592e-010,0.2478
5.052e-010,0.2478
5.511e-010,0.2478
5.970e-010,0.2478
6.430e-010,0.2478
6.889e-010,0.2478
7.348e-010,0.2478
7.807e-010,0.2496
8.266e-010,0.2811
8.726e-010,0.3761
9.185e-010,0.4910
9.644e-010,0.6547
1.0104e-009,0.8381
1.0563e-009,0.9743
1.1022e-009,1.0587
1.1481e-009,1.0833
1.1940e-009,1.0699
1.2400e-009,1.0439
1.2859e-009,1.0326
1.3318e-009,1.0565
1.3778e-009,1.1047
1.4237e-009,1.1589
1.4696e-009,1.2040
1.5155e-009,1.2284
1.5614e-009,1.2315
1.6074e-009,1.2198
1.6533e-009,1.2079
1.6992e-009,1.2020
1.7452e-009,1.2046
1.7911e-009,1.2171
1.8370e-009,1.2342
1.8829e-009,1.2496
1.9288e-009,1.2603
1.9748e-009,1.2656
2.0207e-009,1.2607
2.0666e-009,1.2493
2.1125e-009,1.2339
2.1585e-009,1.2203
2.2044e-009,1.2143
2.2503e-009,1.2163
2.2963e-009,1.2260
2.3422e-009,1.2350
2.3881e-009,1.2372
2.4340e-009,1.2313
2.4800e-009,1.2178
2.5259e-009,1.2048
2.5718e-009,1.1998
2.6177e-009,1.2051
2.6636e-009,1.2183
2.7096e-009,1.2325
2.7555e-009,1.2412
2.8014e-009,1.2399
2.8473e-009,1.2299
2.8933e-009,1.2169
2.9392e-009,1.2067
2.9851e-009,1.2034
3.0311e-009,1.2070
3.0770e-009,1.2150
3.1229e-009,1.2230
3.1688e-009,1.2277
3.2148e-009,1.2282
3.2607e-009,1.2254
3.3066e-009,1.2211
3.3525e-009,1.2170
3.3984e-009,1.2146
3.4444e-009,1.2141
3.4903e-009,1.2156
3.5362e-009,1.2188
3.5821e-009,1.2229
3.6281e-009,1.2263
3.6740e-009,1.2277
3.7199e-009,1.2261
3.7658e-009,1.2222
3.8118e-009,1.2174
3.8577e-009,1.2144
3.9036e-009,1.2146
3.9496e-009,1.2180
3.9955e-009,1.2229
