.HEADER
..NAMES
Time,V U3.N8
.DATA
0.0e+000,1.2255
4.59e-011,1.2255
9.18e-011,1.2255
1.378e-010,1.2255
1.837e-010,1.2255
2.296e-010,1.2255
2.755e-010,1.2255
3.215e-010,1.2255
3.674e-010,1.2255
4.133e-010,1.2255
4.592e-010,1.2255
5.052e-010,1.2255
5.511e-010,1.2255
5.970e-010,1.2255
6.430e-010,1.2255
6.889e-010,1.2255
7.348e-010,1.2255
7.807e-010,1.2255
8.266e-010,1.2255
8.726e-010,1.2245
9.185e-010,1.2085
9.644e-010,1.1557
1.0104e-009,1.0877
1.0563e-009,1.0010
1.1022e-009,0.8697
1.1481e-009,0.7178
1.1940e-009,0.5756
1.2400e-009,0.4509
1.2859e-009,0.3511
1.3318e-009,0.2829
1.3778e-009,0.2506
1.4237e-009,0.2484
1.4696e-009,0.2624
1.5155e-009,0.2783
1.5614e-009,0.2879
1.6074e-009,0.2897
1.6533e-009,0.2826
1.6992e-009,0.2700
1.7452e-009,0.2596
1.7911e-009,0.2539
1.8370e-009,0.2526
1.8829e-009,0.2582
1.9288e-009,0.2668
1.9748e-009,0.2722
2.0207e-009,0.2742
2.0666e-009,0.2708
2.1125e-009,0.2620
2.1585e-009,0.2526
2.2044e-009,0.2449
2.2503e-009,0.2410
2.2963e-009,0.2415
2.3422e-009,0.2447
2.3881e-009,0.2490
2.4340e-009,0.2526
2.4800e-009,0.2550
2.5259e-009,0.2553
2.5718e-009,0.2539
2.6177e-009,0.2531
2.6636e-009,0.2541
2.7096e-009,0.2569
2.7555e-009,0.2620
2.8014e-009,0.2839
2.8473e-009,0.3456
2.8933e-009,0.4212
2.9392e-009,0.5215
2.9851e-009,0.6673
3.0311e-009,0.8215
3.0770e-009,0.9615
3.1229e-009,1.0863
3.1688e-009,1.1772
3.2148e-009,1.2280
3.2607e-009,1.2435
3.3066e-009,1.2328
3.3525e-009,1.2115
3.3984e-009,1.1929
3.4444e-009,1.1833
3.4903e-009,1.1848
3.5362e-009,1.1972
3.5821e-009,1.2145
3.6281e-009,1.2267
3.6740e-009,1.2325
3.7199e-009,1.2320
3.7658e-009,1.2232
3.8118e-009,1.2130
3.8577e-009,1.2077
3.9036e-009,1.2059
3.9496e-009,1.2109
3.9955e-009,1.2216
4.0414e-009,1.2317
4.0873e-009,1.2395
4.1333e-009,1.2422
4.1792e-009,1.2392
4.2251e-009,1.2336
4.2710e-009,1.2276
4.3169e-009,1.2235
4.3629e-009,1.2221
4.4088e-009,1.2229
4.4547e-009,1.2250
4.5007e-009,1.2258
4.5466e-009,1.2247
4.5925e-009,1.2219
4.6384e-009,1.2179
4.6843e-009,1.2148
4.7303e-009,1.2137
4.7762e-009,1.2147
4.8221e-009,1.2183
4.8680e-009,1.2231
4.9140e-009,1.2271
4.9599e-009,1.2294
5.0058e-009,1.2292
5.0518e-009,1.2267
5.0977e-009,1.2231
5.1436e-009,1.2195
5.1895e-009,1.2176
5.2354e-009,1.2179
5.2814e-009,1.2201
5.3273e-009,1.2235
5.3732e-009,1.2263
5.4192e-009,1.2277
5.4651e-009,1.2273
5.5110e-009,1.2252
5.5569e-009,1.2225
5.6029e-009,1.2204
5.6488e-009,1.2195
5.6947e-009,1.2202
5.7406e-009,1.2220
5.7865e-009,1.2241
5.8325e-009,1.2258
5.8784e-009,1.2265
5.9243e-009,1.2261
5.9703e-009,1.2249
6.0162e-009,1.2233
6.0621e-009,1.2222
6.1080e-009,1.2218
6.1539e-009,1.2222
6.1999e-009,1.2234
6.2458e-009,1.2246
6.2917e-009,1.2255
6.3376e-009,1.2258
6.3836e-009,1.2252
6.4295e-009,1.2243
6.4754e-009,1.2232
6.5214e-009,1.2173
6.5673e-009,1.1830
6.6132e-009,1.1192
6.6591e-009,1.0469
6.7050e-009,0.9381
6.7510e-009,0.7916
6.7969e-009,0.6425
6.8428e-009,0.5078
6.8888e-009,0.3940
6.9347e-009,0.3091
6.9806e-009,0.2594
7.0265e-009,0.2443
7.0725e-009,0.2530
