.HEADER
..NAMES
Time,V U3.M3
.DATA
0.0e+000,0.2473
4.59e-011,0.2473
9.18e-011,0.2473
1.378e-010,0.2473
1.837e-010,0.2473
2.296e-010,0.2473
2.755e-010,0.2473
3.215e-010,0.2473
3.674e-010,0.2473
4.133e-010,0.2473
4.592e-010,0.2473
5.052e-010,0.2473
5.511e-010,0.2473
5.970e-010,0.2473
6.430e-010,0.2473
6.889e-010,0.2473
7.348e-010,0.2473
7.807e-010,0.2473
8.266e-010,0.2473
8.726e-010,0.2498
9.185e-010,0.2774
9.644e-010,0.3465
1.0104e-009,0.4342
1.0563e-009,0.5643
1.1022e-009,0.7340
1.1481e-009,0.9004
1.1940e-009,1.0437
1.2400e-009,1.1586
1.2859e-009,1.2264
1.3318e-009,1.2468
1.3778e-009,1.2357
1.4237e-009,1.2099
1.4696e-009,1.1865
1.5155e-009,1.1754
1.5614e-009,1.1776
1.6074e-009,1.1901
1.6533e-009,1.2081
1.6992e-009,1.2228
1.7452e-009,1.2276
1.7911e-009,1.2251
1.8370e-009,1.2167
1.8829e-009,1.2076
1.9288e-009,1.2042
1.9748e-009,1.2062
2.0207e-009,1.2136
2.0666e-009,1.2235
2.1125e-009,1.2311
2.1585e-009,1.2333
2.2044e-009,1.2296
2.2503e-009,1.2226
2.2963e-009,1.2152
2.3422e-009,1.2103
2.3881e-009,1.2091
2.4340e-009,1.2107
2.4800e-009,1.2129
2.5259e-009,1.2143
2.5718e-009,1.2127
2.6177e-009,1.2095
2.6636e-009,1.2071
2.7096e-009,1.2065
2.7555e-009,1.2088
2.8014e-009,1.2132
2.8473e-009,1.2188
2.8933e-009,1.2236
2.9392e-009,1.2258
2.9851e-009,1.2249
3.0311e-009,1.2212
3.0770e-009,1.2164
3.1229e-009,1.2123
3.1688e-009,1.2103
3.2148e-009,1.2112
3.2607e-009,1.2146
3.3066e-009,1.2187
3.3525e-009,1.2220
3.3984e-009,1.2231
3.4444e-009,1.2219
3.4903e-009,1.2190
3.5362e-009,1.2158
3.5821e-009,1.2139
3.6281e-009,1.2140
3.6740e-009,1.2160
3.7199e-009,1.2189
3.7658e-009,1.2212
3.8118e-009,1.2222
3.8577e-009,1.2216
3.9036e-009,1.2199
3.9496e-009,1.2180
3.9955e-009,1.2167
4.0414e-009,1.2165
4.0873e-009,1.2173
4.1333e-009,1.2187
4.1792e-009,1.2200
4.2251e-009,1.2208
4.2710e-009,1.2208
4.3169e-009,1.2200
4.3629e-009,1.2189
4.4088e-009,1.2181
4.4547e-009,1.2179
4.5007e-009,1.2184
4.5466e-009,1.2194
4.5925e-009,1.2202
4.6384e-009,1.2121
4.6843e-009,1.1702
4.7303e-009,1.1011
4.7762e-009,1.0127
4.8221e-009,0.8812
4.8680e-009,0.7232
4.9140e-009,0.5701
4.9599e-009,0.4374
5.0058e-009,0.3293
5.0518e-009,0.2601
5.0977e-009,0.2309
5.1436e-009,0.2327
5.1895e-009,0.2490
5.2354e-009,0.2667
5.2814e-009,0.2779
5.3273e-009,0.2804
5.3732e-009,0.2735
5.4192e-009,0.2603
5.4651e-009,0.2493
5.5110e-009,0.2448
5.5569e-009,0.2457
5.6029e-009,0.2512
5.6488e-009,0.2561
5.6947e-009,0.2585
5.7406e-009,0.2574
5.7865e-009,0.2524
5.8325e-009,0.2455
5.8784e-009,0.2395
5.9243e-009,0.2374
5.9703e-009,0.2393
6.0162e-009,0.2436
6.0621e-009,0.2488
6.1080e-009,0.2529
6.1539e-009,0.2551
6.1999e-009,0.2556
6.2458e-009,0.2553
6.2917e-009,0.2553
6.3376e-009,0.2569
6.3836e-009,0.2589
6.4295e-009,0.2603
6.4754e-009,0.2608
6.5214e-009,0.2696
6.5673e-009,0.3158
6.6132e-009,0.3896
6.6591e-009,0.4904
6.7050e-009,0.6431
6.7510e-009,0.8163
6.7969e-009,0.9753
6.8428e-009,1.1104
6.8888e-009,1.2076
6.9347e-009,1.2514
6.9806e-009,1.2534
7.0265e-009,1.2299
7.0725e-009,1.2003
7.1184e-009,1.1794
7.1643e-009,1.1743
7.2102e-009,1.1829
7.2561e-009,1.2012
7.3021e-009,1.2212
7.3480e-009,1.2327
