.HEADER
..NAMES
Time,V U2.K9
.DATA
0.0e+000,1.2263
4.59e-011,1.2263
9.18e-011,1.2263
1.378e-010,1.2263
1.837e-010,1.2263
2.296e-010,1.2263
2.755e-010,1.2263
3.215e-010,1.2263
3.674e-010,1.2263
4.133e-010,1.2263
4.592e-010,1.2263
5.052e-010,1.2263
5.511e-010,1.2263
5.970e-010,1.2263
6.430e-010,1.2263
6.889e-010,1.2263
7.348e-010,1.2263
7.807e-010,1.2200
8.266e-010,1.1723
8.726e-010,1.0758
9.185e-010,0.9668
9.644e-010,0.8267
1.0104e-009,0.6698
1.0563e-009,0.5330
1.1022e-009,0.4318
1.1481e-009,0.3704
1.1940e-009,0.3383
1.2400e-009,0.3232
1.2859e-009,0.3173
1.3318e-009,0.3120
1.3778e-009,0.2964
1.4237e-009,0.2738
1.4696e-009,0.2524
1.5155e-009,0.2377
1.5614e-009,0.2345
1.6074e-009,0.2401
1.6533e-009,0.2523
1.6992e-009,0.2673
1.7452e-009,0.2791
1.7911e-009,0.2816
1.8370e-009,0.2718
1.8829e-009,0.2570
1.9288e-009,0.2430
1.9748e-009,0.2329
2.0207e-009,0.2301
2.0666e-009,0.2336
2.1125e-009,0.2421
2.1585e-009,0.2505
2.2044e-009,0.2547
2.2503e-009,0.2544
2.2963e-009,0.2512
2.3422e-009,0.2482
2.3881e-009,0.2484
2.4340e-009,0.2512
2.4800e-009,0.2547
2.5259e-009,0.2588
2.5718e-009,0.2624
2.6177e-009,0.2633
2.6636e-009,0.2612
2.7096e-009,0.2571
2.7555e-009,0.2530
2.8014e-009,0.2501
2.8473e-009,0.2489
2.8933e-009,0.2500
2.9392e-009,0.2529
2.9851e-009,0.2564
3.0311e-009,0.2584
3.0770e-009,0.2582
3.1229e-009,0.2559
3.1688e-009,0.2527
3.2148e-009,0.2502
3.2607e-009,0.2493
3.3066e-009,0.2503
3.3525e-009,0.2528
3.3984e-009,0.2558
3.4444e-009,0.2574
3.4903e-009,0.2571
3.5362e-009,0.2554
3.5821e-009,0.2533
3.6281e-009,0.2516
3.6740e-009,0.2506
3.7199e-009,0.2506
3.7658e-009,0.2515
3.8118e-009,0.2528
3.8577e-009,0.2540
3.9036e-009,0.2545
3.9496e-009,0.2543
3.9955e-009,0.2534
4.0414e-009,0.2523
4.0873e-009,0.2513
4.1333e-009,0.2508
4.1792e-009,0.2511
4.2251e-009,0.2521
4.2710e-009,0.2532
4.3169e-009,0.2538
4.3629e-009,0.2537
4.4088e-009,0.2530
4.4547e-009,0.2520
4.5007e-009,0.2515
4.5466e-009,0.2632
4.5925e-009,0.3329
4.6384e-009,0.4472
4.6843e-009,0.5800
4.7303e-009,0.7520
4.7762e-009,0.9159
4.8221e-009,1.0338
4.8680e-009,1.1081
4.9140e-009,1.1389
4.9599e-009,1.1437
5.0058e-009,1.1453
5.0518e-009,1.1502
5.0977e-009,1.1655
5.1436e-009,1.1932
5.1895e-009,1.2197
5.2354e-009,1.2388
5.2814e-009,1.2476
5.3273e-009,1.2429
5.3732e-009,1.2306
5.4192e-009,1.2136
5.4651e-009,1.1978
5.5110e-009,1.1900
5.5569e-009,1.1954
5.6029e-009,1.2132
5.6488e-009,1.2330
5.6947e-009,1.2486
5.7406e-009,1.2544
5.7865e-009,1.2484
5.8325e-009,1.2360
5.8784e-009,1.2230
5.9243e-009,1.2162
5.9703e-009,1.2176
6.0162e-009,1.2235
6.0621e-009,1.2298
6.1080e-009,1.2321
6.1539e-009,1.2282
6.1999e-009,1.2218
6.2458e-009,1.2165
6.2917e-009,1.2127
6.3376e-009,1.2124
6.3836e-009,1.2144
6.4295e-009,1.1981
6.4754e-009,1.1274
6.5214e-009,1.0282
6.5673e-009,0.9073
6.6132e-009,0.7516
6.6591e-009,0.5968
6.7050e-009,0.4707
6.7510e-009,0.3856
6.7969e-009,0.3395
6.8428e-009,0.3210
6.8888e-009,0.3172
6.9347e-009,0.3183
6.9806e-009,0.3106
7.0265e-009,0.2886
7.0725e-009,0.2617
7.1184e-009,0.2380
7.1643e-009,0.2257
7.2102e-009,0.2275
7.2561e-009,0.2393
7.3021e-009,0.2573
7.3480e-009,0.2743
7.3939e-009,0.2835
7.4399e-009,0.2794
7.4858e-009,0.2646
7.5317e-009,0.2479
7.5776e-009,0.2335
7.6235e-009,0.2258
7.6695e-009,0.2263
7.7154e-009,0.2338
7.7613e-009,0.2448
7.8072e-009,0.2531
7.8532e-009,0.2559
7.8991e-009,0.2536
7.9450e-009,0.2486
7.9910e-009,0.2450
8.0369e-009,0.2454
8.0828e-009,0.2486
8.1287e-009,0.2536
8.1747e-009,0.2595
8.2206e-009,0.2632
8.2665e-009,0.2643
8.3124e-009,0.2862
8.3583e-009,0.3701
8.4043e-009,0.4826
8.4502e-009,0.6268
8.4961e-009,0.8047
8.5420e-009,0.9580
8.5880e-009,1.0669
8.6339e-009,1.1300
8.6798e-009,1.1504
8.7257e-009,1.1498
8.7717e-009,1.1477
8.8176e-009,1.1510
8.8635e-009,1.1691
8.9095e-009,1.1979
8.9554e-009,1.2244
9.0013e-009,1.2444
9.0472e-009,1.2519
9.0932e-009,1.2454
9.1391e-009,1.2303
9.1850e-009,1.2103
9.2309e-009,1.1935
9.2769e-009,1.1871
9.3228e-009,1.1964
9.3687e-009,1.2168
9.4146e-009,1.2380
9.4605e-009,1.2536
9.5065e-009,1.2569
9.5524e-009,1.2482
9.5983e-009,1.2335
9.6442e-009,1.2199
9.6902e-009,1.2143
9.7361e-009,1.2168
9.7820e-009,1.2237
9.8280e-009,1.2305
9.8739e-009,1.2322
9.9198e-009,1.2281
9.9657e-009,1.2221
1.00117e-008,1.2165
1.00576e-008,1.2125
1.01035e-008,1.2124
1.01494e-008,1.2115
1.01954e-008,1.1786
1.02413e-008,1.0936
1.02872e-008,0.9913
1.03331e-008,0.8578
1.03790e-008,0.6979
1.04250e-008,0.5507
1.04709e-008,0.4368
1.05168e-008,0.3654
1.05627e-008,0.3294
1.06087e-008,0.3172
1.06546e-008,0.3168
1.07005e-008,0.3173
1.07464e-008,0.3050
1.07924e-008,0.2805
1.08383e-008,0.2537
1.08842e-008,0.2326
1.09302e-008,0.2248
1.09761e-008,0.2298
1.10220e-008,0.2442
1.10679e-008,0.2629
1.11139e-008,0.2784
1.11598e-008,0.2840
1.12057e-008,0.2755
1.12516e-008,0.2594
1.12975e-008,0.2428
1.13435e-008,0.2299
1.13894e-008,0.2247
1.14353e-008,0.2276
1.14812e-008,0.2370
1.15272e-008,0.2479
1.15731e-008,0.2547
1.16190e-008,0.2559
1.16649e-008,0.2523
1.17109e-008,0.2473
1.17568e-008,0.2447
1.18027e-008,0.2461
1.18487e-008,0.2497
1.18946e-008,0.2552
1.19405e-008,0.2609
1.19864e-008,0.2635
1.20324e-008,0.2667
1.20783e-008,0.3081
1.21242e-008,0.4074
1.21701e-008,0.5264
1.22161e-008,0.6865
1.22620e-008,0.8623
1.23079e-008,0.9999
1.23538e-008,1.0940
1.23997e-008,1.1410
1.24457e-008,1.1512
1.24916e-008,1.1489
1.25375e-008,1.1477
1.25834e-008,1.1552
1.26294e-008,1.1785
1.26753e-008,1.2074
1.27212e-008,1.2319
1.27672e-008,1.2486
1.28131e-008,1.2508
1.28590e-008,1.2411
1.29049e-008,1.2237
1.29509e-008,1.2038
1.29968e-008,1.1898
1.30427e-008,1.1883
1.30886e-008,1.2025
1.31346e-008,1.2241
1.31805e-008,1.2441
1.32264e-008,1.2563
1.32723e-008,1.2549
1.33182e-008,1.2435
1.33642e-008,1.2282
1.34101e-008,1.2168
1.34560e-008,1.2143
1.35019e-008,1.2188
1.35479e-008,1.2262
1.35938e-008,1.2317
1.36397e-008,1.2312
1.36856e-008,1.2259
1.37316e-008,1.2200
1.37775e-008,1.2147
1.38234e-008,1.2119
1.38694e-008,1.2131
1.39153e-008,1.2167
1.39612e-008,1.2217
1.40071e-008,1.2265
1.40531e-008,1.2298
1.40990e-008,1.2309
1.41449e-008,1.2287
1.41908e-008,1.2240
1.42367e-008,1.2188
1.42827e-008,1.2158
1.43286e-008,1.2166
1.43745e-008,1.2209
1.44204e-008,1.2265
1.44664e-008,1.2303
1.45123e-008,1.2307
1.45582e-008,1.2276
1.46041e-008,1.2228
1.46501e-008,1.2186
1.46960e-008,1.2173
1.47419e-008,1.2191
1.47879e-008,1.2225
1.48338e-008,1.2258
1.48797e-008,1.2276
1.49256e-008,1.2278
1.49715e-008,1.2267
1.50175e-008,1.2249
1.50634e-008,1.2233
1.51093e-008,1.2222
1.51552e-008,1.2217
1.52012e-008,1.2222
1.52471e-008,1.2235
1.52930e-008,1.2251
1.53389e-008,1.2266
1.53849e-008,1.2271
1.54308e-008,1.2262
1.54767e-008,1.2244
1.55226e-008,1.2226
1.55686e-008,1.2218
1.56145e-008,1.2224
1.56604e-008,1.2240
1.57063e-008,1.2258
1.57523e-008,1.2267
1.57982e-008,1.2266
1.58441e-008,1.2255
1.58901e-008,1.2242
1.59360e-008,1.2234
1.59819e-008,1.2233
1.60278e-008,1.2239
1.60738e-008,1.2247
1.61197e-008,1.2252
1.61656e-008,1.2255
1.62115e-008,1.2255
1.62575e-008,1.2254
1.63034e-008,1.2250
1.63493e-008,1.2246
1.63952e-008,1.2243
1.64412e-008,1.2241
1.64871e-008,1.2242
1.65330e-008,1.2247
1.65789e-008,1.2254
1.66249e-008,1.2258
1.66708e-008,1.2259
1.67167e-008,1.2254
1.67626e-008,1.2248
1.68085e-008,1.2242
1.68545e-008,1.2242
1.69004e-008,1.2245
1.69463e-008,1.2251
1.69922e-008,1.2256
1.70382e-008,1.2257
1.70841e-008,1.2255
1.71300e-008,1.2252
1.71759e-008,1.2249
1.72219e-008,1.2248
1.72678e-008,1.2248
1.73137e-008,1.2250
1.73596e-008,1.2251
1.74056e-008,1.2252
1.74515e-008,1.2253
1.74974e-008,1.2254
1.75433e-008,1.2254
1.75893e-008,1.2253
1.76352e-008,1.2252
1.76811e-008,1.2250
1.77271e-008,1.2249
1.77730e-008,1.2250
1.78189e-008,1.2252
1.78648e-008,1.2255
1.79108e-008,1.2256
1.79567e-008,1.2255
1.80026e-008,1.2254
1.80485e-008,1.2251
1.80945e-008,1.2250
1.81404e-008,1.2251
1.81863e-008,1.2253
1.82322e-008,1.2254
1.82782e-008,1.2255
1.83241e-008,1.2255
1.83700e-008,1.2254
1.84159e-008,1.2253
1.84619e-008,1.2253
1.85078e-008,1.2253
1.85537e-008,1.2253
1.85996e-008,1.2253
1.86455e-008,1.2254
1.86915e-008,1.2254
1.87374e-008,1.2254
1.87833e-008,1.2255
1.88292e-008,1.2255
1.88752e-008,1.2255
1.89211e-008,1.2254
1.89670e-008,1.2253
1.90129e-008,1.2253
1.90589e-008,1.2254
1.91048e-008,1.2255
1.91507e-008,1.2256
1.91966e-008,1.2256
1.92426e-008,1.2255
1.92885e-008,1.2255
1.93344e-008,1.2254
1.93803e-008,1.2254
1.94263e-008,1.2255
1.94722e-008,1.2255
1.95181e-008,1.2255
1.95640e-008,1.2256
1.96100e-008,1.2255
1.96559e-008,1.2255
1.97018e-008,1.2255
1.97478e-008,1.2255
1.97937e-008,1.2255
1.98396e-008,1.2255
1.98855e-008,1.2255
1.99315e-008,1.2255
1.99774e-008,1.2256
2.00233e-008,1.2256
2.00692e-008,1.2256
2.01152e-008,1.2256
2.01611e-008,1.2256
2.02070e-008,1.2256
2.02529e-008,1.2255
2.02989e-008,1.2256
2.03448e-008,1.2256
2.03907e-008,1.2256
2.04366e-008,1.2256
2.04826e-008,1.2256
2.05285e-008,1.2256
2.05744e-008,1.2256
2.06203e-008,1.2256
2.06662e-008,1.2256
2.07122e-008,1.2256
2.07581e-008,1.2256
2.08040e-008,1.2256
2.08499e-008,1.2256
2.08959e-008,1.2256
2.09418e-008,1.2257
2.09877e-008,1.2257
2.10336e-008,1.2257
2.10796e-008,1.2257
2.11255e-008,1.2257
2.11714e-008,1.2257
2.12173e-008,1.2257
2.12633e-008,1.2257
2.13092e-008,1.2257
2.13551e-008,1.2257
2.14010e-008,1.2257
2.14470e-008,1.2257
2.14929e-008,1.2257
2.15388e-008,1.2257
2.15847e-008,1.2257
2.16307e-008,1.2257
2.16766e-008,1.2257
2.17225e-008,1.2257
2.17685e-008,1.2257
2.18144e-008,1.2257
2.18603e-008,1.2257
2.19062e-008,1.2257
2.19522e-008,1.2257
2.19981e-008,1.2257
2.20440e-008,1.2257
2.20899e-008,1.2257
2.21359e-008,1.2257
2.21818e-008,1.2257
2.22277e-008,1.2257
2.22736e-008,1.2258
2.23196e-008,1.2258
2.23655e-008,1.2257
2.24114e-008,1.2257
2.24573e-008,1.2258
2.25033e-008,1.2258
2.25492e-008,1.2258
2.25951e-008,1.2258
