.HEADER
..NAMES
Time,V U2.J7&K7
.DATA
0.0e+000,-0.6861
3.40e-011,-0.6861
6.80e-011,-0.6861
1.020e-010,-0.6861
1.360e-010,-0.6861
1.700e-010,-0.6861
2.040e-010,-0.6861
2.380e-010,-0.6861
2.720e-010,-0.6861
3.060e-010,-0.6861
3.400e-010,-0.6861
3.740e-010,-0.6861
4.080e-010,-0.6861
4.420e-010,-0.6861
4.760e-010,-0.6861
5.100e-010,-0.6861
5.440e-010,-0.6861
5.780e-010,-0.6861
6.120e-010,-0.6861
6.460e-010,-0.6861
6.800e-010,-0.6861
7.140e-010,-0.6861
7.480e-010,-0.6861
7.820e-010,-0.6861
8.160e-010,-0.6861
8.500e-010,-0.6861
8.840e-010,-0.6861
9.180e-010,-0.6861
9.520e-010,-0.6861
9.860e-010,-0.6861
1.0200e-009,-0.6861
1.0540e-009,-0.6861
1.0880e-009,-0.6861
1.1220e-009,-0.6861
1.1560e-009,-0.6861
1.1900e-009,-0.6861
1.2240e-009,-0.6861
1.2580e-009,-0.6861
1.2920e-009,-0.6861
1.3260e-009,-0.6861
1.3600e-009,-0.6861
1.3940e-009,-0.6861
1.4280e-009,-0.6861
1.4620e-009,-0.6861
1.4960e-009,-0.6861
1.5300e-009,-0.6861
1.5640e-009,-0.6861
1.5980e-009,-0.6861
1.6320e-009,-0.6861
1.6660e-009,-0.6860
1.7000e-009,-0.6833
1.7340e-009,-0.6569
1.7680e-009,-0.5596
1.8020e-009,-0.3736
1.8360e-009,-0.1368
1.8700e-009,0.1261
1.9040e-009,0.4071
1.9380e-009,0.6711
1.9720e-009,0.8754
2.0060e-009,0.9936
2.0400e-009,1.0244
2.0740e-009,0.9999
2.1080e-009,0.9591
2.1420e-009,0.9156
2.1760e-009,0.8661
2.2100e-009,0.8162
2.2440e-009,0.7801
2.2780e-009,0.7592
2.3120e-009,0.7416
2.3460e-009,0.7198
2.3800e-009,0.6952
2.4140e-009,0.6699
2.4480e-009,0.6474
2.4820e-009,0.6325
2.5160e-009,0.6246
2.5500e-009,0.6193
2.5840e-009,0.6166
2.6180e-009,0.6151
2.6520e-009,0.6088
2.6860e-009,0.5812
2.7200e-009,0.5028
2.7540e-009,0.3697
2.7880e-009,0.2039
2.8220e-009,0.0072
2.8560e-009,-0.2222
2.8900e-009,-0.4646
2.9240e-009,-0.6903
2.9580e-009,-0.8701
2.9920e-009,-0.9904
3.0260e-009,-1.0600
3.0600e-009,-1.0862
3.0940e-009,-1.0673
3.1280e-009,-1.0088
3.1620e-009,-0.9335
3.1960e-009,-0.8674
3.2300e-009,-0.8204
3.2640e-009,-0.7862
3.2980e-009,-0.7567
3.3320e-009,-0.7305
3.3660e-009,-0.7075
3.4000e-009,-0.6864
3.4340e-009,-0.6658
3.4680e-009,-0.6437
3.5020e-009,-0.6218
3.5360e-009,-0.6059
3.5700e-009,-0.5968
