.HEADER
..NAMES
Time,V U2.J7&K7
.DATA
0.0e+000,0.3747
3.40e-011,0.3747
6.80e-011,0.3747
1.020e-010,0.3747
1.360e-010,0.3747
1.700e-010,0.3747
2.040e-010,0.3747
2.380e-010,0.3747
2.720e-010,0.3747
3.060e-010,0.3747
3.400e-010,0.3747
3.740e-010,0.3747
4.080e-010,0.3747
4.420e-010,0.3747
4.760e-010,0.3747
5.100e-010,0.3747
5.440e-010,0.3747
5.780e-010,0.3747
6.120e-010,0.3747
6.460e-010,0.3747
6.800e-010,0.3747
7.140e-010,0.3747
7.480e-010,0.3747
7.820e-010,0.3747
8.160e-010,0.3747
8.500e-010,0.3747
8.840e-010,0.3747
9.180e-010,0.3747
9.520e-010,0.3747
9.860e-010,0.3747
1.0200e-009,0.3747
1.0540e-009,0.3747
1.0880e-009,0.3747
1.1220e-009,0.3747
1.1560e-009,0.3747
1.1900e-009,0.3747
1.2240e-009,0.3747
1.2580e-009,0.3747
1.2920e-009,0.3747
1.3260e-009,0.3747
1.3600e-009,0.3747
1.3940e-009,0.3747
1.4280e-009,0.3747
1.4620e-009,0.3747
1.4960e-009,0.3747
1.5300e-009,0.3747
1.5640e-009,0.3747
1.5980e-009,0.3747
1.6320e-009,0.3747
1.6660e-009,0.3748
1.7000e-009,0.3759
1.7340e-009,0.3872
1.7680e-009,0.4292
1.8020e-009,0.5102
1.8360e-009,0.6165
1.8700e-009,0.7406
1.9040e-009,0.8785
1.9380e-009,1.0116
1.9720e-009,1.1184
2.0060e-009,1.1857
2.0400e-009,1.2122
2.0740e-009,1.2121
2.1080e-009,1.2006
2.1420e-009,1.1823
2.1760e-009,1.1585
2.2100e-009,1.1339
2.2440e-009,1.1148
2.2780e-009,1.1007
2.3120e-009,1.0855
2.3460e-009,1.0665
2.3800e-009,1.0474
2.4140e-009,1.0311
2.4480e-009,1.0191
2.4820e-009,1.0127
2.5160e-009,1.0120
2.5500e-009,1.0157
2.5840e-009,1.0239
2.6180e-009,1.0342
2.6520e-009,1.0417
2.6860e-009,1.0347
2.7200e-009,0.9933
2.7540e-009,0.9147
2.7880e-009,0.8150
2.8220e-009,0.6991
2.8560e-009,0.5677
2.8900e-009,0.4337
2.9240e-009,0.3158
2.9580e-009,0.2304
2.9920e-009,0.1830
3.0260e-009,0.1646
3.0600e-009,0.1661
3.0940e-009,0.1859
3.1280e-009,0.2219
3.1620e-009,0.2632
3.1960e-009,0.2953
3.2300e-009,0.3122
3.2640e-009,0.3186
3.2980e-009,0.3212
3.3320e-009,0.3227
3.3660e-009,0.3244
3.4000e-009,0.3280
3.4340e-009,0.3354
3.4680e-009,0.3486
3.5020e-009,0.3668
3.5360e-009,0.3865
3.5700e-009,0.4053
3.6040e-009,0.4259
3.6380e-009,0.4584
3.6720e-009,0.5107
3.7060e-009,0.5784
3.7400e-009,0.6600
3.7740e-009,0.7602
3.8080e-009,0.8716
3.8420e-009,0.9796
3.8760e-009,1.0728
3.9100e-009,1.1426
3.9440e-009,1.1889
3.9780e-009,1.2162
4.0120e-009,1.2251
4.0460e-009,1.2170
4.0800e-009,1.1992
4.1140e-009,1.1798
4.1480e-009,1.1604
4.1820e-009,1.1378
4.2160e-009,1.1102
4.2500e-009,1.0809
4.2840e-009,1.0533
4.3180e-009,1.0291
4.3520e-009,1.0101
4.3860e-009,0.9975
4.4200e-009,0.9913
4.4540e-009,0.9921
4.4880e-009,0.9991
4.5220e-009,1.0075
4.5560e-009,1.0052
4.5900e-009,0.9704
4.6240e-009,0.8964
4.6580e-009,0.7984
4.6920e-009,0.6832
4.7260e-009,0.5521
4.7600e-009,0.4187
4.7940e-009,0.3034
4.8280e-009,0.2229
4.8620e-009,0.1825
4.8960e-009,0.1711
4.9300e-009,0.1757
4.9640e-009,0.1927
4.9980e-009,0.2217
5.0320e-009,0.2549
5.0660e-009,0.2806
5.1000e-009,0.2938
5.1340e-009,0.2991
5.1680e-009,0.3028
5.2020e-009,0.3065
5.2360e-009,0.3100
5.2700e-009,0.3142
5.3040e-009,0.3214
5.3380e-009,0.3342
5.3720e-009,0.3536
5.4060e-009,0.3766
5.4400e-009,0.4007
5.4740e-009,0.4267
5.5080e-009,0.4620
5.5420e-009,0.5133
5.5760e-009,0.5769
5.6100e-009,0.6502
5.6440e-009,0.7389
5.6780e-009,0.8397
5.7120e-009,0.9411
5.7460e-009,1.0331
5.7800e-009,1.1076
5.8140e-009,1.1627
5.8480e-009,1.2010
5.8820e-009,1.2211
5.9160e-009,1.2221
5.9500e-009,1.2093
5.9840e-009,1.1910
6.0180e-009,1.1705
6.0520e-009,1.1460
6.0860e-009,1.1164
6.1200e-009,1.0846
6.1540e-009,1.0541
6.1880e-009,1.0266
6.2220e-009,1.0036
6.2560e-009,0.9869
6.2900e-009,0.9775
6.3240e-009,0.9766
6.3580e-009,0.9845
6.3920e-009,0.9972
6.4260e-009,1.0033
6.4600e-009,0.9796
6.4940e-009,0.9142
6.5280e-009,0.8201
6.5620e-009,0.7063
6.5960e-009,0.5738
6.6300e-009,0.4353
6.6640e-009,0.3125
6.6980e-009,0.2241
6.7320e-009,0.1780
6.7660e-009,0.1651
6.8000e-009,0.1705
6.8340e-009,0.1885
