.HEADER
..NAMES
Time,V U3.J7&K7
.DATA
0.0e+000,1.0598
3.40e-011,1.0598
6.80e-011,1.0598
1.020e-010,1.0598
1.360e-010,1.0598
1.700e-010,1.0598
2.040e-010,1.0598
2.380e-010,1.0598
2.720e-010,1.0598
3.060e-010,1.0598
3.400e-010,1.0598
3.740e-010,1.0598
4.080e-010,1.0598
4.420e-010,1.0598
4.760e-010,1.0598
5.100e-010,1.0598
5.440e-010,1.0598
5.780e-010,1.0598
6.120e-010,1.0598
6.460e-010,1.0598
6.800e-010,1.0598
7.140e-010,1.0598
7.480e-010,1.0598
7.820e-010,1.0598
8.160e-010,1.0598
8.500e-010,1.0598
8.840e-010,1.0598
9.180e-010,1.0598
9.520e-010,1.0598
9.860e-010,1.0598
1.0200e-009,1.0598
1.0540e-009,1.0598
1.0880e-009,1.0598
1.1220e-009,1.0598
1.1560e-009,1.0598
1.1900e-009,1.0598
1.2240e-009,1.0598
1.2580e-009,1.0598
1.2920e-009,1.0598
1.3260e-009,1.0598
1.3600e-009,1.0598
1.3940e-009,1.0598
1.4280e-009,1.0598
1.4620e-009,1.0598
1.4960e-009,1.0598
1.5300e-009,1.0598
1.5640e-009,1.0598
1.5980e-009,1.0598
1.6320e-009,1.0598
1.6660e-009,1.0598
1.7000e-009,1.0598
1.7340e-009,1.0598
1.7680e-009,1.0597
1.8020e-009,1.0586
1.8360e-009,1.0493
1.8700e-009,1.0172
1.9040e-009,0.9539
1.9380e-009,0.8690
1.9720e-009,0.7715
2.0060e-009,0.6597
2.0400e-009,0.5376
2.0740e-009,0.4231
2.1080e-009,0.3387
2.1420e-009,0.2956
2.1760e-009,0.2855
2.2100e-009,0.2940
2.2440e-009,0.3174
2.2780e-009,0.3567
2.3120e-009,0.4038
2.3460e-009,0.4423
2.3800e-009,0.4619
2.4140e-009,0.4668
2.4480e-009,0.4656
2.4820e-009,0.4609
2.5160e-009,0.4520
2.5500e-009,0.4409
2.5840e-009,0.4315
2.6180e-009,0.4266
2.6520e-009,0.4258
2.6860e-009,0.4273
2.7200e-009,0.4307
2.7540e-009,0.4371
2.7880e-009,0.4488
2.8220e-009,0.4709
2.8560e-009,0.5058
2.8900e-009,0.5523
2.9240e-009,0.6118
2.9580e-009,0.6855
2.9920e-009,0.7686
3.0260e-009,0.8518
3.0600e-009,0.9258
3.0940e-009,0.9844
3.1280e-009,1.0269
3.1620e-009,1.0523
3.1960e-009,1.0578
3.2300e-009,1.0459
3.2640e-009,1.0259
3.2980e-009,1.0083
3.3320e-009,0.9985
3.3660e-009,0.9960
3.4000e-009,0.9993
3.4340e-009,1.0088
3.4680e-009,1.0235
3.5020e-009,1.0399
3.5360e-009,1.0535
3.5700e-009,1.0606
3.6040e-009,1.0612
3.6380e-009,1.0575
3.6720e-009,1.0512
3.7060e-009,1.0406
3.7400e-009,1.0177
3.7740e-009,0.9735
3.8080e-009,0.9107
3.8420e-009,0.8371
3.8760e-009,0.7496
3.9100e-009,0.6440
3.9440e-009,0.5287
3.9780e-009,0.4223
4.0120e-009,0.3414
4.0460e-009,0.2875
4.0800e-009,0.2531
4.1140e-009,0.2375
4.1480e-009,0.2467
4.1820e-009,0.2791
4.2160e-009,0.3204
4.2500e-009,0.3555
4.2840e-009,0.3813
4.3180e-009,0.4034
4.3520e-009,0.4230
4.3860e-009,0.4360
4.4200e-009,0.4403
4.4540e-009,0.4394
4.4880e-009,0.4385
4.5220e-009,0.4397
4.5560e-009,0.4414
4.5900e-009,0.4429
4.6240e-009,0.4459
4.6580e-009,0.4543
4.6920e-009,0.4736
4.7260e-009,0.5063
4.7600e-009,0.5506
4.7940e-009,0.6075
4.8280e-009,0.6780
4.8620e-009,0.7564
4.8960e-009,0.8332
4.9300e-009,0.8996
4.9640e-009,0.9508
4.9980e-009,0.9868
5.0320e-009,1.0082
5.0660e-009,1.0140
5.1000e-009,1.0077
5.1340e-009,0.9970
5.1680e-009,0.9898
5.2020e-009,0.9892
5.2360e-009,0.9935
5.2700e-009,1.0011
5.3040e-009,1.0126
5.3380e-009,1.0271
5.3720e-009,1.0419
5.4060e-009,1.0539
5.4400e-009,1.0608
5.4740e-009,1.0621
5.5080e-009,1.0596
5.5420e-009,1.0547
5.5760e-009,1.0462
5.6100e-009,1.0267
5.6440e-009,0.9858
5.6780e-009,0.9248
5.7120e-009,0.8523
5.7460e-009,0.7668
5.7800e-009,0.6622
5.8140e-009,0.5444
5.8480e-009,0.4315
5.8820e-009,0.3419
5.9160e-009,0.2795
5.9500e-009,0.2372
5.9840e-009,0.2136
6.0180e-009,0.2160
6.0520e-009,0.2460
6.0860e-009,0.2902
6.1200e-009,0.3316
6.1540e-009,0.3645
6.1880e-009,0.3930
6.2220e-009,0.4189
6.2560e-009,0.4374
6.2900e-009,0.4455
6.3240e-009,0.4466
6.3580e-009,0.4467
6.3920e-009,0.4484
6.4260e-009,0.4504
6.4600e-009,0.4517
6.4940e-009,0.4538
6.5280e-009,0.4604
6.5620e-009,0.4766
6.5960e-009,0.5056
6.6300e-009,0.5464
6.6640e-009,0.5997
6.6980e-009,0.6669
6.7320e-009,0.7431
6.7660e-009,0.8187
6.8000e-009,0.8851
6.8340e-009,0.9365
6.8680e-009,0.9724
6.9020e-009,0.9935
6.9360e-009,0.9997
6.9700e-009,0.9940
7.0040e-009,0.9840
7.0380e-009,0.9776
7.0720e-009,0.9786
7.1060e-009,0.9856
7.1400e-009,0.9964
7.1740e-009,1.0105
7.2080e-009,1.0269
7.2420e-009,1.0433
7.2760e-009,1.0568
7.3100e-009,1.0652
7.3440e-009,1.0678
7.3780e-009,1.0660
7.4120e-009,1.0617
7.4460e-009,1.0541
7.4800e-009,1.0364
7.5140e-009,0.9977
7.5480e-009,0.9373
7.5820e-009,0.8644
7.6160e-009,0.7794
7.6500e-009,0.6756
7.6840e-009,0.5568
7.7180e-009,0.4401
7.7520e-009,0.3448
7.7860e-009,0.2775
7.8200e-009,0.2312
7.8540e-009,0.2032
7.8880e-009,0.2009
7.9220e-009,0.2278
7.9560e-009,0.2724
7.9900e-009,0.3170
8.0240e-009,0.3533
8.0580e-009,0.3850
8.0920e-009,0.4140
8.1260e-009,0.4360
8.1600e-009,0.4470
8.1940e-009,0.4496
8.2280e-009,0.4499
8.2620e-009,0.4513
8.2960e-009,0.4531
8.3300e-009,0.4542
8.3640e-009,0.4560
8.3980e-009,0.4616
8.4320e-009,0.4759
8.4660e-009,0.5026
8.5000e-009,0.5410
8.5340e-009,0.5916
8.5680e-009,0.6560
8.6020e-009,0.7302
8.6360e-009,0.8052
8.6700e-009,0.8721
8.7040e-009,0.9246
8.7380e-009,0.9616
8.7720e-009,0.9839
8.8060e-009,0.9914
8.8400e-009,0.9868
8.8740e-009,0.9772
8.9080e-009,0.9709
8.9420e-009,0.9723
8.9760e-009,0.9803
9.0100e-009,0.9924
9.0440e-009,1.0078
9.0780e-009,1.0255
9.1120e-009,1.0431
9.1460e-009,1.0580
9.1800e-009,1.0677
9.2140e-009,1.0711
9.2480e-009,1.0698
9.2820e-009,1.0656
9.3160e-009,1.0584
9.3500e-009,1.0426
9.3840e-009,1.0068
9.4180e-009,0.9483
9.4520e-009,0.8761
9.4860e-009,0.7926
9.5200e-009,0.6909
9.5540e-009,0.5725
9.5880e-009,0.4532
9.6220e-009,0.3532
9.6560e-009,0.2814
9.6900e-009,0.2320
9.7240e-009,0.2006
9.7580e-009,0.1938
9.7920e-009,0.2169
9.8260e-009,0.2606
9.8600e-009,0.3067
9.8940e-009,0.3452
9.9280e-009,0.3783
9.9620e-009,0.4091
9.9960e-009,0.4336
1.00300e-008,0.4470
1.00640e-008,0.4511
1.00980e-008,0.4517
1.01320e-008,0.4531
1.01660e-008,0.4550
1.02000e-008,0.4561
1.02340e-008,0.4574
1.02680e-008,0.4622
1.03020e-008,0.4748
1.03360e-008,0.4992
1.03700e-008,0.5356
1.04040e-008,0.5838
1.04380e-008,0.6456
1.04720e-008,0.7182
1.05060e-008,0.7927
1.05400e-008,0.8604
1.05740e-008,0.9145
1.06080e-008,0.9531
1.06420e-008,0.9771
1.06760e-008,0.9866
1.07100e-008,0.9835
1.07440e-008,0.9744
1.07780e-008,0.9678
1.08120e-008,0.9688
1.08460e-008,0.9768
1.08800e-008,0.9893
1.09140e-008,1.0050
1.09480e-008,1.0232
1.09820e-008,1.0416
1.10160e-008,1.0574
1.10500e-008,1.0681
1.10840e-008,1.0725
1.11180e-008,1.0716
1.11520e-008,1.0676
1.11860e-008,1.0609
1.12200e-008,1.0469
1.12540e-008,1.0144
1.12880e-008,0.9585
1.13220e-008,0.8875
1.13560e-008,0.8057
1.13900e-008,0.7066
1.14240e-008,0.5895
1.14580e-008,0.4686
1.14920e-008,0.3643
1.15260e-008,0.2881
1.15600e-008,0.2356
1.15940e-008,0.2011
1.16280e-008,0.1900
1.16620e-008,0.2090
1.16960e-008,0.2509
1.17300e-008,0.2981
1.17640e-008,0.3383
1.17980e-008,0.3724
1.18320e-008,0.4042
1.18660e-008,0.4305
1.19000e-008,0.4461
1.19340e-008,0.4516
1.19680e-008,0.4526
1.20020e-008,0.4539
1.20360e-008,0.4559
1.20700e-008,0.4571
1.21040e-008,0.4582
1.21380e-008,0.4621
1.21720e-008,0.4731
1.22060e-008,0.4955
1.22400e-008,0.5301
1.22740e-008,0.5761
1.23080e-008,0.6356
1.23420e-008,0.7068
1.23760e-008,0.7812
1.24100e-008,0.8499
1.24440e-008,0.9059
1.24780e-008,0.9465
1.25120e-008,0.9724
1.25460e-008,0.9838
1.25800e-008,0.9822
1.26140e-008,0.9737
1.26480e-008,0.9666
1.26820e-008,0.9667
1.27160e-008,0.9743
1.27500e-008,0.9867
1.27840e-008,1.0023
1.28180e-008,1.0206
1.28520e-008,1.0393
1.28860e-008,1.0558
1.29200e-008,1.0676
1.29540e-008,1.0729
1.29880e-008,1.0727
1.30220e-008,1.0690
1.30560e-008,1.0627
1.30900e-008,1.0503
1.31240e-008,1.0210
1.31580e-008,0.9681
1.31920e-008,0.8986
1.32260e-008,0.8186
1.32600e-008,0.7223
1.32940e-008,0.6071
1.33280e-008,0.4852
1.33620e-008,0.3771
1.33960e-008,0.2965
1.34300e-008,0.2408
1.34640e-008,0.2034
1.34980e-008,0.1882
1.35320e-008,0.2028
1.35660e-008,0.2425
1.36000e-008,0.2902
1.36340e-008,0.3319
1.36680e-008,0.3668
1.37020e-008,0.3993
1.37360e-008,0.4271
1.37700e-008,0.4447
1.38040e-008,0.4515
1.38380e-008,0.4529
1.38720e-008,0.4542
1.39060e-008,0.4562
1.39400e-008,0.4575
1.39740e-008,0.4584
1.40080e-008,0.4616
1.40420e-008,0.4712
1.40760e-008,0.4917
1.41100e-008,0.5245
1.41440e-008,0.5686
1.41780e-008,0.6260
1.42120e-008,0.6957
1.42460e-008,0.7700
1.42800e-008,0.8399
1.43140e-008,0.8979
1.43480e-008,0.9406
1.43820e-008,0.9685
1.44160e-008,0.9819
1.44500e-008,0.9820
1.44840e-008,0.9740
1.45180e-008,0.9664
1.45520e-008,0.9654
1.45860e-008,0.9723
1.46200e-008,0.9843
1.46540e-008,0.9997
1.46880e-008,1.0178
1.47220e-008,1.0368
1.47560e-008,1.0539
1.47900e-008,1.0665
1.48240e-008,1.0729
1.48580e-008,1.0733
1.48920e-008,1.0700
1.49260e-008,1.0642
1.49600e-008,1.0531
1.49940e-008,1.0270
1.50280e-008,0.9774
1.50620e-008,0.9096
1.50960e-008,0.8312
1.51300e-008,0.7376
1.51640e-008,0.6247
1.51980e-008,0.5024
1.52320e-008,0.3909
1.52660e-008,0.3060
1.53000e-008,0.2471
1.53340e-008,0.2070
1.53680e-008,0.1878
1.54020e-008,0.1979
1.54360e-008,0.2349
1.54700e-008,0.2827
1.55040e-008,0.3257
1.55380e-008,0.3615
1.55720e-008,0.3944
1.56060e-008,0.4234
1.56400e-008,0.4428
1.56740e-008,0.4511
1.57080e-008,0.4530
1.57420e-008,0.4541
1.57760e-008,0.4561
1.58100e-008,0.4575
1.58440e-008,0.4584
1.58780e-008,0.4610
1.59120e-008,0.4693
1.59460e-008,0.4880
1.59800e-008,0.5190
1.60140e-008,0.5613
1.60480e-008,0.6166
1.60820e-008,0.6848
1.61160e-008,0.7590
1.61500e-008,0.8300
1.61840e-008,0.8900
1.62180e-008,0.9348
1.62520e-008,0.9647
1.62860e-008,0.9803
1.63200e-008,0.9820
1.63540e-008,0.9747
1.63880e-008,0.9666
1.64220e-008,0.9646
1.64560e-008,0.9705
1.64900e-008,0.9820
1.65240e-008,0.9971
1.65580e-008,1.0150
1.65920e-008,1.0341
1.66260e-008,1.0517
1.66600e-008,1.0651
1.66940e-008,1.0725
1.67280e-008,1.0736
1.67620e-008,1.0707
1.67960e-008,1.0653
1.68300e-008,1.0554
1.68640e-008,1.0323
1.68980e-008,0.9861
1.69320e-008,0.9203
1.69660e-008,0.8434
1.70000e-008,0.7526
1.70340e-008,0.6422
1.70680e-008,0.5201
1.71020e-008,0.4057
1.71360e-008,0.3164
1.71700e-008,0.2542
1.72040e-008,0.2114
1.72380e-008,0.1885
1.72720e-008,0.1940
1.73060e-008,0.2279
1.73400e-008,0.2753
1.73740e-008,0.3196
1.74080e-008,0.3562
1.74420e-008,0.3896
1.74760e-008,0.4196
1.75100e-008,0.4407
1.75440e-008,0.4504
1.75780e-008,0.4529
1.76120e-008,0.4539
1.76460e-008,0.4558
1.76800e-008,0.4574
1.77140e-008,0.4583
1.77480e-008,0.4604
1.77820e-008,0.4676
1.78160e-008,0.4845
1.78500e-008,0.5137
1.78840e-008,0.5543
1.79180e-008,0.6076
1.79520e-008,0.6741
1.79860e-008,0.7480
1.80200e-008,0.8199
1.80540e-008,0.8819
1.80880e-008,0.9290
1.81220e-008,0.9609
1.81560e-008,0.9786
1.81900e-008,0.9822
1.82240e-008,0.9757
1.82580e-008,0.9672
1.82920e-008,0.9641
1.83260e-008,0.9690
1.83600e-008,0.9800
1.83940e-008,0.9946
1.84280e-008,1.0122
1.84620e-008,1.0313
1.84960e-008,1.0493
1.85300e-008,1.0635
1.85640e-008,1.0718
1.85980e-008,1.0738
1.86320e-008,1.0714
1.86660e-008,1.0663
1.87000e-008,1.0575
1.87340e-008,1.0371
1.87680e-008,0.9944
1.88020e-008,0.9308
1.88360e-008,0.8554
1.88700e-008,0.7671
1.89040e-008,0.6595
1.89380e-008,0.5380
1.89720e-008,0.4211
1.90060e-008,0.3276
1.90400e-008,0.2618
1.90740e-008,0.2164
1.91080e-008,0.1900
1.91420e-008,0.1910
1.91760e-008,0.2213
1.92100e-008,0.2680
1.92440e-008,0.3134
1.92780e-008,0.3510
1.93120e-008,0.3846
1.93460e-008,0.4155
1.93800e-008,0.4383
1.94140e-008,0.4496
1.94480e-008,0.4527
1.94820e-008,0.4537
1.95160e-008,0.4555
1.95500e-008,0.4573
1.95840e-008,0.4581
1.96180e-008,0.4599
1.96520e-008,0.4660
1.96860e-008,0.4812
1.97200e-008,0.5086
1.97540e-008,0.5476
1.97880e-008,0.5988
1.98220e-008,0.6636
1.98560e-008,0.7370
1.98900e-008,0.8097
1.99240e-008,0.8736
1.99580e-008,0.9229
1.99920e-008,0.9570
2.00260e-008,0.9767
2.00600e-008,0.9822
2.00940e-008,0.9768
2.01280e-008,0.9681
2.01620e-008,0.9639
2.01960e-008,0.9677
2.02300e-008,0.9780
2.02640e-008,0.9921
2.02980e-008,1.0094
2.03320e-008,1.0285
2.03660e-008,1.0468
2.04000e-008,1.0617
2.04340e-008,1.0710
2.04680e-008,1.0738
2.05020e-008,1.0719
2.05360e-008,1.0672
2.05700e-008,1.0592
2.06040e-008,1.0412
2.06380e-008,1.0021
2.06720e-008,0.9410
2.07060e-008,0.8671
2.07400e-008,0.7812
2.07740e-008,0.6765
2.08080e-008,0.5561
2.08420e-008,0.4372
2.08760e-008,0.3394
2.09100e-008,0.2699
2.09440e-008,0.2218
2.09780e-008,0.1923
2.10120e-008,0.1888
2.10460e-008,0.2152
2.10800e-008,0.2607
2.11140e-008,0.3071
2.11480e-008,0.3457
2.11820e-008,0.3797
2.12160e-008,0.4112
2.12500e-008,0.4356
2.12840e-008,0.4486
2.13180e-008,0.4525
2.13520e-008,0.4535
2.13860e-008,0.4552
2.14200e-008,0.4570
2.14540e-008,0.4580
2.14880e-008,0.4594
2.15220e-008,0.4646
2.15560e-008,0.4782
2.15900e-008,0.5038
2.16240e-008,0.5411
2.16580e-008,0.5904
2.16920e-008,0.6533
2.17260e-008,0.7260
2.17600e-008,0.7994
2.17940e-008,0.8650
2.18280e-008,0.9166
2.18620e-008,0.9528
2.18960e-008,0.9746
2.19300e-008,0.9821
2.19640e-008,0.9779
2.19980e-008,0.9691
2.20320e-008,0.9639
2.20660e-008,0.9666
2.21000e-008,0.9761
2.21340e-008,0.9898
2.21680e-008,1.0067
2.22020e-008,1.0256
2.22360e-008,1.0442
2.22700e-008,1.0598
2.23040e-008,1.0700
2.23380e-008,1.0737
2.23720e-008,1.0724
2.24060e-008,1.0680
2.24400e-008,1.0607
2.24740e-008,1.0450
2.25080e-008,1.0095
2.25420e-008,0.9510
2.25760e-008,0.8785
2.26100e-008,0.7949
2.26440e-008,0.6931
2.26780e-008,0.5742
2.27120e-008,0.4537
2.27460e-008,0.3520
2.27800e-008,0.2785
2.28140e-008,0.2278
2.28480e-008,0.1951
2.28820e-008,0.1872
2.29160e-008,0.2096
2.29500e-008,0.2534
2.29840e-008,0.3006
2.30180e-008,0.3404
2.30520e-008,0.3748
2.30860e-008,0.4068
2.31200e-008,0.4326
2.31540e-008,0.4473
2.31880e-008,0.4522
2.32220e-008,0.4533
2.32560e-008,0.4549
2.32900e-008,0.4568
2.33240e-008,0.4578
2.33580e-008,0.4590
2.33920e-008,0.4634
2.34260e-008,0.4755
2.34600e-008,0.4992
2.34940e-008,0.5349
2.35280e-008,0.5822
2.35620e-008,0.6432
2.35960e-008,0.7150
2.36300e-008,0.7889
2.36640e-008,0.8560
2.36980e-008,0.9099
2.37320e-008,0.9483
2.37660e-008,0.9722
2.38000e-008,0.9818
2.38340e-008,0.9789
2.38680e-008,0.9703
2.39020e-008,0.9641
2.39360e-008,0.9656
2.39700e-008,0.9743
