.HEADER
..NAMES
Time,V U2.L2
.DATA
0.0e+000,0.2484
4.59e-011,0.2484
9.18e-011,0.2484
1.378e-010,0.2484
1.837e-010,0.2484
2.296e-010,0.2484
2.755e-010,0.2484
3.215e-010,0.2484
3.674e-010,0.2484
4.133e-010,0.2484
4.592e-010,0.2484
5.052e-010,0.2484
5.511e-010,0.2484
5.970e-010,0.2484
6.430e-010,0.2484
6.889e-010,0.2484
7.348e-010,0.2484
7.807e-010,0.2487
8.266e-010,0.2611
8.726e-010,0.3316
9.185e-010,0.4408
9.644e-010,0.5813
1.0104e-009,0.7665
1.0563e-009,0.9283
1.1022e-009,1.0387
1.1481e-009,1.0978
1.1940e-009,1.1006
1.2400e-009,1.0824
1.2859e-009,1.0709
1.3318e-009,1.0751
1.3778e-009,1.1066
1.4237e-009,1.1537
1.4696e-009,1.1932
1.5155e-009,1.2213
1.5614e-009,1.2316
1.6074e-009,1.2265
1.6533e-009,1.2153
1.6992e-009,1.2064
1.7452e-009,1.1995
1.7911e-009,1.2038
1.8370e-009,1.2122
1.8829e-009,1.2243
1.9288e-009,1.2404
1.9748e-009,1.2516
2.0207e-009,1.2569
2.0666e-009,1.2561
2.1125e-009,1.2450
2.1585e-009,1.2303
2.2044e-009,1.2181
2.2503e-009,1.2128
2.2963e-009,1.2183
2.3422e-009,1.2309
2.3881e-009,1.2422
2.4340e-009,1.2446
2.4800e-009,1.2353
2.5259e-009,1.2188
2.5718e-009,1.2019
2.6177e-009,1.1936
2.6636e-009,1.1969
2.7096e-009,1.2101
2.7555e-009,1.2254
2.8014e-009,1.2358
2.8473e-009,1.2378
2.8933e-009,1.2317
2.9392e-009,1.2220
2.9851e-009,1.2133
3.0311e-009,1.2087
3.0770e-009,1.2094
3.1229e-009,1.2133
3.1688e-009,1.2184
3.2148e-009,1.2227
3.2607e-009,1.2250
3.3066e-009,1.2256
3.3525e-009,1.2243
3.3984e-009,1.2217
3.4444e-009,1.2182
3.4903e-009,1.2146
3.5362e-009,1.2125
3.5821e-009,1.2132
3.6281e-009,1.2168
3.6740e-009,1.2222
3.7199e-009,1.2270
3.7658e-009,1.2287
3.8118e-009,1.2263
3.8577e-009,1.2210
3.9036e-009,1.2154
3.9496e-009,1.2127
3.9955e-009,1.2142
4.0414e-009,1.2189
4.0873e-009,1.2241
4.1333e-009,1.2273
4.1792e-009,1.2269
4.2251e-009,1.2236
4.2710e-009,1.2195
4.3169e-009,1.2166
4.3629e-009,1.2161
4.4088e-009,1.2178
4.4547e-009,1.2206
4.5007e-009,1.2229
4.5466e-009,1.2219
4.5925e-009,1.1919
4.6384e-009,1.1079
4.6843e-009,1.0050
4.7303e-009,0.8627
4.7762e-009,0.7009
4.8221e-009,0.5587
4.8680e-009,0.4556
4.9140e-009,0.3965
4.9599e-009,0.3782
5.0058e-009,0.3766
5.0518e-009,0.3820
5.0977e-009,0.3776
5.1436e-009,0.3529
5.1895e-009,0.3161
5.2354e-009,0.2802
5.2814e-009,0.2528
5.3273e-009,0.2414
5.3732e-009,0.2440
5.4192e-009,0.2531
5.4651e-009,0.2626
5.5110e-009,0.2677
5.5569e-009,0.2627
5.6029e-009,0.2546
5.6488e-009,0.2404
5.6947e-009,0.2265
5.7406e-009,0.2172
5.7865e-009,0.2131
5.8325e-009,0.2156
5.8784e-009,0.2249
5.9243e-009,0.2355
5.9703e-009,0.2438
6.0162e-009,0.2461
6.0621e-009,0.2417
6.1080e-009,0.2338
6.1539e-009,0.2281
6.1999e-009,0.2292
6.2458e-009,0.2369
6.2917e-009,0.2489
6.3376e-009,0.2607
6.3836e-009,0.2675
6.4295e-009,0.2692
6.4754e-009,0.2977
6.5214e-009,0.3847
6.5673e-009,0.4944
6.6132e-009,0.6629
6.6591e-009,0.8467
6.7050e-009,0.9917
6.7510e-009,1.0843
6.7969e-009,1.1189
6.8428e-009,1.1037
6.8888e-009,1.0841
6.9347e-009,1.0728
6.9806e-009,1.0865
7.0265e-009,1.1273
7.0725e-009,1.1725
7.1184e-009,1.2087
7.1643e-009,1.2312
7.2102e-009,1.2359
7.2561e-009,1.2285
7.3021e-009,1.2190
7.3480e-009,1.2090
7.3939e-009,1.2038
7.4399e-009,1.2080
7.4858e-009,1.2142
7.5317e-009,1.2291
7.5776e-009,1.2453
7.6235e-009,1.2569
7.6695e-009,1.2632
7.7154e-009,1.2586
7.7613e-009,1.2432
7.8072e-009,1.2263
7.8532e-009,1.2132
7.8991e-009,1.2110
7.9450e-009,1.2210
7.9910e-009,1.2363
8.0369e-009,1.2472
8.0828e-009,1.2460
8.1287e-009,1.2331
8.1747e-009,1.2139
8.2206e-009,1.1982
8.2665e-009,1.1935
8.3124e-009,1.2014
8.3583e-009,1.2169
8.4043e-009,1.2315
8.4502e-009,1.2393
8.4961e-009,1.2377
8.5420e-009,1.2296
8.5880e-009,1.2199
8.6339e-009,1.2126
8.6798e-009,1.2101
8.7257e-009,1.2119
8.7717e-009,1.2158
8.8176e-009,1.2203
8.8635e-009,1.2238
8.9095e-009,1.2260
8.9554e-009,1.2269
9.0013e-009,1.2257
9.0472e-009,1.2230
9.0932e-009,1.2187
9.1391e-009,1.2144
9.1850e-009,1.2124
9.2309e-009,1.2139
9.2769e-009,1.2188
9.3228e-009,1.2253
9.3687e-009,1.2300
9.4146e-009,1.2304
9.4605e-009,1.2263
9.5065e-009,1.2198
9.5524e-009,1.2143
9.5983e-009,1.2129
9.6442e-009,1.2160
9.6902e-009,1.2217
9.7361e-009,1.2268
9.7820e-009,1.2288
9.8280e-009,1.2271
9.8739e-009,1.2230
9.9198e-009,1.2189
9.9657e-009,1.2169
1.00117e-008,1.2174
1.00576e-008,1.2197
1.01035e-008,1.2223
1.01494e-008,1.2240
1.01954e-008,1.2245
1.02413e-008,1.2240
1.02872e-008,1.2231
1.03331e-008,1.2222
1.03790e-008,1.2215
1.04250e-008,1.2209
1.04709e-008,1.2204
1.05168e-008,1.2202
1.05627e-008,1.2208
1.06087e-008,1.2220
1.06546e-008,1.2237
1.07005e-008,1.2248
1.07464e-008,1.2247
1.07924e-008,1.2233
1.08383e-008,1.2211
1.08842e-008,1.2194
1.09302e-008,1.2191
1.09761e-008,1.2204
1.10220e-008,1.2227
1.10679e-008,1.2246
1.11139e-008,1.2252
1.11598e-008,1.2242
1.12057e-008,1.2224
1.12516e-008,1.2208
1.12975e-008,1.2201
1.13435e-008,1.2206
1.13894e-008,1.2219
1.14353e-008,1.2231
1.14812e-008,1.2237
1.15272e-008,1.2236
1.15731e-008,1.2230
1.16190e-008,1.2223
1.16649e-008,1.2219
1.17109e-008,1.2219
1.17568e-008,1.2220
1.18027e-008,1.2222
1.18487e-008,1.2223
1.18946e-008,1.2224
1.19405e-008,1.2226
1.19864e-008,1.2229
1.20324e-008,1.2232
1.20783e-008,1.2231
1.21242e-008,1.2228
1.21701e-008,1.2222
1.22161e-008,1.2217
1.22620e-008,1.2216
1.23079e-008,1.2221
1.23538e-008,1.2228
1.23997e-008,1.2235
1.24457e-008,1.2236
1.24916e-008,1.2233
1.25375e-008,1.2226
1.25834e-008,1.2219
1.26294e-008,1.2217
1.26753e-008,1.2220
1.27212e-008,1.2226
1.27672e-008,1.2232
1.28131e-008,1.2234
1.28590e-008,1.2232
1.29049e-008,1.2228
1.29509e-008,1.2225
1.29968e-008,1.2223
1.30427e-008,1.2224
1.30886e-008,1.2226
1.31346e-008,1.2228
1.31805e-008,1.2229
1.32264e-008,1.2229
1.32723e-008,1.2228
1.33182e-008,1.2228
1.33642e-008,1.2229
1.34101e-008,1.2229
1.34560e-008,1.2228
1.35019e-008,1.2227
1.35479e-008,1.2226
1.35938e-008,1.2226
1.36397e-008,1.2227
1.36856e-008,1.2229
1.37316e-008,1.2231
1.37775e-008,1.2232
1.38234e-008,1.2231
1.38694e-008,1.2228
1.39153e-008,1.2214
1.39612e-008,1.1979
1.40071e-008,1.1203
1.40531e-008,1.0208
1.40990e-008,0.8860
1.41449e-008,0.7243
1.41908e-008,0.5788
1.42367e-008,0.4699
1.42827e-008,0.4043
1.43286e-008,0.3809
1.43745e-008,0.3768
1.44204e-008,0.3809
1.44664e-008,0.3786
1.45123e-008,0.3573
1.45582e-008,0.3228
1.46041e-008,0.2881
1.46501e-008,0.2598
1.46960e-008,0.2459
1.47419e-008,0.2453
1.47879e-008,0.2522
1.48338e-008,0.2604
1.48797e-008,0.2668
1.49256e-008,0.2639
1.49715e-008,0.2580
1.50175e-008,0.2457
1.50634e-008,0.2315
1.51093e-008,0.2208
1.51552e-008,0.2146
1.52012e-008,0.2151
1.52471e-008,0.2234
1.52930e-008,0.2343
1.53389e-008,0.2439
1.53849e-008,0.2478
1.54308e-008,0.2445
