.HEADER
..NAMES
Time,V U2.D3
.DATA
0.0e+000,0.0000
4.24e-011,0.0000
8.49e-011,0.0000
1.273e-010,0.0000
1.697e-010,0.0000
2.121e-010,0.0000
2.545e-010,0.0000
2.970e-010,0.0000
3.394e-010,0.0000
3.818e-010,0.0000
4.242e-010,0.0000
4.667e-010,0.0000
5.091e-010,0.0000
5.515e-010,0.0000
5.940e-010,0.0000
6.364e-010,0.0000
6.788e-010,0.0000
7.212e-010,0.0000
7.636e-010,0.0000
8.061e-010,0.0000
8.485e-010,0.0000
8.909e-010,0.0000
9.333e-010,0.0000
9.758e-010,0.0000
1.0182e-009,0.0000
1.0606e-009,0.0000
1.1030e-009,-0.0000
1.1455e-009,-0.0006
1.1879e-009,0.0111
1.2303e-009,0.0720
1.2728e-009,0.1809
1.3152e-009,0.3474
1.3576e-009,0.5414
1.4000e-009,0.7772
1.4425e-009,1.0129
1.4849e-009,1.2259
1.5273e-009,1.3959
1.5697e-009,1.5213
1.6121e-009,1.6054
1.6546e-009,1.6590
1.6970e-009,1.6930
1.7394e-009,1.7120
1.7819e-009,1.7228
1.8243e-009,1.7297
1.8667e-009,1.7354
1.9091e-009,1.7415
1.9516e-009,1.7451
1.9940e-009,1.7510
2.0364e-009,1.7593
2.0788e-009,1.7221
2.1213e-009,1.5122
2.1637e-009,1.2483
2.2061e-009,0.9788
2.2485e-009,0.5975
2.2910e-009,0.2364
2.3334e-009,-0.0623
2.3758e-009,-0.2679
2.4182e-009,-0.3860
2.4606e-009,-0.4117
2.5031e-009,-0.4072
2.5455e-009,-0.3896
2.5879e-009,-0.3708
2.6303e-009,-0.3492
2.6728e-009,-0.3266
2.7152e-009,-0.3121
2.7576e-009,-0.3079
2.8000e-009,-0.3010
2.8425e-009,-0.2947
2.8849e-009,-0.3004
2.9273e-009,-0.3240
2.9698e-009,-0.2987
3.0122e-009,-0.2276
3.0546e-009,-0.1690
3.0970e-009,-0.0917
3.1395e-009,0.0077
3.1819e-009,0.0941
3.2243e-009,0.1495
3.2667e-009,0.1832
3.3092e-009,0.1912
3.3516e-009,0.1820
3.3940e-009,0.1688
3.4364e-009,0.1573
3.4789e-009,0.1481
3.5213e-009,0.1364
3.5637e-009,0.1265
3.6061e-009,0.1248
3.6485e-009,0.1263
3.6910e-009,0.1236
3.7334e-009,0.1201
3.7758e-009,0.1309
3.8183e-009,0.1413
3.8607e-009,0.1279
3.9031e-009,0.1041
3.9455e-009,0.0771
3.9879e-009,0.0381
4.0304e-009,-0.0061
4.0728e-009,-0.0421
4.1152e-009,-0.0685
4.1577e-009,-0.0833
4.2001e-009,-0.0842
4.2425e-009,-0.0772
4.2849e-009,-0.0688
4.3274e-009,-0.0634
4.3698e-009,-0.0588
4.4122e-009,-0.0529
4.4546e-009,-0.0493
4.4970e-009,-0.0507
4.5395e-009,-0.0525
4.5819e-009,-0.0507
4.6243e-009,-0.0513
4.6668e-009,-0.0581
4.7092e-009,-0.0613
4.7516e-009,-0.0565
4.7940e-009,-0.0479
4.8364e-009,-0.0344
4.8789e-009,-0.0155
4.9213e-009,0.0035
4.9637e-009,0.0195
5.0062e-009,0.0319
