.HEADER
..NAMES
Time,V U2.E7
.DATA
0.0e+000,0.0000
4.24e-011,0.0000
8.49e-011,0.0000
1.273e-010,0.0000
1.697e-010,0.0000
2.121e-010,0.0000
2.545e-010,0.0000
2.970e-010,0.0000
3.394e-010,0.0000
3.818e-010,0.0000
4.242e-010,0.0000
4.667e-010,0.0000
5.091e-010,0.0000
5.515e-010,0.0000
5.940e-010,0.0000
6.364e-010,0.0000
6.788e-010,0.0000
7.212e-010,0.0000
7.636e-010,0.0000
8.061e-010,0.0000
8.485e-010,0.0000
8.909e-010,0.0000
9.333e-010,0.0000
9.758e-010,0.0000
1.0182e-009,0.0000
1.0606e-009,0.0000
1.1030e-009,-0.0005
1.1455e-009,0.0077
1.1879e-009,0.0603
1.2303e-009,0.1603
1.2728e-009,0.3274
1.3152e-009,0.5307
1.3576e-009,0.7764
1.4000e-009,1.0196
1.4425e-009,1.2347
1.4849e-009,1.4044
1.5273e-009,1.5239
1.5697e-009,1.6069
1.6121e-009,1.6590
1.6546e-009,1.6981
1.6970e-009,1.7214
1.7394e-009,1.7421
1.7819e-009,1.7575
1.8243e-009,1.7667
1.8667e-009,1.7718
1.9091e-009,1.7747
1.9516e-009,1.7713
1.9940e-009,1.7537
2.0364e-009,1.6918
2.0788e-009,1.4918
2.1213e-009,1.2269
2.1637e-009,0.9363
2.2061e-009,0.5622
2.2485e-009,0.2296
2.2910e-009,-0.0296
2.3334e-009,-0.1986
2.3758e-009,-0.2960
2.4182e-009,-0.3313
2.4606e-009,-0.3438
2.5031e-009,-0.3528
2.5455e-009,-0.3437
2.5879e-009,-0.3453
2.6303e-009,-0.3427
2.6728e-009,-0.3373
2.7152e-009,-0.3225
2.7576e-009,-0.3089
2.8000e-009,-0.3056
2.8425e-009,-0.2692
2.8849e-009,-0.2037
2.9273e-009,-0.1439
2.9698e-009,-0.0645
3.0122e-009,0.0638
3.0546e-009,0.2022
3.0970e-009,0.3292
3.1395e-009,0.5079
3.1819e-009,0.6657
3.2243e-009,0.8379
3.2667e-009,1.0134
3.3092e-009,1.1676
3.3516e-009,1.2970
3.3940e-009,1.4049
3.4364e-009,1.4964
3.4789e-009,1.5491
3.5213e-009,1.5903
3.5637e-009,1.6228
3.6061e-009,1.6472
3.6485e-009,1.6517
3.6910e-009,1.6508
3.7334e-009,1.6546
3.7758e-009,1.6453
3.8183e-009,1.6287
3.8607e-009,1.6229
3.9031e-009,1.6084
3.9455e-009,1.5957
3.9879e-009,1.5845
4.0304e-009,1.5637
4.0728e-009,1.5370
4.1152e-009,1.5156
4.1577e-009,1.4972
4.2001e-009,1.4743
4.2425e-009,1.4604
4.2849e-009,1.4532
4.3274e-009,1.4472
4.3698e-009,1.4409
4.4122e-009,1.4374
4.4546e-009,1.4387
4.4970e-009,1.4383
4.5395e-009,1.4396
4.5819e-009,1.4454
4.6243e-009,1.4491
4.6668e-009,1.4542
4.7092e-009,1.4604
4.7516e-009,1.4638
4.7940e-009,1.4674
4.8364e-009,1.4821
4.8789e-009,1.5018
4.9213e-009,1.4284
4.9637e-009,1.3408
5.0062e-009,1.1786
5.0486e-009,0.9375
5.0910e-009,0.6648
