.HEADER
..NAMES
Time,V U3.E7
.DATA
0.0e+000,1.4982
4.24e-011,1.4982
8.49e-011,1.4982
1.273e-010,1.4982
1.697e-010,1.4982
2.121e-010,1.4982
2.545e-010,1.4982
2.970e-010,1.4982
3.394e-010,1.4982
3.818e-010,1.4982
4.242e-010,1.4982
4.667e-010,1.4982
5.091e-010,1.4982
5.515e-010,1.4982
5.940e-010,1.4982
6.364e-010,1.4982
6.788e-010,1.4982
7.212e-010,1.4982
7.636e-010,1.4982
8.061e-010,1.4982
8.485e-010,1.4982
8.909e-010,1.4982
9.333e-010,1.4982
9.758e-010,1.4982
1.0182e-009,1.4982
1.0606e-009,1.4982
1.1030e-009,1.4984
1.1455e-009,1.5081
1.1879e-009,1.4920
1.2303e-009,1.4026
1.2728e-009,1.2951
1.3152e-009,1.1068
1.3576e-009,0.8588
1.4000e-009,0.5942
1.4425e-009,0.3416
1.4849e-009,0.1217
1.5273e-009,-0.0531
1.5697e-009,-0.1671
1.6121e-009,-0.2423
1.6546e-009,-0.2923
1.6970e-009,-0.3252
1.7394e-009,-0.3501
1.7819e-009,-0.3730
1.8243e-009,-0.3918
1.8667e-009,-0.4008
1.9091e-009,-0.4031
1.9516e-009,-0.3976
1.9940e-009,-0.3907
2.0364e-009,-0.3921
2.0788e-009,-0.3777
2.1213e-009,-0.3483
2.1637e-009,-0.3135
2.2061e-009,-0.2619
2.2485e-009,-0.1946
2.2910e-009,-0.1211
2.3334e-009,-0.0526
2.3758e-009,0.0091
2.4182e-009,0.0582
2.4606e-009,0.0890
2.5031e-009,0.1099
2.5455e-009,0.1250
2.5879e-009,0.1356
2.6303e-009,0.1433
2.6728e-009,0.1523
2.7152e-009,0.1613
2.7576e-009,0.1679
2.8000e-009,0.1716
2.8425e-009,0.1697
2.8849e-009,0.1674
2.9273e-009,0.1665
2.9698e-009,0.1618
3.0122e-009,0.1536
3.0546e-009,0.1414
3.0970e-009,0.1221
3.1395e-009,0.0948
3.1819e-009,0.0634
3.2243e-009,0.0324
3.2667e-009,0.0030
3.3092e-009,-0.0207
3.3516e-009,-0.0361
3.3940e-009,-0.0457
3.4364e-009,-0.0524
3.4789e-009,-0.0569
3.5213e-009,-0.0604
3.5637e-009,-0.0649
3.6061e-009,-0.0699
3.6485e-009,-0.0744
3.6910e-009,-0.0769
3.7334e-009,-0.0765
3.7758e-009,-0.0752
3.8183e-009,-0.0736
3.8607e-009,-0.0713
3.9031e-009,-0.0680
3.9455e-009,-0.0635
3.9879e-009,-0.0485
4.0304e-009,0.0068
4.0728e-009,0.1046
4.1152e-009,0.2689
4.1577e-009,0.4733
4.2001e-009,0.7118
4.2425e-009,0.9567
4.2849e-009,1.1758
4.3274e-009,1.3563
4.3698e-009,1.4890
4.4122e-009,1.5837
4.4546e-009,1.6493
4.4970e-009,1.6968
4.5395e-009,1.7356
4.5819e-009,1.7660
4.6243e-009,1.7914
4.6668e-009,1.8094
4.7092e-009,1.8205
4.7516e-009,1.8224
4.7940e-009,1.8172
4.8364e-009,1.8110
4.8789e-009,1.7902
4.9213e-009,1.6677
4.9637e-009,1.4120
5.0062e-009,1.1375
5.0486e-009,0.7695
5.0910e-009,0.3804
5.1334e-009,0.0459
5.1758e-009,-0.1974
5.2183e-009,-0.3472
5.2607e-009,-0.4173
5.3031e-009,-0.4216
5.3456e-009,-0.4174
5.3880e-009,-0.4249
5.4304e-009,-0.4344
5.4728e-009,-0.4406
5.5153e-009,-0.4383
5.5577e-009,-0.4293
5.6001e-009,-0.4104
5.6425e-009,-0.3870
5.6849e-009,-0.3602
5.7274e-009,-0.3424
5.7698e-009,-0.3279
5.8122e-009,-0.2743
5.8547e-009,-0.1559
5.8971e-009,0.0867
5.9395e-009,0.3444
5.9819e-009,0.6734
6.0243e-009,1.0024
6.0668e-009,1.2590
6.1092e-009,1.4413
6.1516e-009,1.5393
6.1941e-009,1.5828
6.2365e-009,1.5938
6.2789e-009,1.6088
6.3213e-009,1.6389
6.3637e-009,1.6710
6.4062e-009,1.7118
6.4486e-009,1.7450
6.4910e-009,1.7659
6.5335e-009,1.7623
6.5759e-009,1.7440
6.6183e-009,1.7248
6.6607e-009,1.7095
6.7032e-009,1.7001
6.7456e-009,1.6639
6.7880e-009,1.6101
6.8304e-009,1.5545
6.8728e-009,1.4845
6.9153e-009,1.4220
6.9577e-009,1.3838
7.0001e-009,1.3735
7.0426e-009,1.3843
7.0850e-009,1.4064
7.1274e-009,1.4328
7.1698e-009,1.4446
7.2122e-009,1.4421
7.2547e-009,1.4302
7.2971e-009,1.4133
7.3395e-009,1.3959
7.3820e-009,1.3852
7.4244e-009,1.3883
7.4668e-009,1.3999
7.5092e-009,1.4149
7.5516e-009,1.4236
7.5941e-009,1.4275
7.6365e-009,1.4383
7.6789e-009,1.4539
7.7213e-009,1.4744
7.7638e-009,1.5008
7.8062e-009,1.5267
7.8486e-009,1.5447
7.8910e-009,1.5508
7.9335e-009,1.5478
7.9759e-009,1.5364
8.0183e-009,1.5221
8.0608e-009,1.5137
8.1032e-009,1.5135
8.1456e-009,1.5193
8.1880e-009,1.5282
8.2305e-009,1.5383
8.2729e-009,1.5445
8.3153e-009,1.5438
8.3577e-009,1.5370
8.4001e-009,1.5279
8.4426e-009,1.5221
8.4850e-009,1.5195
8.5274e-009,1.5170
8.5698e-009,1.5135
8.6123e-009,1.5083
8.6547e-009,1.5120
8.6971e-009,1.4711
8.7396e-009,1.3742
8.7820e-009,1.2575
8.8244e-009,1.0590
8.8668e-009,0.8158
8.9093e-009,0.5621
8.9517e-009,0.3196
8.9941e-009,0.1055
9.0365e-009,-0.0643
9.0790e-009,-0.1765
9.1214e-009,-0.2550
9.1638e-009,-0.3040
9.2062e-009,-0.3338
9.2486e-009,-0.3527
9.2911e-009,-0.3702
9.3335e-009,-0.3854
9.3759e-009,-0.3944
9.4183e-009,-0.3978
9.4608e-009,-0.3920
9.5032e-009,-0.3871
9.5456e-009,-0.3862
9.5881e-009,-0.3669
9.6305e-009,-0.3377
9.6729e-009,-0.3022
9.7153e-009,-0.2490
9.7578e-009,-0.1839
9.8002e-009,-0.1151
9.8426e-009,-0.0508
9.8850e-009,0.0094
9.9274e-009,0.0572
9.9699e-009,0.0892
1.00123e-008,0.1128
1.00547e-008,0.1296
1.00971e-008,0.1401
1.01396e-008,0.1465
1.01820e-008,0.1534
1.02244e-008,0.1600
1.02668e-008,0.1654
1.03093e-008,0.1687
1.03517e-008,0.1673
1.03941e-008,0.1665
1.04366e-008,0.1652
1.04790e-008,0.1593
1.05214e-008,0.1480
1.05638e-008,0.1174
1.06063e-008,0.1122
1.06487e-008,0.1547
1.06911e-008,0.2515
1.07335e-008,0.4035
1.07759e-008,0.6163
1.08184e-008,0.8588
1.08608e-008,1.0939
1.09032e-008,1.2957
1.09456e-008,1.4526
1.09881e-008,1.5640
1.10305e-008,1.6375
1.10729e-008,1.6882
1.11154e-008,1.7249
1.11578e-008,1.7536
1.12002e-008,1.7803
1.12426e-008,1.8050
1.12851e-008,1.8229
1.13275e-008,1.8317
1.13699e-008,1.8306
1.14123e-008,1.8291
1.14548e-008,1.8325
1.14972e-008,1.8283
1.15396e-008,1.8076
1.15820e-008,1.7719
1.16244e-008,1.7218
1.16669e-008,1.6566
1.17093e-008,1.5853
1.17517e-008,1.5216
1.17941e-008,1.4724
1.18366e-008,1.4395
1.18790e-008,1.4218
1.19214e-008,1.4141
1.19639e-008,1.4089
1.20063e-008,1.4031
1.20487e-008,1.3963
1.20911e-008,1.3871
1.21336e-008,1.3766
1.21760e-008,1.3677
1.22184e-008,1.3642
1.22608e-008,1.3668
1.23032e-008,1.3705
1.23457e-008,1.3719
1.23881e-008,1.3741
1.24305e-008,1.3805
1.24729e-008,1.3924
1.25154e-008,1.4107
1.25578e-008,1.4359
1.26002e-008,1.4644
1.26427e-008,1.4910
1.26851e-008,1.5123
1.27275e-008,1.5261
1.27699e-008,1.5319
1.28124e-008,1.5324
1.28548e-008,1.5319
1.28972e-008,1.5323
1.29396e-008,1.5345
1.29821e-008,1.5385
1.30245e-008,1.5438
1.30669e-008,1.5488
1.31093e-008,1.5507
1.31517e-008,1.5491
1.31942e-008,1.5460
1.32366e-008,1.5437
1.32790e-008,1.5420
1.33214e-008,1.5441
1.33639e-008,1.5312
1.34063e-008,1.4369
1.34487e-008,1.3186
1.34912e-008,1.1329
1.35336e-008,0.8797
1.35760e-008,0.6102
1.36184e-008,0.3553
1.36609e-008,0.1359
1.37033e-008,-0.0392
1.37457e-008,-0.1565
1.37881e-008,-0.2315
1.38306e-008,-0.2854
1.38730e-008,-0.3216
1.39154e-008,-0.3502
1.39578e-008,-0.3741
1.40002e-008,-0.3931
1.40427e-008,-0.4006
1.40851e-008,-0.4008
1.41275e-008,-0.3955
1.41699e-008,-0.3872
1.42124e-008,-0.3872
1.42548e-008,-0.3747
1.42972e-008,-0.3432
1.43397e-008,-0.3073
1.43821e-008,-0.2570
1.44245e-008,-0.1906
1.44669e-008,-0.1175
1.45094e-008,-0.0504
1.45518e-008,0.0081
1.45942e-008,0.0558
1.46366e-008,0.0862
1.46790e-008,0.1063
1.47215e-008,0.1220
1.47639e-008,0.1339
1.48063e-008,0.1429
1.48487e-008,0.1524
1.48912e-008,0.1622
1.49336e-008,0.1684
1.49760e-008,0.1714
1.50185e-008,0.1692
1.50609e-008,0.1659
1.51033e-008,0.1650
1.51457e-008,0.1606
1.51881e-008,0.1517
1.52306e-008,0.1390
1.52730e-008,0.1199
1.53154e-008,0.0930
1.53579e-008,0.0616
1.54003e-008,0.0312
1.54427e-008,0.0030
1.54851e-008,-0.0201
1.55276e-008,-0.0350
1.55700e-008,-0.0442
1.56124e-008,-0.0509
1.56548e-008,-0.0561
1.56972e-008,-0.0601
1.57397e-008,-0.0650
1.57821e-008,-0.0704
1.58245e-008,-0.0748
1.58670e-008,-0.0770
1.59094e-008,-0.0762
1.59518e-008,-0.0745
1.59942e-008,-0.0730
1.60366e-008,-0.0707
1.60791e-008,-0.0673
1.61215e-008,-0.0626
1.61639e-008,-0.0554
1.62064e-008,-0.0446
1.62488e-008,-0.0315
1.62912e-008,-0.0179
1.63336e-008,-0.0046
1.63761e-008,0.0067
1.64185e-008,0.0143
1.64609e-008,0.0187
1.65033e-008,0.0217
1.65457e-008,0.0237
1.65882e-008,0.0254
1.66306e-008,0.0277
1.66730e-008,0.0306
1.67155e-008,0.0333
1.67579e-008,0.0349
1.68003e-008,0.0351
1.68427e-008,0.0343
1.68851e-008,0.0331
