.HEADER
..NAMES
Time,V U2.E3
.DATA
0.0e+000,0.2166
4.24e-011,0.2166
8.49e-011,0.2166
1.273e-010,0.2166
1.697e-010,0.2166
2.121e-010,0.2166
2.545e-010,0.2166
2.970e-010,0.2166
3.394e-010,0.2166
3.818e-010,0.2166
4.242e-010,0.2166
4.667e-010,0.2166
5.091e-010,0.2166
5.515e-010,0.2166
5.940e-010,0.2166
6.364e-010,0.2166
6.788e-010,0.2166
7.212e-010,0.2166
7.636e-010,0.2166
8.061e-010,0.2166
8.485e-010,0.2166
8.909e-010,0.2166
9.333e-010,0.2166
9.758e-010,0.2166
1.0182e-009,0.2166
1.0606e-009,0.2167
1.1030e-009,0.2352
1.1455e-009,0.3281
1.1879e-009,0.4585
1.2303e-009,0.6279
1.2728e-009,0.8032
1.3152e-009,0.9448
1.3576e-009,1.0624
1.4000e-009,1.1462
1.4425e-009,1.2019
1.4849e-009,1.2338
1.5273e-009,1.2539
1.5697e-009,1.2625
1.6121e-009,1.2639
1.6546e-009,1.2654
1.6970e-009,1.2628
1.7394e-009,1.2607
1.7819e-009,1.2600
1.8243e-009,1.2652
1.8667e-009,1.2741
1.9091e-009,1.2796
1.9516e-009,1.2816
1.9940e-009,1.2753
2.0364e-009,1.2664
2.0788e-009,1.2603
2.1213e-009,1.2545
2.1637e-009,1.2508
2.2061e-009,1.2496
2.2485e-009,1.2500
2.2910e-009,1.2505
2.3334e-009,1.2523
2.3758e-009,1.2537
2.4182e-009,1.2544
2.4606e-009,1.2559
2.5031e-009,1.2571
2.5455e-009,1.2582
2.5879e-009,1.2586
2.6303e-009,1.2580
2.6728e-009,1.2566
2.7152e-009,1.2554
2.7576e-009,1.2558
2.8000e-009,1.2568
2.8425e-009,1.2575
2.8849e-009,1.2581
2.9273e-009,1.2583
2.9698e-009,1.2584
3.0122e-009,1.2586
3.0546e-009,1.2586
3.0970e-009,1.2583
3.1395e-009,1.2583
3.1819e-009,1.2584
3.2243e-009,1.2583
3.2667e-009,1.2583
3.3092e-009,1.2582
3.3516e-009,1.2580
3.3940e-009,1.2581
3.4364e-009,1.2584
3.4789e-009,1.2587
3.5213e-009,1.2588
3.5637e-009,1.2587
3.6061e-009,1.2586
3.6485e-009,1.2586
3.6910e-009,1.2587
3.7334e-009,1.2587
3.7758e-009,1.2587
3.8183e-009,1.2587
3.8607e-009,1.2585
3.9031e-009,1.2432
3.9455e-009,1.1418
3.9879e-009,0.9851
4.0304e-009,0.8251
4.0728e-009,0.6442
4.1152e-009,0.4959
4.1577e-009,0.3827
4.2001e-009,0.2974
4.2425e-009,0.2466
4.2849e-009,0.2230
4.3274e-009,0.2062
4.3698e-009,0.1976
4.4122e-009,0.2021
4.4546e-009,0.2041
4.4970e-009,0.2054
4.5395e-009,0.2098
4.5819e-009,0.2117
4.6243e-009,0.2064
4.6668e-009,0.1950
4.7092e-009,0.1900
4.7516e-009,0.1898
4.7940e-009,0.1954
4.8364e-009,0.2058
4.8789e-009,0.2118
4.9213e-009,0.2174
4.9637e-009,0.2239
5.0062e-009,0.2257
5.0486e-009,0.2241
5.0910e-009,0.2242
5.1334e-009,0.2239
5.1758e-009,0.2220
5.2183e-009,0.2215
5.2607e-009,0.2204
5.3031e-009,0.2187
5.3456e-009,0.2179
5.3880e-009,0.2176
5.4304e-009,0.2181
5.4728e-009,0.2197
5.5153e-009,0.2212
5.5577e-009,0.2207
5.6001e-009,0.2193
5.6425e-009,0.2191
5.6849e-009,0.2188
5.7274e-009,0.2180
5.7698e-009,0.2209
5.8122e-009,0.2751
5.8547e-009,0.3937
5.8971e-009,0.5402
5.9395e-009,0.7233
5.9819e-009,0.8801
6.0243e-009,1.0096
6.0668e-009,1.1113
6.1092e-009,1.1795
6.1516e-009,1.2221
6.1941e-009,1.2471
6.2365e-009,1.2613
6.2789e-009,1.2644
6.3213e-009,1.2660
6.3637e-009,1.2656
6.4062e-009,1.2627
6.4486e-009,1.2614
6.4910e-009,1.2628
6.5335e-009,1.2712
6.5759e-009,1.2786
6.6183e-009,1.2827
6.6607e-009,1.2804
6.7032e-009,1.2613
6.7456e-009,1.1699
6.7880e-009,0.9993
6.8304e-009,0.8349
6.8728e-009,0.6539
6.9153e-009,0.5001
6.9577e-009,0.3864
7.0001e-009,0.2982
7.0426e-009,0.2451
7.0850e-009,0.2207
7.1274e-009,0.2061
7.1698e-009,0.1963
7.2122e-009,0.2001
7.2547e-009,0.2050
7.2971e-009,0.2053
7.3395e-009,0.2082
7.3820e-009,0.2092
7.4244e-009,0.2050
7.4668e-009,0.1940
7.5092e-009,0.1878
7.5516e-009,0.1885
7.5941e-009,0.1939
7.6365e-009,0.2062
7.6789e-009,0.2584
7.7213e-009,0.3853
7.7638e-009,0.5355
7.8062e-009,0.7197
7.8486e-009,0.8785
7.8910e-009,1.0059
7.9335e-009,1.1104
7.9759e-009,1.1787
8.0183e-009,1.2215
8.0608e-009,1.2455
8.1032e-009,1.2600
8.1456e-009,1.2637
8.1880e-009,1.2646
8.2305e-009,1.2656
8.2729e-009,1.2640
8.3153e-009,1.2640
8.3577e-009,1.2647
8.4001e-009,1.2716
8.4426e-009,1.2793
8.4850e-009,1.2830
8.5274e-009,1.2809
8.5698e-009,1.2660
8.6123e-009,1.1958
8.6547e-009,1.0335
8.6971e-009,0.8692
8.7396e-009,0.6905
8.7820e-009,0.5277
8.8244e-009,0.4082
8.8668e-009,0.3142
8.9093e-009,0.2541
8.9517e-009,0.2247
8.9941e-009,0.2097
9.0365e-009,0.1979
9.0790e-009,0.1989
9.1214e-009,0.2047
9.1638e-009,0.2050
9.2062e-009,0.2076
9.2486e-009,0.2093
9.2911e-009,0.2066
9.3335e-009,0.1966
9.3759e-009,0.1888
9.4183e-009,0.1886
9.4608e-009,0.1924
9.5032e-009,0.2032
9.5456e-009,0.2411
9.5881e-009,0.3579
9.6305e-009,0.5036
9.6729e-009,0.6836
9.7153e-009,0.8509
9.7578e-009,0.9825
9.8002e-009,1.0930
9.8426e-009,1.1677
9.8850e-009,1.2152
9.9274e-009,1.2418
9.9699e-009,1.2582
1.00123e-008,1.2639
1.00547e-008,1.2644
1.00971e-008,1.2660
1.01396e-008,1.2643
1.01820e-008,1.2641
1.02244e-008,1.2644
1.02668e-008,1.2700
1.03093e-008,1.2783
