.HEADER
..NAMES
Time,V U2.H7
.DATA
0.0e+000,0.2174
4.24e-011,0.2174
8.49e-011,0.2174
1.273e-010,0.2174
1.697e-010,0.2174
2.121e-010,0.2174
2.545e-010,0.2174
2.970e-010,0.2174
3.394e-010,0.2174
3.818e-010,0.2174
4.242e-010,0.2174
4.667e-010,0.2174
5.091e-010,0.2174
5.515e-010,0.2174
5.940e-010,0.2174
6.364e-010,0.2174
6.788e-010,0.2174
7.212e-010,0.2174
7.636e-010,0.2174
8.061e-010,0.2174
8.485e-010,0.2174
8.909e-010,0.2174
9.333e-010,0.2174
9.758e-010,0.2174
1.0182e-009,0.2174
1.0606e-009,0.2174
1.1030e-009,0.2261
1.1455e-009,0.3146
1.1879e-009,0.4600
1.2303e-009,0.6198
1.2728e-009,0.7993
1.3152e-009,0.9375
1.3576e-009,1.0507
1.4000e-009,1.1287
1.4425e-009,1.1831
1.4849e-009,1.2197
1.5273e-009,1.2389
1.5697e-009,1.2512
1.6121e-009,1.2603
1.6546e-009,1.2695
1.6970e-009,1.2725
1.7394e-009,1.2735
1.7819e-009,1.2711
1.8243e-009,1.2622
1.8667e-009,1.2654
1.9091e-009,1.2740
1.9516e-009,1.2755
1.9940e-009,1.2756
2.0364e-009,1.2482
2.0788e-009,1.1086
2.1213e-009,0.9088
2.1637e-009,0.7526
2.2061e-009,0.5848
2.2485e-009,0.4489
2.2910e-009,0.3492
2.3334e-009,0.2893
2.3758e-009,0.2529
2.4182e-009,0.2263
2.4606e-009,0.2135
2.5031e-009,0.2073
2.5455e-009,0.1985
2.5879e-009,0.1912
2.6303e-009,0.1942
2.6728e-009,0.1971
2.7152e-009,0.1997
2.7576e-009,0.2090
2.8000e-009,0.2015
2.8425e-009,0.1866
2.8849e-009,0.1916
2.9273e-009,0.1987
2.9698e-009,0.2087
3.0122e-009,0.2937
3.0546e-009,0.4573
3.0970e-009,0.6174
3.1395e-009,0.7982
3.1819e-009,0.9362
3.2243e-009,1.0513
3.2667e-009,1.1298
3.3092e-009,1.1809
3.3516e-009,1.2198
3.3940e-009,1.2416
3.4364e-009,1.2531
3.4789e-009,1.2634
3.5213e-009,1.2718
3.5637e-009,1.2715
3.6061e-009,1.2728
3.6485e-009,1.2743
3.6910e-009,1.2648
3.7334e-009,1.2653
3.7758e-009,1.2761
3.8183e-009,1.2781
3.8607e-009,1.2768
3.9031e-009,1.2577
3.9455e-009,1.1463
3.9879e-009,0.9445
4.0304e-009,0.7850
4.0728e-009,0.6174
4.1152e-009,0.4754
4.1577e-009,0.3671
4.2001e-009,0.3003
4.2425e-009,0.2605
4.2849e-009,0.2310
4.3274e-009,0.2153
4.3698e-009,0.2096
4.4122e-009,0.2015
4.4546e-009,0.1927
4.4970e-009,0.1939
4.5395e-009,0.1979
4.5819e-009,0.1989
4.6243e-009,0.2078
4.6668e-009,0.2052
4.7092e-009,0.1891
4.7516e-009,0.1904
4.7940e-009,0.1982
4.8364e-009,0.2037
4.8789e-009,0.2087
4.9213e-009,0.2150
4.9637e-009,0.2223
5.0062e-009,0.2239
5.0486e-009,0.2227
5.0910e-009,0.2233
5.1334e-009,0.2226
5.1758e-009,0.2193
5.2183e-009,0.2194
5.2607e-009,0.2216
5.3031e-009,0.2208
5.3456e-009,0.2217
5.3880e-009,0.2214
5.4304e-009,0.2175
5.4728e-009,0.2175
5.5153e-009,0.2200
5.5577e-009,0.2208
5.6001e-009,0.2200
5.6425e-009,0.2190
5.6849e-009,0.2196
5.7274e-009,0.2194
5.7698e-009,0.2188
5.8122e-009,0.2579
5.8547e-009,0.3902
5.8971e-009,0.5357
5.9395e-009,0.7167
5.9819e-009,0.8750
6.0243e-009,1.0010
6.0668e-009,1.0955
6.1092e-009,1.1600
6.1516e-009,1.2048
6.1941e-009,1.2313
6.2365e-009,1.2472
6.2789e-009,1.2573
6.3213e-009,1.2665
6.3637e-009,1.2724
6.4062e-009,1.2736
6.4486e-009,1.2747
6.4910e-009,1.2669
6.5335e-009,1.2625
6.5759e-009,1.2716
6.6183e-009,1.2760
6.6607e-009,1.2770
6.7032e-009,1.2743
6.7456e-009,1.2668
6.7880e-009,1.2607
6.8304e-009,1.2549
6.8728e-009,1.2522
6.9153e-009,1.2514
6.9577e-009,1.2511
7.0001e-009,1.2516
7.0426e-009,1.2540
7.0850e-009,1.2557
7.1274e-009,1.2553
7.1698e-009,1.2558
7.2122e-009,1.2546
7.2547e-009,1.2537
7.2971e-009,1.2566
7.3395e-009,1.2581
7.3820e-009,1.2577
7.4244e-009,1.2569
7.4668e-009,1.2559
7.5092e-009,1.2562
7.5516e-009,1.2566
7.5941e-009,1.2571
7.6365e-009,1.2578
7.6789e-009,1.2580
7.7213e-009,1.2578
7.7638e-009,1.2581
7.8062e-009,1.2583
7.8486e-009,1.2578
7.8910e-009,1.2577
7.9335e-009,1.2575
7.9759e-009,1.2573
8.0183e-009,1.2581
8.0608e-009,1.2584
8.1032e-009,1.2581
8.1456e-009,1.2578
8.1880e-009,1.2576
8.2305e-009,1.2580
8.2729e-009,1.2582
8.3153e-009,1.2582
8.3577e-009,1.2582
8.4001e-009,1.2582
8.4426e-009,1.2581
8.4850e-009,1.2582
8.5274e-009,1.2584
8.5698e-009,1.2582
8.6123e-009,1.2582
8.6547e-009,1.2583
8.6971e-009,1.2583
8.7396e-009,1.2585
8.7820e-009,1.2586
8.8244e-009,1.2585
8.8668e-009,1.2584
8.9093e-009,1.2584
8.9517e-009,1.2586
8.9941e-009,1.2587
9.0365e-009,1.2586
9.0790e-009,1.2586
9.1214e-009,1.2586
9.1638e-009,1.2586
9.2062e-009,1.2587
9.2486e-009,1.2587
9.2911e-009,1.2587
9.3335e-009,1.2587
9.3759e-009,1.2587
9.4183e-009,1.2588
9.4608e-009,1.2588
9.5032e-009,1.2588
9.5456e-009,1.2588
9.5881e-009,1.2588
9.6305e-009,1.2588
9.6729e-009,1.2589
9.7153e-009,1.2589
9.7578e-009,1.2589
9.8002e-009,1.2589
9.8426e-009,1.2589
9.8850e-009,1.2590
9.9274e-009,1.2590
9.9699e-009,1.2590
1.00123e-008,1.2590
1.00547e-008,1.2590
1.00971e-008,1.2590
1.01396e-008,1.2590
1.01820e-008,1.2591
1.02244e-008,1.2591
1.02668e-008,1.2591
1.03093e-008,1.2591
1.03517e-008,1.2591
1.03941e-008,1.2591
1.04366e-008,1.2591
1.04790e-008,1.2591
1.05214e-008,1.2591
1.05638e-008,1.2592
1.06063e-008,1.2592
1.06487e-008,1.2592
1.06911e-008,1.2592
1.07335e-008,1.2592
1.07759e-008,1.2592
1.08184e-008,1.2592
1.08608e-008,1.2592
1.09032e-008,1.2592
1.09456e-008,1.2593
1.09881e-008,1.2593
1.10305e-008,1.2593
1.10729e-008,1.2593
1.11154e-008,1.2593
1.11578e-008,1.2593
1.12002e-008,1.2593
1.12426e-008,1.2593
1.12851e-008,1.2593
1.13275e-008,1.2593
1.13699e-008,1.2591
1.14123e-008,1.2439
1.14548e-008,1.1273
1.14972e-008,0.9445
1.15396e-008,0.7927
1.15820e-008,0.6204
1.16244e-008,0.4773
1.16669e-008,0.3725
1.17093e-008,0.3064
1.17517e-008,0.2632
1.17941e-008,0.2336
1.18366e-008,0.2194
1.18790e-008,0.2127
1.19214e-008,0.2059
1.19639e-008,0.1974
1.20063e-008,0.1967
1.20487e-008,0.1987
1.20911e-008,0.2011
1.21336e-008,0.2115
1.21760e-008,0.2066
1.22184e-008,0.1922
1.22608e-008,0.1955
1.23032e-008,0.2002
1.23457e-008,0.2043
1.23881e-008,0.2101
1.24305e-008,0.2177
1.24729e-008,0.2237
1.25154e-008,0.2250
1.25578e-008,0.2247
1.26002e-008,0.2254
1.26427e-008,0.2245
1.26851e-008,0.2211
1.27275e-008,0.2212
1.27699e-008,0.2227
1.28124e-008,0.2221
1.28548e-008,0.2239
1.28972e-008,0.2229
1.29396e-008,0.2189
1.29821e-008,0.2195
1.30245e-008,0.2215
1.30669e-008,0.2218
1.31093e-008,0.2212
1.31517e-008,0.2209
1.31942e-008,0.2212
1.32366e-008,0.2205
1.32790e-008,0.2195
1.33214e-008,0.2196
1.33639e-008,0.2200
1.34063e-008,0.2192
1.34487e-008,0.2193
1.34912e-008,0.2202
1.35336e-008,0.2200
1.35760e-008,0.2201
1.36184e-008,0.2199
1.36609e-008,0.2190
1.37033e-008,0.2192
1.37457e-008,0.2199
1.37881e-008,0.2200
1.38306e-008,0.2196
1.38730e-008,0.2193
1.39154e-008,0.2194
1.39578e-008,0.2195
1.40002e-008,0.2192
1.40427e-008,0.2192
1.40851e-008,0.2195
1.41275e-008,0.2192
1.41699e-008,0.2191
1.42124e-008,0.2194
1.42548e-008,0.2193
1.42972e-008,0.2192
1.43397e-008,0.2191
1.43821e-008,0.2190
1.44245e-008,0.2190
1.44669e-008,0.2192
1.45094e-008,0.2192
1.45518e-008,0.2190
1.45942e-008,0.2189
1.46366e-008,0.2189
1.46790e-008,0.2190
1.47215e-008,0.2189
1.47639e-008,0.2188
1.48063e-008,0.2189
1.48487e-008,0.2189
1.48912e-008,0.2188
1.49336e-008,0.2188
1.49760e-008,0.2188
1.50185e-008,0.2188
1.50609e-008,0.2187
1.51033e-008,0.2187
1.51457e-008,0.2195
1.51881e-008,0.2602
1.52306e-008,0.3932
1.52730e-008,0.5394
1.53154e-008,0.7207
1.53579e-008,0.8769
1.54003e-008,1.0029
1.54427e-008,1.0969
1.54851e-008,1.1610
1.55276e-008,1.2062
1.55700e-008,1.2323
1.56124e-008,1.2473
1.56548e-008,1.2571
1.56972e-008,1.2667
1.57397e-008,1.2730
1.57821e-008,1.2739
