.HEADER
..NAMES
Time,V U3.C3
.DATA
0.0e+000,1.2599
4.24e-011,1.2599
8.49e-011,1.2599
1.273e-010,1.2599
1.697e-010,1.2599
2.121e-010,1.2599
2.545e-010,1.2599
2.970e-010,1.2599
3.394e-010,1.2599
3.818e-010,1.2599
4.242e-010,1.2599
4.667e-010,1.2599
5.091e-010,1.2599
5.515e-010,1.2599
5.940e-010,1.2599
6.364e-010,1.2599
6.788e-010,1.2599
7.212e-010,1.2599
7.636e-010,1.2599
8.061e-010,1.2599
8.485e-010,1.2599
8.909e-010,1.2599
9.333e-010,1.2599
9.758e-010,1.2599
1.0182e-009,1.2599
1.0606e-009,1.2599
1.1030e-009,1.2589
1.1455e-009,1.2225
1.1879e-009,1.0582
1.2303e-009,0.8989
1.2728e-009,0.7420
1.3152e-009,0.5672
1.3576e-009,0.4393
1.4000e-009,0.3516
1.4425e-009,0.2925
1.4849e-009,0.2562
1.5273e-009,0.2405
1.5697e-009,0.2247
1.6121e-009,0.2241
1.6546e-009,0.2178
1.6970e-009,0.2123
1.7394e-009,0.2103
1.7819e-009,0.2070
1.8243e-009,0.2061
1.8667e-009,0.2113
1.9091e-009,0.2202
1.9516e-009,0.2085
1.9940e-009,0.1952
2.0364e-009,0.2017
2.0788e-009,0.2027
2.1213e-009,0.2049
2.1637e-009,0.2149
2.2061e-009,0.2224
2.2485e-009,0.2270
2.2910e-009,0.2310
2.3334e-009,0.2297
2.3758e-009,0.2286
2.4182e-009,0.2293
2.4606e-009,0.2256
2.5031e-009,0.2255
2.5455e-009,0.2255
2.5879e-009,0.2246
2.6303e-009,0.2255
2.6728e-009,0.2284
2.7152e-009,0.2269
2.7576e-009,0.2223
2.8000e-009,0.2236
2.8425e-009,0.2259
2.8849e-009,0.2250
2.9273e-009,0.2254
2.9698e-009,0.2259
3.0122e-009,0.2251
3.0546e-009,0.2249
3.0970e-009,0.2241
3.1395e-009,0.2230
3.1819e-009,0.2238
3.2243e-009,0.2236
3.2667e-009,0.2232
3.3092e-009,0.2240
3.3516e-009,0.2238
3.3940e-009,0.2235
3.4364e-009,0.2244
3.4789e-009,0.2244
3.5213e-009,0.2229
3.5637e-009,0.2228
3.6061e-009,0.2239
3.6485e-009,0.2238
3.6910e-009,0.2234
3.7334e-009,0.2235
3.7758e-009,0.2234
3.8183e-009,0.2233
3.8607e-009,0.2233
3.9031e-009,0.2230
3.9455e-009,0.2294
3.9879e-009,0.3181
4.0304e-009,0.4603
4.0728e-009,0.6120
4.1152e-009,0.7976
4.1577e-009,0.9337
4.2001e-009,1.0486
4.2425e-009,1.1280
4.2849e-009,1.1824
4.3274e-009,1.2127
4.3698e-009,1.2348
4.4122e-009,1.2449
4.4546e-009,1.2520
4.4970e-009,1.2608
4.5395e-009,1.2632
4.5819e-009,1.2689
4.6243e-009,1.2706
4.6668e-009,1.2703
4.7092e-009,1.2626
4.7516e-009,1.2640
4.7940e-009,1.2745
4.8364e-009,1.2768
4.8789e-009,1.2616
4.9213e-009,1.1243
4.9637e-009,0.9184
5.0062e-009,0.7678
5.0486e-009,0.5848
5.0910e-009,0.4465
5.1334e-009,0.3509
5.1758e-009,0.2908
5.2183e-009,0.2511
5.2607e-009,0.2376
5.3031e-009,0.2239
5.3456e-009,0.2185
5.3880e-009,0.2183
5.4304e-009,0.2092
5.4728e-009,0.2064
5.5153e-009,0.2020
5.5577e-009,0.2037
5.6001e-009,0.2074
5.6425e-009,0.2181
5.6849e-009,0.2130
5.7274e-009,0.1920
5.7698e-009,0.1929
5.8122e-009,0.2036
5.8547e-009,0.2866
5.8971e-009,0.4593
5.9395e-009,0.6149
5.9819e-009,0.8069
6.0243e-009,0.9473
6.0668e-009,1.0598
6.1092e-009,1.1346
6.1516e-009,1.1889
6.1941e-009,1.2159
6.2365e-009,1.2339
6.2789e-009,1.2467
6.3213e-009,1.2509
6.3637e-009,1.2626
6.4062e-009,1.2668
6.4486e-009,1.2729
6.4910e-009,1.2691
6.5335e-009,1.2683
6.5759e-009,1.2639
6.6183e-009,1.2632
6.6607e-009,1.2767
6.7032e-009,1.2813
