.HEADER
..NAMES
Time,V U3.A3
.DATA
0.0e+000,1.2605
4.24e-011,1.2605
8.49e-011,1.2605
1.273e-010,1.2605
1.697e-010,1.2605
2.121e-010,1.2605
2.545e-010,1.2605
2.970e-010,1.2605
3.394e-010,1.2605
3.818e-010,1.2605
4.242e-010,1.2605
4.667e-010,1.2605
5.091e-010,1.2605
5.515e-010,1.2605
5.940e-010,1.2605
6.364e-010,1.2605
6.788e-010,1.2605
7.212e-010,1.2605
7.636e-010,1.2605
8.061e-010,1.2605
8.485e-010,1.2605
8.909e-010,1.2605
9.333e-010,1.2605
9.758e-010,1.2605
1.0182e-009,1.2605
1.0606e-009,1.2605
1.1030e-009,1.2603
1.1455e-009,1.2410
1.1879e-009,1.1008
1.2303e-009,0.9099
1.2728e-009,0.7708
1.3152e-009,0.5970
1.3576e-009,0.4642
1.4000e-009,0.3748
1.4425e-009,0.3098
1.4849e-009,0.2654
1.5273e-009,0.2417
1.5697e-009,0.2305
1.6121e-009,0.2187
1.6546e-009,0.2196
1.6970e-009,0.2112
1.7394e-009,0.2084
1.7819e-009,0.2074
1.8243e-009,0.2054
1.8667e-009,0.2062
1.9091e-009,0.2152
1.9516e-009,0.2249
1.9940e-009,0.2104
2.0364e-009,0.1935
2.0788e-009,0.2004
2.1213e-009,0.2016
2.1637e-009,0.2032
2.2061e-009,0.2134
2.2485e-009,0.2191
2.2910e-009,0.2226
2.3334e-009,0.2271
2.3758e-009,0.2287
2.4182e-009,0.2271
2.4606e-009,0.2280
2.5031e-009,0.2258
2.5455e-009,0.2238
2.5879e-009,0.2253
2.6303e-009,0.2242
2.6728e-009,0.2236
2.7152e-009,0.2264
2.7576e-009,0.2289
2.8000e-009,0.2243
2.8425e-009,0.2200
2.8849e-009,0.2234
2.9273e-009,0.2249
2.9698e-009,0.2242
3.0122e-009,0.2284
3.0546e-009,0.3016
3.0970e-009,0.4544
3.1395e-009,0.6016
3.1819e-009,0.7857
3.2243e-009,0.9227
3.2667e-009,1.0325
3.3092e-009,1.1160
3.3516e-009,1.1733
3.3940e-009,1.2142
3.4364e-009,1.2330
3.4789e-009,1.2488
3.5213e-009,1.2535
3.5637e-009,1.2638
3.6061e-009,1.2665
3.6485e-009,1.2682
3.6910e-009,1.2728
3.7334e-009,1.2733
3.7758e-009,1.2691
3.8183e-009,1.2595
3.8607e-009,1.2624
3.9031e-009,1.2753
3.9455e-009,1.2787
3.9879e-009,1.2816
4.0304e-009,1.2779
4.0728e-009,1.2686
4.1152e-009,1.2637
4.1577e-009,1.2596
4.2001e-009,1.2566
4.2425e-009,1.2540
4.2849e-009,1.2536
4.3274e-009,1.2538
4.3698e-009,1.2559
4.4122e-009,1.2577
4.4546e-009,1.2568
4.4970e-009,1.2584
4.5395e-009,1.2588
4.5819e-009,1.2575
4.6243e-009,1.2553
4.6668e-009,1.2564
4.7092e-009,1.2600
4.7516e-009,1.2602
4.7940e-009,1.2597
4.8364e-009,1.2585
4.8789e-009,1.2569
4.9213e-009,1.2573
4.9637e-009,1.2584
5.0062e-009,1.2587
5.0486e-009,1.2588
5.0910e-009,1.2590
5.1334e-009,1.2592
5.1758e-009,1.2597
5.2183e-009,1.2599
5.2607e-009,1.2591
5.3031e-009,1.2592
5.3456e-009,1.2595
5.3880e-009,1.2591
5.4304e-009,1.2585
5.4728e-009,1.2590
5.5153e-009,1.2600
5.5577e-009,1.2599
5.6001e-009,1.2595
5.6425e-009,1.2592
5.6849e-009,1.2589
5.7274e-009,1.2593
5.7698e-009,1.2597
5.8122e-009,1.2597
5.8547e-009,1.2595
5.8971e-009,1.2595
5.9395e-009,1.2595
5.9819e-009,1.2597
6.0243e-009,1.2597
6.0668e-009,1.2595
6.1092e-009,1.2595
6.1516e-009,1.2598
6.1941e-009,1.2596
6.2365e-009,1.2595
6.2789e-009,1.2597
6.3213e-009,1.2599
6.3637e-009,1.2599
6.4062e-009,1.2597
6.4486e-009,1.2596
6.4910e-009,1.2596
6.5335e-009,1.2598
6.5759e-009,1.2599
6.6183e-009,1.2599
6.6607e-009,1.2598
6.7032e-009,1.2598
6.7456e-009,1.2598
6.7880e-009,1.2599
6.8304e-009,1.2599
6.8728e-009,1.2598
6.9153e-009,1.2598
6.9577e-009,1.2600
7.0001e-009,1.2599
7.0426e-009,1.2599
7.0850e-009,1.2599
7.1274e-009,1.2600
7.1698e-009,1.2600
7.2122e-009,1.2599
7.2547e-009,1.2599
7.2971e-009,1.2599
7.3395e-009,1.2600
7.3820e-009,1.2600
7.4244e-009,1.2600
7.4668e-009,1.2600
7.5092e-009,1.2600
7.5516e-009,1.2600
7.5941e-009,1.2600
7.6365e-009,1.2601
7.6789e-009,1.2585
7.7213e-009,1.2136
7.7638e-009,1.0338
7.8062e-009,0.8669
7.8486e-009,0.7171
7.8910e-009,0.5482
7.9335e-009,0.4322
7.9759e-009,0.3516
8.0183e-009,0.2934
8.0608e-009,0.2550
8.1032e-009,0.2378
8.1456e-009,0.2255
8.1880e-009,0.2183
8.2305e-009,0.2175
8.2729e-009,0.2087
8.3153e-009,0.2080
8.3577e-009,0.2062
8.4001e-009,0.2048
8.4426e-009,0.2074
8.4850e-009,0.2191
8.5274e-009,0.2229
8.5698e-009,0.2026
8.6123e-009,0.1937
8.6547e-009,0.2242
8.6971e-009,0.3641
8.7396e-009,0.5350
8.7820e-009,0.7124
8.8244e-009,0.8852
8.8668e-009,1.0010
8.9093e-009,1.0986
8.9517e-009,1.1640
8.9941e-009,1.2084
9.0365e-009,1.2336
9.0790e-009,1.2446
9.1214e-009,1.2547
9.1638e-009,1.2590
9.2062e-009,1.2678
9.2486e-009,1.2692
9.2911e-009,1.2764
9.3335e-009,1.2781
9.3759e-009,1.2708
9.4183e-009,1.2607
9.4608e-009,1.2574
9.5032e-009,1.2711
9.5456e-009,1.2821
9.5881e-009,1.2469
9.6305e-009,1.0677
9.6729e-009,0.8629
9.7153e-009,0.7121
9.7578e-009,0.5433
9.8002e-009,0.4256
9.8426e-009,0.3425
9.8850e-009,0.2827
9.9274e-009,0.2471
9.9699e-009,0.2316
1.00123e-008,0.2248
1.00547e-008,0.2154
1.00971e-008,0.2168
1.01396e-008,0.2085
1.01820e-008,0.2051
1.02244e-008,0.2016
1.02668e-008,0.2001
1.03093e-008,0.2063
1.03517e-008,0.2202
1.03941e-008,0.2260
1.04366e-008,0.2043
1.04790e-008,0.1872
1.05214e-008,0.1967
1.05638e-008,0.2003
1.06063e-008,0.2058
1.06487e-008,0.2149
1.06911e-008,0.2187
1.07335e-008,0.2228
1.07759e-008,0.2276
1.08184e-008,0.2287
1.08608e-008,0.2263
1.09032e-008,0.2266
1.09456e-008,0.2240
1.09881e-008,0.2227
1.10305e-008,0.2235
1.10729e-008,0.2223
1.11154e-008,0.2234
1.11578e-008,0.2273
1.12002e-008,0.2283
1.12426e-008,0.2217
1.12851e-008,0.2179
1.13275e-008,0.2225
1.13699e-008,0.2246
1.14123e-008,0.2243
1.14548e-008,0.2247
1.14972e-008,0.2234
1.15396e-008,0.2228
1.15820e-008,0.2236
1.16244e-008,0.2231
1.16669e-008,0.2219
1.17093e-008,0.2222
1.17517e-008,0.2219
1.17941e-008,0.2217
1.18366e-008,0.2227
1.18790e-008,0.2222
1.19214e-008,0.2220
1.19639e-008,0.2233
1.20063e-008,0.2234
1.20487e-008,0.2214
1.20911e-008,0.2205
1.21336e-008,0.2223
1.21760e-008,0.2230
1.22184e-008,0.2225
1.22608e-008,0.2222
1.23032e-008,0.2217
1.23457e-008,0.2217
1.23881e-008,0.2222
1.24305e-008,0.2221
1.24729e-008,0.2217
1.25154e-008,0.2219
1.25578e-008,0.2218
1.26002e-008,0.2218
1.26427e-008,0.2221
1.26851e-008,0.2219
1.27275e-008,0.2216
1.27699e-008,0.2220
1.28124e-008,0.2221
1.28548e-008,0.2214
1.28972e-008,0.2212
1.29396e-008,0.2218
1.29821e-008,0.2220
1.30245e-008,0.2217
1.30669e-008,0.2216
1.31093e-008,0.2214
1.31517e-008,0.2215
1.31942e-008,0.2217
1.32366e-008,0.2216
1.32790e-008,0.2215
1.33214e-008,0.2215
1.33639e-008,0.2215
1.34063e-008,0.2215
1.34487e-008,0.2216
1.34912e-008,0.2215
1.35336e-008,0.2213
1.35760e-008,0.2215
1.36184e-008,0.2215
1.36609e-008,0.2213
1.37033e-008,0.2212
1.37457e-008,0.2214
1.37881e-008,0.2215
1.38306e-008,0.2214
1.38730e-008,0.2213
1.39154e-008,0.2212
1.39578e-008,0.2213
1.40002e-008,0.2214
1.40427e-008,0.2213
1.40851e-008,0.2212
1.41275e-008,0.2212
1.41699e-008,0.2212
1.42124e-008,0.2212
1.42548e-008,0.2222
1.42972e-008,0.2762
1.43397e-008,0.4271
1.43821e-008,0.5716
1.44245e-008,0.7541
1.44669e-008,0.9021
1.45094e-008,1.0140
1.45518e-008,1.1030
1.45942e-008,1.1639
1.46366e-008,1.2074
1.46790e-008,1.2282
1.47215e-008,1.2453
1.47639e-008,1.2506
1.48063e-008,1.2589
1.48487e-008,1.2651
1.48912e-008,1.2671
1.49336e-008,1.2708
1.49760e-008,1.2711
1.50185e-008,1.2686
1.50609e-008,1.2589
1.51033e-008,1.2587
1.51457e-008,1.2723
1.51881e-008,1.2714
1.52306e-008,1.1888
1.52730e-008,0.9731
1.53154e-008,0.8055
1.53579e-008,0.6407
1.54003e-008,0.4891
1.54427e-008,0.3885
1.54851e-008,0.3145
1.55276e-008,0.2652
1.55700e-008,0.2362
1.56124e-008,0.2269
1.56548e-008,0.2177
1.56972e-008,0.2143
1.57397e-008,0.2111
1.57821e-008,0.2044
1.58245e-008,0.2038
1.58670e-008,0.1996
1.59094e-008,0.1995
1.59518e-008,0.2087
1.59942e-008,0.2227
1.60366e-008,0.2185
1.60791e-008,0.1932
1.61215e-008,0.1888
1.61639e-008,0.1976
1.62064e-008,0.1994
1.62488e-008,0.2084
1.62912e-008,0.2155
1.63336e-008,0.2188
1.63761e-008,0.2233
1.64185e-008,0.2270
