.HEADER
..NAMES
Time,V U3.D7
.DATA
0.0e+000,1.2598
4.24e-011,1.2598
8.49e-011,1.2598
1.273e-010,1.2598
1.697e-010,1.2598
2.121e-010,1.2598
2.545e-010,1.2598
2.970e-010,1.2598
3.394e-010,1.2598
3.818e-010,1.2598
4.242e-010,1.2598
4.667e-010,1.2598
5.091e-010,1.2598
5.515e-010,1.2598
5.940e-010,1.2598
6.364e-010,1.2598
6.788e-010,1.2598
7.212e-010,1.2598
7.636e-010,1.2598
8.061e-010,1.2598
8.485e-010,1.2598
8.909e-010,1.2598
9.333e-010,1.2598
9.758e-010,1.2598
1.0182e-009,1.2598
1.0606e-009,1.2598
1.1030e-009,1.2597
1.1455e-009,1.2576
1.1879e-009,1.2174
1.2303e-009,1.0747
1.2728e-009,0.9195
1.3152e-009,0.7557
1.3576e-009,0.5831
1.4000e-009,0.4518
1.4425e-009,0.3659
1.4849e-009,0.3044
1.5273e-009,0.2698
1.5697e-009,0.2508
1.6121e-009,0.2363
1.6546e-009,0.2262
1.6970e-009,0.2231
1.7394e-009,0.2181
1.7819e-009,0.2142
1.8243e-009,0.2125
1.8667e-009,0.2104
1.9091e-009,0.2055
1.9516e-009,0.2046
1.9940e-009,0.2073
2.0364e-009,0.2087
2.0788e-009,0.2010
2.1213e-009,0.2157
2.1637e-009,0.3305
2.2061e-009,0.4816
2.2485e-009,0.6606
2.2910e-009,0.8463
2.3334e-009,0.9876
2.3758e-009,1.0888
2.4182e-009,1.1583
2.4606e-009,1.1972
2.5031e-009,1.2196
2.5455e-009,1.2372
2.5879e-009,1.2500
2.6303e-009,1.2563
2.6728e-009,1.2623
2.7152e-009,1.2662
2.7576e-009,1.2676
2.8000e-009,1.2697
2.8425e-009,1.2748
2.8849e-009,1.2774
2.9273e-009,1.2752
2.9698e-009,1.2712
3.0122e-009,1.2762
3.0546e-009,1.2846
3.0970e-009,1.2865
3.1395e-009,1.2861
3.1819e-009,1.2797
3.2243e-009,1.2687
3.2667e-009,1.2601
3.3092e-009,1.2541
3.3516e-009,1.2510
3.3940e-009,1.2524
3.4364e-009,1.2553
3.4789e-009,1.2566
3.5213e-009,1.2571
3.5637e-009,1.2576
3.6061e-009,1.2572
3.6485e-009,1.2570
3.6910e-009,1.2581
3.7334e-009,1.2589
3.7758e-009,1.2581
3.8183e-009,1.2570
3.8607e-009,1.2572
3.9031e-009,1.2586
3.9455e-009,1.2583
3.9879e-009,1.2374
4.0304e-009,1.1221
4.0728e-009,0.9598
4.1152e-009,0.8063
4.1577e-009,0.6300
4.2001e-009,0.4853
4.2425e-009,0.3883
4.2849e-009,0.3214
4.3274e-009,0.2778
4.3698e-009,0.2559
4.4122e-009,0.2394
4.4546e-009,0.2277
4.4970e-009,0.2227
4.5395e-009,0.2193
4.5819e-009,0.2145
4.6243e-009,0.2125
4.6668e-009,0.2104
4.7092e-009,0.2061
4.7516e-009,0.2037
4.7940e-009,0.2059
4.8364e-009,0.2085
4.8789e-009,0.2033
4.9213e-009,0.1936
4.9637e-009,0.1936
5.0062e-009,0.1962
5.0486e-009,0.1996
5.0910e-009,0.2094
5.1334e-009,0.2192
5.1758e-009,0.2245
5.2183e-009,0.2282
5.2607e-009,0.2284
5.3031e-009,0.2262
5.3456e-009,0.2255
5.3880e-009,0.2258
5.4304e-009,0.2249
5.4728e-009,0.2249
5.5153e-009,0.2253
5.5577e-009,0.2246
5.6001e-009,0.2238
5.6425e-009,0.2247
5.6849e-009,0.2258
5.7274e-009,0.2253
5.7698e-009,0.2239
5.8122e-009,0.2238
5.8547e-009,0.2298
5.8971e-009,0.2925
5.9395e-009,0.4190
5.9819e-009,0.5648
6.0243e-009,0.7443
6.0668e-009,0.8953
6.1092e-009,1.0153
6.1516e-009,1.1016
6.1941e-009,1.1610
6.2365e-009,1.1968
6.2789e-009,1.2217
6.3213e-009,1.2378
6.3637e-009,1.2493
6.4062e-009,1.2557
6.4486e-009,1.2611
6.4910e-009,1.2639
6.5335e-009,1.2671
6.5759e-009,1.2701
6.6183e-009,1.2731
6.6607e-009,1.2732
6.7032e-009,1.2716
6.7456e-009,1.2722
6.7880e-009,1.2789
6.8304e-009,1.2824
6.8728e-009,1.2837
6.9153e-009,1.2812
6.9577e-009,1.2729
7.0001e-009,1.2640
7.0426e-009,1.2576
7.0850e-009,1.2532
7.1274e-009,1.2521
7.1698e-009,1.2534
7.2122e-009,1.2549
7.2547e-009,1.2556
7.2971e-009,1.2562
7.3395e-009,1.2563
7.3820e-009,1.2563
7.4244e-009,1.2568
7.4668e-009,1.2575
7.5092e-009,1.2574
7.5516e-009,1.2568
7.5941e-009,1.2565
7.6365e-009,1.2572
7.6789e-009,1.2578
7.7213e-009,1.2577
7.7638e-009,1.2575
7.8062e-009,1.2568
7.8486e-009,1.2563
7.8910e-009,1.2568
7.9335e-009,1.2575
7.9759e-009,1.2582
8.0183e-009,1.2589
8.0608e-009,1.2592
8.1032e-009,1.2589
8.1456e-009,1.2585
8.1880e-009,1.2583
8.2305e-009,1.2582
8.2729e-009,1.2583
8.3153e-009,1.2585
8.3577e-009,1.2586
8.4001e-009,1.2584
8.4426e-009,1.2584
8.4850e-009,1.2585
8.5274e-009,1.2587
8.5698e-009,1.2587
8.6123e-009,1.2586
8.6547e-009,1.2538
8.6971e-009,1.1934
8.7396e-009,1.0373
8.7820e-009,0.8866
8.8244e-009,0.7156
8.8668e-009,0.5498
8.9093e-009,0.4290
8.9517e-009,0.3500
8.9941e-009,0.2933
9.0365e-009,0.2642
9.0790e-009,0.2462
9.1214e-009,0.2328
9.1638e-009,0.2242
9.2062e-009,0.2216
9.2486e-009,0.2160
9.2911e-009,0.2129
9.3335e-009,0.2113
9.3759e-009,0.2087
9.4183e-009,0.2040
9.4608e-009,0.2042
9.5032e-009,0.2071
9.5456e-009,0.2071
9.5881e-009,0.1975
9.6305e-009,0.1924
9.6729e-009,0.1950
9.7153e-009,0.1970
9.7578e-009,0.2037
9.8002e-009,0.2147
9.8426e-009,0.2219
