.HEADER
..NAMES
Time,V U3.H3
.DATA
0.0e+000,1.2611
4.24e-011,1.2611
8.49e-011,1.2611
1.273e-010,1.2611
1.697e-010,1.2611
2.121e-010,1.2611
2.545e-010,1.2611
2.970e-010,1.2611
3.394e-010,1.2611
3.818e-010,1.2611
4.242e-010,1.2611
4.667e-010,1.2611
5.091e-010,1.2611
5.515e-010,1.2611
5.940e-010,1.2611
6.364e-010,1.2611
6.788e-010,1.2611
7.212e-010,1.2611
7.636e-010,1.2611
8.061e-010,1.2611
8.485e-010,1.2611
8.909e-010,1.2611
9.333e-010,1.2611
9.758e-010,1.2611
1.0182e-009,1.2611
1.0606e-009,1.2611
1.1030e-009,1.2605
1.1455e-009,1.2326
1.1879e-009,1.0784
1.2303e-009,0.9102
1.2728e-009,0.7564
1.3152e-009,0.5797
1.3576e-009,0.4496
1.4000e-009,0.3635
1.4425e-009,0.2983
1.4849e-009,0.2554
1.5273e-009,0.2337
1.5697e-009,0.2196
1.6121e-009,0.2128
1.6546e-009,0.2094
1.6970e-009,0.2074
1.7394e-009,0.2094
1.7819e-009,0.2086
1.8243e-009,0.2073
1.8667e-009,0.2117
1.9091e-009,0.2211
1.9516e-009,0.2178
1.9940e-009,0.1988
2.0364e-009,0.1992
2.0788e-009,0.2020
2.1213e-009,0.2008
2.1637e-009,0.2106
2.2061e-009,0.2201
2.2485e-009,0.2226
2.2910e-009,0.2259
2.3334e-009,0.2282
2.3758e-009,0.2275
2.4182e-009,0.2272
2.4606e-009,0.2262
2.5031e-009,0.2260
2.5455e-009,0.2266
2.5879e-009,0.2246
2.6303e-009,0.2236
2.6728e-009,0.2258
2.7152e-009,0.2273
2.7576e-009,0.2236
2.8000e-009,0.2209
2.8425e-009,0.2238
2.8849e-009,0.2241
2.9273e-009,0.2238
2.9698e-009,0.2257
3.0122e-009,0.2252
3.0546e-009,0.2234
3.0970e-009,0.2235
3.1395e-009,0.2232
3.1819e-009,0.2227
3.2243e-009,0.2227
3.2667e-009,0.2227
3.3092e-009,0.2231
3.3516e-009,0.2232
3.3940e-009,0.2223
3.4364e-009,0.2225
3.4789e-009,0.2235
3.5213e-009,0.2232
3.5637e-009,0.2219
3.6061e-009,0.2222
3.6485e-009,0.2230
3.6910e-009,0.2226
3.7334e-009,0.2226
3.7758e-009,0.2229
3.8183e-009,0.2222
3.8607e-009,0.2220
3.9031e-009,0.2223
3.9455e-009,0.2259
3.9879e-009,0.3033
4.0304e-009,0.4475
4.0728e-009,0.5960
4.1152e-009,0.7848
4.1577e-009,0.9243
4.2001e-009,1.0381
4.2425e-009,1.1203
4.2849e-009,1.1808
4.3274e-009,1.2169
4.3698e-009,1.2413
4.4122e-009,1.2541
