.HEADER
..NAMES
Time,V U3.F8
.DATA
0.0e+000,0.2185
4.24e-011,0.2185
8.49e-011,0.2185
1.273e-010,0.2185
1.697e-010,0.2185
2.121e-010,0.2185
2.545e-010,0.2185
2.970e-010,0.2185
3.394e-010,0.2185
3.818e-010,0.2185
4.242e-010,0.2185
4.667e-010,0.2185
5.091e-010,0.2185
5.515e-010,0.2185
5.940e-010,0.2185
6.364e-010,0.2185
6.788e-010,0.2185
7.212e-010,0.2185
7.636e-010,0.2185
8.061e-010,0.2185
8.485e-010,0.2185
8.909e-010,0.2185
9.333e-010,0.2185
9.758e-010,0.2185
1.0182e-009,0.2185
1.0606e-009,0.2185
1.1030e-009,0.2185
1.1455e-009,0.2203
1.1879e-009,0.2709
1.2303e-009,0.4002
1.2728e-009,0.5404
1.3152e-009,0.7205
1.3576e-009,0.8745
1.4000e-009,1.0009
1.4425e-009,1.0978
1.4849e-009,1.1638
1.5273e-009,1.2114
1.5697e-009,1.2302
1.6121e-009,1.2344
1.6546e-009,1.2375
1.6970e-009,1.2373
1.7394e-009,1.2433
1.7819e-009,1.2497
1.8243e-009,1.2587
1.8667e-009,1.2643
1.9091e-009,1.2680
1.9516e-009,1.2681
1.9940e-009,1.2654
2.0364e-009,1.2719
2.0788e-009,1.2730
2.1213e-009,1.1944
2.1637e-009,1.0089
2.2061e-009,0.8443
2.2485e-009,0.6661
2.2910e-009,0.5068
2.3334e-009,0.3911
2.3758e-009,0.3106
2.4182e-009,0.2560
2.4606e-009,0.2212
2.5031e-009,0.2172
2.5455e-009,0.2285
2.5879e-009,0.2289
2.6303e-009,0.2295
2.6728e-009,0.2253
2.7152e-009,0.2183
2.7576e-009,0.2084
2.8000e-009,0.2030
2.8425e-009,0.2007
2.8849e-009,0.2040
2.9273e-009,0.2075
2.9698e-009,0.1953
3.0122e-009,0.1833
3.0546e-009,0.2308
3.0970e-009,0.3791
3.1395e-009,0.5359
3.1819e-009,0.7236
3.2243e-009,0.8888
3.2667e-009,1.0138
3.3092e-009,1.1113
3.3516e-009,1.1801
3.3940e-009,1.2269
3.4364e-009,1.2399
3.4789e-009,1.2356
3.5213e-009,1.2371
3.5637e-009,1.2356
3.6061e-009,1.2422
3.6485e-009,1.2502
3.6910e-009,1.2611
3.7334e-009,1.2681
3.7758e-009,1.2715
3.8183e-009,1.2688
3.8607e-009,1.2648
3.9031e-009,1.2733
3.9455e-009,1.2847
3.9879e-009,1.2838
4.0304e-009,1.2813
4.0728e-009,1.2739
4.1152e-009,1.2646
4.1577e-009,1.2588
4.2001e-009,1.2558
4.2425e-009,1.2538
4.2849e-009,1.2475
4.3274e-009,1.2454
4.3698e-009,1.2495
4.4122e-009,1.2529
4.4546e-009,1.2559
4.4970e-009,1.2576
4.5395e-009,1.2578
4.5819e-009,1.2565
4.6243e-009,1.2551
4.6668e-009,1.2540
