.HEADER
..NAMES
Time,V U3.E3
.DATA
0.0e+000,1.2598
4.24e-011,1.2598
8.49e-011,1.2598
1.273e-010,1.2598
1.697e-010,1.2598
2.121e-010,1.2598
2.545e-010,1.2598
2.970e-010,1.2598
3.394e-010,1.2598
3.818e-010,1.2598
4.242e-010,1.2598
4.667e-010,1.2598
5.091e-010,1.2598
5.515e-010,1.2598
5.940e-010,1.2598
6.364e-010,1.2598
6.788e-010,1.2598
7.212e-010,1.2598
7.636e-010,1.2598
8.061e-010,1.2598
8.485e-010,1.2598
8.909e-010,1.2598
9.333e-010,1.2598
9.758e-010,1.2598
1.0182e-009,1.2598
1.0606e-009,1.2598
1.1030e-009,1.2598
1.1455e-009,1.2539
1.1879e-009,1.1899
1.2303e-009,1.0401
1.2728e-009,0.8813
1.3152e-009,0.7175
1.3576e-009,0.5521
1.4000e-009,0.4270
1.4425e-009,0.3454
1.4849e-009,0.2878
1.5273e-009,0.2483
1.5697e-009,0.2280
1.6121e-009,0.2167
1.6546e-009,0.2094
1.6970e-009,0.2070
1.7394e-009,0.2074
1.7819e-009,0.2087
1.8243e-009,0.2116
1.8667e-009,0.2170
1.9091e-009,0.2206
1.9516e-009,0.2180
1.9940e-009,0.2089
2.0364e-009,0.1970
2.0788e-009,0.1848
2.1213e-009,0.1817
2.1637e-009,0.1892
2.2061e-009,0.1976
2.2485e-009,0.2073
2.2910e-009,0.2181
2.3334e-009,0.2244
2.3758e-009,0.2260
2.4182e-009,0.2274
2.4606e-009,0.2284
2.5031e-009,0.2279
2.5455e-009,0.2275
2.5879e-009,0.2277
2.6303e-009,0.2277
2.6728e-009,0.2274
2.7152e-009,0.2268
2.7576e-009,0.2252
2.8000e-009,0.2230
2.8425e-009,0.2215
2.8849e-009,0.2218
2.9273e-009,0.2236
2.9698e-009,0.2257
3.0122e-009,0.2276
3.0546e-009,0.2279
3.0970e-009,0.2268
3.1395e-009,0.2257
3.1819e-009,0.2248
3.2243e-009,0.2238
3.2667e-009,0.2234
3.3092e-009,0.2237
3.3516e-009,0.2237
3.3940e-009,0.2236
3.4364e-009,0.2237
3.4789e-009,0.2237
3.5213e-009,0.2234
3.5637e-009,0.2231
3.6061e-009,0.2230
3.6485e-009,0.2231
3.6910e-009,0.2234
3.7334e-009,0.2239
3.7758e-009,0.2241
3.8183e-009,0.2239
3.8607e-009,0.2235
3.9031e-009,0.2231
3.9455e-009,0.2228
3.9879e-009,0.2228
4.0304e-009,0.2230
4.0728e-009,0.2231
4.1152e-009,0.2231
4.1577e-009,0.2232
4.2001e-009,0.2231
4.2425e-009,0.2230
4.2849e-009,0.2230
4.3274e-009,0.2229
4.3698e-009,0.2229
4.4122e-009,0.2228
4.4546e-009,0.2229
4.4970e-009,0.2229
4.5395e-009,0.2229
4.5819e-009,0.2229
4.6243e-009,0.2227
4.6668e-009,0.2226
4.7092e-009,0.2226
4.7516e-009,0.2226
4.7940e-009,0.2227
4.8364e-009,0.2227
4.8789e-009,0.2227
4.9213e-009,0.2226
4.9637e-009,0.2226
5.0062e-009,0.2225
5.0486e-009,0.2225
5.0910e-009,0.2225
5.1334e-009,0.2225
5.1758e-009,0.2225
5.2183e-009,0.2225
5.2607e-009,0.2225
5.3031e-009,0.2224
5.3456e-009,0.2224
5.3880e-009,0.2224
5.4304e-009,0.2223
5.4728e-009,0.2223
5.5153e-009,0.2223
5.5577e-009,0.2223
5.6001e-009,0.2223
5.6425e-009,0.2223
5.6849e-009,0.2223
5.7274e-009,0.2223
5.7698e-009,0.2222
5.8122e-009,0.2222
5.8547e-009,0.2222
5.8971e-009,0.2222
5.9395e-009,0.2222
5.9819e-009,0.2222
6.0243e-009,0.2222
6.0668e-009,0.2222
6.1092e-009,0.2221
6.1516e-009,0.2221
6.1941e-009,0.2221
6.2365e-009,0.2221
6.2789e-009,0.2221
6.3213e-009,0.2221
6.3637e-009,0.2221
6.4062e-009,0.2221
6.4486e-009,0.2220
6.4910e-009,0.2220
6.5335e-009,0.2220
6.5759e-009,0.2220
6.6183e-009,0.2220
6.6607e-009,0.2220
6.7032e-009,0.2220
6.7456e-009,0.2220
6.7880e-009,0.2319
6.8304e-009,0.3050
6.8728e-009,0.4332
6.9153e-009,0.5886
6.9577e-009,0.7606
7.0001e-009,0.9136
7.0426e-009,1.0312
7.0850e-009,1.1168
7.1274e-009,1.1775
7.1698e-009,1.2166
7.2122e-009,1.2406
7.2547e-009,1.2554
7.2971e-009,1.2639
7.3395e-009,1.2676
7.3820e-009,1.2684
7.4244e-009,1.2676
7.4668e-009,1.2648
7.5092e-009,1.2605
7.5516e-009,1.2579
7.5941e-009,1.2605
7.6365e-009,1.2687
7.6789e-009,1.2799
7.7213e-009,1.2692
7.7638e-009,1.1546
7.8062e-009,0.9690
7.8486e-009,0.7928
7.8910e-009,0.6186
7.9335e-009,0.4658
7.9759e-009,0.3635
8.0183e-009,0.2996
8.0608e-009,0.2542
8.1032e-009,0.2268
8.1456e-009,0.2135
8.1880e-009,0.2055
8.2305e-009,0.2012
8.2729e-009,0.2010
8.3153e-009,0.2025
8.3577e-009,0.2052
8.4001e-009,0.2112
8.4426e-009,0.2188
8.4850e-009,0.2213
8.5274e-009,0.2141
8.5698e-009,0.2000
8.6123e-009,0.1844
8.6547e-009,0.1803
8.6971e-009,0.2599
8.7396e-009,0.4196
8.7820e-009,0.5936
8.8244e-009,0.7763
8.8668e-009,0.9379
8.9093e-009,1.0546
8.9517e-009,1.1345
8.9941e-009,1.1909
9.0365e-009,1.2276
9.0790e-009,1.2483
9.1214e-009,1.2613
9.1638e-009,1.2692
9.2062e-009,1.2722
9.2486e-009,1.2721
9.2911e-009,1.2698
9.3335e-009,1.2644
9.3759e-009,1.2569
9.4183e-009,1.2533
9.4608e-009,1.2585
9.5032e-009,1.2712
9.5456e-009,1.2862
9.5881e-009,1.2852
9.6305e-009,1.1880
9.6729e-009,0.9991
9.7153e-009,0.8188
9.7578e-009,0.6451
9.8002e-009,0.4857
9.8426e-009,0.3759
