.HEADER
..NAMES
Time,V U2.A7
.DATA
0.0e+000,1.2609
4.24e-011,1.2609
8.49e-011,1.2609
1.273e-010,1.2609
1.697e-010,1.2609
2.121e-010,1.2609
2.545e-010,1.2609
2.970e-010,1.2609
3.394e-010,1.2609
3.818e-010,1.2609
4.242e-010,1.2609
4.667e-010,1.2609
5.091e-010,1.2609
5.515e-010,1.2609
5.940e-010,1.2609
6.364e-010,1.2609
6.788e-010,1.2609
7.212e-010,1.2609
7.636e-010,1.2609
8.061e-010,1.2609
8.485e-010,1.2609
8.909e-010,1.2609
9.333e-010,1.2609
9.758e-010,1.2609
1.0182e-009,1.2609
1.0606e-009,1.2609
1.1030e-009,1.2604
1.1455e-009,1.2361
1.1879e-009,1.0893
1.2303e-009,0.9038
1.2728e-009,0.7565
1.3152e-009,0.5909
1.3576e-009,0.4592
1.4000e-009,0.3649
1.4425e-009,0.3063
1.4849e-009,0.2611
1.5273e-009,0.2385
1.5697e-009,0.2274
1.6121e-009,0.2234
1.6546e-009,0.2212
1.6970e-009,0.2129
1.7394e-009,0.2130
1.7819e-009,0.2105
1.8243e-009,0.2144
1.8667e-009,0.2126
1.9091e-009,0.2141
1.9516e-009,0.2186
1.9940e-009,0.2034
2.0364e-009,0.1902
2.0788e-009,0.2075
2.1213e-009,0.3252
2.1637e-009,0.5021
2.2061e-009,0.6718
2.2485e-009,0.8523
2.2910e-009,0.9766
2.3334e-009,1.0803
2.3758e-009,1.1488
2.4182e-009,1.2016
2.4606e-009,1.2291
2.5031e-009,1.2414
2.5455e-009,1.2493
2.5879e-009,1.2530
2.6303e-009,1.2652
2.6728e-009,1.2655
2.7152e-009,1.2699
2.7576e-009,1.2675
2.8000e-009,1.2662
2.8425e-009,1.2635
2.8849e-009,1.2627
2.9273e-009,1.2766
2.9698e-009,1.2874
3.0122e-009,1.2857
3.0546e-009,1.2804
3.0970e-009,1.2714
3.1395e-009,1.2638
3.1819e-009,1.2582
3.2243e-009,1.2562
3.2667e-009,1.2537
3.3092e-009,1.2529
3.3516e-009,1.2534
3.3940e-009,1.2554
3.4364e-009,1.2594
3.4789e-009,1.2591
3.5213e-009,1.2592
3.5637e-009,1.2578
3.6061e-009,1.2583
3.6485e-009,1.2587
3.6910e-009,1.2585
3.7334e-009,1.2610
3.7758e-009,1.2618
3.8183e-009,1.2598
3.8607e-009,1.2578
3.9031e-009,1.2577
3.9455e-009,1.2486
3.9879e-009,1.1460
4.0304e-009,0.9518
4.0728e-009,0.8042
4.1152e-009,0.6381
4.1577e-009,0.4950
4.2001e-009,0.3885
4.2425e-009,0.3223
4.2849e-009,0.2725
4.3274e-009,0.2419
4.3698e-009,0.2292
4.4122e-009,0.2222
4.4546e-009,0.2228
4.4970e-009,0.2135
4.5395e-009,0.2128
4.5819e-009,0.2103
4.6243e-009,0.2123
4.6668e-009,0.2126
4.7092e-009,0.2116
4.7516e-009,0.2182
4.7940e-009,0.2093
4.8364e-009,0.1913
4.8789e-009,0.1941
4.9213e-009,0.2023
4.9637e-009,0.2063
5.0062e-009,0.2125
5.0486e-009,0.2208
5.0910e-009,0.2247
5.1334e-009,0.2270
5.1758e-009,0.2280
5.2183e-009,0.2279
5.2607e-009,0.2277
5.3031e-009,0.2241
5.3456e-009,0.2234
5.3880e-009,0.2235
5.4304e-009,0.2247
5.4728e-009,0.2246
5.5153e-009,0.2230
5.5577e-009,0.2247
5.6001e-009,0.2235
5.6425e-009,0.2203
5.6849e-009,0.2219
5.7274e-009,0.2253
5.7698e-009,0.2248
5.8122e-009,0.2247
5.8547e-009,0.2729
5.8971e-009,0.4161
5.9395e-009,0.5637
5.9819e-009,0.7439
6.0243e-009,0.8914
6.0668e-009,1.0098
6.1092e-009,1.0969
6.1516e-009,1.1609
6.1941e-009,1.2068
6.2365e-009,1.2297
6.2789e-009,1.2447
6.3213e-009,1.2471
6.3637e-009,1.2574
6.4062e-009,1.2611
6.4486e-009,1.2654
6.4910e-009,1.2664
6.5335e-009,1.2654
6.5759e-009,1.2668
6.6183e-009,1.2616
6.6607e-009,1.2655
6.7032e-009,1.2784
6.7456e-009,1.2772
6.7880e-009,1.1969
6.8304e-009,0.9815
6.8728e-009,0.8062
6.9153e-009,0.6416
6.9577e-009,0.4962
7.0001e-009,0.3862
7.0426e-009,0.3133
7.0850e-009,0.2659
7.1274e-009,0.2337
7.1698e-009,0.2262
7.2122e-009,0.2200
7.2547e-009,0.2216
7.2971e-009,0.2125
7.3395e-009,0.2081
7.3820e-009,0.2082
7.4244e-009,0.2086
7.4668e-009,0.2128
7.5092e-009,0.2114
7.5516e-009,0.2171
7.5941e-009,0.2111
7.6365e-009,0.1891
7.6789e-009,0.1870
7.7213e-009,0.2376
7.7638e-009,0.4039
7.8062e-009,0.5706
7.8486e-009,0.7524
7.8910e-009,0.9064
7.9335e-009,1.0218
7.9759e-009,1.1115
8.0183e-009,1.1708
8.0608e-009,1.2151
8.1032e-009,1.2311
8.1456e-009,1.2439
8.1880e-009,1.2477
8.2305e-009,1.2580
8.2729e-009,1.2647
8.3153e-009,1.2659
8.3577e-009,1.2685
8.4001e-009,1.2644
8.4426e-009,1.2640
8.4850e-009,1.2605
8.5274e-009,1.2663
8.5698e-009,1.2826
8.6123e-009,1.2841
8.6547e-009,1.2243
8.6971e-009,1.0200
8.7396e-009,0.8303
8.7820e-009,0.6718
8.8244e-009,0.5188
8.8668e-009,0.4037
8.9093e-009,0.3224
8.9517e-009,0.2735
8.9941e-009,0.2383
9.0365e-009,0.2287
9.0790e-009,0.2222
9.1214e-009,0.2211
9.1638e-009,0.2147
9.2062e-009,0.2073
9.2486e-009,0.2085
9.2911e-009,0.2079
9.3335e-009,0.2135
9.3759e-009,0.2122
9.4183e-009,0.2158
9.4608e-009,0.2134
9.5032e-009,0.1917
9.5456e-009,0.1850
9.5881e-009,0.2189
9.6305e-009,0.3673
9.6729e-009,0.5398
9.7153e-009,0.7147
9.7578e-009,0.8815
9.8002e-009,1.0002
9.8426e-009,1.0974
9.8850e-009,1.1600
9.9274e-009,1.2082
9.9699e-009,1.2286
1.00123e-008,1.2415
1.00547e-008,1.2477
1.00971e-008,1.2551
1.01396e-008,1.2649
1.01820e-008,1.2649
1.02244e-008,1.2687
1.02668e-008,1.2647
1.03093e-008,1.2641
1.03517e-008,1.2612
1.03941e-008,1.2639
1.04366e-008,1.2798
