.HEADER
..NAMES
Time,V U2.C3
.DATA
0.0e+000,0.2183
4.24e-011,0.2183
8.49e-011,0.2183
1.273e-010,0.2183
1.697e-010,0.2183
2.121e-010,0.2183
2.545e-010,0.2183
2.970e-010,0.2183
3.394e-010,0.2183
3.818e-010,0.2183
4.242e-010,0.2183
4.667e-010,0.2183
5.091e-010,0.2183
5.515e-010,0.2183
5.940e-010,0.2183
6.364e-010,0.2183
6.788e-010,0.2183
7.212e-010,0.2183
7.636e-010,0.2183
8.061e-010,0.2183
8.485e-010,0.2183
8.909e-010,0.2183
9.333e-010,0.2183
9.758e-010,0.2183
1.0182e-009,0.2183
1.0606e-009,0.2183
1.1030e-009,0.2183
1.1455e-009,0.2256
1.1879e-009,0.3164
1.2303e-009,0.4578
1.2728e-009,0.6116
1.3152e-009,0.7958
1.3576e-009,0.9316
1.4000e-009,1.0433
1.4425e-009,1.1220
1.4849e-009,1.1809
1.5273e-009,1.2149
1.5697e-009,1.2387
1.6121e-009,1.2504
1.6546e-009,1.2582
1.6970e-009,1.2627
1.7394e-009,1.2640
1.7819e-009,1.2641
1.8243e-009,1.2660
1.8667e-009,1.2647
1.9091e-009,1.2614
1.9516e-009,1.2565
1.9940e-009,1.2654
2.0364e-009,1.2741
2.0788e-009,1.2572
2.1213e-009,1.1246
2.1637e-009,0.9229
2.2061e-009,0.7664
2.2485e-009,0.5832
2.2910e-009,0.4491
2.3334e-009,0.3555
2.3758e-009,0.2936
2.4182e-009,0.2456
2.4606e-009,0.2258
2.5031e-009,0.2124
2.5455e-009,0.2057
2.5879e-009,0.2021
2.6303e-009,0.2015
2.6728e-009,0.2023
2.7152e-009,0.2032
2.7576e-009,0.1999
2.8000e-009,0.2042
2.8425e-009,0.2121
2.8849e-009,0.2163
2.9273e-009,0.1997
2.9698e-009,0.1847
3.0122e-009,0.1946
3.0546e-009,0.2813
3.0970e-009,0.4520
3.1395e-009,0.6144
3.1819e-009,0.8077
3.2243e-009,0.9435
3.2667e-009,1.0564
3.3092e-009,1.1327
3.3516e-009,1.1895
3.3940e-009,1.2212
3.4364e-009,1.2431
3.4789e-009,1.2545
3.5213e-009,1.2613
3.5637e-009,1.2638
3.6061e-009,1.2658
3.6485e-009,1.2674
3.6910e-009,1.2698
3.7334e-009,1.2644
3.7758e-009,1.2595
3.8183e-009,1.2564
3.8607e-009,1.2660
3.9031e-009,1.2796
3.9455e-009,1.2703
3.9879e-009,1.1624
4.0304e-009,0.9516
4.0728e-009,0.7956
4.1152e-009,0.6137
4.1577e-009,0.4702
4.2001e-009,0.3697
4.2425e-009,0.3048
4.2849e-009,0.2534
4.3274e-009,0.2297
4.3698e-009,0.2151
4.4122e-009,0.2074
4.4546e-009,0.2040
4.4970e-009,0.2029
4.5395e-009,0.2022
4.5819e-009,0.2034
4.6243e-009,0.2010
4.6668e-009,0.2044
4.7092e-009,0.2122
4.7516e-009,0.2179
4.7940e-009,0.2040
4.8364e-009,0.1849
4.8789e-009,0.1911
4.9213e-009,0.2547
4.9637e-009,0.4213
5.0062e-009,0.5796
5.0486e-009,0.7738
5.0910e-009,0.9198
5.1334e-009,1.0374
5.1758e-009,1.1200
5.2183e-009,1.1805
5.2607e-009,1.2169
5.3031e-009,1.2401
5.3456e-009,1.2532
5.3880e-009,1.2605
5.4304e-009,1.2641
5.4728e-009,1.2661
5.5153e-009,1.2676
5.5577e-009,1.2702
5.6001e-009,1.2659
5.6425e-009,1.2605
5.6849e-009,1.2572
