.HEADER
..NAMES
Time,V U2.A2
.DATA
0.0e+000,0.2179
4.24e-011,0.2179
8.49e-011,0.2179
1.273e-010,0.2179
1.697e-010,0.2179
2.121e-010,0.2179
2.545e-010,0.2179
2.970e-010,0.2179
3.394e-010,0.2179
3.818e-010,0.2179
4.242e-010,0.2179
4.667e-010,0.2179
5.091e-010,0.2179
5.515e-010,0.2179
5.940e-010,0.2179
6.364e-010,0.2179
6.788e-010,0.2179
7.212e-010,0.2179
7.636e-010,0.2179
8.061e-010,0.2179
8.485e-010,0.2179
8.909e-010,0.2179
9.333e-010,0.2179
9.758e-010,0.2179
1.0182e-009,0.2179
1.0606e-009,0.2179
1.1030e-009,0.2179
1.1455e-009,0.2245
1.1879e-009,0.3161
1.2303e-009,0.4860
1.2728e-009,0.6432
1.3152e-009,0.8208
1.3576e-009,0.9512
1.4000e-009,1.0432
1.4425e-009,1.1131
1.4849e-009,1.1704
1.5273e-009,1.2083
1.5697e-009,1.2337
1.6121e-009,1.2489
1.6546e-009,1.2570
1.6970e-009,1.2623
1.7394e-009,1.2649
1.7819e-009,1.2643
1.8243e-009,1.2654
1.8667e-009,1.2666
1.9091e-009,1.2615
1.9516e-009,1.2527
1.9940e-009,1.2500
2.0364e-009,1.2638
2.0788e-009,1.2737
2.1213e-009,1.2747
2.1637e-009,1.2750
2.2061e-009,1.2649
2.2485e-009,1.2559
2.2910e-009,1.2536
2.3334e-009,1.2535
2.3758e-009,1.2521
2.4182e-009,1.2521
2.4606e-009,1.2517
2.5031e-009,1.2520
2.5455e-009,1.2529
2.5879e-009,1.2530
2.6303e-009,1.2532
2.6728e-009,1.2552
2.7152e-009,1.2555
2.7576e-009,1.2534
2.8000e-009,1.2524
2.8425e-009,1.2545
2.8849e-009,1.2577
2.9273e-009,1.2576
2.9698e-009,1.2567
3.0122e-009,1.2466
3.0546e-009,1.1412
3.0970e-009,0.9280
3.1395e-009,0.7796
3.1819e-009,0.6278
3.2243e-009,0.4774
3.2667e-009,0.3878
3.3092e-009,0.3321
3.3516e-009,0.2777
3.3940e-009,0.2432
3.4364e-009,0.2256
3.4789e-009,0.2124
3.5213e-009,0.2066
3.5637e-009,0.2039
3.6061e-009,0.2021
3.6485e-009,0.2044
3.6910e-009,0.2055
3.7334e-009,0.2027
3.7758e-009,0.2091
3.8183e-009,0.2215
3.8607e-009,0.2228
3.9031e-009,0.2027
3.9455e-009,0.1927
3.9879e-009,0.2681
4.0304e-009,0.4485
4.0728e-009,0.6198
4.1152e-009,0.8084
4.1577e-009,0.9542
4.2001e-009,1.0423
4.2425e-009,1.1146
4.2849e-009,1.1732
4.3274e-009,1.2127
4.3698e-009,1.2374
4.4122e-009,1.2532
4.4546e-009,1.2606
4.4970e-009,1.2663
4.5395e-009,1.2670
4.5819e-009,1.2657
4.6243e-009,1.2692
4.6668e-009,1.2732
4.7092e-009,1.2650
4.7516e-009,1.2516
4.7940e-009,1.2477
4.8364e-009,1.2624
4.8789e-009,1.2718
4.9213e-009,1.1885
4.9637e-009,0.9636
5.0062e-009,0.7759
5.0486e-009,0.6191
5.0910e-009,0.4715
5.1334e-009,0.3832
5.1758e-009,0.3267
5.2183e-009,0.2740
5.2607e-009,0.2373
5.3031e-009,0.2214
5.3456e-009,0.2098
5.3880e-009,0.2035
5.4304e-009,0.2016
5.4728e-009,0.2032
5.5153e-009,0.2052
5.5577e-009,0.2033
5.6001e-009,0.1981
5.6425e-009,0.2056
5.6849e-009,0.2233
5.7274e-009,0.2294
5.7698e-009,0.2090
5.8122e-009,0.1882
5.8547e-009,0.2365
5.8971e-009,0.4095
5.9395e-009,0.5925
5.9819e-009,0.7776
6.0243e-009,0.9346
6.0668e-009,1.0268
6.1092e-009,1.1018
6.1516e-009,1.1631
6.1941e-009,1.2069
6.2365e-009,1.2330
6.2789e-009,1.2512
6.3213e-009,1.2600
6.3637e-009,1.2654
6.4062e-009,1.2659
6.4486e-009,1.2650
6.4910e-009,1.2685
6.5335e-009,1.2745
6.5759e-009,1.2682
6.6183e-009,1.2533
6.6607e-009,1.2452
6.7032e-009,1.2575
6.7456e-009,1.2771
6.7880e-009,1.2811
6.8304e-009,1.2805
6.8728e-009,1.2706
6.9153e-009,1.2573
6.9577e-009,1.2540
7.0001e-009,1.2551
7.0426e-009,1.2540
7.0850e-009,1.2530
7.1274e-009,1.2534
7.1698e-009,1.2535
7.2122e-009,1.2539
7.2547e-009,1.2535
7.2971e-009,1.2541
7.3395e-009,1.2570
7.3820e-009,1.2584
7.4244e-009,1.2549
7.4668e-009,1.2521
7.5092e-009,1.2540
7.5516e-009,1.2588
7.5941e-009,1.2607
7.6365e-009,1.2589
7.6789e-009,1.2555
7.7213e-009,1.2128
7.7638e-009,1.0342
7.8062e-009,0.8456
7.8486e-009,0.7094
7.8910e-009,0.5451
7.9335e-009,0.4261
7.9759e-009,0.3592
8.0183e-009,0.3048
8.0608e-009,0.2572
8.1032e-009,0.2343
8.1456e-009,0.2191
8.1880e-009,0.2104
8.2305e-009,0.2059
8.2729e-009,0.2031
8.3153e-009,0.2033
8.3577e-009,0.2070
8.4001e-009,0.2049
8.4426e-009,0.2057
8.4850e-009,0.2164
8.5274e-009,0.2252
8.5698e-009,0.2149
8.6123e-009,0.1943
8.6547e-009,0.2150
8.6971e-009,0.3546
8.7396e-009,0.5386
8.7820e-009,0.7154
8.8244e-009,0.8942
8.8668e-009,1.0019
8.9093e-009,1.0817
8.9517e-009,1.1469
8.9941e-009,1.1970
9.0365e-009,1.2271
9.0790e-009,1.2475
9.1214e-009,1.2577
9.1638e-009,1.2647
9.2062e-009,1.2681
9.2486e-009,1.2670
9.2911e-009,1.2673
9.3335e-009,1.2728
9.3759e-009,1.2710
9.4183e-009,1.2587
9.4608e-009,1.2483
9.5032e-009,1.2538
9.5456e-009,1.2719
9.5881e-009,1.2503
9.6305e-009,1.0829
9.6729e-009,0.8562
9.7153e-009,0.6986
9.7578e-009,0.5377
9.8002e-009,0.4212
9.8426e-009,0.3530
9.8850e-009,0.3001
9.9274e-009,0.2522
9.9699e-009,0.2286
1.00123e-008,0.2156
1.00547e-008,0.2067
1.00971e-008,0.2025
1.01396e-008,0.2027
1.01820e-008,0.2048
1.02244e-008,0.2057
1.02668e-008,0.2006
1.03093e-008,0.2003
1.03517e-008,0.2150
1.03941e-008,0.2298
1.04366e-008,0.2224
1.04790e-008,0.1957
1.05214e-008,0.1889
1.05638e-008,0.1971
1.06063e-008,0.2003
1.06487e-008,0.2120
1.06911e-008,0.2220
1.07335e-008,0.2211
1.07759e-008,0.2200
1.08184e-008,0.2235
1.08608e-008,0.2236
1.09032e-008,0.2224
1.09456e-008,0.2223
1.09881e-008,0.2228
1.10305e-008,0.2232
1.10729e-008,0.2215
1.11154e-008,0.2182
1.11578e-008,0.2201
1.12002e-008,0.2253
1.12426e-008,0.2251
1.12851e-008,0.2188
1.13275e-008,0.2153
1.13699e-008,0.2185
1.14123e-008,0.2207
1.14548e-008,0.2260
1.14972e-008,0.3098
1.15396e-008,0.4760
1.15820e-008,0.6283
1.16244e-008,0.8068
1.16669e-008,0.9440
1.17093e-008,1.0375
1.17517e-008,1.1088
1.17941e-008,1.1678
1.18366e-008,1.2077
1.18790e-008,1.2338
1.19214e-008,1.2491
1.19639e-008,1.2572
1.20063e-008,1.2645
1.20487e-008,1.2681
1.20911e-008,1.2660
1.21336e-008,1.2654
1.21760e-008,1.2676
1.22184e-008,1.2640
1.22608e-008,1.2555
1.23032e-008,1.2520
1.23457e-008,1.2645
1.23881e-008,1.2742
1.24305e-008,1.2750
1.24729e-008,1.2770
1.25154e-008,1.2677
1.25578e-008,1.2578
1.26002e-008,1.2550
1.26427e-008,1.2552
1.26851e-008,1.2537
1.27275e-008,1.2533
1.27699e-008,1.2527
1.28124e-008,1.2532
1.28548e-008,1.2546
1.28972e-008,1.2545
1.29396e-008,1.2540
1.29821e-008,1.2560
1.30245e-008,1.2569
1.30669e-008,1.2549
1.31093e-008,1.2538
1.31517e-008,1.2556
1.31942e-008,1.2586
1.32366e-008,1.2585
1.32790e-008,1.2579
1.33214e-008,1.2501
1.33639e-008,1.1560
1.34063e-008,0.9441
1.34487e-008,0.7902
1.34912e-008,0.6414
1.35336e-008,0.4874
1.35760e-008,0.3936
1.36184e-008,0.3370
1.36609e-008,0.2825
1.37033e-008,0.2459
1.37457e-008,0.2277
1.37881e-008,0.2140
1.38306e-008,0.2079
1.38730e-008,0.2050
1.39154e-008,0.2031
1.39578e-008,0.2051
1.40002e-008,0.2066
1.40427e-008,0.2035
1.40851e-008,0.2092
1.41275e-008,0.2217
1.41699e-008,0.2245
