.HEADER
..NAMES
Time,V U2.H3
.DATA
0.0e+000,1.2604
4.24e-011,1.2604
8.49e-011,1.2604
1.273e-010,1.2604
1.697e-010,1.2604
2.121e-010,1.2604
2.545e-010,1.2604
2.970e-010,1.2604
3.394e-010,1.2604
3.818e-010,1.2604
4.242e-010,1.2604
4.667e-010,1.2604
5.091e-010,1.2604
5.515e-010,1.2604
5.940e-010,1.2604
6.364e-010,1.2604
6.788e-010,1.2604
7.212e-010,1.2604
7.636e-010,1.2604
8.061e-010,1.2604
8.485e-010,1.2604
8.909e-010,1.2604
9.333e-010,1.2604
9.758e-010,1.2604
1.0182e-009,1.2604
1.0606e-009,1.2600
1.1030e-009,1.2460
1.1455e-009,1.1526
1.1879e-009,0.9765
1.2303e-009,0.8079
1.2728e-009,0.6513
1.3152e-009,0.5010
1.3576e-009,0.3885
1.4000e-009,0.3177
1.4425e-009,0.2735
1.4849e-009,0.2469
1.5273e-009,0.2270
1.5697e-009,0.2170
1.6121e-009,0.2168
1.6546e-009,0.2170
1.6970e-009,0.2158
1.7394e-009,0.2172
1.7819e-009,0.2166
1.8243e-009,0.2109
1.8667e-009,0.2042
1.9091e-009,0.1956
1.9516e-009,0.1868
1.9940e-009,0.1891
2.0364e-009,0.1994
2.0788e-009,0.2079
2.1213e-009,0.2150
2.1637e-009,0.2221
2.2061e-009,0.2265
2.2485e-009,0.2279
2.2910e-009,0.2266
2.3334e-009,0.2251
2.3758e-009,0.2256
2.4182e-009,0.2255
2.4606e-009,0.2237
2.5031e-009,0.2227
2.5455e-009,0.2223
2.5879e-009,0.2214
2.6303e-009,0.2211
2.6728e-009,0.2217
2.7152e-009,0.2226
2.7576e-009,0.2240
2.8000e-009,0.2250
2.8425e-009,0.2244
2.8849e-009,0.2232
2.9273e-009,0.2224
2.9698e-009,0.2250
3.0122e-009,0.2716
3.0546e-009,0.3970
3.0970e-009,0.5558
3.1395e-009,0.7274
3.1819e-009,0.8847
3.2243e-009,1.0069
3.2667e-009,1.0981
3.3092e-009,1.1623
3.3516e-009,1.2027
3.3940e-009,1.2293
3.4364e-009,1.2459
3.4789e-009,1.2543
3.5213e-009,1.2587
3.5637e-009,1.2603
3.6061e-009,1.2596
3.6485e-009,1.2606
