.HEADER
..NAMES
Time,V U2.C7&B7
.DATA
0.0e+000,-1.0416
4.24e-011,-1.0416
8.49e-011,-1.0416
1.273e-010,-1.0416
1.697e-010,-1.0416
2.121e-010,-1.0416
2.545e-010,-1.0416
2.970e-010,-1.0416
3.394e-010,-1.0416
3.818e-010,-1.0416
4.242e-010,-1.0416
4.667e-010,-1.0416
5.091e-010,-1.0416
5.515e-010,-1.0416
5.940e-010,-1.0416
6.364e-010,-1.0416
6.788e-010,-1.0416
7.212e-010,-1.0416
7.636e-010,-1.0416
8.061e-010,-1.0416
8.485e-010,-1.0416
8.909e-010,-1.0416
9.333e-010,-1.0416
9.758e-010,-1.0416
1.0182e-009,-1.0416
1.0606e-009,-1.0416
1.1030e-009,-1.0417
1.1455e-009,-1.0432
1.1879e-009,-1.0447
1.2303e-009,-1.0451
1.2728e-009,-1.0458
1.3152e-009,-1.0450
1.3576e-009,-1.0442
1.4000e-009,-1.0445
1.4425e-009,-1.0445
1.4849e-009,-1.0441
1.5273e-009,-1.0434
1.5697e-009,-1.0392
1.6121e-009,-0.9602
1.6546e-009,-0.6645
1.6970e-009,-0.3246
1.7394e-009,0.0021
1.7819e-009,0.3077
1.8243e-009,0.5357
1.8667e-009,0.6935
1.9091e-009,0.8206
1.9516e-009,0.9086
1.9940e-009,0.9704
2.0364e-009,1.0086
2.0788e-009,1.0288
2.1213e-009,1.0433
2.1637e-009,1.0509
2.2061e-009,1.0501
2.2485e-009,1.0533
2.2910e-009,1.0657
2.3334e-009,1.0793
2.3758e-009,1.0754
2.4182e-009,1.0746
2.4606e-009,1.0854
2.5031e-009,1.0741
2.5455e-009,0.9723
2.5879e-009,0.6299
2.6303e-009,0.2413
2.6728e-009,-0.0889
2.7152e-009,-0.3786
2.7576e-009,-0.5886
2.8000e-009,-0.7350
2.8425e-009,-0.8591
2.8849e-009,-0.9427
2.9273e-009,-0.9963
2.9698e-009,-1.0266
3.0122e-009,-1.0421
3.0546e-009,-1.0533
3.0970e-009,-1.0591
3.1395e-009,-1.0568
3.1819e-009,-1.0636
3.2243e-009,-1.0791
3.2667e-009,-1.0915
3.3092e-009,-1.0861
3.3516e-009,-1.0837
3.3940e-009,-1.0968
3.4364e-009,-1.0876
3.4789e-009,-0.9982
3.5213e-009,-0.6721
3.5637e-009,-0.2771
3.6061e-009,0.0484
3.6485e-009,0.3400
3.6910e-009,0.5584
3.7334e-009,0.7110
3.7758e-009,0.8407
3.8183e-009,0.9277
3.8607e-009,0.9818
3.9031e-009,1.0138
3.9455e-009,1.0307
3.9879e-009,1.0398
4.0304e-009,1.0468
4.0728e-009,1.0447
4.1152e-009,1.0512
4.1577e-009,1.0673
4.2001e-009,1.0800
4.2425e-009,1.0758
4.2849e-009,1.0724
4.3274e-009,1.0868
4.3698e-009,1.0819
4.4122e-009,1.0084
4.4546e-009,0.7070
4.4970e-009,0.3075
4.5395e-009,-0.0196
4.5819e-009,-0.3180
4.6243e-009,-0.5451
4.6668e-009,-0.7023
4.7092e-009,-0.8351
4.7516e-009,-0.9260
4.7940e-009,-0.9829
4.8364e-009,-1.0168
4.8789e-009,-1.0362
4.9213e-009,-1.0469
4.9637e-009,-1.0556
5.0062e-009,-1.0552
5.0486e-009,-1.0599
5.0910e-009,-1.0748
5.1334e-009,-1.0879
5.1758e-009,-1.0858
5.2183e-009,-1.0806
5.2607e-009,-1.0944
5.3031e-009,-1.0913
5.3456e-009,-1.0288
5.3880e-009,-0.7512
5.4304e-009,-0.3458
5.4728e-009,-0.0146
5.5153e-009,0.2880
5.5577e-009,0.5230
5.6001e-009,0.6850
5.6425e-009,0.8196
5.6849e-009,0.9142
5.7274e-009,0.9740
5.7698e-009,1.0092
5.8122e-009,1.0304
5.8547e-009,1.0414
5.8971e-009,1.0504
5.9395e-009,1.0502
5.9819e-009,1.0533
6.0243e-009,1.0676
6.0668e-009,1.0816
6.1092e-009,1.0815
6.1516e-009,1.0744
6.1941e-009,1.0869
6.2365e-009,1.0872
6.2789e-009,1.0353
6.3213e-009,0.7839
6.3637e-009,0.3777
6.4062e-009,0.0423
6.4486e-009,-0.2652
6.4910e-009,-0.5077
6.5335e-009,-0.6750
6.5759e-009,-0.8118
6.6183e-009,-0.9107
6.6607e-009,-0.9738
6.7032e-009,-1.0111
6.7456e-009,-1.0331
6.7880e-009,-1.0418
6.8304e-009,-1.0512
6.8728e-009,-1.0516
6.9153e-009,-1.0536
6.9577e-009,-1.0686
7.0001e-009,-1.0834
7.0426e-009,-1.0843
7.0850e-009,-1.0769
7.1274e-009,-1.0897
7.1698e-009,-1.0931
7.2122e-009,-1.0513
7.2547e-009,-0.8262
7.2971e-009,-0.4195
7.3395e-009,-0.0783
7.3820e-009,0.2326
7.4244e-009,0.4828
7.4668e-009,0.6562
7.5092e-009,0.7949
7.5516e-009,0.8994
7.5941e-009,0.9649
7.6365e-009,1.0030
7.6789e-009,1.0273
7.7213e-009,1.0386
7.7638e-009,1.0487
7.8062e-009,1.0508
7.8486e-009,1.0519
7.8910e-009,1.0648
7.9335e-009,1.0795
7.9759e-009,1.0834
8.0183e-009,1.0746
8.0608e-009,1.0847
8.1032e-009,1.0903
8.1456e-009,1.0548
8.1880e-009,0.8552
8.2305e-009,0.4536
8.2729e-009,0.1054
8.3153e-009,-0.2086
8.3577e-009,-0.4660
8.4001e-009,-0.6463
8.4426e-009,-0.7865
8.4850e-009,-0.8946
8.5274e-009,-0.9635
8.5698e-009,-1.0046
8.6123e-009,-1.0303
8.6547e-009,-1.0426
8.6971e-009,-1.0532
8.7396e-009,-1.0555
8.7820e-009,-1.0556
8.8244e-009,-1.0678
8.8668e-009,-1.0829
8.9093e-009,-1.0886
8.9517e-009,-1.0795
8.9941e-009,-1.0875
9.0365e-009,-1.0954
9.0790e-009,-1.0664
9.1214e-009,-0.8915
9.1638e-009,-0.4969
9.2062e-009,-0.1399
9.2486e-009,0.1764
