.HEADER
..NAMES
Time,V U2.C7&B7
.DATA
0.0e+000,0.2189
4.24e-011,0.2189
8.49e-011,0.2189
1.273e-010,0.2189
1.697e-010,0.2189
2.121e-010,0.2189
2.545e-010,0.2189
2.970e-010,0.2189
3.394e-010,0.2189
3.818e-010,0.2189
4.242e-010,0.2189
4.667e-010,0.2189
5.091e-010,0.2189
5.515e-010,0.2189
5.940e-010,0.2189
6.364e-010,0.2189
6.788e-010,0.2189
7.212e-010,0.2189
7.636e-010,0.2189
8.061e-010,0.2189
8.485e-010,0.2189
8.909e-010,0.2189
9.333e-010,0.2189
9.758e-010,0.2189
1.0182e-009,0.2189
1.0606e-009,0.2189
1.1030e-009,0.2187
1.1455e-009,0.2165
1.1879e-009,0.2136
1.2303e-009,0.2129
1.2728e-009,0.2119
1.3152e-009,0.2130
1.3576e-009,0.2143
1.4000e-009,0.2146
1.4425e-009,0.2147
1.4849e-009,0.2154
1.5273e-009,0.2163
1.5697e-009,0.2188
1.6121e-009,0.2535
1.6546e-009,0.3816
1.6970e-009,0.5343
1.7394e-009,0.7029
1.7819e-009,0.8619
1.8243e-009,0.9742
1.8667e-009,1.0566
1.9091e-009,1.1265
1.9516e-009,1.1758
1.9940e-009,1.2116
2.0364e-009,1.2343
2.0788e-009,1.2493
2.1213e-009,1.2619
2.1637e-009,1.2658
2.2061e-009,1.2653
2.2485e-009,1.2669
2.2910e-009,1.2722
2.3334e-009,1.2778
2.3758e-009,1.2755
2.4182e-009,1.2762
2.4606e-009,1.2800
2.5031e-009,1.2708
2.5455e-009,1.2121
2.5879e-009,1.0226
2.6303e-009,0.8121
2.6728e-009,0.6500
2.7152e-009,0.5137
2.7576e-009,0.4091
2.8000e-009,0.3386
2.8425e-009,0.2834
2.8849e-009,0.2485
2.9273e-009,0.2263
2.9698e-009,0.2138
3.0122e-009,0.2081
3.0546e-009,0.2049
3.0970e-009,0.2042
3.1395e-009,0.2062
3.1819e-009,0.2033
3.2243e-009,0.1967
3.2667e-009,0.1900
3.3092e-009,0.1924
3.3516e-009,0.1947
3.3940e-009,0.1881
3.4364e-009,0.1908
3.4789e-009,0.2304
3.5213e-009,0.3764
3.5637e-009,0.5547
3.6061e-009,0.7195
3.6485e-009,0.8742
3.6910e-009,0.9841
3.7334e-009,1.0637
3.7758e-009,1.1351
3.8183e-009,1.1842
3.8607e-009,1.2166
3.9031e-009,1.2362
3.9455e-009,1.2457
3.9879e-009,1.2498
4.0304e-009,1.2542
4.0728e-009,1.2527
4.1152e-009,1.2567
4.1577e-009,1.2663
4.2001e-009,1.2729
4.2425e-009,1.2702
4.2849e-009,1.2704
4.3274e-009,1.2786
4.3698e-009,1.2744
4.4122e-009,1.2327
4.4546e-009,1.0659
