.HEADER
..NAMES
Time,V U2.C7&B7
.DATA
0.0e+000,1.2605
4.24e-011,1.2605
8.49e-011,1.2605
1.273e-010,1.2605
1.697e-010,1.2605
2.121e-010,1.2605
2.545e-010,1.2605
2.970e-010,1.2605
3.394e-010,1.2605
3.818e-010,1.2605
4.242e-010,1.2605
4.667e-010,1.2605
5.091e-010,1.2605
5.515e-010,1.2605
5.940e-010,1.2605
6.364e-010,1.2605
6.788e-010,1.2605
7.212e-010,1.2605
7.636e-010,1.2605
8.061e-010,1.2605
8.485e-010,1.2605
8.909e-010,1.2605
9.333e-010,1.2605
9.758e-010,1.2605
1.0182e-009,1.2605
1.0606e-009,1.2605
1.1030e-009,1.2605
1.1455e-009,1.2597
1.1879e-009,1.2583
1.2303e-009,1.2581
1.2728e-009,1.2577
1.3152e-009,1.2580
1.3576e-009,1.2585
1.4000e-009,1.2591
1.4425e-009,1.2593
1.4849e-009,1.2594
1.5273e-009,1.2597
1.5697e-009,1.2580
1.6121e-009,1.2138
1.6546e-009,1.0461
1.6970e-009,0.8589
1.7394e-009,0.7008
1.7819e-009,0.5542
1.8243e-009,0.4386
1.8667e-009,0.3632
1.9091e-009,0.3059
1.9516e-009,0.2672
1.9940e-009,0.2412
2.0364e-009,0.2257
2.0788e-009,0.2205
2.1213e-009,0.2186
2.1637e-009,0.2150
2.2061e-009,0.2152
2.2485e-009,0.2136
2.2910e-009,0.2066
2.3334e-009,0.1984
2.3758e-009,0.2001
2.4182e-009,0.2016
2.4606e-009,0.1946
2.5031e-009,0.1967
2.5455e-009,0.2397
2.5879e-009,0.3927
2.6303e-009,0.5708
2.6728e-009,0.7389
2.7152e-009,0.8923
2.7576e-009,0.9977
2.8000e-009,1.0735
2.8425e-009,1.1425
2.8849e-009,1.1913
2.9273e-009,1.2226
2.9698e-009,1.2403
3.0122e-009,1.2503
3.0546e-009,1.2581
3.0970e-009,1.2634
3.1395e-009,1.2630
3.1819e-009,1.2670
3.2243e-009,1.2757
3.2667e-009,1.2815
3.3092e-009,1.2785
3.3516e-009,1.2784
3.3940e-009,1.2850
3.4364e-009,1.2785
3.4789e-009,1.2286
3.5213e-009,1.0485
3.5637e-009,0.8318
3.6061e-009,0.6711
3.6485e-009,0.5342
3.6910e-009,0.4257
3.7334e-009,0.3527
3.7758e-009,0.2944
3.8183e-009,0.2565
3.8607e-009,0.2348
3.9031e-009,0.2224
3.9455e-009,0.2150
3.9879e-009,0.2100
4.0304e-009,0.2074
4.0728e-009,0.2080
4.1152e-009,0.2056
4.1577e-009,0.1990
4.2001e-009,0.1928
4.2425e-009,0.1943
4.2849e-009,0.1981
4.3274e-009,0.1918
4.3698e-009,0.1924
4.4122e-009,0.2243
4.4546e-009,0.3589
4.4970e-009,0.5406
4.5395e-009,0.7041
4.5819e-009,0.8622
4.6243e-009,0.9764
4.6668e-009,1.0567
4.7092e-009,1.1290
4.7516e-009,1.1805
4.7940e-009,1.2146
4.8364e-009,1.2360
4.8789e-009,1.2488
4.9213e-009,1.2568
4.9637e-009,1.2631
5.0062e-009,1.2633
5.0486e-009,1.2657
5.0910e-009,1.2739
5.1334e-009,1.2804
5.1758e-009,1.2787
5.2183e-009,1.2767
5.2607e-009,1.2837
5.3031e-009,1.2805
5.3456e-009,1.2455
5.3880e-009,1.0923
5.4304e-009,0.8684
5.4728e-009,0.7006
5.5153e-009,0.5590
5.5577e-009,0.4435
5.6001e-009,0.3648
5.6425e-009,0.3040
5.6849e-009,0.2624
5.7274e-009,0.2376
5.7698e-009,0.2238
5.8122e-009,0.2154
5.8547e-009,0.2119
5.8971e-009,0.2093
5.9395e-009,0.2100
5.9819e-009,0.2087
6.0243e-009,0.2022
6.0668e-009,0.1950
6.1092e-009,0.1941
6.1516e-009,0.1989
6.1941e-009,0.1936
6.2365e-009,0.1912
6.2789e-009,0.2127
6.3213e-009,0.3239
6.3637e-009,0.5072
6.4062e-009,0.6707
6.4486e-009,0.8337
6.4910e-009,0.9570
6.5335e-009,1.0416
6.5759e-009,1.1156
6.6183e-009,1.1718
6.6607e-009,1.2093
6.7032e-009,1.2323
6.7456e-009,1.2468
6.7880e-009,1.2564
6.8304e-009,1.2643
6.8728e-009,1.2650
6.9153e-009,1.2664
6.9577e-009,1.2742
7.0001e-009,1.2806
7.0426e-009,1.2803
7.0850e-009,1.2768
7.1274e-009,1.2829
7.1698e-009,1.2826
7.2122e-009,1.2584
7.2547e-009,1.1336
7.2971e-009,0.9083
7.3395e-009,0.7304
7.3820e-009,0.5844
7.4244e-009,0.4632
7.4668e-009,0.3777
7.5092e-009,0.3144
7.5516e-009,0.2689
7.5941e-009,0.2416
7.6365e-009,0.2259
7.6789e-009,0.2158
7.7213e-009,0.2119
7.7638e-009,0.2089
7.8062e-009,0.2089
7.8486e-009,0.2089
7.8910e-009,0.2032
7.9335e-009,0.1959
7.9759e-009,0.1930
8.0183e-009,0.1982
8.0608e-009,0.1949
8.1032e-009,0.1902
8.1456e-009,0.2044
8.1880e-009,0.2920
8.2305e-009,0.4725
8.2729e-009,0.6383
8.3153e-009,0.8038
8.3577e-009,0.9363
8.4001e-009,1.0266
8.4426e-009,1.1014
8.4850e-009,1.1624
8.5274e-009,1.2031
8.5698e-009,1.2284
8.6123e-009,1.2443
8.6547e-009,1.2527
8.6971e-009,1.2602
8.7396e-009,1.2626
8.7820e-009,1.2629
8.8244e-009,1.2698
8.8668e-009,1.2778
8.9093e-009,1.2799
8.9517e-009,1.2756
8.9941e-009,1.2804
9.0365e-009,1.2833
9.0790e-009,1.2666
9.1214e-009,1.1698
9.1638e-009,0.9512
9.2062e-009,0.7613
9.2486e-009,0.6114
9.2911e-009,0.4847
9.3335e-009,0.3915
9.3759e-009,0.3259
9.4183e-009,0.2758
9.4608e-009,0.2451
9.5032e-009,0.2281
9.5456e-009,0.2175
9.5881e-009,0.2130
9.6305e-009,0.2097
9.6729e-009,0.2091
9.7153e-009,0.2096
9.7578e-009,0.2046
9.8002e-009,0.1973
9.8426e-009,0.1926
9.8850e-009,0.1973
9.9274e-009,0.1963
9.9699e-009,0.1900
1.00123e-008,0.1987
1.00547e-008,0.2646
1.00971e-008,0.4361
1.01396e-008,0.6064
1.01820e-008,0.7723
1.02244e-008,0.9141
1.02668e-008,1.0112
1.03093e-008,1.0869
1.03517e-008,1.1524
1.03941e-008,1.1963
1.04366e-008,1.2242
1.04790e-008,1.2417
1.05214e-008,1.2510
1.05638e-008,1.2588
1.06063e-008,1.2625
1.06487e-008,1.2623
1.06911e-008,1.2680
1.07335e-008,1.2764
1.07759e-008,1.2802
1.08184e-008,1.2759
1.08608e-008,1.2787
1.09032e-008,1.2838
1.09456e-008,1.2725
1.09881e-008,1.2005
1.10305e-008,0.9964
1.10729e-008,0.7933
1.11154e-008,0.6391
1.11578e-008,0.5073
1.12002e-008,0.4064
1.12426e-008,0.3379
1.12851e-008,0.2836
1.13275e-008,0.2498
1.13699e-008,0.2306
1.14123e-008,0.2191
1.14548e-008,0.2135
1.14972e-008,0.2102
1.15396e-008,0.2088
1.15820e-008,0.2097
1.16244e-008,0.2058
1.16669e-008,0.1987
1.17093e-008,0.1927
1.17517e-008,0.1961
1.17941e-008,0.1974
1.18366e-008,0.1905
1.18790e-008,0.1949
1.19214e-008,0.2423
1.19639e-008,0.3989
1.20063e-008,0.5749
1.20487e-008,0.7397
1.20911e-008,0.8900
1.21336e-008,0.9949
1.21760e-008,1.0722
1.22184e-008,1.1415
1.22608e-008,1.1889
1.23032e-008,1.2197
1.23457e-008,1.2388
1.23881e-008,1.2494
1.24305e-008,1.2572
1.24729e-008,1.2622
1.25154e-008,1.2620
1.25578e-008,1.2663
1.26002e-008,1.2748
1.26427e-008,1.2800
1.26851e-008,1.2767
1.27275e-008,1.2771
1.27699e-008,1.2837
1.28124e-008,1.2766
1.28548e-008,1.2249
1.28972e-008,1.0422
1.29396e-008,0.8272
1.29821e-008,0.6676
1.30245e-008,0.5310
1.30669e-008,0.4228
1.31093e-008,0.3502
1.31517e-008,0.2924
1.31942e-008,0.2551
1.32366e-008,0.2334
1.32790e-008,0.2209
1.33214e-008,0.2140
1.33639e-008,0.2107
1.34063e-008,0.2087
1.34487e-008,0.2096
1.34912e-008,0.2069
1.35336e-008,0.2000
1.35760e-008,0.1933
1.36184e-008,0.1948
1.36609e-008,0.1981
1.37033e-008,0.1915
1.37457e-008,0.1923
1.37881e-008,0.2253
1.38306e-008,0.3619
1.38730e-008,0.5431
1.39154e-008,0.7066
1.39578e-008,0.8641
1.40002e-008,0.9774
1.40427e-008,1.0574
1.40851e-008,1.1295
1.41275e-008,1.1809
1.41699e-008,1.2149
1.42124e-008,1.2356
1.42548e-008,1.2475
1.42972e-008,1.2538
1.43397e-008,1.2594
1.43821e-008,1.2593
1.44245e-008,1.2621
1.44669e-008,1.2710
1.45094e-008,1.2780
1.45518e-008,1.2765
1.45942e-008,1.2748
1.46366e-008,1.2821
1.46790e-008,1.2789
1.47215e-008,1.2428
1.47639e-008,1.0868
1.48063e-008,0.8637
1.48487e-008,0.6971
1.48912e-008,0.5560
1.49336e-008,0.4410
1.49760e-008,0.3630
1.50185e-008,0.3022
1.50609e-008,0.2607
1.51033e-008,0.2361
1.51457e-008,0.2230
1.51881e-008,0.2157
1.52306e-008,0.2146
1.52730e-008,0.2124
1.53154e-008,0.2124
1.53579e-008,0.2107
1.54003e-008,0.2038
1.54427e-008,0.1956
1.54851e-008,0.1946
1.55276e-008,0.1995
1.55700e-008,0.1937
1.56124e-008,0.1911
1.56548e-008,0.2135
1.56972e-008,0.3268
1.57397e-008,0.5101
1.57821e-008,0.6734
1.58245e-008,0.8360
1.58670e-008,0.9584
1.59094e-008,1.0427
1.59518e-008,1.1166
1.59942e-008,1.1728
1.60366e-008,1.2101
1.60791e-008,1.2318
1.61215e-008,1.2453
1.61639e-008,1.2532
1.62064e-008,1.2603
1.62488e-008,1.2615
1.62912e-008,1.2632
1.63336e-008,1.2714
1.63761e-008,1.2785
