.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
0.0e+000,-1.0424
4.24e-011,-1.0424
8.49e-011,-1.0424
1.273e-010,-1.0424
1.697e-010,-1.0424
2.121e-010,-1.0424
2.545e-010,-1.0424
2.970e-010,-1.0424
3.394e-010,-1.0424
3.818e-010,-1.0424
4.242e-010,-1.0424
4.667e-010,-1.0424
5.091e-010,-1.0424
5.515e-010,-1.0424
5.940e-010,-1.0424
6.364e-010,-1.0424
6.788e-010,-1.0424
7.212e-010,-1.0424
7.636e-010,-1.0424
8.061e-010,-1.0424
8.485e-010,-1.0424
8.909e-010,-1.0424
9.333e-010,-1.0424
9.758e-010,-1.0424
1.0182e-009,-1.0424
1.0606e-009,-1.0424
1.1030e-009,-1.0424
1.1455e-009,-1.0424
1.1879e-009,-1.0424
1.2303e-009,-1.0424
1.2728e-009,-1.0424
1.3152e-009,-1.0424
1.3576e-009,-1.0424
1.4000e-009,-1.0424
1.4425e-009,-1.0424
1.4849e-009,-1.0423
1.5273e-009,-1.0386
1.5697e-009,-0.9597
1.6121e-009,-0.7006
1.6546e-009,-0.4135
1.6970e-009,-0.0680
1.7394e-009,0.2864
1.7819e-009,0.5587
1.8243e-009,0.7464
1.8667e-009,0.8736
1.9091e-009,0.9498
1.9516e-009,0.9808
1.9940e-009,1.0004
2.0364e-009,1.0193
2.0788e-009,1.0438
2.1213e-009,1.0712
2.1637e-009,1.0805
2.2061e-009,1.0769
2.2485e-009,1.0735
2.2910e-009,1.0719
2.3334e-009,1.0625
2.3758e-009,1.0545
2.4182e-009,1.0523
2.4606e-009,1.0349
2.5031e-009,0.9412
2.5455e-009,0.6641
2.5879e-009,0.3667
2.6303e-009,0.0261
2.6728e-009,-0.3259
2.7152e-009,-0.5875
2.7576e-009,-0.7641
2.8000e-009,-0.8844
2.8425e-009,-0.9598
2.8849e-009,-0.9926
2.9273e-009,-1.0123
2.9698e-009,-1.0315
3.0122e-009,-1.0566
3.0546e-009,-1.0825
3.0970e-009,-1.0888
3.1395e-009,-1.0833
3.1819e-009,-1.0799
3.2243e-009,-1.0785
3.2667e-009,-1.0693
3.3092e-009,-1.0608
3.3516e-009,-1.0594
3.3940e-009,-1.0428
3.4364e-009,-0.9635
3.4789e-009,-0.7026
3.5213e-009,-0.4051
3.5637e-009,-0.0737
3.6061e-009,0.2850
3.6485e-009,0.5576
3.6910e-009,0.7420
3.7334e-009,0.8674
3.7758e-009,0.9492
3.8183e-009,0.9845
3.8607e-009,1.0037
3.9031e-009,1.0233
3.9455e-009,1.0474
3.9879e-009,1.0735
4.0304e-009,1.0817
4.0728e-009,1.0773
4.1152e-009,1.0747
4.1577e-009,1.0728
4.2001e-009,1.0643
4.2425e-009,1.0549
4.2849e-009,1.0540
4.3274e-009,1.0397
4.3698e-009,0.9731
4.4122e-009,0.7286
4.4546e-009,0.4281
4.4970e-009,0.1049
4.5395e-009,-0.2582
4.5819e-009,-0.5390
4.6243e-009,-0.7306
4.6668e-009,-0.8618
4.7092e-009,-0.9480
4.7516e-009,-0.9870
4.7940e-009,-1.0071
4.8364e-009,-1.0261
4.8789e-009,-1.0496
4.9213e-009,-1.0764
4.9637e-009,-1.0876
5.0062e-009,-1.0834
5.0486e-009,-1.0797
5.0910e-009,-1.0778
5.1334e-009,-1.0708
5.1758e-009,-1.0606
5.2183e-009,-1.0595
5.2607e-009,-1.0470
5.3031e-009,-0.9906
5.3456e-009,-0.7631
5.3880e-009,-0.4602
5.4304e-009,-0.1453
5.4728e-009,0.2215
5.5153e-009,0.5128
5.5577e-009,0.7123
5.6001e-009,0.8472
5.6425e-009,0.9379
5.6849e-009,0.9804
5.7274e-009,1.0007
5.7698e-009,1.0201
