.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
0.0e+000,0.2184
4.24e-011,0.2184
8.49e-011,0.2184
1.273e-010,0.2184
1.697e-010,0.2184
2.121e-010,0.2184
2.545e-010,0.2184
2.970e-010,0.2184
3.394e-010,0.2184
3.818e-010,0.2184
4.242e-010,0.2184
4.667e-010,0.2184
5.091e-010,0.2184
5.515e-010,0.2184
5.940e-010,0.2184
6.364e-010,0.2184
6.788e-010,0.2184
7.212e-010,0.2184
7.636e-010,0.2184
8.061e-010,0.2184
8.485e-010,0.2184
8.909e-010,0.2184
9.333e-010,0.2184
9.758e-010,0.2184
1.0182e-009,0.2184
1.0606e-009,0.2184
1.1030e-009,0.2184
1.1455e-009,0.2184
1.1879e-009,0.2184
1.2303e-009,0.2184
1.2728e-009,0.2184
1.3152e-009,0.2184
1.3576e-009,0.2184
1.4000e-009,0.2184
1.4425e-009,0.2184
1.4849e-009,0.2184
1.5273e-009,0.2198
1.5697e-009,0.2534
1.6121e-009,0.3662
1.6546e-009,0.4966
1.6970e-009,0.6689
1.7394e-009,0.8420
1.7819e-009,0.9763
1.8243e-009,1.0785
1.8667e-009,1.1481
1.9091e-009,1.1910
1.9516e-009,1.2140
1.9940e-009,1.2297
2.0364e-009,1.2416
2.0788e-009,1.2543
2.1213e-009,1.2676
2.1637e-009,1.2740
2.2061e-009,1.2748
2.2485e-009,1.2737
2.2910e-009,1.2722
2.3334e-009,1.2673
2.3758e-009,1.2638
2.4182e-009,1.2625
2.4606e-009,1.2527
2.5031e-009,1.1997
2.5455e-009,1.0452
2.5879e-009,0.8827
2.6303e-009,0.7098
2.6728e-009,0.5329
2.7152e-009,0.4024
2.7576e-009,0.3195
2.8000e-009,0.2678
2.8425e-009,0.2364
2.8849e-009,0.2259
2.9273e-009,0.2231
2.9698e-009,0.2159
3.0122e-009,0.2036
3.0546e-009,0.1916
3.0970e-009,0.1889
3.1395e-009,0.1936
3.1819e-009,0.1966
3.2243e-009,0.1957
3.2667e-009,0.1992
3.3092e-009,0.2046
3.3516e-009,0.2060
3.3940e-009,0.2139
3.4364e-009,0.2489
3.4789e-009,0.3645
3.5213e-009,0.4977
3.5637e-009,0.6610
3.6061e-009,0.8390
3.6485e-009,0.9726
3.6910e-009,1.0721
3.7334e-009,1.1418
3.7758e-009,1.1882
3.8183e-009,1.2144
3.8607e-009,1.2309
3.9031e-009,1.2434
3.9455e-009,1.2558
3.9879e-009,1.2684
4.0304e-009,1.2741
4.0728e-009,1.2745
4.1152e-009,1.2744
4.1577e-009,1.2729
4.2001e-009,1.2681
4.2425e-009,1.2635
4.2849e-009,1.2633
4.3274e-009,1.2558
4.3698e-009,1.2178
4.4122e-009,1.0809
4.4546e-009,0.9150
4.4970e-009,0.7495
4.5395e-009,0.5671
4.5819e-009,0.4261
4.6243e-009,0.3347
4.6668e-009,0.2773
4.7092e-009,0.2409
4.7516e-009,0.2272
4.7940e-009,0.2246
4.8364e-009,0.2186
4.8789e-009,0.2070
4.9213e-009,0.1943
4.9637e-009,0.1893
5.0062e-009,0.1932
5.0486e-009,0.1967
5.0910e-009,0.1964
5.1334e-009,0.1984
5.1758e-009,0.2044
5.2183e-009,0.2059
5.2607e-009,0.2120
5.3031e-009,0.2370
5.3456e-009,0.3379
5.3880e-009,0.4721
5.4304e-009,0.6248
5.4728e-009,0.8083
5.5153e-009,0.9500
5.5577e-009,1.0555
5.6001e-009,1.1306
5.6425e-009,1.1812
5.6849e-009,1.2107
5.7274e-009,1.2284
5.7698e-009,1.2415
5.8122e-009,1.2535
5.8547e-009,1.2666
5.8971e-009,1.2740
5.9395e-009,1.2748
5.9819e-009,1.2749
6.0243e-009,1.2736
6.0668e-009,1.2696
6.1092e-009,1.2641
6.1516e-009,1.2639
6.1941e-009,1.2585
6.2365e-009,1.2316
6.2789e-009,1.1147
6.3213e-009,0.9452
6.3637e-009,0.7854
6.4062e-009,0.6007
6.4486e-009,0.4496
6.4910e-009,0.3496
6.5335e-009,0.2869
6.5759e-009,0.2464
6.6183e-009,0.2288
6.6607e-009,0.2253
6.7032e-009,0.2205
6.7456e-009,0.2098
6.7880e-009,0.1967
6.8304e-009,0.1896
6.8728e-009,0.1925
6.9153e-009,0.1965
6.9577e-009,0.1969
7.0001e-009,0.1976
7.0426e-009,0.2037
7.0850e-009,0.2058
7.1274e-009,0.2102
7.1698e-009,0.2284
7.2122e-009,0.3121
7.2547e-009,0.4468
7.2971e-009,0.5902
7.3395e-009,0.7750
7.3820e-009,0.9257
7.4244e-009,1.0374
7.4668e-009,1.1182
7.5092e-009,1.1732
7.5516e-009,1.2064
7.5941e-009,1.2255
7.6365e-009,1.2394
7.6789e-009,1.2512
7.7213e-009,1.2643
7.7638e-009,1.2734
7.8062e-009,1.2749
7.8486e-009,1.2751
7.8910e-009,1.2741
7.9335e-009,1.2710
7.9759e-009,1.2649
8.0183e-009,1.2641
8.0608e-009,1.2605
8.1032e-009,1.2413
8.1456e-009,1.1463
8.1880e-009,0.9765
8.2305e-009,0.8196
8.2729e-009,0.6357
8.3153e-009,0.4752
8.3577e-009,0.3659
8.4001e-009,0.2971
8.4426e-009,0.2528
8.4850e-009,0.2307
8.5274e-009,0.2258
8.5698e-009,0.2221
8.6123e-009,0.2124
8.6547e-009,0.1992
8.6971e-009,0.1902
8.7396e-009,0.1917
8.7820e-009,0.1961
8.8244e-009,0.1973
8.8668e-009,0.1970
8.9093e-009,0.2027
8.9517e-009,0.2058
8.9941e-009,0.2088
9.0365e-009,0.2225
9.0790e-009,0.2884
9.1214e-009,0.4212
9.1638e-009,0.5580
9.2062e-009,0.7397
9.2486e-009,0.8998
9.2911e-009,1.0180
9.3335e-009,1.1049
9.3759e-009,1.1643
9.4183e-009,1.2015
9.4608e-009,1.2224
9.5032e-009,1.2370
9.5456e-009,1.2489
9.5881e-009,1.2619
9.6305e-009,1.2725
9.6729e-009,1.2749
9.7153e-009,1.2752
9.7578e-009,1.2745
9.8002e-009,1.2721
9.8426e-009,1.2659
9.8850e-009,1.2641
9.9274e-009,1.2621
9.9699e-009,1.2481
1.00123e-008,1.1744
1.00547e-008,1.0092
1.00971e-008,0.8518
1.01396e-008,0.6719
1.01820e-008,0.5028
1.02244e-008,0.3836
1.02668e-008,0.3082
1.03093e-008,0.2601
1.03517e-008,0.2333
1.03941e-008,0.2262
1.04366e-008,0.2234
1.04790e-008,0.2148
1.05214e-008,0.2019
1.05638e-008,0.1913
1.06063e-008,0.1909
1.06487e-008,0.1955
1.06911e-008,0.1975
1.07335e-008,0.1967
1.07759e-008,0.2015
1.08184e-008,0.2057
1.08608e-008,0.2077
1.09032e-008,0.2183
1.09456e-008,0.2678
1.09881e-008,0.3949
1.10305e-008,0.5284
1.10729e-008,0.7030
1.11154e-008,0.8724
1.11578e-008,0.9975
1.12002e-008,1.0903
1.12426e-008,1.1544
1.12851e-008,1.1960
1.13275e-008,1.2191
1.13699e-008,1.2346
1.14123e-008,1.2466
1.14548e-008,1.2594
1.14972e-008,1.2711
1.15396e-008,1.2750
1.15820e-008,1.2753
1.16244e-008,1.2748
1.16669e-008,1.2729
1.17093e-008,1.2672
1.17517e-008,1.2640
1.17941e-008,1.2632
1.18366e-008,1.2528
