.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
0.0e+000,1.2607
4.24e-011,1.2607
8.49e-011,1.2607
1.273e-010,1.2607
1.697e-010,1.2607
2.121e-010,1.2607
2.545e-010,1.2607
2.970e-010,1.2607
3.394e-010,1.2607
3.818e-010,1.2607
4.242e-010,1.2607
4.667e-010,1.2607
5.091e-010,1.2607
5.515e-010,1.2607
5.940e-010,1.2607
6.364e-010,1.2607
6.788e-010,1.2607
7.212e-010,1.2607
7.636e-010,1.2607
8.061e-010,1.2607
8.485e-010,1.2607
8.909e-010,1.2607
9.333e-010,1.2607
9.758e-010,1.2607
1.0182e-009,1.2607
1.0606e-009,1.2607
1.1030e-009,1.2607
1.1455e-009,1.2607
1.1879e-009,1.2607
1.2303e-009,1.2607
1.2728e-009,1.2607
1.3152e-009,1.2607
1.3576e-009,1.2607
1.4000e-009,1.2607
1.4425e-009,1.2607
1.4849e-009,1.2607
1.5273e-009,1.2583
1.5697e-009,1.2131
1.6121e-009,1.0668
1.6546e-009,0.9101
1.6970e-009,0.7369
1.7394e-009,0.5556
1.7819e-009,0.4175
1.8243e-009,0.3320
1.8667e-009,0.2745
1.9091e-009,0.2411
1.9516e-009,0.2333
1.9940e-009,0.2293
2.0364e-009,0.2223
2.0788e-009,0.2105
2.1213e-009,0.1965
2.1637e-009,0.1935
2.2061e-009,0.1979
2.2485e-009,0.2002
2.2910e-009,0.2003
2.3334e-009,0.2048
2.3758e-009,0.2093
2.4182e-009,0.2102
2.4606e-009,0.2178
2.5031e-009,0.2585
2.5455e-009,0.3811
2.5879e-009,0.5160
2.6303e-009,0.6836
2.6728e-009,0.8588
2.7152e-009,0.9900
2.7576e-009,1.0836
2.8000e-009,1.1522
2.8425e-009,1.1962
2.8849e-009,1.2185
2.9273e-009,1.2353
2.9698e-009,1.2474
3.0122e-009,1.2602
3.0546e-009,1.2741
3.0970e-009,1.2777
3.1395e-009,1.2769
3.1819e-009,1.2765
3.2243e-009,1.2742
3.2667e-009,1.2685
3.3092e-009,1.2653
3.3516e-009,1.2653
3.3940e-009,1.2568
3.4364e-009,1.2124
3.4789e-009,1.0671
3.5213e-009,0.9027
3.5637e-009,0.7347
3.6061e-009,0.5541
3.6485e-009,0.4150
3.6910e-009,0.3301
