.HEADER
..NAMES
Time,V U3.C7&B7
.DATA
0.0e+000,-1.0425
4.24e-011,-1.0425
8.49e-011,-1.0425
1.273e-010,-1.0425
1.697e-010,-1.0425
2.121e-010,-1.0425
2.545e-010,-1.0425
2.970e-010,-1.0425
3.394e-010,-1.0425
3.818e-010,-1.0425
4.242e-010,-1.0425
4.667e-010,-1.0425
5.091e-010,-1.0425
5.515e-010,-1.0425
5.940e-010,-1.0425
6.364e-010,-1.0425
6.788e-010,-1.0425
7.212e-010,-1.0425
7.636e-010,-1.0425
8.061e-010,-1.0425
8.485e-010,-1.0425
8.909e-010,-1.0425
9.333e-010,-1.0425
9.758e-010,-1.0425
1.0182e-009,-1.0425
1.0606e-009,-1.0425
1.1030e-009,-1.0425
1.1455e-009,-1.0425
1.1879e-009,-1.0425
1.2303e-009,-1.0425
1.2728e-009,-1.0425
1.3152e-009,-1.0425
1.3576e-009,-1.0425
1.4000e-009,-1.0425
1.4425e-009,-1.0425
1.4849e-009,-1.0425
1.5273e-009,-1.0425
1.5697e-009,-1.0417
1.6121e-009,-1.0139
1.6546e-009,-0.8418
1.6970e-009,-0.5283
1.7394e-009,-0.1853
1.7819e-009,0.1547
1.8243e-009,0.4380
1.8667e-009,0.6580
1.9091e-009,0.7964
1.9516e-009,0.8953
1.9940e-009,0.9816
2.0364e-009,1.0255
2.0788e-009,1.0317
2.1213e-009,1.0410
2.1637e-009,1.0577
2.2061e-009,1.0620
2.2485e-009,1.0553
2.2910e-009,1.0510
2.3334e-009,1.0529
2.3758e-009,1.0505
2.4182e-009,1.0479
2.4606e-009,1.0523
2.5031e-009,1.0606
2.5455e-009,1.0333
2.5879e-009,0.8393
2.6303e-009,0.4764
2.6728e-009,0.0983
2.7152e-009,-0.2492
2.7576e-009,-0.5223
2.8000e-009,-0.7299
2.8425e-009,-0.8551
2.8849e-009,-0.9382
2.9273e-009,-1.0169
2.9698e-009,-1.0562
3.0122e-009,-1.0538
3.0546e-009,-1.0552
3.0970e-009,-1.0706
3.1395e-009,-1.0732
3.1819e-009,-1.0635
3.2243e-009,-1.0584
3.2667e-009,-1.0626
3.3092e-009,-1.0607
3.3516e-009,-1.0564
3.3940e-009,-1.0620
3.4364e-009,-1.0732
3.4789e-009,-1.0533
3.5213e-009,-0.8775
3.5637e-009,-0.5191
3.6061e-009,-0.1364
3.6485e-009,0.2195
3.6910e-009,0.4978
3.7334e-009,0.7037
3.7758e-009,0.8321
3.8183e-009,0.9197
3.8607e-009,1.0046
3.9031e-009,1.0458
3.9455e-009,1.0409
3.9879e-009,1.0414
4.0304e-009,1.0620
4.0728e-009,1.0692
4.1152e-009,1.0590
4.1577e-009,1.0504
4.2001e-009,1.0532
4.2425e-009,1.0523
4.2849e-009,1.0491
4.3274e-009,1.0541
4.3698e-009,1.0654
4.4122e-009,1.0517
4.4546e-009,0.8967
4.4970e-009,0.5489
4.5395e-009,0.1662
4.5819e-009,-0.1921
4.6243e-009,-0.4774
4.6668e-009,-0.6934
4.7092e-009,-0.8316
4.7516e-009,-0.9170
4.7940e-009,-1.0013
4.8364e-009,-1.0502
4.8789e-009,-1.0521
4.9213e-009,-1.0495
4.9637e-009,-1.0660
5.0062e-009,-1.0726
5.0486e-009,-1.0640
5.0910e-009,-1.0567
5.1334e-009,-1.0603
5.1758e-009,-1.0598
5.2183e-009,-1.0552
5.2607e-009,-1.0593
5.3031e-009,-1.0711
5.3456e-009,-1.0631
5.3880e-009,-0.9289
5.4304e-009,-0.5936
5.4728e-009,-0.2090
5.5153e-009,0.1564
5.5577e-009,0.4509
