.HEADER
..NAMES
Time,V U3.C7&B7
.DATA
0.0e+000,1.2608
4.24e-011,1.2608
8.49e-011,1.2608
1.273e-010,1.2608
1.697e-010,1.2608
2.121e-010,1.2608
2.545e-010,1.2608
2.970e-010,1.2608
3.394e-010,1.2608
3.818e-010,1.2608
4.242e-010,1.2608
4.667e-010,1.2608
5.091e-010,1.2608
5.515e-010,1.2608
5.940e-010,1.2608
6.364e-010,1.2608
6.788e-010,1.2608
7.212e-010,1.2608
7.636e-010,1.2608
8.061e-010,1.2608
8.485e-010,1.2608
8.909e-010,1.2608
9.333e-010,1.2608
9.758e-010,1.2608
1.0182e-009,1.2608
1.0606e-009,1.2608
1.1030e-009,1.2608
1.1455e-009,1.2608
1.1879e-009,1.2608
1.2303e-009,1.2608
1.2728e-009,1.2608
1.3152e-009,1.2608
1.3576e-009,1.2608
1.4000e-009,1.2608
1.4425e-009,1.2608
1.4849e-009,1.2608
1.5273e-009,1.2608
1.5697e-009,1.2603
1.6121e-009,1.2448
1.6546e-009,1.1499
1.6970e-009,0.9778
1.7394e-009,0.7974
1.7819e-009,0.6251
1.8243e-009,0.4864
1.8667e-009,0.3785
1.9091e-009,0.3117
1.9516e-009,0.2630
1.9940e-009,0.2262
2.0364e-009,0.2096
2.0788e-009,0.2108
2.1213e-009,0.2112
2.1637e-009,0.2090
2.2061e-009,0.2090
2.2485e-009,0.2076
2.2910e-009,0.2077
2.3334e-009,0.2090
2.3758e-009,0.2116
2.4182e-009,0.2102
2.4606e-009,0.2077
2.5031e-009,0.2052
2.5455e-009,0.2160
2.5879e-009,0.2995
2.6303e-009,0.4594
2.6728e-009,0.6372
2.7152e-009,0.8193
2.7576e-009,0.9636
2.8000e-009,1.0705
2.8425e-009,1.1332
2.8849e-009,1.1849
2.9273e-009,1.2323
2.9698e-009,1.2541
3.0122e-009,1.2537
3.0546e-009,1.2552
3.0970e-009,1.2615
3.1395e-009,1.2620
3.1819e-009,1.2644
3.2243e-009,1.2681
3.2667e-009,1.2711
3.3092e-009,1.2683
3.3516e-009,1.2656
3.3940e-009,1.2676
3.4364e-009,1.2723
3.4789e-009,1.2606
3.5213e-009,1.1628
3.5637e-009,0.9676
3.6061e-009,0.7693
3.6485e-009,0.5926
3.6910e-009,0.4579
3.7334e-009,0.3558
3.7758e-009,0.2947
3.8183e-009,0.2515
3.8607e-009,0.2136
3.9031e-009,0.1983
3.9455e-009,0.2059
3.9879e-009,0.2119
4.0304e-009,0.2077
4.0728e-009,0.2069
4.1152e-009,0.2060
4.1577e-009,0.2067
4.2001e-009,0.2073
4.2425e-009,0.2103
4.2849e-009,0.2094
4.3274e-009,0.2060
4.3698e-009,0.2029
4.4122e-009,0.2082
4.4546e-009,0.2738
4.4970e-009,0.4272
4.5395e-009,0.6044
4.5819e-009,0.7886
4.6243e-009,0.9392
4.6668e-009,1.0512
4.7092e-009,1.1205
4.7516e-009,1.1715
4.7940e-009,1.2231
4.8364e-009,1.2504
4.8789e-009,1.2526
4.9213e-009,1.2519
4.9637e-009,1.2592
5.0062e-009,1.2607
5.0486e-009,1.2630
5.0910e-009,1.2668
5.1334e-009,1.2704
5.1758e-009,1.2680
5.2183e-009,1.2649
5.2607e-009,1.2665
5.3031e-009,1.2715
5.3456e-009,1.2662
5.3880e-009,1.1912
5.4304e-009,1.0077
5.4728e-009,0.8060
5.5153e-009,0.6234
5.5577e-009,0.4806
5.6001e-009,0.3727
5.6425e-009,0.3036
5.6849e-009,0.2599
5.7274e-009,0.2189
5.7698e-009,0.1988
5.8122e-009,0.2030
5.8547e-009,0.2117
5.8971e-009,0.2079
5.9395e-009,0.2066
5.9819e-009,0.2057
6.0243e-009,0.2061
6.0668e-009,0.2065
6.1092e-009,0.2094
6.1516e-009,0.2096
6.1941e-009,0.2063
6.2365e-009,0.2029
6.2789e-009,0.2045
6.3213e-009,0.2524
6.3637e-009,0.3933
6.4062e-009,0.5684
6.4486e-009,0.7536
6.4910e-009,0.9130
6.5335e-009,1.0319
6.5759e-009,1.1097
6.6183e-009,1.1604
6.6607e-009,1.2141
6.7032e-009,1.2470
6.7456e-009,1.2532
6.7880e-009,1.2507
6.8304e-009,1.2578
6.8728e-009,1.2603
6.9153e-009,1.2621
6.9577e-009,1.2657
7.0001e-009,1.2697
7.0426e-009,1.2686
7.0850e-009,1.2650
7.1274e-009,1.2656
7.1698e-009,1.2703
7.2122e-009,1.2696
7.2547e-009,1.2153
7.2971e-009,1.0480
7.3395e-009,0.8438
7.3820e-009,0.6565
7.4244e-009,0.5049
7.4668e-009,0.3912
7.5092e-009,0.3136
7.5516e-009,0.2683
7.5941e-009,0.2255
7.6365e-009,0.2006
7.6789e-009,0.2004
7.7213e-009,0.2109
7.7638e-009,0.2086
7.8062e-009,0.2064
7.8486e-009,0.2056
7.8910e-009,0.2057
7.9335e-009,0.2061
7.9759e-009,0.2085
8.0183e-009,0.2098
8.0608e-009,0.2067
8.1032e-009,0.2033
8.1456e-009,0.2026
8.1880e-009,0.2354
8.2305e-009,0.3604
8.2729e-009,0.5332
8.3153e-009,0.7174
8.3577e-009,0.8853
8.4001e-009,1.0111
8.4426e-009,1.0980
8.4850e-009,1.1500
8.5274e-009,1.2044
8.5698e-009,1.2427
8.6123e-009,1.2535
8.6547e-009,1.2502
8.6971e-009,1.2562
8.7396e-009,1.2601
8.7820e-009,1.2613
8.8244e-009,1.2647
8.8668e-009,1.2690
8.9093e-009,1.2692
8.9517e-009,1.2653
8.9941e-009,1.2649
9.0365e-009,1.2691
9.0790e-009,1.2713
9.1214e-009,1.2343
9.1638e-009,1.0872
9.2062e-009,0.8824
9.2486e-009,0.6913
9.2911e-009,0.5308
9.3335e-009,0.4111
9.3759e-009,0.3250
9.4183e-009,0.2766
9.4608e-009,0.2329
9.5032e-009,0.2034
9.5456e-009,0.1985
9.5881e-009,0.2096
9.6305e-009,0.2094
9.6729e-009,0.2064
9.7153e-009,0.2057
9.7578e-009,0.2054
9.8002e-009,0.2059
9.8426e-009,0.2077
9.8850e-009,0.2099
9.9274e-009,0.2073
9.9699e-009,0.2039
1.00123e-008,0.2018
1.00547e-008,0.2226
1.00971e-008,0.3293
1.01396e-008,0.4985
1.01820e-008,0.6807
1.02244e-008,0.8560
1.02668e-008,0.9890
1.03093e-008,1.0846
1.03517e-008,1.1402
1.03941e-008,1.1939
1.04366e-008,1.2373
1.04790e-008,1.2532
1.05214e-008,1.2503
1.05638e-008,1.2544
1.06063e-008,1.2598
1.06487e-008,1.2607
1.06911e-008,1.2639
1.07335e-008,1.2681
1.07759e-008,1.2696
1.08184e-008,1.2658
1.08608e-008,1.2644
1.09032e-008,1.2679
1.09456e-008,1.2718
1.09881e-008,1.2486
1.10305e-008,1.1243
1.10729e-008,0.9218
1.11154e-008,0.7272
1.11578e-008,0.5584
1.12002e-008,0.4322
1.12426e-008,0.3382
1.12851e-008,0.2847
1.13275e-008,0.2411
1.13699e-008,0.2071
1.14123e-008,0.1974
1.14548e-008,0.2076
1.14972e-008,0.2103
1.15396e-008,0.2064
1.15820e-008,0.2058
1.16244e-008,0.2052
1.16669e-008,0.2058
1.17093e-008,0.2070
1.17517e-008,0.2097
1.17941e-008,0.2078
1.18366e-008,0.2044
1.18790e-008,0.2016
1.19214e-008,0.2136
1.19639e-008,0.3006
1.20063e-008,0.4641
1.20487e-008,0.6439
1.20911e-008,0.8247
1.21336e-008,0.9657
1.21760e-008,1.0695
1.22184e-008,1.1305
1.22608e-008,1.1829
1.23032e-008,1.2308
1.23457e-008,1.2521
1.23881e-008,1.2509
1.24305e-008,1.2527
1.24729e-008,1.2594
1.25154e-008,1.2603
1.25578e-008,1.2631
1.26002e-008,1.2671
1.26427e-008,1.2698
1.26851e-008,1.2665
1.27275e-008,1.2642
1.27699e-008,1.2668
1.28124e-008,1.2716
1.28548e-008,1.2586
1.28972e-008,1.1581
1.29396e-008,0.9620
1.29821e-008,0.7639
1.30245e-008,0.5879
1.30669e-008,0.4543
1.31093e-008,0.3533
1.31517e-008,0.2931
1.31942e-008,0.2497
1.32366e-008,0.2119
1.32790e-008,0.1972
1.33214e-008,0.2052
1.33639e-008,0.2109
1.34063e-008,0.2067
1.34487e-008,0.2059
1.34912e-008,0.2051
1.35336e-008,0.2057
1.35760e-008,0.2064
1.36184e-008,0.2094
1.36609e-008,0.2084
1.37033e-008,0.2050
1.37457e-008,0.2018
1.37881e-008,0.2077
1.38306e-008,0.2752
1.38730e-008,0.4300
1.39154e-008,0.6075
1.39578e-008,0.7916
1.40002e-008,0.9412
1.40427e-008,1.0524
1.40851e-008,1.1208
1.41275e-008,1.1719
