.HEADER
..NAMES
Time,V U3.F3&G3
.DATA
0.0e+000,-1.0391
4.24e-011,-1.0391
8.49e-011,-1.0391
1.273e-010,-1.0391
1.697e-010,-1.0391
2.121e-010,-1.0391
2.545e-010,-1.0391
2.970e-010,-1.0391
3.394e-010,-1.0391
3.818e-010,-1.0391
4.242e-010,-1.0391
4.667e-010,-1.0391
5.091e-010,-1.0391
5.515e-010,-1.0391
5.940e-010,-1.0391
6.364e-010,-1.0391
6.788e-010,-1.0391
7.212e-010,-1.0391
7.636e-010,-1.0391
8.061e-010,-1.0391
8.485e-010,-1.0391
8.909e-010,-1.0391
9.333e-010,-1.0391
9.758e-010,-1.0391
1.0182e-009,-1.0391
1.0606e-009,-1.0391
1.1030e-009,-1.0391
1.1455e-009,-1.0391
1.1879e-009,-1.0391
1.2303e-009,-1.0391
1.2728e-009,-1.0391
1.3152e-009,-1.0391
1.3576e-009,-1.0391
1.4000e-009,-1.0391
1.4425e-009,-1.0391
1.4849e-009,-1.0391
1.5273e-009,-1.0391
1.5697e-009,-1.0375
1.6121e-009,-0.9867
1.6546e-009,-0.7563
1.6970e-009,-0.4697
1.7394e-009,-0.1507
1.7819e-009,0.2031
1.8243e-009,0.4983
1.8667e-009,0.7078
1.9091e-009,0.8503
1.9516e-009,0.9341
1.9940e-009,0.9801
2.0364e-009,0.9946
2.0788e-009,1.0032
2.1213e-009,1.0133
2.1637e-009,1.0263
2.2061e-009,1.0482
2.2485e-009,1.0724
2.2910e-009,1.0808
2.3334e-009,1.0743
2.3758e-009,1.0645
2.4182e-009,1.0592
2.4606e-009,1.0594
2.5031e-009,1.0497
2.5455e-009,0.9916
2.5879e-009,0.7391
2.6303e-009,0.4114
2.6728e-009,0.0768
2.7152e-009,-0.2816
2.7576e-009,-0.5708
2.8000e-009,-0.7663
2.8425e-009,-0.8962
2.8849e-009,-0.9657
2.9273e-009,-1.0020
2.9698e-009,-1.0092
3.0122e-009,-1.0127
3.0546e-009,-1.0221
3.0970e-009,-1.0397
3.1395e-009,-1.0654
3.1819e-009,-1.0901
3.2243e-009,-1.0974
3.2667e-009,-1.0855
3.3092e-009,-1.0712
3.3516e-009,-1.0647
3.3940e-009,-1.0676
3.4364e-009,-1.0604
3.4789e-009,-1.0110
3.5213e-009,-0.7750
3.5637e-009,-0.4453
3.6061e-009,-0.1187
3.6485e-009,0.2404
3.6910e-009,0.5375
3.7334e-009,0.7403
3.7758e-009,0.8770
3.8183e-009,0.9502
3.8607e-009,0.9909
3.9031e-009,0.9992
3.9455e-009,1.0023
3.9879e-009,1.0130
4.0304e-009,1.0305
4.0728e-009,1.0567
4.1152e-009,1.0814
4.1577e-009,1.0889
4.2001e-009,1.0771
4.2425e-009,1.0645
4.2849e-009,1.0577
4.3274e-009,1.0606
4.3698e-009,1.0547
4.4122e-009,1.0145
4.4546e-009,0.8016
4.4970e-009,0.4711
4.5395e-009,0.1482
4.5819e-009,-0.2122
4.6243e-009,-0.5180
4.6668e-009,-0.7284
4.7092e-009,-0.8728
4.7516e-009,-0.9513
4.7940e-009,-0.9944
4.8364e-009,-1.0046
4.8789e-009,-1.0083
4.9213e-009,-1.0182
4.9637e-009,-1.0351
5.0062e-009,-1.0604
5.0486e-009,-1.0849
5.0910e-009,-1.0962
5.1334e-009,-1.0857
5.1758e-009,-1.0719
5.2183e-009,-1.0636
5.2607e-009,-1.0664
5.3031e-009,-1.0621
5.3456e-009,-1.0288
5.3880e-009,-0.8362
5.4304e-009,-0.5059
5.4728e-009,-0.1875
5.5153e-009,0.1732
5.5577e-009,0.4877
5.6001e-009,0.7069
5.6425e-009,0.8574
5.6849e-009,0.9395
5.7274e-009,0.9867
5.7698e-009,0.9994
5.8122e-009,1.0021
