.HEADER
..NAMES
Time,V U3.F3&G3
.DATA
0.0e+000,0.2201
4.24e-011,0.2201
8.49e-011,0.2201
1.273e-010,0.2201
1.697e-010,0.2201
2.121e-010,0.2201
2.545e-010,0.2201
2.970e-010,0.2201
3.394e-010,0.2201
3.818e-010,0.2201
4.242e-010,0.2201
4.667e-010,0.2201
5.091e-010,0.2201
5.515e-010,0.2201
5.940e-010,0.2201
6.364e-010,0.2201
6.788e-010,0.2201
7.212e-010,0.2201
7.636e-010,0.2201
8.061e-010,0.2201
8.485e-010,0.2201
8.909e-010,0.2201
9.333e-010,0.2201
9.758e-010,0.2201
1.0182e-009,0.2201
1.0606e-009,0.2201
1.1030e-009,0.2201
1.1455e-009,0.2201
1.1879e-009,0.2201
1.2303e-009,0.2201
1.2728e-009,0.2201
1.3152e-009,0.2201
1.3576e-009,0.2201
1.4000e-009,0.2201
1.4425e-009,0.2201
1.4849e-009,0.2201
1.5273e-009,0.2201
1.5697e-009,0.2207
1.6121e-009,0.2420
1.6546e-009,0.3421
1.6970e-009,0.4683
1.7394e-009,0.6234
1.7819e-009,0.8000
1.8243e-009,0.9436
1.8667e-009,1.0524
1.9091e-009,1.1311
1.9516e-009,1.1790
1.9940e-009,1.2089
2.0364e-009,1.2229
2.0788e-009,1.2318
2.1213e-009,1.2399
2.1637e-009,1.2475
2.2061e-009,1.2589
2.2485e-009,1.2699
2.2910e-009,1.2752
2.3334e-009,1.2749
2.3758e-009,1.2718
2.4182e-009,1.2689
2.4606e-009,1.2673
2.5031e-009,1.2609
2.5455e-009,1.2288
2.5879e-009,1.0907
2.6303e-009,0.9111
2.6728e-009,0.7405
2.7152e-009,0.5618
2.7576e-009,0.4154
2.8000e-009,0.3211
2.8425e-009,0.2615
2.8849e-009,0.2333
2.9273e-009,0.2217
2.9698e-009,0.2209
3.0122e-009,0.2235
3.0546e-009,0.2214
3.0970e-009,0.2143
3.1395e-009,0.2032
3.1819e-009,0.1916
3.2243e-009,0.1864
3.2667e-009,0.1922
3.3092e-009,0.2011
3.3516e-009,0.2044
3.3940e-009,0.2014
3.4364e-009,0.2035
3.4789e-009,0.2246
3.5213e-009,0.3290
3.5637e-009,0.4763
3.6061e-009,0.6349
3.6485e-009,0.8174
3.6910e-009,0.9643
3.7334e-009,1.0685
3.7758e-009,1.1446
3.8183e-009,1.1873
3.8607e-009,1.2143
3.9031e-009,1.2255
3.9455e-009,1.2315
3.9879e-009,1.2394
4.0304e-009,1.2486
4.0728e-009,1.2624
4.1152e-009,1.2747
4.1577e-009,1.2793
4.2001e-009,1.2762
4.2425e-009,1.2717
4.2849e-009,1.2683
4.3274e-009,1.2679
4.3698e-009,1.2631
4.4122e-009,1.2411
4.4546e-009,1.1251
4.4970e-009,0.9436
4.5395e-009,0.7759
4.5819e-009,0.5963
4.6243e-009,0.4411
4.6668e-009,0.3387
4.7092e-009,0.2718
4.7516e-009,0.2388
4.7940e-009,0.2239
4.8364e-009,0.2220
4.8789e-009,0.2245
4.9213e-009,0.2230
4.9637e-009,0.2165
5.0062e-009,0.2055
5.0486e-009,0.1944
5.0910e-009,0.1873
5.1334e-009,0.1917
5.1758e-009,0.2004
5.2183e-009,0.2051
5.2607e-009,0.2025
5.3031e-009,0.2030
5.3456e-009,0.2171
5.3880e-009,0.3016
5.4304e-009,0.4487
5.4728e-009,0.6004
5.5153e-009,0.7836
5.5577e-009,0.9398
5.6001e-009,1.0504
5.6425e-009,1.1333
5.6849e-009,1.1807
5.7274e-009,1.2109
5.7698e-009,1.2245
5.8122e-009,1.2306
5.8547e-009,1.2384
5.8971e-009,1.2469
5.9395e-009,1.2601
5.9819e-009,1.2729
6.0243e-009,1.2796
6.0668e-009,1.2774
6.1092e-009,1.2731
6.1516e-009,1.2690
6.1941e-009,1.2684
6.2365e-009,1.2649
6.2789e-009,1.2499
6.3213e-009,1.1578
6.3637e-009,0.9780
6.4062e-009,0.8102
6.4486e-009,0.6309
6.4910e-009,0.4678
6.5335e-009,0.3557
6.5759e-009,0.2822
6.6183e-009,0.2438
6.6607e-009,0.2257
6.7032e-009,0.2222
6.7456e-009,0.2242
6.7880e-009,0.2240
6.8304e-009,0.2186
6.8728e-009,0.2080
6.9153e-009,0.1969
6.9577e-009,0.1879
7.0001e-009,0.1905
7.0426e-009,0.1989
7.0850e-009,0.2052
7.1274e-009,0.2034
7.1698e-009,0.2024
7.2122e-009,0.2120
7.2547e-009,0.2768
7.2971e-009,0.4205
7.3395e-009,0.5678
7.3820e-009,0.7484
7.4244e-009,0.9132
7.4668e-009,1.0314
7.5092e-009,1.1201
7.5516e-009,1.1735
7.5941e-009,1.2065
7.6365e-009,1.2229
7.6789e-009,1.2297
7.7213e-009,1.2369
7.7638e-009,1.2451
7.8062e-009,1.2575
7.8486e-009,1.2708
7.8910e-009,1.2793
7.9335e-009,1.2783
7.9759e-009,1.2742
8.0183e-009,1.2697
8.0608e-009,1.2687
8.1032e-009,1.2663
8.1456e-009,1.2556
8.1880e-009,1.1862
8.2305e-009,1.0136
8.2729e-009,0.8433
8.3153e-009,0.6661
8.3577e-009,0.4966
