.HEADER
..NAMES
Time,V U3.K1
.DATA
0.0e+000,1.2246
4.59e-011,1.2246
9.18e-011,1.2246
1.378e-010,1.2246
1.837e-010,1.2246
2.296e-010,1.2246
2.755e-010,1.2246
3.215e-010,1.2246
3.674e-010,1.2246
4.133e-010,1.2246
4.592e-010,1.2246
5.052e-010,1.2246
5.511e-010,1.2246
5.970e-010,1.2246
6.430e-010,1.2246
6.889e-010,1.2246
7.348e-010,1.2246
7.807e-010,1.2246
8.266e-010,1.2246
8.726e-010,1.2245
9.185e-010,1.2185
9.644e-010,1.1827
1.0104e-009,1.1156
1.0563e-009,1.0350
1.1022e-009,0.9170
1.1481e-009,0.7614
1.1940e-009,0.6047
1.2400e-009,0.4710
1.2859e-009,0.3635
1.3318e-009,0.2887
1.3778e-009,0.2552
1.4237e-009,0.2600
1.4696e-009,0.2848
1.5155e-009,0.3110
1.5614e-009,0.3278
1.6074e-009,0.3333
1.6533e-009,0.3280
1.6992e-009,0.3132
1.7452e-009,0.2939
1.7911e-009,0.2789
1.8370e-009,0.2709
1.8829e-009,0.2685
1.9288e-009,0.2701
1.9748e-009,0.2721
2.0207e-009,0.2711
2.0666e-009,0.2673
2.1125e-009,0.2609
2.1585e-009,0.2520
2.2044e-009,0.2437
2.2503e-009,0.2396
2.2963e-009,0.2410
2.3422e-009,0.2461
2.3881e-009,0.2525
2.4340e-009,0.2597
2.4800e-009,0.2647
2.5259e-009,0.2656
2.5718e-009,0.2640
2.6177e-009,0.2613
2.6636e-009,0.2588
2.7096e-009,0.2589
2.7555e-009,0.2616
2.8014e-009,0.2713
2.8473e-009,0.3130
2.8933e-009,0.3863
2.9392e-009,0.4768
2.9851e-009,0.6105
3.0311e-009,0.7753
3.0770e-009,0.9311
3.1229e-009,1.0657
3.1688e-009,1.1700
3.2148e-009,1.2290
3.2607e-009,1.2416
3.3066e-009,1.2212
3.3525e-009,1.1882
3.3984e-009,1.1593
3.4444e-009,1.1444
3.4903e-009,1.1449
3.5362e-009,1.1586
3.5821e-009,1.1801
3.6281e-009,1.2016
3.6740e-009,1.2152
3.7199e-009,1.2213
3.7658e-009,1.2216
3.8118e-009,1.2176
3.8577e-009,1.2134
3.9036e-009,1.2130
3.9496e-009,1.2162
3.9955e-009,1.2229
4.0414e-009,1.2321
4.0873e-009,1.2398
4.1333e-009,1.2429
4.1792e-009,1.2403
4.2251e-009,1.2335
4.2710e-009,1.2248
4.3169e-009,1.2162
4.3629e-009,1.2115
4.4088e-009,1.2122
4.4547e-009,1.2155
4.5007e-009,1.2200
4.5466e-009,1.2234
4.5925e-009,1.2229
4.6384e-009,1.2194
4.6843e-009,1.2154
4.7303e-009,1.2133
4.7762e-009,1.2143
4.8221e-009,1.2182
4.8680e-009,1.2235
4.9140e-009,1.2283
4.9599e-009,1.2307
5.0058e-009,1.2298
5.0518e-009,1.2263
5.0977e-009,1.2220
5.1436e-009,1.2185
5.1895e-009,1.2163
5.2354e-009,1.2161
5.2814e-009,1.2180
5.3273e-009,1.2207
5.3732e-009,1.2232
5.4192e-009,1.2251
5.4651e-009,1.2259
5.5110e-009,1.2255
5.5569e-009,1.2241
5.6029e-009,1.2220
5.6488e-009,1.2201
5.6947e-009,1.2192
5.7406e-009,1.2197
5.7865e-009,1.2216
5.8325e-009,1.2239
5.8784e-009,1.2258
5.9243e-009,1.2264
5.9703e-009,1.2255
6.0162e-009,1.2235
6.0621e-009,1.2214
6.1080e-009,1.2202
6.1539e-009,1.2203
6.1999e-009,1.2215
6.2458e-009,1.2232
6.2917e-009,1.2247
6.3376e-009,1.2252
6.3836e-009,1.2248
6.4295e-009,1.2237
6.4754e-009,1.2226
6.5214e-009,1.2206
6.5673e-009,1.2026
6.6132e-009,1.1480
6.6591e-009,1.0756
6.7050e-009,0.9798
6.7510e-009,0.8395
6.7969e-009,0.6785
6.8428e-009,0.5326
6.8888e-009,0.4116
6.9347e-009,0.3194
6.9806e-009,0.2646
7.0265e-009,0.2520
7.0725e-009,0.2695
7.1184e-009,0.2972
7.1643e-009,0.3197
7.2102e-009,0.3312
7.2561e-009,0.3315
7.3021e-009,0.3212
7.3480e-009,0.3027
7.3939e-009,0.2841
7.4399e-009,0.2724
7.4858e-009,0.2671
7.5317e-009,0.2672
7.5776e-009,0.2699
7.6235e-009,0.2713
7.6695e-009,0.2691
7.7154e-009,0.2642
7.7613e-009,0.2560
7.8072e-009,0.2465
7.8532e-009,0.2396
7.8991e-009,0.2383
7.9450e-009,0.2421
7.9910e-009,0.2482
8.0369e-009,0.2555
8.0828e-009,0.2622
8.1287e-009,0.2650
8.1747e-009,0.2643
8.2206e-009,0.2619
8.2665e-009,0.2590
8.3124e-009,0.2576
8.3583e-009,0.2591
8.4043e-009,0.2623
8.4502e-009,0.2649
8.4961e-009,0.2656
8.5420e-009,0.2642
8.5880e-009,0.2611
8.6339e-009,0.2566
8.6798e-009,0.2523
8.7257e-009,0.2499
8.7717e-009,0.2504
8.8176e-009,0.2533
8.8635e-009,0.2567
8.9095e-009,0.2598
8.9554e-009,0.2620
9.0013e-009,0.2625
9.0472e-009,0.2612
9.0932e-009,0.2588
9.1391e-009,0.2563
9.1850e-009,0.2544
9.2309e-009,0.2537
9.2769e-009,0.2542
9.3228e-009,0.2557
9.3687e-009,0.2576
9.4146e-009,0.2591
9.4605e-009,0.2595
9.5065e-009,0.2585
9.5524e-009,0.2567
9.5983e-009,0.2549
9.6442e-009,0.2536
9.6902e-009,0.2533
9.7361e-009,0.2541
9.7820e-009,0.2555
9.8280e-009,0.2570
9.8739e-009,0.2579
9.9198e-009,0.2578
9.9657e-009,0.2568
1.00117e-008,0.2556
1.00576e-008,0.2545
1.01035e-008,0.2541
1.01494e-008,0.2543
1.01954e-008,0.2550
1.02413e-008,0.2557
1.02872e-008,0.2590
1.03331e-008,0.2878
1.03790e-008,0.3571
1.04250e-008,0.4431
1.04709e-008,0.5657
1.05168e-008,0.7306
1.05627e-008,0.8958
1.06087e-008,1.0363
1.06546e-008,1.1476
1.07005e-008,1.2157
1.07464e-008,1.2371
