.HEADER
..NAMES
Time,V U3.L3
.DATA
0.0e+000,0.2497
4.59e-011,0.2497
9.18e-011,0.2497
1.378e-010,0.2497
1.837e-010,0.2497
2.296e-010,0.2497
2.755e-010,0.2497
3.215e-010,0.2497
3.674e-010,0.2497
4.133e-010,0.2497
4.592e-010,0.2497
5.052e-010,0.2497
5.511e-010,0.2497
5.970e-010,0.2497
6.430e-010,0.2497
6.889e-010,0.2497
7.348e-010,0.2497
7.807e-010,0.2497
8.266e-010,0.2497
8.726e-010,0.2498
9.185e-010,0.2570
9.644e-010,0.2984
1.0104e-009,0.3718
1.0563e-009,0.4697
1.1022e-009,0.6174
1.1481e-009,0.7882
1.1940e-009,0.9460
1.2400e-009,1.0821
1.2859e-009,1.1787
1.3318e-009,1.2246
1.3778e-009,1.2255
1.4237e-009,1.1990
1.4696e-009,1.1670
1.5155e-009,1.1426
1.5614e-009,1.1335
1.6074e-009,1.1407
1.6533e-009,1.1593
1.6992e-009,1.1819
1.7452e-009,1.2010
1.7911e-009,1.2113
1.8370e-009,1.2138
1.8829e-009,1.2107
1.9288e-009,1.2049
1.9748e-009,1.2016
2.0207e-009,1.2038
2.0666e-009,1.2103
2.1125e-009,1.2200
2.1585e-009,1.2297
2.2044e-009,1.2360
2.2503e-009,1.2361
2.2963e-009,1.2293
2.3422e-009,1.2195
2.3881e-009,1.2100
2.4340e-009,1.2035
2.4800e-009,1.2022
2.5259e-009,1.2049
2.5718e-009,1.2096
2.6177e-009,1.2131
2.6636e-009,1.2129
2.7096e-009,1.2105
2.7555e-009,1.2073
2.8014e-009,1.1950
2.8473e-009,1.1530
2.8933e-009,1.0900
2.9392e-009,1.0019
2.9851e-009,0.8694
3.0311e-009,0.7133
3.0770e-009,0.5600
3.1229e-009,0.4234
3.1688e-009,0.3178
3.2148e-009,0.2554
3.2607e-009,0.2389
3.3066e-009,0.2532
3.3525e-009,0.2804
3.3984e-009,0.3073
3.4444e-009,0.3243
3.4903e-009,0.3272
3.5362e-009,0.3164
3.5821e-009,0.2972
3.6281e-009,0.2774
3.6740e-009,0.2635
3.7199e-009,0.2564
3.7658e-009,0.2558
3.8118e-009,0.2598
3.8577e-009,0.2640
3.9036e-009,0.2649
3.9496e-009,0.2614
3.9955e-009,0.2533
4.0414e-009,0.2429
4.0873e-009,0.2339
4.1333e-009,0.2305
4.1792e-009,0.2339
4.2251e-009,0.2416
4.2710e-009,0.2509
4.3169e-009,0.2587
4.3629e-009,0.2627
4.4088e-009,0.2627
4.4547e-009,0.2595
4.5007e-009,0.2562
4.5466e-009,0.2552
4.5925e-009,0.2562
4.6384e-009,0.2581
4.6843e-009,0.2596
4.7303e-009,0.2597
4.7762e-009,0.2575
4.8221e-009,0.2533
4.8680e-009,0.2491
4.9140e-009,0.2463
4.9599e-009,0.2457
5.0058e-009,0.2471
5.0518e-009,0.2498
5.0977e-009,0.2530
5.1436e-009,0.2558
5.1895e-009,0.2574
5.2354e-009,0.2574
5.2814e-009,0.2560
5.3273e-009,0.2536
5.3732e-009,0.2511
5.4192e-009,0.2492
5.4651e-009,0.2487
5.5110e-009,0.2496
5.5569e-009,0.2516
5.6029e-009,0.2538
5.6488e-009,0.2550
5.6947e-009,0.2548
5.7406e-009,0.2533
5.7865e-009,0.2512
5.8325e-009,0.2493
5.8784e-009,0.2485
5.9243e-009,0.2490
5.9703e-009,0.2505
6.0162e-009,0.2523
6.0621e-009,0.2535
6.1080e-009,0.2536
6.1539e-009,0.2528
6.1999e-009,0.2517
6.2458e-009,0.2507
6.2917e-009,0.2502
6.3376e-009,0.2503
6.3836e-009,0.2507
6.4295e-009,0.2512
6.4754e-009,0.2516
6.5214e-009,0.2534
6.5673e-009,0.2746
6.6132e-009,0.3356
6.6591e-009,0.4179
6.7050e-009,0.5402
6.7510e-009,0.7056
6.7969e-009,0.8717
6.8428e-009,1.0199
6.8888e-009,1.1390
6.9347e-009,1.2102
6.9806e-009,1.2320
7.0265e-009,1.2159
7.0725e-009,1.1840
7.1184e-009,1.1539
7.1643e-009,1.1362
7.2102e-009,1.1355
7.2561e-009,1.1497
7.3021e-009,1.1717
7.3480e-009,1.1940
7.3939e-009,1.2092
7.4399e-009,1.2151
7.4858e-009,1.2142
7.5317e-009,1.2088
7.5776e-009,1.2032
7.6235e-009,1.2026
7.6695e-009,1.2072
7.7154e-009,1.2158
7.7613e-009,1.2263
7.8072e-009,1.2347
7.8532e-009,1.2381
7.8991e-009,1.2344
7.9450e-009,1.2254
7.9910e-009,1.2153
8.0369e-009,1.2067
8.0828e-009,1.2028
8.1287e-009,1.2039
8.1747e-009,1.2079
8.2206e-009,1.2126
8.2665e-009,1.2143
8.3124e-009,1.2128
8.3583e-009,1.2100
8.4043e-009,1.2044
8.4502e-009,1.1779
8.4961e-009,1.1224
8.5420e-009,1.0499
8.5880e-009,0.9386
8.6339e-009,0.7898
8.6798e-009,0.6331
8.7257e-009,0.4870
8.7717e-009,0.3646
8.8176e-009,0.2802
8.8635e-009,0.2422
8.9095e-009,0.2442
8.9554e-009,0.2670
9.0013e-009,0.2957
9.0472e-009,0.3184
9.0932e-009,0.3285
9.1391e-009,0.3240
9.1850e-009,0.3078
9.2309e-009,0.2872
9.2769e-009,0.2700
9.3228e-009,0.2596
9.3687e-009,0.2559
9.4146e-009,0.2581
9.4605e-009,0.2629
9.5065e-009,0.2656
9.5524e-009,0.2643
9.5983e-009,0.2583
9.6442e-009,0.2486
9.6902e-009,0.2384
9.7361e-009,0.2319
9.7820e-009,0.2321
9.8280e-009,0.2381
9.8739e-009,0.2468
9.9198e-009,0.2558
9.9657e-009,0.2618
1.00117e-008,0.2638
1.00576e-008,0.2619
1.01035e-008,0.2582
1.01494e-008,0.2560
1.01954e-008,0.2561
1.02413e-008,0.2577
1.02872e-008,0.2639
1.03331e-008,0.2980
1.03790e-008,0.3653
1.04250e-008,0.4534
1.04709e-008,0.5886
1.05168e-008,0.7550
1.05627e-008,0.9153
1.06087e-008,1.0584
1.06546e-008,1.1667
1.07005e-008,1.2250
1.07464e-008,1.2357
1.07924e-008,1.2139
1.08383e-008,1.1813
1.08842e-008,1.1529
1.09302e-008,1.1383
1.09761e-008,1.1403
1.10220e-008,1.1555
1.10679e-008,1.1772
1.11139e-008,1.1981
1.11598e-008,1.2119
1.12057e-008,1.2179
1.12516e-008,1.2173
1.12975e-008,1.2119
1.13435e-008,1.2065
1.13894e-008,1.2055
1.14353e-008,1.2092
1.14812e-008,1.2173
1.15272e-008,1.2275
1.15731e-008,1.2359
1.16190e-008,1.2391
1.16649e-008,1.2350
1.17109e-008,1.2259
1.17568e-008,1.2154
1.18027e-008,1.2068
1.18487e-008,1.2034
1.18946e-008,1.2049
1.19405e-008,1.2094
1.19864e-008,1.2139
1.20324e-008,1.2150
1.20783e-008,1.2133
1.21242e-008,1.2104
1.21701e-008,1.2005
1.22161e-008,1.1624
1.22620e-008,1.1007
1.23079e-008,1.0174
1.23538e-008,0.8900
1.23997e-008,0.7352
1.24457e-008,0.5808
1.24916e-008,0.4416
1.25375e-008,0.3316
1.25834e-008,0.2633
1.26294e-008,0.2413
1.26753e-008,0.2524
1.27212e-008,0.2782
1.27672e-008,0.3051
1.28131e-008,0.3234
1.28590e-008,0.3283
1.29049e-008,0.3196
1.29509e-008,0.3017
1.29968e-008,0.2820
1.30427e-008,0.2672
1.30886e-008,0.2590
1.31346e-008,0.2571
1.31805e-008,0.2602
1.32264e-008,0.2644
1.32723e-008,0.2658
1.33182e-008,0.2632
1.33642e-008,0.2560
1.34101e-008,0.2459
1.34560e-008,0.2366
1.35019e-008,0.2321
1.35479e-008,0.2345
1.35938e-008,0.2415
1.36397e-008,0.2507
1.36856e-008,0.2588
1.37316e-008,0.2634
1.37775e-008,0.2640
1.38234e-008,0.2611
1.38694e-008,0.2578
1.39153e-008,0.2565
1.39612e-008,0.2573
1.40071e-008,0.2595
1.40531e-008,0.2718
1.40990e-008,0.3196
1.41449e-008,0.3927
1.41908e-008,0.4946
1.42367e-008,0.6454
1.42827e-008,0.8126
1.43286e-008,0.9678
1.43745e-008,1.1016
1.44204e-008,1.1930
1.44664e-008,1.2339
1.45123e-008,1.2309
1.45582e-008,1.2032
1.46041e-008,1.1708
1.46501e-008,1.1464
1.46960e-008,1.1378
1.47419e-008,1.1450
1.47879e-008,1.1633
1.48338e-008,1.1854
1.48797e-008,1.2043
1.49256e-008,1.2152
1.49715e-008,1.2187
1.50175e-008,1.2162
1.50634e-008,1.2101
1.51093e-008,1.2060
1.51552e-008,1.2068
1.52012e-008,1.2120
1.52471e-008,1.2213
1.52930e-008,1.2312
1.53389e-008,1.2382
1.53849e-008,1.2389
1.54308e-008,1.2326
1.54767e-008,1.2226
1.55226e-008,1.2123
1.55686e-008,1.2053
1.56145e-008,1.2039
1.56604e-008,1.2066
1.57063e-008,1.2116
1.57523e-008,1.2151
1.57982e-008,1.2150
1.58441e-008,1.2128
1.58901e-008,1.2090
1.59360e-008,1.1914
1.59819e-008,1.1427
1.60278e-008,1.0759
1.60738e-008,0.9783
1.61197e-008,0.8378
1.61656e-008,0.6807
1.62115e-008,0.5302
1.62575e-008,0.3996
1.63034e-008,0.3030
1.63493e-008,0.2511
1.63952e-008,0.2429
1.64412e-008,0.2609
1.64871e-008,0.2884
1.65330e-008,0.3131
1.65789e-008,0.3271
1.66249e-008,0.3270
1.66708e-008,0.3144
1.67167e-008,0.2949
1.67626e-008,0.2765
1.68085e-008,0.2640
1.68545e-008,0.2580
1.69004e-008,0.2581
1.69463e-008,0.2621
1.69922e-008,0.2656
1.70382e-008,0.2657
1.70841e-008,0.2615
1.71300e-008,0.2530
1.71759e-008,0.2427
1.72219e-008,0.2346
1.72678e-008,0.2325
1.73137e-008,0.2369
1.73596e-008,0.2449
1.74056e-008,0.2541
1.74515e-008,0.2612
1.74974e-008,0.2643
1.75433e-008,0.2636
1.75893e-008,0.2601
1.76352e-008,0.2574
1.76811e-008,0.2569
1.77271e-008,0.2582
1.77730e-008,0.2600
1.78189e-008,0.2612
1.78648e-008,0.2607
1.79108e-008,0.2578
1.79567e-008,0.2535
1.80026e-008,0.2496
1.80485e-008,0.2474
1.80945e-008,0.2474
1.81404e-008,0.2492
1.81863e-008,0.2520
1.82322e-008,0.2550
1.82782e-008,0.2574
1.83241e-008,0.2586
1.83700e-008,0.2583
1.84159e-008,0.2567
1.84619e-008,0.2544
1.85078e-008,0.2520
1.85537e-008,0.2503
1.85996e-008,0.2500
1.86455e-008,0.2512
1.86915e-008,0.2532
1.87374e-008,0.2552
1.87833e-008,0.2562
1.88292e-008,0.2557
1.88752e-008,0.2540
1.89211e-008,0.2519
1.89670e-008,0.2502
1.90129e-008,0.2497
1.90589e-008,0.2504
1.91048e-008,0.2521
1.91507e-008,0.2537
1.91966e-008,0.2546
1.92426e-008,0.2545
1.92885e-008,0.2536
1.93344e-008,0.2525
1.93803e-008,0.2516
1.94263e-008,0.2513
1.94722e-008,0.2514
1.95181e-008,0.2519
1.95640e-008,0.2523
1.96100e-008,0.2526
1.96559e-008,0.2527
1.97018e-008,0.2526
1.97478e-008,0.2524
1.97937e-008,0.2520
1.98396e-008,0.2517
1.98855e-008,0.2514
1.99315e-008,0.2513
1.99774e-008,0.2515
2.00233e-008,0.2519
2.00692e-008,0.2523
2.01152e-008,0.2526
2.01611e-008,0.2526
2.02070e-008,0.2522
2.02529e-008,0.2516
2.02989e-008,0.2511
