"Pin","Pin Name","Input/Output","Sub-Grupo","Grupo","L die","Description","Dominio de Alimentación"
"C39","3P3V","Passive","1","PWR",,,
"D36","3P3V","Passive","1","PWR",,,
"D38","3P3V","Passive","1","PWR",,,
"D40","3P3V","Passive","1","PWR",,,
"D32","3P3VAUX","Passive","2","PWR",,,
"C35","12P0V","Passive","3","PWR",,,
"C37","12P0V","Passive","3","PWR",,,
"G3","CLK0_C2M_N","Passive","1","CLK",,,
"G2","CLK0_C2M_P","Passive","1","CLK",,,
"H5","CLK0_M2C_N","Passive","1","CLK",,,
"H4","CLK0_M2C_P","Passive","1","CLK",,,
"J3","CLK1_C2M_N","Passive","2","CLK",,,
"J2","CLK1_C2M_P","Passive","2","CLK",,,
"K5","CLK1_M2C_N","Passive","2","CLK",,,
"K4","CLK1_M2C_P","Passive","2","CLK",,,
"C3","DP0_C2M_N","Passive","1","TXRX",,,
"C2","DP0_C2M_P","Passive","1","TXRX",,,
"C7","DP0_M2C_N","Passive","1","TXRX",,,
"C6","DP0_M2C_P","Passive","1","TXRX",,,
"A23","DP1_C2M_N","Passive","1","TXRX",,,
"A22","DP1_C2M_P","Passive","1","TXRX",,,
"A3","DP1_M2C_N","Passive","1","TXRX",,,
"A2","DP1_M2C_P","Passive","1","TXRX",,,
"A27","DP2_C2M_N","Passive","1","TXRX",,,
"A26","DP2_C2M_P","Passive","1","TXRX",,,
"A7","DP2_M2C_N","Passive","1","TXRX",,,
"A6","DP2_M2C_P","Passive","1","TXRX",,,
"A31","DP3_C2M_N","Passive","1","TXRX",,,
"A30","DP3_C2M_P","Passive","1","TXRX",,,
"A11","DP3_M2C_N","Passive","1","TXRX",,,
"A10","DP3_M2C_P","Passive","1","TXRX",,,
"A35","DP4_C2M_N","Passive","1","TXRX",,,
"A34","DP4_C2M_P","Passive","1","TXRX",,,
"A15","DP4_M2C_N","Passive","1","TXRX",,,
"A14","DP4_M2C_P","Passive","1","TXRX",,,
"A39","DP5_C2M_N","Passive","2","TXRX",,,
"A38","DP5_C2M_P","Passive","2","TXRX",,,
"A19","DP5_M2C_N","Passive","2","TXRX",,,
"A18","DP5_M2C_P","Passive","2","TXRX",,,
"B37","DP6_C2M_N","Passive","2","TXRX",,,
"B36","DP6_C2M_P","Passive","2","TXRX",,,
"B17","DP6_M2C_N","Passive","2","TXRX",,,
"B16","DP6_M2C_P","Passive","2","TXRX",,,
"B33","DP7_C2M_N","Passive","2","TXRX",,,
"B32","DP7_C2M_P","Passive","2","TXRX",,,
"B13","DP7_M2C_N","Passive","2","TXRX",,,
"B12","DP7_M2C_P","Passive","2","TXRX",,,
"B29","DP8_C2M_N","Passive","2","TXRX",,,
"B28","DP8_C2M_P","Passive","2","TXRX",,,
"B9","DP8_M2C_N","Passive","2","TXRX",,,
"B8","DP8_M2C_P","Passive","2","TXRX",,,
"B25","DP9_C2M_N","Passive","2","TXRX",,,
"B24","DP9_C2M_P","Passive","2","TXRX",,,
"B5","DP9_M2C_N","Passive","2","TXRX",,,
"B4","DP9_M2C_P","Passive","2","TXRX",,,
"C34","GA0","Passive","2","MGMT",,,
"D35","GA1","Passive","2","MGMT",,,
"D5","GBTCLK0_M2C_N","Passive","3","CLK",,,
"D4","GBTCLK0_M2C_P","Passive","3","CLK",,,
"B21","GBTCLK1_M2C_N","Passive","4","CLK",,,
"B20","GBTCLK1_M2C_P","Passive","4","CLK",,,
"A1","GND","Passive","2","GND",,,
"A4","GND","Passive","2","GND",,,
"A5","GND","Passive","2","GND",,,
"A8","GND","Passive","2","GND",,,
"A9","GND","Passive","2","GND",,,
"A12","GND","Passive","2","GND",,,
"A13","GND","Passive","2","GND",,,
"A16","GND","Passive","2","GND",,,
"A17","GND","Passive","2","GND",,,
"A20","GND","Passive","2","GND",,,
"A21","GND","Passive","2","GND",,,
"A24","GND","Passive","2","GND",,,
"A25","GND","Passive","2","GND",,,
"A28","GND","Passive","2","GND",,,
"A29","GND","Passive","2","GND",,,
"A32","GND","Passive","2","GND",,,
"A33","GND","Passive","2","GND",,,
"A36","GND","Passive","2","GND",,,
"A37","GND","Passive","2","GND",,,
"A40","GND","Passive","2","GND",,,
"B2","GND","Passive","2","GND",,,
"B3","GND","Passive","2","GND",,,
"B6","GND","Passive","2","GND",,,
"B7","GND","Passive","2","GND",,,
"B10","GND","Passive","2","GND",,,
"B11","GND","Passive","2","GND",,,
"B14","GND","Passive","2","GND",,,
"B15","GND","Passive","2","GND",,,
"B18","GND","Passive","2","GND",,,
"B19","GND","Passive","2","GND",,,
"B22","GND","Passive","2","GND",,,
"B23","GND","Passive","2","GND",,,
"B26","GND","Passive","2","GND",,,
"B27","GND","Passive","2","GND",,,
"B30","GND","Passive","2","GND",,,
"B31","GND","Passive","2","GND",,,
"B34","GND","Passive","2","GND",,,
"B35","GND","Passive","2","GND",,,
"B38","GND","Passive","2","GND",,,
"B39","GND","Passive","2","GND",,,
"C1","GND","Passive","2","GND",,,
"C4","GND","Passive","2","GND",,,
"C5","GND","Passive","2","GND",,,
"C8","GND","Passive","2","GND",,,
"C9","GND","Passive","2","GND",,,
