"Pin","Pin Name","Input/Output","Sub-Grupo","Grupo","L die","Description","Dominio de Alimentación"
"L7","A10/AP","Input","Address","Address",,"Address Input/Autoprecharge",
"N2","A3","Input","Address","Address",,"Address Input, row",
"N3","A0","Input","Address","Address",,"Address Input, row",
"N7","A12/~BC","Input","Address","Address",,"Address Input/Burst Chop",
"P2","A5","Input","Address","Address",,"Address Input, row",
"P3","A2","Input","Address","Address",,"Address Input, row",
"P7","A1","Input","Address","Address",,"Address Input, row",
"P8","A4","Input","Address","Address",,"Address Input, row",
"R2","A7","Input","Address","Address",,"Address Input, row",
"R3","A9","Input","Address","Address",,"Address Input, row",
"R7","A11","Input","Address","Address",,"Address Input, row",
"R8","A6","Input","Address","Address",,"Address Input, row",
"T3","A13","Input","Address","Address",,"Address Input, row",
"T8","A8","Input","Address","Address",,"Address Input, row",
"M2","BA0","Input","Address B","Config",,"Bank Address",
"M3","BA2","Input","Address B","Config",,"Bank Address",
"N8","BA1","Input","Address B","Config",,"Bank Address",
"K3","~CAS","Input Negated","Address C","Config",,"Column Address Strobe",
"J3","~RAS","Input Negated","Address R","Config",,"Row Address Strobe (neg)",
"J7","CK","Input Clock","CK","CK",,"Clock",
"K7","~CK ","Input Clock Negated","CK","CK",,"Clock (neg)",
"K9","CKE","Input","CKE","Config",,"Clock Enable",
"L2","~CS","Input","CS","Config",,"Chip Select (neg)",
"E3","DQ0","Input/Output","Data Lower","Data",,"Data Bus Lower",
"F2","DQ2","Input/Output","Data Lower","Data",,"Data Bus Lower",
"F7","DQ1","Input/Output","Data Lower","Data",,"Data Bus Lower",
"F8","DQ3","Input/Output","Data Lower","Data",,"Data Bus Lower",
"G2","DQ6","Input/Output","Data Lower","Data",,"Data Bus Lower",
"H3","DQ4","Input/Output","Data Lower","Data",,"Data Bus Lower",
"H7","DQ7","Input/Output","Data Lower","Data",,"Data Bus Lower",
"H8","DQ5","Input/Output","Data Lower","Data",,"Data Bus Lower",
"E7","LDM","Input","Data Lower M","Data DMQ",,"Data Input Mask Lower",
"F3","LDQS","Input/Output","Data Lower S","Data DQSL",,"Data Strobe Lower",
"G3","~LDQS","Input/Output Negated","Data Lower S","Data DQSL",,"Data Strobe Lower (neg)",
"A2","DQ13","Input/Output","Data Upper","Data",,"Data Bus Upper",
"A3","DQ15","Input/Output","Data Upper","Data",,"Data Bus Upper",
"A7","DQ12","Input/Output","Data Upper","Data",,"Data Bus Upper",
"B8","DQ14","Input/Output","Data Upper","Data",,"Data Bus Upper",
"C2","DQ11","Input/Output","Data Upper","Data",,"Data Bus Upper",
"C3","DQ9","Input/Output","Data Upper","Data",,"Data Bus Upper",
"C8","DQ10","Input/Output","Data Upper","Data",,"Data Bus Upper",
"D7","DQ8","Input/Output","Data Upper","Data",,"Data Bus Upper",
"D3","UDM","Input","Data Upper M","Data DMQ",,"Data Input Mask Upper",
"B7","~UDQS","Input/Output Negated","Data Upper S","Data DQSU",,"Data Strobe Upper (neg)",
"C7","UDQS","Input/Output","Data Upper S","Data DQSU",,"Data Strobe Upper ",
"J1","NC","NC","NC","NC",,"Not Connect",
"J9","NC","NC","NC","NC",,"Not Connect",
"L1","NC","NC","NC","NC",,"Not Connect",
"L9","NC","NC","NC","NC",,"Not Connect",
"M7","A15/NC","Input","Address","Address",,"Address Input, row (>=8Gb)",
"T7","A14/NC","Input","Address","Address",,"Address Input, row (>=4Gb)",
"K1","ODT","Input","ODT","Config",,"Enables On Die Termination ",
"T2","~RESET","Input Negated","RST","Config",,"Reset (neg)",
"B2","VDD","Power Input","VDD","Alimentacion",,"Power Supply: 1,5V +/- 0,075V",
"D9","VDD","Power Input","VDD","Alimentacion",,"Power Supply: 1,5V +/- 0,075V",
