Source,C:/ciaa/PCB/EDU-FSL/EDU_CIAA_K60/EDU_CIAA_K60.sch
Kicad Rev,Eeschema 4.0.2-stable
Generated Date,18/07/2016 21:50:35

Title,EDU CIAA Freescale - Esquemático jerárquico
Company,EDU-CIAA - FSL . Versión FSL (Freescale K60)
Revision,1.0
Date Issue,26 feb 2016
Comment,Autores: Ver 'doc/CHANGES.txt'      Licencia: Ver  'doc/LICENCIA_CIAA_FSL.txt'

Reference,Value,Descripcion,Path datasheet,Fabricante,Nro. parte,Digikey/Mouser,Footprint estandar,Footprint,Nro parte,Fairchild Semiconductor,Library,Library Ref
FD1,FIDUCIAL,FIDUCIAL,..PCB/EDU-FSL/Datasheets,,,,,,,,edu-ciaa-fsl,FIDUCIAL
MH1,PCB_HOLE,PCB HOLE,..PCB/EDU-FSL/Datasheets,,,,,,,,edu-ciaa-fsl,PCB_HOLE
FD2,FIDUCIAL,FIDUCIAL,..PCB/EDU-FSL/Datasheets,,,,,,,,edu-ciaa-fsl,FIDUCIAL
FD3,FIDUCIAL,FIDUCIAL,..PCB/EDU-FSL/Datasheets,,,,,,,,edu-ciaa-fsl,FIDUCIAL
FD4,FIDUCIAL,FIDUCIAL,..PCB/EDU-FSL/Datasheets,,,,,,,,edu-ciaa-fsl,FIDUCIAL
FD5,FIDUCIAL,FIDUCIAL,..PCB/EDU-FSL/Datasheets,,,,,,,,edu-ciaa-fsl,FIDUCIAL
FD6,FIDUCIAL,FIDUCIAL,..PCB/EDU-FSL/Datasheets,,,,,,,,edu-ciaa-fsl,FIDUCIAL
MH2,PCB_HOLE,PCB HOLE,..PCB/EDU-FSL/Datasheets,,,,,,,,edu-ciaa-fsl,PCB_HOLE
MH3,PCB_HOLE,PCB HOLE,..PCB/EDU-FSL/Datasheets,,,,,,,,edu-ciaa-fsl,PCB_HOLE
MH4,PCB_HOLE,PCB HOLE,..PCB/EDU-FSL/Datasheets,,,,,,,,edu-ciaa-fsl,PCB_HOLE
G2,OSHWA,LOGO DE OPEN SOURCE HARDWARE,,,,,,,,,edu-ciaa-fsl,OSHWA
G1,LOGO,edu-ciaa-fsl,LOGO
U1,MIC2025-2YM,IC SINGLE CHANNEL POWER DISTRIBUTION SWITCH 500mA,..PCB/EDU-FSL/Datasheets,MICREL,MIC2025-2YM,576-1058-ND,SOIC-8,,,,edu-ciaa-fsl,MIC2025
U2,PRTR5V0U2X,IC TVS DIODE 2 CHANNEL 10V CLAMP SOT1434,..PCB/EDU-FSL/Datasheets,NXP Semiconductors,PRTR5V0U2X,215,568-4140-1-ND,SOT-143B,,,,edu-ciaa-fsl,PRTR5V0U2X
C2,4,7uF,CAP TANT 4,7uF 6,3V 10% 1206 ,..PCB/EDU-FSL/Datasheets,KEMET,T491A475K006AT,399-9717-1-ND,1206,,,,edu-ciaa-fsl,CAPAPOL
