Source:,/home/pablo/Documents/CIAA-Repositories/Hardware/PCB/EDU-INTEL/edk.sch
Date:,Wed 11 Mar 2015 10:28:13 AM ART
Tool:,Eeschema (2015-01-17 BZR 5377)-product
Component Count:,86

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Descripcion
,,BT1,BATTERY,device:BATTERY,Pin_Headers:Pin_Header_Straight_1x02,,
,,C1,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C10,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C11,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C12,2.2uF,device:C,SMD_Packages:SMD-0603_c,,
,,C13,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C14,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C15,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C16,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C17,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C18,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C19,10uF,device:CAPAPOL,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,,
,,C2,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C20,10uF,device:CAPAPOL,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,,
,,C21,10uF,device:CAPAPOL,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,,
,,C3,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C4,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C5,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C6,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C7,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C8,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C9,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,D1,LED,device:LED,LEDs:LED-0603,,
,,D2,PMEG3020EJ,device:DIODESCH,sod323:SOD323,,
,,D3,PMEG3020EJ,device:DIODESCH,sod323:SOD323,,
,,D4,PMEG3020EJ,device:DIODESCH,sod323:SOD323,,
,,D5,LED,device:LED,LEDs:LED-0603,,
,,FB1,BLM18KG221SN1D,device:FILTER,SMD_Packages:SMD-0603,,
,,FB2,MMZ1608B601C,device:FILTER,SMD_Packages:SMD-0603,,
,,FB3,BLM18KG221SN1D,device:FILTER,SMD_Packages:SMD-0603,,
,,FB4,MMZ1608B601C,device:FILTER,SMD_Packages:SMD-0603,,
,,GS1,GS3,conn:GS3,Connect:GS3,,
,,GS2,GS3,conn:GS3,Connect:GS3,,
,,GS3,GS3,conn:GS3,Connect:GS3,,
,,H1,Mounting hole,device:TST,Mounting_Holes:MountingHole_3mm,,
,,H2,Mounting hole,device:TST,Mounting_Holes:MountingHole_3mm,,
