Fecha de Generación: 25/03/2015-16:11:09

REF;VALUE;CANT;DESC;PN-DIGI-KEY;FAB;FOOT;DATA;URL
BT1;BK-913;1;Soporte baterÃ­a CR2032;BK-913-ND;MPD (Memory Protection Devices);BK-913-ND;../PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=BK-913-ND
C1, C3, C33, C37, C39;10uF;5;CAP CER 10UF 16V 10% X7R 1206;399-3525-1-ND;Kemet;c_1206_tantalio;..PCB/EDU-CIAA/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=399-3525-1-ND
C2, C4, C7, C8, C9, C10, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C34, C36, C38, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50;100nF;36;CAP CER 0.1UF 16V 10% X7R 0805;399-1167-1-ND;Kemet;c_0805;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=399-1167-1-ND
C5, C6;10uF;2;CAP TANT 10UF 10V 10% 1206;399-3684-2-ND;Kemet;c_1206_tantalio;..PCB/EDU-CIAA/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=399-3684-2-ND
C11, C12, C13, C14, C15, C16;20p;6;CAP CER 20PF 50V 5% NP0 0805;399-8033-1-ND;Kemet;c_0805;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=399-8033-1-ND
C35;3.3uF;1;CAP CER 3.3UF 16V 10% X7R 0805;445-7582-1-ND;TDK Corporation;c_0805;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=445-7582-1-ND
D1, D2, D3;PSD12C;3;TVS DIODE 10.2VWM 16.7VC SMB;P6SMB12CAT3GOSCT-ND;ON Semiconductor;DO-214AA(SMB);PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=P6SMB12CAT3GOSCT-ND
D4, D5, D10;PMEG3020EH;3;DIODE SCHOTTKY 30V 2A SOD123F;568-4129-1-ND;NXP Semiconductors;DO-214AA(SMB);...PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=568-4129-1-ND
D6, D7;LED red;2;LED ALG RED WTR CLR 0805 SMD T/R;1080-1412-1-ND;Everlight Electronics Co Ltd;LED-0805;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=1080-1412-1-ND
D8;LED;1;LED YELLOW WTR CLR 0805 SMD T/R;1080-1410-1-ND;Everlight Electronics Co Ltd;LED-0805;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=1080-1410-1-ND
D9;LED;1;LED GREEN WATER CLR 0805 SMD T/R;1080-1411-1-ND;Everlight Electronics Co Ltd;LED-0805;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=1080-1411-1-ND
D11;LL4148;1;DIODE SMALL SIG 100V 0.2A SOD80;LL4148FSTR-ND;Fairchild Semiconductor;SOD-123;..NXP/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=LL4148FSTR-ND
FB1, FB5, FB6, FB9, FB10;MI0805M221R-10, HZ0805E601R-10;5;FERRITE CHIP POWER 220 OHM SMD;240-2392-1-ND;Laird-Signal Integrity Products;SM0805;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=240-2392-1-ND
FB2, FB3, FB4, FB7, FB8;HZ0805E601R-10;5;FERRITE 500MA 600 OHM 0805 SMD;240-2399-1-ND;Laird-Signal Integrity Products;SM0805;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=240-2399-1-ND
J1;TB_1X3;1;TERM BLOCK 5.08MM VERT 3POS PCB;ED2610-ND;On Shore Technology Inc;bornier3;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=ED2610-ND
J2, J3;ZX62D-AB-5P8;2;CONN RCPT MCR USB AB SMD TH SHLL;H11494CT-ND;Hirose Electric Co Ltd;USB_microAB_ZX62-AB-5P8;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=H11494CT-ND
LED1;LED_ARBG;1;LED RGB 605/525/470NM DIFF SMD;160-2022-1-ND;Lite-On Inc;PLCC-4;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=160-2022-1-ND
P3;Cortex-Debug;1;CONN HDR 1.27MM SMD AU 10POS;952-1389-ND;Harwin Inc;Pin_Array_5x2_1.27mm_SMD;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=952-1389-ND
P4;5Vcc Input;1;CONN HEADER 2POS .100 VERT TIN;WM4200-ND;Molex Inc;Con_2P;..PCB/EDU-NXP/Datasheet;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=WM4200-ND
PS1, PS2;USMF020;2;FUSE RESETTABLE .20A 30V HLD SMD;MF-USMF020-2CT-ND;Bourns Inc.;SM1210;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=MF-USMF020-2CT-ND
Q1, Q3, Q4, Q5, Q9, Q10;2N7002;6;MOSFET N-CH 60V 115MA SOT-23;2N7002NCT-ND;Fairchild Semiconductor;SOT23GDS;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=2N7002NCT-ND
R1, R2, R3;4K7;3;RES 4.7K ohm 1/8W 5% 0805 SMD;1276-5544-1-ND;Samsung;SM0805;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=1276-5544-1-ND
R4, R5, R90;100K;3;RES 100K OHM 1/8W 5% 0805 SMD;P100KACT-ND;Panasonic Electronic Components;SM0805;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=P100KACT-ND
R6, R8;390;2;RES 390 OHM 1/10W .5% 0805 SMD;RR12P390DCT-ND;Susumu;SM0805;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RR12P390DCT-ND
R7;200;1;RES 200 OHM 1/10W .5% 0805 SMD;RR12P200DCT-ND;Susumu;SM0805;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RR12P200DCT-ND
R9;100;1;RES 100 OHM 1/2W 1% 0805 SMD;P16057CT-ND;Panasonic Electronic Components;SM0805;..PCB/EDU-NXP/Datasheets;http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=P16057CT-ND
