eeschema (2013-dec-23)-stable  >> Creation date: mié 25 mar 2015 16:03:58 ART
#Cmp ( order = Reference )
| BT1        BK-913      BK-913-datasheet.pdf; BK-913-ND   ; BK-913-datasheet.pdf; Soporte batería CR2032; MPD (Memory Protection Devices); BK-913      ; ../PCB/EDU-NXP/Datasheets; BK-913-ND   ; ~           ;             ;             
| C1         10uF        KEM_C1002_X7R_SMD.pdf; c_1206_tantalio; KEM_C1002_X7R_SMD.pdf; CAP CER 10UF 16V 10% X7R 1206; Kemet       ; C1206C106K4RACTU; ..PCB/EDU-CIAA/Datasheets; 399-3525-1-ND; 1206        ;             ;             
| C2         100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C3         10uF        KEM_C1002_X7R_SMD.pdf; c_1206_tantalio; KEM_C1002_X7R_SMD.pdf; CAP CER 10UF 16V 10% X7R 1206; Kemet       ; C1206C106K4RACTU; ..PCB/EDU-CIAA/Datasheets; 399-3525-1-ND; 1206        ;             ;             
| C4         100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C5         10uF        KEM_T2005_T491.pdf  ; c_1206_tantalio; KEM_T2005_T491.pdf; CAP TANT 10UF 10V 10% 1206; Kemet       ; T491A106K010AT; ..PCB/EDU-CIAA/Datasheets; 399-3684-2-ND; 1206        ;             ;             
| C6         10uF        KEM_T2005_T491.pdf  ; c_1206_tantalio; KEM_T2005_T491.pdf; CAP TANT 10UF 10V 10% 1206; Kemet       ; T491A106K010AT; ..PCB/EDU-CIAA/Datasheets; 399-3684-2-ND; 1206        ;             ;             
| C7         100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C8         100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C9         100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C10        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C11        20p         KEM_C1003_C0G_SMD.pdf; c_0805      ; KEM_C1003_C0G_SMD.pdf; CAP CER 20PF 50V 5% NP0 0805; Kemet       ; C0805C200J5GACTU; ..PCB/EDU-NXP/Datasheets; 399-8033-1-ND; 0805        ;             ;             
| C12        20p         KEM_C1003_C0G_SMD.pdf; c_0805      ; KEM_C1003_C0G_SMD.pdf; CAP CER 20PF 50V 5% NP0 0805; Kemet       ; C0805C200J5GACTU; ..PCB/EDU-NXP/Datasheets; 399-8033-1-ND; 0805        ;             ;             
| C13        20p         KEM_C1003_C0G_SMD.pdf; c_0805      ; KEM_C1003_C0G_SMD.pdf; CAP CER 20PF 50V 5% NP0 0805; Kemet       ; C0805C200J5GACTU; ..PCB/EDU-NXP/Datasheets; 399-8033-1-ND; 0805        ;             ;             
| C14        20p         KEM_C1003_C0G_SMD.pdf; c_0805      ; KEM_C1003_C0G_SMD.pdf; CAP CER 20PF 50V 5% NP0 0805; Kemet       ; C0805C200J5GACTU; ..PCB/EDU-NXP/Datasheets; 399-8033-1-ND; 0805        ;             ;             
| C15        20p         KEM_C1003_C0G_SMD.pdf; c_0805      ; KEM_C1003_C0G_SMD.pdf; CAP CER 20PF 50V 5% NP0 0805; Kemet       ; C0805C200J5GACTU; ..PCB/EDU-NXP/Datasheets; 399-8033-1-ND; 0805        ;             ;             
| C16        20p         KEM_C1003_C0G_SMD.pdf; c_0805      ; KEM_C1003_C0G_SMD.pdf; CAP CER 20PF 50V 5% NP0 0805; Kemet       ; C0805C200J5GACTU; ..PCB/EDU-NXP/Datasheets; 399-8033-1-ND; 0805        ;             ;             
| C17        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C18        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C19        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C20        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C21        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C22        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C23        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C24        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C25        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C26        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C27        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
