Reference, Value, Footprint, Datasheet
CON1,EXT_POWER,,
C138,10uF,,
J03,POWER_SOURCE,,
U03,LTC3633EUFD,,
C107,10uF,,
C108,2.2uF,,
C109,2.2uF,,
C110,2.2uF,,
R133,0,,
R136,0,,
R135,0,,
R132,32.4K-1%,,
R131,9.31K-1%,,
C126,18pF,,
C125,180pF,,
C124,62pF,,
C123,470pF,,
R124,576K-1%,,
R127,100K,,
C128,22nF,,
C127,160pF,,
C119,56pF,,
C120,100 uF,,
C121,47uF,,
C122,100nF,,
C117,13pF,,
C113,56pF,,
C114,100uF,,
C115,47uF,,
C116,100nF,,
C118,100nFx35V,,
C112,10nF,,
C111,100nFx35V,,
L02,2.2uH-NR5040T2R2N,,
L01,1.5uH-NR5040T1R5N,,
R134,13.3K-1%,,
R130,60.4K-1%,,
R129,88.7K-1%,,
R125,59K-1%,,
R128,10K,,
R126,680,,
Q01,FDV301N,,
TP01,TP,,
T0P2,TP,,
TP03,TP,,
U01,LTC3621EMS8E,,
L03,3.3uH-NRS4018T3R3MDGJ,,
R138,619K-1%,,
R140,309K-1%,,
R139,10K,,
R137,10K-1%,,
R141,10K,,
C131,6.2pF,,
C135,6.2pF,,
C132,47uF,,
C130,22uF,,
C133,100nF,,
C129,2.2uFx10V,,
C134,1uF,,
R142,100-1/4W,,
R143,10K-1%,,
R145,10K-1%,,
R144,4.7K-1%,,
R146,10K-1%,,
R147,10K-1%,,
C161,100nF,,
SW4,Power_On,,
Q02,FDV301N,,
Q03,FDV301N,,
D06,RED,,
U06,XC7A15T-FTG256,,
C165,470nF,,
C166,470nF,,
C167,470nf,,
C168,47nF,,
C169,47nF,,
C162,47uF,,
C163,4.7uF,,
C164,4.7uF,,
C170,47nF,,
C171,47nF,,
C101,47uF,,
C102,4.7uF,,
C103,470nF,,
C104,470nF,,
C105,47nF,,
C106,47nF,,
C145,100uF,,
C158,470nF,,
C159,470nF,,
C146,470nF,,
C147,470nF,,
C148,470nF,,
C149,470nF,,
C150,470nF,,
C151,470nF,,
C141,47nF,,
C142,47nF,,
C143,47nF,,
C144,47nF,,
C152,4.7uF,,
C153,4.7uF,,
C154,4.7uF,,
C155,4.7uF,,
C156,4.7uF,,
C157,4.7uF,,
U05,S25FL032P,,
C139,100nF,,
R105,4k7,,
R115,4k7,,
R109,100 - No Soldar,,
R117,100 - No Soldar,,
R110,200,,
R118,100,,
R111,4K7,,
R112,4K7,,
SW5,BtnProg,,
J02,BITSTREAM_SOURCE,,
R121,1K,,
R123,1K,,
R122,1K,,
J01,JTAG,,
R101,100,,
R102,100,,
R103,100,,
R104,100,,
L07,600Ohm/100MHz,,
L06,600Ohm/100MHz,,
C137,10nF,,
C140,470nF,,
R106,100,,
R116,100,,
R119,R100,,
R120,100,,
D05,LED,,
R114,1K8,,
R113,1K8,,
R107,1K,,
R108,1K - No Soldar,,
D01, ,,
D02, ,,
D03, ,,
D04, ,,
R153,330,,
R154,330,,
R155,330,,
R156,330,,
U04,DSC1033-100,,
C184,100 nF,,
CON4,BANK 14,,
SW03,PB_C,,
SW02,PB_B,,
SW01,PB_A,,
R158,10K,,
R159,10K,,
R160,10K,,
U08,MT47H128M16,,
R151,4K7,,
C160,10nF,,
C136,100nF,,
R152,1K-1%,,
R150,1K-1%,,
R148,100,,
R149,4K7,,
C209,4.7uF,,
C208,4.7uF,,
C207,470nF,,
C206,470nF,,
C205,470nF,,
C204,470nF,,
C203,470nF,,
C202,470nF,,
C201,47nF,,
C200,47nF,,
C199,47nF,,
C214,47nF,,
C213,10nF,,
C212,10nF,,
C211,10nF,,
C210,10nF,,
C187,10nF,,
C188,10nF,,
C189,10nF,,
C190,10nF,,
C191,10nF,,
C192,10nF,,
C193,100nF,,
C194,100nF,,
C195,100nF,,
C196,4.7uF,,
C197,4.7uF,,
C198,100uF,,
CON5,BANK 34,,
J05,BK34_Power,,
J04,BK15_Power,,
CON3,BANK 15,,
U07,FT2232H,,
J06,JTAG Select,,
R157,4K7,,
U09,TXB0108,,
U02,AT93C46,,
X1,12MHz,,
C186,27 pF,,
C185,27 pF,,
R162,10K,,
R163,10K,,
R164,10K,,
R161,2K2,,
R165,1K,,
R166,12K,,
CON2,microUSB,,
C172,3.3uF,,
L04,CHOKE,,
L05,CHOKE,,
C173,4.7 uF,,
C174,100 nF,,
C175,4.7 uF,,
C176,100 nF,,
C177,100 nF,,
C178,100 nF,,
C179,100 nF,,
C180,100 nF,,
C181,100 nF,,
C182,100 nF,,
C183,100 nF,,
D07,Led_Small,,
D08,Led_Small,,
D09,Led_Small,,
D10,Led_Small,,
R167,470,,
R168,470,,
R169,470,,
R170,470,,
