eeschema (2013-07-07 BZR 4022)-stable  >> Creation date: 08/08/2014 10:40:54 a.m.

#Componentes ( orden = Valor )
| CR2032       BT1101    ; HOLDER BATTERY FOR 2032 CELL; MPD         ; BH32T-C     ; ../datasheets/connectors/BH32T-C.pdf; BH32T-C-ND  ; ~           ;             ;             
| 18pF         C204      ; CAP CER 18PF 50V 5% NP0 0603; Kemet       ; C0603C180J5GACTU; ~           ; 399-1052-1-ND; 0603        ;             ;             
| 18pF         C207      ; CAP CER 18PF 50V 5% NP0 0603; Kemet       ; C0603C180J5GACTU; ~           ; 399-1052-1-ND; 0603        ;             ;             
| 27pF         C201      ; CAP CER 27PF 50V 5% NP0; Kemet       ; C0603C270J5GACTU; ~           ; 399-1054-1-ND; 0603        ;             ;             
| 27pF         C202      ; CAP CER 27PF 50V 5% NP0; Kemet       ; C0603C270J5GACTU; ~           ; 399-1054-1-ND; 0603        ;             ;             
| 27pF         C1301     ; CAP CER 27pF 50V 5% NP0 0603; KEMET       ; C0603C270J5GACTU; ~           ; 399-1054-1-ND; 0603        ;             ;             
| 27pF         C1304     ; CAP CER 27pF 50V 5% NP0 0603; KEMET       ; C0603C270J5GACTU; ~           ; 399-1054-1-ND; 0603        ;             ;             
| 100pF        C309      ; CAP CER 100PF 50V 10% X7R 0603; Kemet       ; C0603C101K5RACTU; ~           ; 399-7824-1-ND; 0603        ;             ;             
| 470pF        C905      ; CAP CER 470PF 50V 10% X7R 0603; Kemet       ; C0603C471K5RACTU; ~           ; 399-1075-1-ND; 0603        ;             ;             
| 470pF        C906      ; CAP CER 470PF 50V 10% X7R 0603; Kemet       ; C0603C471K5RACTU; ~           ; 399-1075-1-ND; 0603        ;             ;             
| 470pF        C907      ; CAP CER 470PF 50V 10% X7R 0603; Kemet       ; C0603C471K5RACTU; ~           ; 399-1075-1-ND; 0603        ;             ;             
| 470pF        C908      ; CAP CER 470PF 50V 10% X7R 0603; Kemet       ; C0603C471K5RACTU; ~           ; 399-1075-1-ND; 0603        ;             ;             
| 1nF          C901      ; CAP CER 1000PF 50V 10% X7R 0603; Kemet       ; C0603C102K5RACTU; ~           ; 399-1082-1-ND; 0603        ;             ;             
| 1nF          C902      ; CAP CER 1000PF 50V 10% X7R 0603; Kemet       ; C0603C102K5RACTU; ~           ; 399-1082-1-ND; 0603        ;             ;             
| 1nF          C903      ; CAP CER 1000PF 50V 10% X7R 0603; Kemet       ; C0603C102K5RACTU; ~           ; 399-1082-1-ND; 0603        ;             ;             
| 1nF          C904      ; CAP CER 1000PF 50V 10% X7R 0603; Kemet       ; C0603C102K5RACTU; ~           ; 399-1082-1-ND; 0603        ;             ;             
| 1,5nF        C701      ; CAP CER 1500PF 50V 10% X7R 0603; Kemet       ; C0603C152K5RACTU; ~           ; 399-1084-1-ND; 0603        ;             ;             
| 1,5nF        C702      ; CAP CER 1500PF 50V 10% X7R 0603; Kemet       ; C0603C152K5RACTU; ~           ; 399-1084-1-ND; 0603        ;             ;             
| 1,5nF        C703      ; CAP CER 1500PF 50V 10% X7R 0603; Kemet       ; C0603C152K5RACTU; ~           ; 399-1084-1-ND; 0603        ;             ;             
| 1,5nF        C704      ; CAP CER 1500PF 50V 10% X7R 0603; Kemet       ; C0603C152K5RACTU; ~           ; 399-1084-1-ND; 0603        ;             ;             
| 1,5nF        C705      ; CAP CER 1500PF 50V 10% X7R 0603; Kemet       ; C0603C152K5RACTU; ~           ; 399-1084-1-ND; 0603        ;             ;             
| 1,5nF        C706      ; CAP CER 1500PF 50V 10% X7R 0603; Kemet       ; C0603C152K5RACTU; ~           ; 399-1084-1-ND; 0603        ;             ;             
| 1,5nF        C707      ; CAP CER 1500PF 50V 10% X7R 0603; Kemet       ; C0603C152K5RACTU; ~           ; 399-1084-1-ND; 0603        ;             ;             
| 1,5nF        C708      ; CAP CER 1500PF 50V 10% X7R 0603; Kemet       ; C0603C152K5RACTU; ~           ; 399-1084-1-ND; 0603        ;             ;             
| 10nF         C208      ; CAP CER 10000PF 50V 10% X7R; Kemet       ; C0603C103K5RACTU; ~           ; 399-1091-1-ND; 0603        ;             ;             
| 10nF         C212      ; CAP CER 10000PF 50V 10% X7R; Kemet       ; C0603C103K5RACTU; ~           ; 399-1091-1-ND; 0603        ;             ;             
| 10nF         C301      ; CAP CER 10000PF 50V 10% X7R 0603; Kemet       ; C0603C103K5RACTU; ~           ; 399-1091-1-ND; 0603        ;             ;             
| 10nF         C1202     ; CAP CER 10000PF 50V 10% X7R; Kemet       ; C0603C103K5RACTU; ~           ; 399-1091-1-ND; 0603        ;             ;             
| 100nF        C205      ; CAP CER 0.1UF 16V 10% X7R; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C206      ; CAP CER 0.1UF 16V 10% X7R; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C209      ; CAP CER 0.1UF 16V 10% X7R; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C210      ; CAP CER 0.1UF 16V 10% X7R; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C213      ; CAP CER 0.1UF 16V 10% X7R; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C214      ; CAP CER 0.1UF 16V 10% X7R; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C217      ; CAP CER 0.1UF 16V 10% X7R; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C218      ; CAP CER 0.1UF 16V 10% X7R; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C221      ; CAP CER 0.1UF 16V 10% X7R; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C223      ; CAP CER 0.1UF 16V 10% X7R; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C224      ; CAP CER 0.1UF 16V 10% X7R; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C227      ; CAP CER 0.1UF 16V 10% X7R; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C230      ; CAP CER 0.1UF 16V 10% X7R; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C302      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C304      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C305      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C306      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C307      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C310      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C312      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
